Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG
1,David Johnson,,,RB1,1,,,,,1,1
2,Le'Veon Bell,,,RB2,2,,,,,2,2
3,Antonio Brown,,,WR1,3,,,,,3,3
4,Julio Jones,,,WR2,4,,,,,4,4
5,Odell Beckham Jr.,,,WR3,5,,,,,6,5.2
6,LeSean McCoy,,,RB3,6,,,,,5,6.4
7,Mike Evans,TB,1,WR4,9,,,,,7,7
8,A.J. Green,,,WR5,10,,,,,9,8.6
9,Devonta Freeman,,,RB4,8,,,,,10,9.4
10,Melvin Gordon,III,,RB5,11,,,,,8,9.6
11,Jordy Nelson,,,WR6,7,,,,,12,10.4
12,Michael Thomas,,,WR7,12,,,,,11,12
13,Jordan Howard,,,RB6,13,,,,,15,14.4
14,DeMarco Murray,,,RB7,14,,,,,14,14.4
15,Jay Ajayi,,,RB8,15,,,,,19,15
16,Ezekiel Elliott,,,RB9,21,,,,,13,15.4
17,Amari Cooper,,,WR8,19,,,,,16,18
18,Todd Gurley,II,,RB10,18,,,,,17,18.6
19,Brandin Cooks,NO,5,WR9,16,,,,,23,19.8
20,Rob Gronkowski,,,TE1,17,,,,,22,19.8
21,Dez Bryant,,,WR10,24,,,,,20,20.2
22,Aaron Rodgers,PIT,9,QB1,20,,,,,18,22.8
23,Doug Baldwin,,,WR11,23,,,,,25,22.8
24,Leonard Fournette,,,RB11,26,,,,,21,24.8
25,T.Y. Hilton,,,WR12,25,,,,,28,26.2
26,Christian McCaffrey,SF,11,RB12,30,,,,,24,27.2
27,DeAndre Hopkins,BAL,10,WR13,29,,,,,27,28.2
28,Demaryius Thomas,,,WR14,32,,,,,32,30.2
29,Lamar Miller,,,RB13,27,,,,,26,30.6
30,Tom Brady,,,QB2,22,,,,,31,30.8
31,Keenan Allen,LAC,9,WR15,40,,,,,40,32.6
32,Terrelle Pryor Sr.,,,WR16,31,,,,,39,33.4
33,Isaiah Crowell,,,RB14,36,,,,,38,33.8
34,Dalvin Cook,,,RB15,42,,,,,41,34.2
