,player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
65,00-0039868,Troy Franklin,3.9496403,52.36187,0.24560179,44.75,4.0,0.5,6.7098,10.6594
90,00-0040705,Chimere Dike,3.5309231,39.984894,0.5085575,27.0,4.333333333333333,0.125,7.0498,10.5808
47,00-0039893,Brian Thomas Jr.,3.6516142,56.138752,0.20859025,52.142857142857146,5.0,0.1428571428571428,6.8654,10.517
73,00-0034775,Christian Kirk,3.5346344,49.31017,0.3398604,36.333333333333336,3.333333333333333,0.0,6.9702,10.5048
76,00-0035662,Marquise Brown,4.1507974,48.75302,0.23448743,39.5,2.0,0.4444444444444444,6.2822,10.433
63,00-0034960,Jakobi Meyers,3.9139347,52.385418,0.19388554,54.833333333333336,4.0,0.0,6.4019,10.3158
74,00-0034775,Christian Kirk,3.5346344,49.31017,0.30084437,36.333333333333336,3.333333333333333,0.0,6.7361,10.2707
69,00-0038608,Kayshon Boutte,4.255077,50.695072,0.1471985,53.875,3.333333333333333,0.5555555555555556,5.9527,10.2078
87,00-0037240,Jameson Williams,2.235319,41.892605,0.5896284,41.285714285714285,2.333333333333333,0.375,7.727,9.9623
77,00-0037261,Khalil Shakir,3.9443069,46.979214,0.21877404,50.85714285714285,5.0,0.4285714285714285,6.0106,9.9549
92,00-0039901,Keon Coleman,3.926639,39.85159,0.33691147,38.142857142857146,3.333333333333333,0.25,6.0066,9.9333
86,00-0037664,Alec Pierce,3.5405488,42.36679,0.34337446,64.33333333333333,3.0,0.0,6.2969,9.8375
72,00-0036259,Jauan Jennings,3.3030825,50.013203,0.24352749,35.333333333333336,3.0,0.1666666666666666,6.4625,9.7656
99,00-0033555,Mack Hollins,3.603607,37.020252,0.39965782,29.714285714285715,3.6666666666666665,0.2857142857142857,6.1,9.7036
78,00-0037261,Khalil Shakir,3.9443069,46.979214,0.1728401,50.85714285714285,5.0,0.375,5.735,9.6793
79,00-0033307,Kendrick Bourne,4.0706277,44.176163,0.19632395,61.285714285714285,3.333333333333333,0.0,5.5956,9.6662
121,00-0038563,Tre Tucker,3.592842,31.646824,0.47817072,55.57142857142857,4.666666666666667,0.5714285714285714,6.0337,9.6265
59,00-0037837,Calvin Austin III,3.3492444,53.832165,0.14231646,33.4,3.0,0.3333333333333333,6.2371,9.5864
93,00-0039901,Keon Coleman,3.926639,39.85159,0.2577702,38.142857142857146,3.333333333333333,0.2857142857142857,5.5318,9.4584
80,00-0033307,Kendrick Bourne,4.0706277,44.176163,0.11910084,61.285714285714285,3.333333333333333,0.0,5.1322,9.2028
91,00-0040705,Chimere Dike,3.5309231,39.984894,0.24861072,27.0,4.333333333333333,0.1428571428571428,5.4902,9.0211
100,00-0033555,Mack Hollins,3.603607,37.020252,0.27432764,29.714285714285715,3.6666666666666665,0.25,5.348,8.9516
83,00-0039849,Marvin Harrison Jr.,2.66985,42.632698,0.26617622,56.57142857142857,2.6666666666666665,0.375,5.8603,8.5302
113,00-0030564,DeAndre Hopkins,2.2948415,32.91163,0.48499516,27.428571428571427,1.6666666666666667,0.25,6.2011,8.496
125,00-0031236,Brandin Cooks,2.0949113,31.063011,0.54290307,18.625,1.6666666666666667,0.0,6.3637,8.4586
98,00-0034837,Calvin Ridley,2.7707498,37.37435,0.32444584,48.333333333333336,2.6666666666666665,0.0,5.6841,8.4549
126,00-0031236,Brandin Cooks,2.0949113,31.063011,0.54089123,18.625,1.6666666666666667,0.0,6.3516,8.4466
84,00-0039849,Marvin Harrison Jr.,2.66985,42.632698,0.24043413,56.57142857142857,2.6666666666666665,0.2857142857142857,5.7059,8.3757
88,00-0037240,Jameson Williams,2.235319,41.892605,0.31154174,41.285714285714285,2.333333333333333,0.2857142857142857,6.0585,8.2938
122,00-0038563,Tre Tucker,3.592842,31.646824,0.24826106,55.57142857142857,4.666666666666667,0.5,4.6542,8.2471
105,00-0039894,Xavier Worthy,3.2260587,34.99098,0.2404334,38.833333333333336,3.333333333333333,0.1666666666666666,4.9417,8.1678
101,00-0039880,Malik Washington,3.080545,35.232536,0.25961313,16.875,4.333333333333333,0.125,5.0809,8.1615
117,00-0038619,Andrei Iosivas,2.4821315,32.42494,0.35877597,28.33333333333333,1.3333333333333333,0.1428571428571428,5.3951,7.8773
94,00-0035535,Darius Slayton,2.640696,39.07867,0.2210638,32.0,2.6666666666666665,0.0,5.2342,7.8749
107,00-0039739,Roman Wilson,2.3186352,34.83541,0.34371498,27.5,2.333333333333333,0.2,5.5458,7.8645
96,00-0036309,Darnell Mooney,2.7131643,37.46142,0.23375456,31.6,1.6666666666666667,0.0,5.1487,7.8618
102,00-0039880,Malik Washington,3.080545,35.232536,0.20424162,16.875,4.333333333333333,0.1111111111111111,4.7487,7.8292
97,00-0036309,Darnell Mooney,2.7131643,37.46142,0.22292681,31.6,1.6666666666666667,0.0,5.0837,7.7969
103,00-0040667,Matthew Golden,2.634107,35.017952,0.27293378,36.142857142857146,3.333333333333333,0.0,5.1394,7.7735
106,00-0039894,Xavier Worthy,3.2260587,34.99098,0.161515,38.833333333333336,3.333333333333333,0.1428571428571428,4.4682,7.6942
89,00-0033908,Cooper Kupp,2.8034828,40.298058,0.14146583,41.85714285714285,3.0,0.1428571428571428,4.8786,7.6821
104,00-0040667,Matthew Golden,2.634107,35.017952,0.2529118,36.142857142857146,3.333333333333333,0.0,5.0193,7.6534
95,00-0035535,Darius Slayton,2.640696,39.07867,0.17534055,32.0,2.6666666666666665,0.0,4.9599,7.6006
114,00-0030564,DeAndre Hopkins,2.2948415,32.91163,0.32975265,27.428571428571427,1.6666666666666667,0.2857142857142857,5.2697,7.5645
118,00-0038619,Andrei Iosivas,2.4821315,32.42494,0.26458532,28.33333333333333,1.3333333333333333,0.0,4.83,7.3121
111,00-0039491,Jalen Coker,2.5375319,33.231396,0.23530398,18.0,3.333333333333333,0.0,4.735,7.2725
123,00-0034827,DJ Moore,2.818658,31.111467,0.21286301,45.71428571428572,3.333333333333333,0.125,4.3883,7.207
112,00-0039491,Jalen Coker,2.5375319,33.231396,0.2231586,18.0,3.333333333333333,0.0,4.6621,7.1996
138,00-0038124,Christian Watson,3.081839,21.742926,0.31400687,85.0,1.3333333333333333,0.0,4.0583,7.1402
115,00-0036550,Rashod Bateman,2.87286,32.743343,0.14238605,24.428571428571427,1.0,0.25,4.1287,7.0015
127,00-0038976,Marvin Mims Jr.,2.489047,29.587898,0.25699952,29.25,2.6666666666666665,0.125,4.5008,6.9898
110,00-0035659,Terry McLaurin,3.2649994,34.070004,0.05099793,50.75,3.6666666666666665,0.25,3.713,6.978
108,00-0039739,Roman Wilson,2.3186352,34.83541,0.19542687,27.5,2.333333333333333,0.25,4.6561,6.9747
135,00-0040648,Tory Horton,2.0260763,23.678629,0.40700966,18.83333333333333,1.0,0.5,4.8099,6.836
