player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
00-0034960,Jakobi Meyers,3.5602312,47.6603,0.2701911,43.66666666666666,2.333333333333333,0,6.3872,9.9474
00-0034960,Jakobi Meyers,3.5525708,47.6603,0.2701911,43.66666666666666,3.6666666666666665,0,6.3872,9.9397
00-0034960,Jakobi Meyers,3.5602312,47.6603,0.2632008,43.66666666666666,2.333333333333333,0,6.3452,9.9055
00-0034960,Jakobi Meyers,3.5525708,47.6603,0.2632008,43.66666666666666,3.6666666666666665,0,6.3452,9.8978
00-0038979,Cedric Tillman,3.453649,38.792233,0.42227748,23.4,2,0.4,6.4129,9.8665
00-0037816,Romeo Doubs,3.5021446,48.674522,0.2187848,49.55555555555556,3.6666666666666665,0.4444444444444444,6.1802,9.6823
00-0039893,Brian Thomas Jr.,3.4731143,46.725414,0.25419837,52.5,4.666666666666667,0.125,6.1977,9.6708
00-0035535,Darius Slayton,4.2182655,48.34108,0.042156465,42.875,3.6666666666666665,0,5.087,9.3053
00-0033921,Chris Godwin Jr.,3.6311326,43.722294,0.18420157,26,4.333333333333333,0,5.4774,9.1086
00-0033908,Cooper Kupp,4.1030226,42.19308,0.12402575,45.875,1.6666666666666667,0.125,4.9635,9.0665
00-0040729,Jack Bech,2.2115626,49.17845,0.31388575,12.166666666666666,0.6666666666666666,0,6.8012,9.0127
00-0039880,Malik Washington,2.8586605,38.375126,0.370003,19.2,3,0.2,6.0575,8.9162
00-0039894,Xavier Worthy,3.5268986,48.560535,0.07409434,36.57142857142857,3.6666666666666665,0.1428571428571428,5.3006,8.8275
00-0034348,Courtland Sutton,3.1014752,45.458767,0.17690152,59,2.6666666666666665,0.4,5.6073,8.7088
00-0038606,Parker Washington,3.9287186,46.35789,0.010850804,41.25,5,0.25,4.7009,8.6296
00-0036309,Darnell Mooney,2.829252,37.927586,0.33186534,27.142857142857142,1,0,5.784,8.6132
00-0035500,Greg Dortch,3.4657617,29.261318,0.36244115,10.428571428571429,2.333333333333333,0.1428571428571428,5.1008,8.5665
00-0034837,Calvin Ridley,3.460124,35.239685,0.26222932,48.333333333333336,2.6666666666666665,0,5.0973,8.5575
00-0037837,Calvin Austin III,2.6236167,37.339283,0.36223492,33.857142857142854,3.6666666666666665,0.2857142857142857,5.9073,8.531
00-0039901,Keon Coleman,3.1608348,42.49719,0.18373902,36.66666666666666,2.6666666666666665,0.3333333333333333,5.3522,8.513
00-0036988,Josh Palmer,2.8142972,42.71392,0.23198724,39,2,0,5.6633,8.4776
00-0039491,Jalen Coker,3.0872872,42.25023,0.11227751,16.5,2.333333333333333,0,4.8987,7.986
00-0038619,Andrei Iosivas,3.0750399,35.389076,0.22594616,33.714285714285715,2.6666666666666665,0.1428571428571428,4.8946,7.9696
00-0034827,DJ Moore,2.6099463,41.849815,0.15609263,43.55555555555556,2.6666666666666665,0.1111111111111111,5.1215,7.7315
00-0035662,Marquise Brown,2.8400316,37.057995,0.19152051,43.22222222222222,1.3333333333333333,0.4444444444444444,4.8549,7.695
00-0037240,Jameson Williams,3.303668,34.190334,0.14882629,52.66666666666666,3.333333333333333,0.4444444444444444,4.312,7.6157
00-0039751,Jordan Whittington,1.7741534,40.73025,0.29203218,20.166666666666668,2.333333333333333,0,5.8252,7.5994
00-0040667,Matthew Golden,2.9829562,27.475573,0.29217914,32.75,3,0,4.5006,7.4836
00-0038976,Marvin Mims Jr.,2.4881527,33.409775,0.24891257,29.25,2.6666666666666665,0.125,4.8345,7.3226
00-0032211,Tyler Lockett,2.3176672,40.91266,0.14658664,11.4,1.6666666666666667,0,4.9708,7.2885
00-0038608,Kayshon Boutte,2.4273865,33.773205,0.24629156,47.888888888888886,1.6666666666666667,0.5555555555555556,4.8551,7.2825
00-0040130,Jayden Higgins,2.9720516,32.269707,0.17827609,22.33333333333333,3.333333333333333,0.3333333333333333,4.2966,7.2687
00-0030564,DeAndre Hopkins,2.0471122,18.156345,0.5608621,23.11111111111111,1,0.2222222222222222,5.1808,7.2279
00-0032211,Tyler Lockett,2.1229372,40.91266,0.14658664,11.4,2.333333333333333,0,4.9708,7.0937
00-0032211,Tyler Lockett,2.3176672,40.91266,0.09143014,11.4,1.6666666666666667,0,4.6398,6.9575
00-0037742,Treylon Burks,2.208117,30.880922,0.26970312,36,1.6666666666666667,0,4.7063,6.9144
00-0039739,Roman Wilson,2.312174,39.735565,0.08353611,24.83333333333333,2.333333333333333,0.3333333333333333,4.4748,6.7869
00-0032211,Tyler Lockett,2.1229372,40.91266,0.09143014,11.4,2.333333333333333,0,4.6398,6.7628
00-0033555,Mack Hollins,2.7574956,24.137259,0.26450023,35.888888888888886,5,0.2222222222222222,4.0007,6.7582
00-0033307,Kendrick Bourne,2.218511,29.774828,0.23253378,53.55555555555556,2,0,4.3727,6.5912
00-0039342,Xavier Legette,3.065474,35.576256,-0.007238041,22.625,1,0.25,3.5142,6.5797
00-0032211,Tyler Lockett,2.3176672,32.084995,0.14658664,12.666666666666666,1.6666666666666667,0,4.088,6.4057
00-0035659,Terry McLaurin,2.3075976,35.293148,0.09035003,50.75,3.6666666666666665,0.25,4.0714,6.379
00-0032211,Tyler Lockett,2.1229372,32.084995,0.14658664,12.666666666666666,2.333333333333333,0,4.088,6.211
00-0032211,Tyler Lockett,2.3176672,32.084995,0.09143014,12.666666666666666,1.6666666666666667,0,3.7571,6.0747
00-0032211,Tyler Lockett,2.1229372,32.084995,0.09143014,12.666666666666666,2.333333333333333,0,3.7571,5.88
00-0035645,Gunner Olszewski,1.3824562,26.937681,0.28964826,12,0.3333333333333333,0.5,4.4317,5.8141
00-0036182,Nick Westbrook-Ikhine,2.1584363,25.759604,0.17926262,11.125,1.3333333333333333,0,3.6515,5.81
00-0034775,Christian Kirk,2.606209,24.383678,0.12207775,27.6,3,0,3.1708,5.777
00-0035208,Olamide Zaccheaus,2.4538252,28.589624,0.03992246,27.55555555555556,4.666666666666667,0.1111111111111111,3.0985,5.5523
00-0037291,Jalen Nailor,2.0034223,30.441833,0.05284072,33.55555555555556,2,0.2222222222222222,3.3612,5.3646
00-0039410,Ryan Flournoy,2.382355,30.611074,-0.022910798,33,2,0.1666666666666666,2.9236,5.306
00-0037741,Jahan Dotson,1.7445362,29.234497,0.047485378,21.571428571428573,0.6666666666666666,0.1428571428571428,3.2084,4.9529
00-0036550,Rashod Bateman,1.5969642,20.350025,0.2177338,21.55555555555556,1.6666666666666667,0.2222222222222222,3.3414,4.9384
00-0038124,Christian Watson,1.9993641,24.062231,0.04377427,62.66666666666666,2.6666666666666665,0,2.6689,4.6682
00-0040582,Arian Smith,1.764055,18.909227,0.1631152,7.833333333333333,0.6666666666666666,0,2.8696,4.6337
00-0035359,David Sills,1.4509457,22.420185,0.10520625,5.75,0.6666666666666666,0,2.8733,4.3242
00-0032464,Kalif Raymond,1.6555722,12.485746,0.023859853,16.142857142857142,2.333333333333333,0,1.3917,3.0473
