,player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
7,00-0036963,Amon-Ra St. Brown,5.571805,73.113594,1.0643717,73.5,5.333333333333333,0.8,13.6976,19.2694
3,00-0036900,Ja'Marr Chase,6.476488,77.91394,0.7459342,86.1,7.0,0.5,12.267,18.7435
2,00-0038543,Jaxon Smith-Njigba,6.3051496,78.47271,0.72332114,114.6,7.333333333333333,0.5,12.1872,18.4923
6,00-0039075,Puka Nacua,6.9525356,74.19995,0.5903175,94.44444444444444,6.333333333333333,0.4444444444444444,10.9619,17.9144
4,00-0037239,Chris Olave,5.5578613,76.14479,0.70341796,66.4,5.333333333333333,0.4,11.835,17.3928
0,00-0039064,Zay Flowers,4.9376235,87.82998,0.5167492,70.3,4.0,0.1,11.8835,16.8211
8,00-0037238,Drake London,6.2816877,70.84257,0.5027331,90.0,7.333333333333333,0.6666666666666666,10.1007,16.3823
5,00-0039067,Rashee Rice,6.352378,74.44874,0.40664637,63.25,6.333333333333333,0.75,9.8848,16.2371
1,00-0036358,CeeDee Lamb,5.656529,80.89683,0.39549902,92.83333333333331,6.333333333333333,0.3333333333333333,10.4627,16.1192
9,00-0036554,Nico Collins,5.223263,68.445496,0.6049597,71.33333333333333,7.666666666666667,0.4444444444444444,10.4743,15.6976
10,00-0040129,Emeka Egbuka,5.2495265,68.09489,0.49891475,71.7,4.666666666666667,0.6,9.803,15.0525
11,00-0036322,Justin Jefferson,5.350982,67.977356,0.45184523,74.7,5.0,0.2,9.5088,14.8598
13,00-0036410,Tee Higgins,3.75078,67.60296,0.67385566,54.4,3.6666666666666665,0.7,10.8034,14.5542
12,00-0038117,Wan'Dale Robinson,3.9182029,67.954895,0.5057868,58.0,6.333333333333333,0.1818181818181818,9.8302,13.7484
28,00-0035676,A.J. Brown,4.425428,57.38333,0.5725881,50.77777777777778,4.333333333333333,0.3333333333333333,9.1739,13.5993
15,00-0038994,Jordan Addison,4.760075,65.4672,0.32456487,58.85714285714285,2.333333333333333,0.4285714285714285,8.4941,13.2542
29,00-0036912,DeVonta Smith,3.9881785,56.649128,0.59109956,66.5,3.6666666666666665,0.3,9.2115,13.1997
35,00-0037545,Rashid Shaheed,3.484647,52.885746,0.7295426,48.09090909090909,2.6666666666666665,0.1818181818181818,9.6658,13.1505
