,player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
1,00-0036963,Amon-Ra St. Brown,6.752281,85.6472,1.1198233,73.66666666666667,3.6666666666666665,0.75,15.2837,22.0359
6,00-0036358,CeeDee Lamb,6.790779,72.67553,0.7013706,93.0,5.333333333333333,0.375,11.4758,18.2666
0,00-0038543,Jaxon Smith-Njigba,6.7515526,90.27998,0.40110448,111.33333333333331,6.333333333333333,0.5833333333333334,11.4346,18.1862
7,00-0037247,George Pickens,5.645328,70.052986,0.6549318,95.16666666666669,8.0,0.6666666666666666,10.9349,16.5802
2,00-0036322,Justin Jefferson,5.5532956,84.21216,0.4250646,66.58333333333333,3.6666666666666665,0.1666666666666666,10.9716,16.5249
5,00-0037239,Chris Olave,5.2086906,74.03443,0.6154167,65.08333333333333,6.0,0.4166666666666667,11.0959,16.3046
12,00-0039064,Zay Flowers,6.4282393,66.68165,0.4374332,63.91666666666666,3.333333333333333,0.0833333333333333,9.2928,15.721
8,00-0039067,Rashee Rice,6.2548904,68.422745,0.41846162,81.0,7.333333333333333,0.8333333333333334,9.353,15.6079
4,00-0035719,Deebo Samuel Sr.,5.2197924,77.66229,0.32660455,48.54545454545455,5.333333333333333,0.4545454545454545,9.7259,14.9456
9,00-0040129,Emeka Egbuka,4.5691056,68.38457,0.53643143,65.91666666666667,4.0,0.5,10.057,14.6262
3,00-0036912,DeVonta Smith,4.970704,81.09989,0.24198504,66.83333333333333,4.0,0.25,9.5619,14.5326
14,00-0031381,Davante Adams,3.8575673,65.41995,0.6700369,57.41666666666666,3.333333333333333,1.1666666666666667,10.5622,14.4198
10,00-0037240,Jameson Williams,4.5502625,67.83691,0.4820031,58.833333333333336,3.6666666666666665,0.5,9.6757,14.226
19,00-0036900,Ja'Marr Chase,4.3004093,62.043762,0.5592788,88.27272727272727,5.333333333333333,0.4545454545454545,9.56,13.8605
48,00-0039890,Adonai Mitchell,4.191971,51.680565,0.69367576,27.818181818181817,3.6666666666666665,0.0909090909090909,9.3301,13.5221
34,00-0039075,Puka Nacua,5.1070423,55.362415,0.4571611,92.63636363636364,6.666666666666667,0.3636363636363636,8.2792,13.3863
21,00-0034960,Jakobi Meyers,4.9404926,60.756683,0.3815358,54.27272727272727,3.333333333333333,0.1818181818181818,8.3649,13.3054
11,00-0037238,Drake London,6.3362336,66.99585,0.032501075,90.0,7.333333333333333,0.6666666666666666,6.8946,13.2308
16,00-0039915,Ladd McConkey,5.4469233,64.610214,0.2012864,56.91666666666666,3.6666666666666665,0.4166666666666667,7.6687,13.1157
25,00-0034960,Jakobi Meyers,4.9404926,58.40808,0.3815358,49.75,3.333333333333333,0.1818181818181818,8.13,13.0705
15,00-0037261,Khalil Shakir,5.1877723,65.28163,0.22398265,44.66666666666666,3.333333333333333,0.25,7.8721,13.0598
29,00-0035676,A.J. Brown,4.9781775,59.921467,0.30505466,63.54545454545455,8.333333333333334,0.5454545454545454,7.8225,12.8007
44,00-0039868,Troy Franklin,4.7214484,54.56882,0.41853914,44.16666666666666,3.6666666666666665,0.4166666666666667,7.9681,12.6896
22,00-0034960,Jakobi Meyers,4.9404926,60.756683,0.25501242,54.27272727272727,3.333333333333333,0.1666666666666666,7.6057,12.5462
17,00-0033921,Chris Godwin Jr.,3.7628236,62.435036,0.42310676,34.75,2.6666666666666665,0.0,8.7821,12.545
52,00-0039890,Adonai Mitchell,4.191971,41.603218,0.69367576,25.5,3.6666666666666665,0.0909090909090909,8.3224,12.5143
50,00-0039890,Adonai Mitchell,3.0832965,51.680565,0.69367576,27.818181818181817,3.333333333333333,0.0909090909090909,9.3301,12.4134
26,00-0034960,Jakobi Meyers,4.9404926,58.40808,0.25501242,49.75,3.333333333333333,0.1666666666666666,7.3709,12.3114
31,00-0035640,DK Metcalf,4.7942524,56.788834,0.29635793,50.41666666666666,4.333333333333333,0.4166666666666667,7.457,12.2513
63,00-0038124,Christian Watson,4.085099,44.849922,0.6070888,60.5,4.333333333333333,0.5,8.1275,12.2126
20,00-0036613,Jaylen Waddle,3.761734,61.295845,0.37706906,63.5,3.6666666666666665,0.4166666666666667,8.392,12.1537
23,00-0034960,Jakobi Meyers,3.645113,60.756683,0.3815358,54.27272727272727,5.0,0.1818181818181818,8.3649,12.01
56,00-0036554,Nico Collins,4.349536,50.337376,0.4295389,72.27272727272727,5.666666666666667,0.3636363636363636,7.611,11.9605
18,00-0039919,Rome Odunze,4.108172,62.26279,0.25327027,55.083333333333336,2.333333333333333,0.5,7.7459,11.8541
27,00-0034960,Jakobi Meyers,3.645113,58.40808,0.3815358,49.75,5.0,0.1818181818181818,8.13,11.7751
30,00-0030279,Keenan Allen,4.1111555,58.87231,0.27806315,51.833333333333336,3.333333333333333,0.3333333333333333,7.5556,11.6668
49,00-0039890,Adonai Mitchell,4.191971,51.680565,0.35798332,27.818181818181817,3.6666666666666665,0.0833333333333333,7.316,11.5079
54,00-0039890,Adonai Mitchell,3.0832965,41.603218,0.69367576,25.5,3.333333333333333,0.0909090909090909,8.3224,11.4057
24,00-0034960,Jakobi Meyers,3.645113,60.756683,0.25501242,54.27272727272727,5.0,0.1666666666666666,7.6057,11.2509
46,00-0033908,Cooper Kupp,3.8868906,54.140686,0.29714018,39.81818181818182,2.6666666666666665,0.0909090909090909,7.1969,11.0838
28,00-0034960,Jakobi Meyers,3.645113,58.40808,0.25501242,49.75,5.0,0.1666666666666666,7.3709,11.016
45,00-0036407,Jerry Jeudy,4.0800214,54.429764,0.23881224,35.083333333333336,2.333333333333333,0.0833333333333333,6.8758,10.9559
35,00-0037545,Rashid Shaheed,2.8575237,55.112873,0.3638185,41.23076923076923,1.0,0.1538461538461538,7.6942,10.5517
53,00-0039890,Adonai Mitchell,4.191971,41.603218,0.35798332,25.5,3.6666666666666665,0.0833333333333333,6.3082,10.5002
51,00-0039890,Adonai Mitchell,3.0832965,51.680565,0.35798332,27.818181818181817,3.333333333333333,0.0833333333333333,7.316,10.3993
58,00-0039893,Brian Thomas Jr.,3.7302597,49.53543,0.23331548,49.77777777777778,2.6666666666666665,0.1111111111111111,6.3534,10.0837
73,00-0040705,Chimere Dike,3.1365912,38.44964,0.50192887,23.63636363636364,2.6666666666666665,0.1818181818181818,6.8565,9.9931
67,00-0040134,Pat Bryant,3.0946896,42.472668,0.44053036,30.33333333333333,3.0,0.1111111111111111,6.8904,9.9851
36,00-0037545,Rashid Shaheed,2.8575237,55.112873,0.2523124,41.23076923076923,1.0,0.1428571428571428,7.0252,9.8827
