,player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points
1,00-0036358,CeeDee Lamb,7.1782274,88.764,0.662198,110.66666666666669,7.0,0.3333333333333333,12.8496,20.0278
8,00-0036900,Ja'Marr Chase,5.724783,77.14238,0.9055144,89.85714285714286,10.666666666666666,0.7142857142857143,13.1473,18.8721
7,00-0031588,Stefon Diggs,6.4312067,78.119576,0.733587,65.14285714285714,6.666666666666667,0.0,12.2135,18.6447
0,00-0030279,Keenan Allen,5.450597,90.50657,0.25687355,62.142857142857146,6.666666666666667,0.5714285714285714,10.5919,16.0425
5,00-0039064,Zay Flowers,4.9866967,82.096565,0.4600464,70.5,6.0,0.1666666666666666,10.9699,15.9566
2,00-0038994,Jordan Addison,4.7921553,83.814156,0.42641374,94.33333333333331,6.0,0.3333333333333333,10.9399,15.7321
4,00-0039915,Ladd McConkey,5.5459523,82.3621,0.31861737,54.285714285714285,7.0,0.2857142857142857,10.1479,15.6939
10,00-0036912,DeVonta Smith,5.110864,69.4073,0.47466502,72.0,7.0,0.2857142857142857,9.7887,14.8996
3,00-0038544,Quentin Johnston,4.292388,82.41193,0.3703858,67.83333333333333,4.666666666666667,0.8333333333333334,10.4635,14.7559
13,00-0035640,DK Metcalf,4.29905,64.00692,0.6631422,67.66666666666667,4.0,0.6666666666666666,10.3795,14.6786
12,00-0037545,Rashid Shaheed,4.74199,65.353325,0.55871177,50.85714285714285,4.0,0.2857142857142857,9.8876,14.6296
16,00-0036322,Justin Jefferson,3.9947805,63.272484,0.6768393,88.0,7.333333333333333,0.1666666666666666,10.3883,14.3831
14,00-0039067,Rashee Rice,4.931562,63.912655,0.5041776,42.0,8.0,2.0,9.4163,14.3479
15,00-0037837,Calvin Austin III,4.4697328,63.86183,0.5697144,34.75,2.0,0.5,9.8045,14.2742
17,00-0035719,Deebo Samuel Sr.,5.9627285,60.045506,0.37773305,52.5,6.0,0.5,8.2709,14.2337
32,00-0037247,George Pickens,6.092402,50.0574,0.49374142,86.71428571428571,5.0,0.8571428571428571,7.9682,14.0606
9,00-0035676,A.J. Brown,4.529693,72.75323,0.3169554,56.42857142857143,5.0,0.4285714285714285,9.1771,13.7067
20,00-0037238,Drake London,5.0725484,56.2858,0.4646396,78.16666666666667,7.333333333333333,0.3333333333333333,8.4164,13.489
30,00-0037239,Chris Olave,6.0124083,50.80632,0.28974146,62.85714285714285,6.0,0.4285714285714285,6.8191,12.8315
11,00-0034348,Courtland Sutton,4.495428,67.90129,0.23469159,67.0,5.0,0.4285714285714285,8.1983,12.6937
31,00-0036554,Nico Collins,4.518689,50.743237,0.49224913,56.5,4.0,0.5,8.0278,12.5465
35,00-0039919,Rome Odunze,4.109911,48.8062,0.55624914,59.833333333333336,2.6666666666666665,0.8333333333333334,8.2181,12.328
21,00-0036252,Michael Pittman,4.236941,55.969284,0.3851982,50.142857142857146,4.666666666666667,0.7142857142857143,7.9081,12.1451
26,00-0038117,Wan'Dale Robinson,4.3193507,54.187767,0.38826132,63.71428571428572,5.666666666666667,0.2857142857142857,7.7483,12.0677
23,00-0036410,Tee Higgins,3.4224586,55.43539,0.5067915,45.142857142857146,4.666666666666667,0.4285714285714285,8.5843,12.0067
25,00-0039916,Ricky Pearsall,4.355948,54.35788,0.3271647,81.75,5.333333333333333,0.0,7.3988,11.7547
18,00-0040129,Emeka Egbuka,3.215913,59.523396,0.42064834,75.28571428571429,4.333333333333333,0.7142857142857143,8.4762,11.6921
6,00-0036613,Jaylen Waddle,3.201497,80.226776,0.037309125,57.85714285714285,4.333333333333333,0.4285714285714285,8.2465,11.448
22,00-0040124,Tetairoa McMillan,3.6837351,55.963135,0.32637227,59.0,4.0,0.2857142857142857,7.5545,11.2383
