player_id,display_name,predicted_receptions,predicted_receiving_yards,predicted_receiving_tds,receiving_yards_season_avg,receptions_season_avg,receiving_tds_season_avg,projected_std_points,projected_ppr_points,nfl ppr,Difference
00-0040129,Emeka Egbuka,4.47048,56.588028,0.30469278,62.142857142857146,3.333333333333333,0.4285714285714285,7.487,11.9574,9.51,2.4474
00-0040124,Tetairoa McMillan,4.7995887,59.717068,0.19530019,60.785714285714285,1.6666666666666667,0.4285714285714285,7.1435,11.9431,15.23,-3.2869
00-0036252,Michael Pittman,4.3687963,57.557766,0.23963632,51.785714285714285,4.333333333333333,0.5,7.1936,11.5624,11.61,-0.0476
00-0036613,Jaylen Waddle,4.0185976,52.123055,0.38774484,59.85714285714285,3.333333333333333,0.4285714285714285,7.5388,11.5574,14.99,-3.4326
00-0037247,George Pickens,4.98722,53.34886,0.20553255,86.57142857142857,4.666666666666667,0.5714285714285714,6.5681,11.5553,15.82,-4.2647
00-0037816,Romeo Doubs,4.06712,54.025867,0.2944416,41.285714285714285,2,0.3571428571428571,7.1692,11.2364,9.31,1.9264
00-0039890,Adonai Mitchell,2.5322106,63.532764,0.35447016,29.846153846153847,2.333333333333333,0.1538461538461538,8.4801,11.0123,8.88,2.1323
00-0035640,DK Metcalf,4.824498,52.952473,0.1454524,57.71428571428572,4.333333333333333,0.4285714285714285,6.168,10.9925,12.82,-1.8275
00-0039915,Ladd McConkey,4.3898616,45.24129,0.3073858,51.07142857142857,2.333333333333333,0.3571428571428571,6.3684,10.7583,14.6,-3.8417
00-0034960,Jakobi Meyers,4.853341,40.25119,0.30627614,50.5,3,0.2142857142857142,5.8628,10.7161,11.55,-0.8339
00-0037545,Rashid Shaheed,3.8195388,29.615696,0.651891,45.13333333333333,3,0.1333333333333333,6.8729,10.6925,7.19,3.5025
00-0037664,Alec Pierce,3.244745,62.858864,0.17092772,65.41666666666667,3.333333333333333,0.1666666666666666,7.3115,10.5562,11.62,-1.0638
00-0034960,Jakobi Meyers,4.853341,40.25119,0.2773091,50.5,3,0.2307692307692307,5.689,10.5423,11.55,-1.0077
00-0039890,Adonai Mitchell,2.5322106,63.532764,0.2730025,29.846153846153847,2.333333333333333,0.1428571428571428,7.9913,10.5235,8.88,1.6435
00-0037545,Rashid Shaheed,3.8195388,47.810238,0.27699828,42.3125,3,0.125,6.443,10.2626,7.19,3.0726
00-0037545,Rashid Shaheed,3.3523965,29.615696,0.651891,45.13333333333333,3.333333333333333,0.1333333333333333,6.8729,10.2253,7.19,3.0353
00-0034960,Jakobi Meyers,4.345987,40.25119,0.30627614,50.5,5,0.2142857142857142,5.8628,10.2088,11.55,-1.3412
00-0031408,Mike Evans,3.6427588,49.500668,0.26513728,54.4,3.333333333333333,0.2,6.5409,10.1836,14.59,-4.4064
00-0034960,Jakobi Meyers,4.345987,40.25119,0.2773091,50.5,5,0.2307692307692307,5.689,10.035,11.55,-1.515
00-0039146,Jayden Reed,4.0266666,51.12415,0.14196225,43.66666666666666,4,0.3333333333333333,5.9642,9.9909,8.34,1.6509
00-0033908,Cooper Kupp,3.944998,54.213936,0.096394785,39.92307692307692,3.333333333333333,0.1538461538461538,5.9998,9.9448,7.2,2.7448
00-0039916,Ricky Pearsall,3.6235642,50.12278,0.20952326,55.375,3.333333333333333,0,6.2694,9.893,10.29,-0.397
00-0037261,Khalil Shakir,3.8841157,48.737396,0.179936,44.07142857142857,2.6666666666666665,0.2857142857142857,5.9534,9.8375,11.94,-2.1025
00-0037545,Rashid Shaheed,3.3523965,47.810238,0.27699828,42.3125,3.333333333333333,0.125,6.443,9.7954,7.19,2.6054
00-0038563,Tre Tucker,3.5502725,40.15636,0.34996414,41,1.6666666666666667,0.3571428571428571,6.1154,9.6657,9.28,0.3857
00-0037614,John Metchie III,3.2873938,41.747284,0.3464388,23.22222222222222,2.6666666666666665,0.2222222222222222,6.2534,9.5408,7.37,2.1708
00-0039890,Adonai Mitchell,4.0451856,32.64182,0.35447016,27.714285714285715,5,0.1538461538461538,5.391,9.4362,8.88,0.5562
00-0036309,Darnell Mooney,3.021586,47.043705,0.27807134,30.33333333333333,2,0.083333333,6.3728,9.3944,7.36,2.0344
00-0038997,Josh Downs,3.9160488,42.208126,0.20379795,30.692307692307693,3,0.3076923076923077,5.4436,9.3596,9.22,0.1396
00-0037614,John Metchie III,3.0820673,41.747284,0.3464388,23.22222222222222,4,0.2222222222222222,6.2534,9.3354,7.37,1.9654
00-0037837,Calvin Austin III,2.9660568,48.486843,0.25009897,25.75,0.3333333333333333,0.1666666666666666,6.3493,9.3153,6.4,2.9153
00-0040705,Chimere Dike,3.658301,43.349022,0.22008762,23.153846153846157,3.333333333333333,0.2307692307692307,5.6554,9.3137,8.76,0.5537
00-0039410,Ryan Flournoy,3.2528872,38.51278,0.35882366,35.36363636363637,5.333333333333333,0.2727272727272727,6.0042,9.2571,3.28,5.9771
00-0037614,John Metchie III,3.2873938,41.747284,0.2983951,23.22222222222222,2.6666666666666665,0.2,5.9651,9.2525,7.37,1.8825
00-0040729,Jack Bech,3.1019106,37.840588,0.37871015,18.1,3.333333333333333,0,6.0563,9.1582,1.59,7.5682
00-0037614,John Metchie III,3.0820673,41.747284,0.2983951,23.22222222222222,4,0.2,5.9651,9.0472,7.37,1.6772
00-0039890,Adonai Mitchell,4.0451856,32.64182,0.2730025,27.714285714285715,5,0.1428571428571428,4.9022,8.9474,8.88,0.0674
00-0035659,Terry McLaurin,2.5145302,53.578545,0.15763454,58.42857142857143,4.333333333333333,0.4285714285714285,6.3037,8.8182,12.33,-3.5118
00-0039491,Jalen Coker,2.9327784,47.09334,0.16054235,35.5,3.6666666666666665,0.25,5.6726,8.6054,11.3,-2.6946
00-0037614,John Metchie III,3.2873938,32.24247,0.3464388,20.9,2.6666666666666665,0.2222222222222222,5.3029,8.5903,7.37,1.2203
00-0037545,Rashid Shaheed,3.8195388,29.615696,0.27699828,45.13333333333333,3,0.125,4.6236,8.4431,7.19,1.2531
00-0039342,Xavier Legette,3.1818032,45.795532,0.10501692,27.166666666666668,2,0.25,5.2097,8.3915,5.91,2.4815
00-0037614,John Metchie III,3.0820673,32.24247,0.3464388,20.9,4,0.2222222222222222,5.3029,8.3849,7.37,1.0149
00-0037614,John Metchie III,3.2873938,32.24247,0.2983951,20.9,2.6666666666666665,0.2,5.0146,8.302,7.37,0.932
00-0033921,Chris Godwin Jr.,3.2394588,37.45718,0.20593214,35.666666666666664,4,0.1666666666666666,4.9813,8.2208,11.47,-3.2492
00-0037291,Jalen Nailor,2.7473834,44.75629,0.15777652,28.214285714285715,2,0.2857142857142857,5.4223,8.1697,5.86,2.3097
00-0038606,Parker Washington,3.4248233,32.98295,0.2344087,41.66666666666666,3,0.25,4.7047,8.1296,8.46,-0.3304
00-0037614,John Metchie III,3.0820673,32.24247,0.2983951,20.9,4,0.2,5.0146,8.0967,7.37,0.7267
00-0030564,DeAndre Hopkins,2.8307467,32.41713,0.33499345,20.642857142857142,1,0.1428571428571428,5.2517,8.0824,3.98,4.1024
00-0037545,Rashid Shaheed,3.3523965,29.615696,0.27699828,45.13333333333333,3.333333333333333,0.125,4.6236,7.976,7.19,0.786
00-0039880,Malik Washington,3.6753104,41.838444,0.018009271,20.285714285714285,2.6666666666666665,0.1428571428571428,4.2919,7.9672,9.39,-1.4228
00-0039890,Adonai Mitchell,2.5322106,32.64182,0.35447016,27.714285714285715,2.333333333333333,0.1538461538461538,5.391,7.9232,8.88,-0.9568
00-0039901,Keon Coleman,3.8268776,34.16302,0.10593509,32.27272727272727,2.333333333333333,0.3636363636363636,4.0519,7.8788,4.93,2.9488
00-0040735,Luther Burden III,3.0850096,33.363434,0.22850922,36.84615384615385,4.666666666666667,0.076923077,4.7074,7.7924,7.57,0.2224
00-0032211,Tyler Lockett,1.9697411,39.78179,0.3047933,19.357142857142858,2,0,5.8069,7.7767,7.68,0.0967
00-0040170,Elic Ayomanor,2.2555606,39.740196,0.2571824,28.46153846153846,1,0.2307692307692307,5.5171,7.7727,7.37,0.4027
00-0039451,Isaiah Williams,2.910314,32.3102,0.26469624,19,2.6666666666666665,0,4.8192,7.7295,4.17,3.5595
00-0032211,Tyler Lockett,1.9150076,39.78179,0.3047933,19.357142857142858,1.6666666666666667,0,5.8069,7.7219,7.68,0.0419
00-0038608,Kayshon Boutte,2.733243,38.332733,0.18732871,42.583333333333336,2.333333333333333,0.5,4.9572,7.6905,9.62,-1.9295
00-0034827,DJ Moore,3.2969732,30.594389,0.204988,39.42857142857143,2.333333333333333,0.3571428571428571,4.2894,7.5863,9.63,-2.0437
00-0039890,Adonai Mitchell,2.5322106,32.64182,0.2730025,27.714285714285715,2.333333333333333,0.1428571428571428,4.9022,7.4344,8.88,-1.4456
00-0036415,Van Jefferson,2.5697842,39.465183,0.15174428,23.33333333333333,2,0.083333333,4.857,7.4268,6.64,0.7868
00-0039424,Devaughn Vele,2.9915197,37.33496,0.10006671,32.55555555555556,5.333333333333333,0.2222222222222222,4.3339,7.3254,10.22,-2.8946
00-0033307,Kendrick Bourne,1.8186152,22.421146,0.53090674,45.36363636363637,1,0,5.4276,7.2462,1.33,5.9162
00-0032211,Tyler Lockett,1.9697411,39.78179,0.19276246,19.357142857142858,2,0,5.1348,7.1045,7.68,-0.5755
00-0032211,Tyler Lockett,1.9150076,39.78179,0.19276246,19.357142857142858,1.6666666666666667,0,5.1348,7.0498,7.68,-0.6302
00-0040669,Isaac TeSlaa,2.2253103,26.641249,0.33255255,10.909090909090908,1.3333333333333333,0.3636363636363636,4.6594,6.8848,4.34,2.5448
00-0036550,Rashod Bateman,1.8957943,36.249516,0.22556433,19.727272727272727,1,0.1818181818181818,4.9783,6.8741,6.67,0.2041
00-0035535,Darius Slayton,2.5848818,31.12427,0.19401798,41.81818181818182,2.333333333333333,0.090909091,4.2765,6.8614,7.76,-0.8986
00-0033555,Mack Hollins,2.568417,26.131498,0.23538835,37,3,0.1538461538461538,4.0255,6.5939,7.66,-1.0661
00-0032211,Tyler Lockett,1.9697411,27.902243,0.3047933,18.066666666666663,2,0,4.619,6.5887,7.68,-1.0913
00-0032211,Tyler Lockett,1.9150076,27.902243,0.3047933,18.066666666666663,1.6666666666666667,0,4.619,6.534,7.68,-1.146
00-0038994,Jordan Addison,3.1023624,31.598473,0.04116996,52.36363636363637,3.6666666666666665,0.2727272727272727,3.4069,6.5092,9.15,-2.6408
00-0035662,Marquise Brown,2.526075,23.344229,0.26147825,38,1.3333333333333333,0.3846153846153846,3.9033,6.4294,5.24,1.1894
00-0036407,Jerry Jeudy,2.6488085,26.3045,0.16083682,37.07142857142857,2.6666666666666665,0.1428571428571428,3.5955,6.2443,8.23,-1.9857
00-0036988,Josh Palmer,2.5617998,25.338335,0.18996263,32,1.6666666666666667,0,3.6736,6.2354,3.94,2.2954
00-0038544,Quentin Johnston,2.5716212,32.944588,0.02773168,48.45454545454545,1.6666666666666667,0.6363636363636364,3.4608,6.0325,12.25,-6.2175
00-0032211,Tyler Lockett,1.9697411,27.902243,0.19276246,18.066666666666663,2,0,3.9468,5.9165,7.68,-1.7635
00-0030035,Adam Thielen,2.0190992,27.743317,0.18402807,6.461538461538462,0.6666666666666666,0,3.8785,5.8976,3.14,2.7576
00-0032211,Tyler Lockett,1.9150076,27.902243,0.19276246,18.066666666666663,1.6666666666666667,0,3.9468,5.8618,7.68,-1.8182
00-0030035,Adam Thielen,2.0190992,27.743317,0.17164099,6.461538461538462,0.6666666666666666,0,3.8042,5.8233,3.14,2.6833
00-0030035,Adam Thielen,2.0190992,25.548944,0.18402807,7,0.6666666666666666,0,3.6591,5.6782,3.14,2.5382
00-0040130,Jayden Higgins,2.0939968,30.944536,0.08102593,28.357142857142858,3,0.2857142857142857,3.5806,5.6746,9.2,-3.5254
00-0030035,Adam Thielen,1.7787075,27.743317,0.18402807,6.461538461538462,1,0,3.8785,5.6572,3.14,2.5172
00-0030035,Adam Thielen,2.0190992,25.548944,0.17164099,7,0.6666666666666666,0,3.5847,5.6038,3.14,2.4638
00-0030035,Adam Thielen,1.7787075,27.743317,0.17164099,6.461538461538462,1,0,3.8042,5.5829,3.14,2.4429
00-0030035,Adam Thielen,1.7787075,25.548944,0.18402807,7,1,0,3.6591,5.4378,3.14,2.2978
00-0040590,Konata Mumpfield,2.8833544,18.51052,0.11087208,7,1,0.1666666666666666,2.5163,5.3996,3.59,1.8096
00-0030035,Adam Thielen,1.7787075,25.548944,0.17164099,7,1,0,3.5847,5.3634,3.14,2.2234
00-0036165,Isaiah Hodgins,2.2152724,22.226055,0.11256575,26.75,1.3333333333333333,0.25,2.898,5.1133,7.36,-2.2467
00-0040782,Isaiah Bond,1.8388244,22.9575,0.1310592,24,1,0,3.0821,4.9209,7.73,-2.8091
00-0038619,Andrei Iosivas,2.0065796,14.457423,0.21946326,30.25,1,0.1666666666666666,2.7625,4.7691,5.9,-1.1309
00-0038979,Cedric Tillman,2.0338705,22.99863,0.04597832,21.88888888888889,0.6666666666666666,0.2222222222222222,2.5757,4.6096,1.5,3.1096
00-0033591,Noah Brown,1.7235258,25.871021,0.027088175,20.75,1,0,2.7496,4.4732,5.3,-0.8268
00-0039623,Mason Tipton,1.0455766,21.270313,0.18115102,9.4,2.333333333333333,0,3.2139,4.2595,3.75,0.5095
00-0037741,Jahan Dotson,1.1996671,18.780142,0.15497696,19,0.6666666666666666,0.090909091,2.8079,4.0075,3.94,0.0675
00-0039521,Xavier Weaver,1.3929154,21.771507,0.060307745,6,1,0,2.539,3.9319,1.05,2.8819
00-0038618,Xavier Hutchinson,2.2386858,17.010431,-0.018218184,26.58333333333333,1,0.25,1.5917,3.8304,2.86,0.9704
00-0035359,David Sills,1.4459821,20.309591,0.034826465,15.88888888888889,2.6666666666666665,0.2222222222222222,2.2399,3.6859,3.03,0.6559
00-0036182,Nick Westbrook-Ikhine,0.8982285,12.067955,0.17533112,9.888888889,1,0,2.2588,3.157,5.33,-2.173
