defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,DAL,3,100.0,183.0,4.0,,
ARI,DET,1,83.0,292.0,5.0,2.0,1.0
ARI,HOU,11,134.0,230.0,4.0,5.0,2.0
ARI,IND,2,76.0,216.0,1.0,4.0,1.0
ARI,JAX,12,91.0,160.0,2.0,4.0,3.0
ARI,LA,7,198.0,235.0,3.0,1.0,1.0
ARI,LA,13,90.0,220.0,2.0,2.0,1.0
ARI,NYG,16,43.0,263.0,1.0,4.0,3.0
ARI,PHI,5,124.0,304.0,4.0,1.0,1.0
ARI,SEA,10,76.0,238.0,2.0,1.0,
ARI,SEA,17,101.0,221.0,2.0,2.0,
ARI,SF,4,95.0,234.0,,2.0,1.0
ARI,SF,9,63.0,294.0,1.0,2.0,2.0
ARI,TB,6,70.0,351.0,4.0,2.0,2.0
ARI,TEN,14,65.0,159.0,1.0,2.0,2.0
ARI,WAS,15,32.0,196.0,2.0,1.0,1.0
ATL,BUF,4,119.0,182.0,1.0,1.0,
ATL,CAR,9,201.0,137.0,2.0,3.0,2.0
ATL,CAR,17,87.0,180.0,1.0,5.0,3.0
ATL,CHI,1,125.0,213.0,2.0,2.0,
ATL,DAL,10,107.0,176.0,1.0,2.0,2.0
ATL,DET,3,71.0,264.0,1.0,,
ATL,GB,2,60.0,343.0,4.0,2.0,2.0
ATL,LA,18,115.0,259.0,1.0,1.0,1.0
ATL,MIA,6,139.0,151.0,2.0,1.0,1.0
ATL,MIN,13,108.0,227.0,2.0,,
ATL,NE,7,165.0,249.0,2.0,1.0,
ATL,NO,14,50.0,271.0,2.0,1.0,1.0
ATL,NO,16,90.0,239.0,2.0,2.0,1.0
ATL,NYJ,8,43.0,257.0,2.0,3.0,
ATL,PHI,19,99.0,246.0,1.0,3.0,1.0
ATL,SEA,11,136.0,254.0,4.0,2.0,2.0
ATL,TB,12,94.0,283.0,2.0,,
ATL,TB,15,84.0,299.0,3.0,2.0,1.0
BAL,CHI,6,232.0,134.0,2.0,4.0,2.0
BAL,CIN,1,77.0,170.0,,6.0,5.0
BAL,CIN,17,148.0,222.0,3.0,1.0,1.0
BAL,CLE,2,93.0,300.0,1.0,5.0,5.0
BAL,CLE,15,130.0,146.0,2.0,4.0,4.0
BAL,DET,13,78.0,316.0,4.0,5.0,3.0
BAL,GB,11,75.0,239.0,,6.0,5.0
BAL,HOU,12,66.0,252.0,1.0,3.0,3.0
BAL,IND,16,93.0,215.0,1.0,1.0,
BAL,JAX,3,169.0,244.0,5.0,,
BAL,LV,5,108.0,159.0,3.0,1.0,1.0
BAL,MIA,8,45.0,176.0,2.0,2.0,2.0
BAL,MIN,7,169.0,188.0,1.0,1.0,1.0
BAL,PIT,4,174.0,216.0,3.0,3.0,1.0
BAL,PIT,14,59.0,506.0,4.0,1.0,
BAL,TEN,9,72.0,218.0,3.0,1.0,1.0
BUF,ATL,4,147.0,242.0,3.0,5.0,3.0
BUF,CAR,2,78.0,228.0,,1.0,
BUF,CIN,5,69.0,328.0,2.0,3.0,3.0
BUF,DEN,3,111.0,259.0,1.0,3.0,2.0
BUF,IND,14,164.0,69.0,1.0,,
BUF,JAX,18,156.0,87.0,1.0,2.0,
BUF,KC,12,56.0,199.0,1.0,2.0,1.0
BUF,LAC,11,149.0,284.0,4.0,1.0,
BUF,LV,8,54.0,313.0,3.0,5.0,3.0
BUF,MIA,15,100.0,274.0,1.0,7.0,3.0
BUF,MIA,17,93.0,271.0,2.0,2.0,1.0
BUF,NE,13,193.0,258.0,2.0,1.0,1.0
BUF,NE,16,194.0,224.0,5.0,1.0,1.0
BUF,NO,10,301.0,184.0,6.0,1.0,1.0
BUF,NYJ,1,39.0,187.0,1.0,2.0,2.0
BUF,NYJ,9,197.0,140.0,4.0,,
BUF,TB,7,69.0,384.0,3.0,6.0,3.0
CAR,ATL,9,54.0,313.0,2.0,2.0,1.0
CAR,ATL,17,61.0,317.0,1.0,1.0,
CAR,BUF,2,69.0,125.0,,1.0,
CAR,CHI,7,73.0,107.0,,,
CAR,DET,5,50.0,229.0,3.0,2.0,1.0
CAR,GB,15,120.0,290.0,3.0,4.0,4.0
CAR,MIA,10,101.0,213.0,3.0,1.0,1.0
