defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,BUF,1,131.0,232.0,4.0,1.0,1.0
ARI,CAR,16,244.0,158.0,5.0,,
ARI,CHI,9,70.0,217.0,,1.0,
ARI,DET,3,189.0,199.0,3.0,1.0,1.0
ARI,GB,6,181.0,258.0,4.0,1.0,1.0
ARI,LA,2,53.0,216.0,1.0,1.0,1.0
ARI,LA,17,69.0,189.0,1.0,,
ARI,LAC,7,59.0,349.0,,2.0,1.0
ARI,MIA,8,150.0,234.0,3.0,4.0,
ARI,MIN,13,69.0,235.0,2.0,2.0,1.0
ARI,NE,15,116.0,202.0,2.0,4.0,1.0
ARI,NYJ,10,79.0,151.0,,1.0,1.0
ARI,SEA,12,67.0,254.0,1.0,2.0,1.0
ARI,SEA,14,176.0,233.0,3.0,1.0,
ARI,SF,5,153.0,244.0,1.0,3.0,3.0
ARI,SF,18,139.0,326.0,3.0,6.0,3.0
ARI,WAS,4,216.0,233.0,5.0,1.0,1.0
ATL,CAR,6,114.0,221.0,2.0,4.0,2.0
ATL,CAR,18,156.0,270.0,6.0,1.0,
ATL,DAL,9,137.0,248.0,2.0,1.0,
ATL,DEN,11,105.0,307.0,5.0,1.0,
ATL,KC,3,141.0,217.0,2.0,1.0,1.0
ATL,LAC,13,59.0,150.0,,2.0,1.0
ATL,LV,15,65.0,208.0,1.0,3.0,3.0
ATL,MIN,14,118.0,347.0,6.0,,
ATL,NO,4,131.0,239.0,4.0,1.0,1.0
ATL,NO,10,97.0,269.0,2.0,1.0,
ATL,NYG,16,45.0,210.0,3.0,3.0,3.0
ATL,PHI,2,187.0,183.0,2.0,1.0,1.0
ATL,PIT,1,137.0,156.0,,1.0,
ATL,SEA,7,103.0,242.0,3.0,1.0,
ATL,TB,5,161.0,180.0,3.0,2.0,1.0
ATL,TB,8,103.0,330.0,3.0,4.0,3.0
ATL,WAS,17,217.0,227.0,4.0,1.0,1.0
BAL,BUF,4,81.0,182.0,1.0,1.0,1.0
BAL,BUF,20,149.0,127.0,3.0,,
BAL,CIN,5,71.0,392.0,5.0,1.0,1.0
BAL,CIN,10,49.0,428.0,5.0,3.0,1.0
BAL,CLE,8,80.0,334.0,3.0,1.0,1.0
BAL,CLE,18,57.0,183.0,2.0,2.0,2.0
BAL,DAL,3,51.0,379.0,3.0,2.0,1.0
BAL,DEN,9,123.0,225.0,1.0,1.0,1.0
BAL,HOU,17,58.0,190.0,,2.0,1.0
BAL,KC,1,73.0,291.0,3.0,1.0,1.0
BAL,LAC,12,83.0,218.0,2.0,1.0,
BAL,LV,2,28.0,276.0,2.0,2.0,1.0
BAL,NYG,15,56.0,191.0,2.0,1.0,1.0
BAL,PHI,13,142.0,118.0,3.0,3.0,
BAL,PIT,11,124.0,205.0,,1.0,1.0
BAL,PIT,16,117.0,217.0,3.0,5.0,2.0
BAL,PIT,19,30.0,270.0,2.0,1.0,
BAL,TB,7,126.0,370.0,4.0,3.0,2.0
BAL,WAS,6,52.0,269.0,2.0,,
BUF,ARI,1,125.0,162.0,2.0,1.0,1.0
BUF,BAL,4,271.0,157.0,5.0,3.0,1.0
BUF,BAL,20,177.0,254.0,3.0,4.0,3.0
BUF,DEN,19,79.0,159.0,1.0,,
BUF,DET,15,48.0,494.0,6.0,2.0,1.0
BUF,HOU,5,94.0,331.0,2.0,2.0,2.0
BUF,IND,10,121.0,272.0,3.0,5.0,4.0
BUF,JAX,3,92.0,200.0,1.0,2.0,2.0
BUF,KC,11,78.0,196.0,3.0,2.0,2.0
BUF,KC,21,138.0,245.0,4.0,1.0,1.0
BUF,LA,14,137.0,320.0,5.0,,
BUF,MIA,2,139.0,225.0,2.0,3.0,3.0
BUF,MIA,9,150.0,231.0,3.0,1.0,1.0
BUF,NE,16,126.0,261.0,4.0,5.0,3.0
BUF,NE,18,80.0,241.0,2.0,1.0,1.0
BUF,NYJ,6,121.0,294.0,2.0,2.0,1.0
BUF,NYJ,17,112.0,195.0,2.0,4.0,3.0
BUF,SEA,8,33.0,212.0,1.0,3.0,1.0
BUF,SF,13,153.0,94.0,1.0,3.0,3.0
BUF,TEN,7,89.0,215.0,1.0,5.0,2.0
CAR,ARI,16,206.0,202.0,3.0,2.0,2.0
CAR,ATL,6,203.0,225.0,4.0,1.0,1.0
CAR,ATL,18,227.0,312.0,5.0,1.0,1.0
CAR,CHI,5,132.0,304.0,5.0,,
CAR,CIN,4,141.0,232.0,4.0,1.0,1.0
CAR,DAL,15,212.0,214.0,3.0,2.0,1.0
CAR,DEN,8,104.0,315.0,4.0,2.0,2.0
CAR,KC,12,165.0,269.0,3.0,1.0,
CAR,LAC,2,223.0,130.0,3.0,2.0,2.0
CAR,LV,3,55.0,296.0,3.0,1.0,1.0
CAR,NO,1,180.0,200.0,5.0,,
CAR,NO,9,197.0,236.0,2.0,,
CAR,NYG,10,168.0,190.0,2.0,5.0,3.0
CAR,PHI,14,210.0,108.0,3.0,1.0,
CAR,TB,13,238.0,240.0,2.0,4.0,2.0
CAR,TB,17,204.0,359.0,5.0,,
CAR,WAS,7,216.0,211.0,3.0,1.0,
CHI,ARI,9,213.0,154.0,3.0,2.0,2.0
CHI,CAR,5,120.0,194.0,1.0,5.0,3.0
CHI,DET,13,194.0,221.0,2.0,1.0,1.0
CHI,DET,16,147.0,336.0,4.0,,
CHI,GB,11,107.0,261.0,3.0,1.0,1.0
CHI,GB,18,183.0,205.0,2.0,3.0,2.0
CHI,HOU,2,76.0,260.0,1.0,1.0,1.0
CHI,IND,3,154.0,167.0,3.0,2.0,2.0
CHI,JAX,6,69.0,240.0,2.0,3.0,2.0
CHI,LA,4,120.0,224.0,1.0,2.0,2.0
CHI,MIN,12,124.0,344.0,3.0,2.0,2.0
CHI,MIN,15,114.0,231.0,3.0,1.0,1.0
CHI,NE,10,145.0,184.0,1.0,2.0,1.0
CHI,SEA,17,123.0,160.0,,3.0,1.0
CHI,SF,14,132.0,325.0,5.0,1.0,1.0
CHI,TEN,1,140.0,127.0,3.0,3.0,3.0
CHI,WAS,8,168.0,326.0,1.0,,
CIN,BAL,5,176.0,348.0,5.0,2.0,1.0
CIN,BAL,10,100.0,290.0,5.0,,
CIN,CAR,4,156.0,220.0,3.0,1.0,1.0
CIN,CLE,7,79.0,277.0,2.0,3.0,2.0
CIN,CLE,16,148.0,157.0,1.0,4.0,3.0
CIN,DAL,14,156.0,183.0,2.0,1.0,1.0
CIN,DEN,17,123.0,219.0,3.0,3.0,1.0
CIN,KC,2,149.0,151.0,2.0,3.0,3.0
CIN,LAC,11,155.0,297.0,4.0,1.0,1.0
CIN,LV,9,60.0,198.0,2.0,2.0,2.0
CIN,NE,1,172.0,121.0,1.0,2.0,1.0
CIN,NYG,6,120.0,205.0,1.0,1.0,1.0
CIN,PHI,8,161.0,236.0,4.0,,
CIN,PIT,13,112.0,414.0,5.0,1.0,1.0
CIN,PIT,18,74.0,148.0,2.0,2.0,1.0
CIN,TEN,15,83.0,298.0,5.0,6.0,6.0
CIN,WAS,3,110.0,254.0,5.0,1.0,
CLE,BAL,8,124.0,289.0,3.0,,
CLE,BAL,18,220.0,217.0,4.0,,
CLE,CIN,7,62.0,181.0,2.0,,
CLE,CIN,16,117.0,252.0,3.0,1.0,1.0
CLE,DAL,1,103.0,179.0,2.0,1.0,
CLE,DEN,13,108.0,294.0,3.0,2.0,2.0
CLE,JAX,2,127.0,220.0,1.0,1.0,
CLE,KC,15,134.0,179.0,3.0,1.0,1.0
CLE,LAC,9,98.0,282.0,4.0,,
CLE,LV,4,154.0,130.0,3.0,1.0,1.0
CLE,MIA,17,75.0,225.0,2.0,1.0,
CLE,NO,11,216.0,266.0,5.0,3.0,2.0
CLE,NYG,3,116.0,236.0,3.0,3.0,2.0
CLE,PHI,6,120.0,264.0,2.0,1.0,
CLE,PIT,12,120.0,270.0,2.0,2.0,1.0
CLE,PIT,14,122.0,158.0,3.0,2.0,2.0
CLE,WAS,5,215.0,236.0,4.0,3.0,2.0
DAL,ATL,9,111.0,222.0,4.0,3.0,1.0
DAL,BAL,3,276.0,182.0,4.0,,
DAL,CAR,15,60.0,219.0,2.0,4.0,4.0
DAL,CIN,14,76.0,369.0,3.0,3.0,2.0
DAL,CLE,1,93.0,169.0,2.0,3.0,2.0
DAL,DET,6,186.0,334.0,5.0,1.0,
DAL,HOU,11,141.0,257.0,3.0,1.0,1.0
DAL,NO,2,193.0,243.0,6.0,1.0,1.0
DAL,NYG,4,27.0,281.0,,2.0,1.0
DAL,NYG,13,116.0,178.0,3.0,4.0,2.0
DAL,PHI,10,188.0,207.0,4.0,2.0,2.0
DAL,PHI,17,181.0,197.0,4.0,,
DAL,PIT,5,92.0,150.0,2.0,2.0,1.0
DAL,SF,8,224.0,260.0,3.0,1.0,
DAL,TB,16,134.0,303.0,3.0,4.0,2.0
DAL,WAS,12,145.0,275.0,3.0,4.0,3.0
DAL,WAS,18,114.0,199.0,3.0,,
DEN,ATL,11,50.0,197.0,,2.0,1.0
DEN,BAL,9,128.0,280.0,5.0,2.0,
DEN,BUF,19,213.0,272.0,3.0,,
DEN,CAR,8,69.0,224.0,2.0,2.0,2.0
DEN,CIN,17,116.0,412.0,4.0,1.0,1.0
DEN,CLE,13,77.0,497.0,6.0,3.0,3.0
DEN,IND,15,149.0,172.0,2.0,5.0,5.0
DEN,KC,10,57.0,266.0,1.0,,
DEN,KC,18,27.0,98.0,,2.0,
DEN,LAC,6,131.0,237.0,2.0,1.0,
DEN,LAC,16,134.0,284.0,4.0,2.0,1.0
DEN,LV,5,115.0,231.0,3.0,3.0,3.0
DEN,LV,12,69.0,328.0,1.0,3.0,2.0
DEN,NO,7,98.0,210.0,2.0,2.0,2.0
DEN,NYJ,4,64.0,225.0,,1.0,1.0
DEN,PIT,2,141.0,117.0,1.0,1.0,
DEN,SEA,1,150.0,171.0,3.0,1.0,1.0
DEN,TB,3,91.0,163.0,1.0,2.0,2.0
DET,ARI,3,77.0,207.0,1.0,1.0,1.0
DET,BUF,15,198.0,362.0,6.0,,
DET,CHI,13,78.0,256.0,3.0,1.0,
