defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,BUF,10,73.0,296.0,3.0,3.0,2.0
ARI,CAR,4,171.0,276.0,4.0,1.0,1.0
ARI,DAL,6,97.0,266.0,1.0,4.0,4.0
ARI,DET,3,90.0,270.0,2.0,,
ARI,LA,13,121.0,351.0,4.0,,
ARI,LA,17,110.0,231.0,,2.0,2.0
ARI,MIA,9,93.0,248.0,3.0,,
ARI,NE,12,110.0,84.0,2.0,2.0,2.0
ARI,NYG,14,78.0,145.0,1.0,5.0,3.0
ARI,NYJ,5,123.0,195.0,1.0,1.0,
ARI,PHI,15,117.0,338.0,4.0,3.0,
ARI,SEA,7,200.0,388.0,4.0,3.0,3.0
ARI,SEA,11,166.0,197.0,3.0,2.0,
ARI,SF,1,123.0,259.0,2.0,,
ARI,SF,16,228.0,182.0,3.0,1.0,1.0
ARI,WAS,2,117.0,223.0,2.0,1.0,1.0
ATL,CAR,5,125.0,313.0,2.0,,
ATL,CAR,8,147.0,179.0,2.0,1.0,1.0
ATL,CHI,3,133.0,316.0,4.0,3.0,2.0
ATL,DAL,2,125.0,450.0,5.0,4.0,3.0
ATL,DEN,9,103.0,313.0,3.0,3.0,1.0
ATL,DET,7,64.0,340.0,2.0,,
ATL,GB,4,89.0,327.0,4.0,,
ATL,KC,16,118.0,278.0,2.0,2.0,2.0
ATL,LAC,14,105.0,243.0,2.0,3.0,1.0
ATL,LV,12,40.0,240.0,1.0,6.0,5.0
ATL,MIN,6,32.0,343.0,3.0,3.0,3.0
ATL,NO,11,166.0,233.0,3.0,1.0,1.0
ATL,NO,13,207.0,232.0,3.0,3.0,1.0
ATL,SEA,1,85.0,322.0,5.0,1.0,
ATL,TB,15,53.0,390.0,4.0,1.0,
ATL,TB,17,95.0,399.0,5.0,1.0,1.0
BAL,BUF,19,37.0,206.0,1.0,1.0,
BAL,CIN,5,70.0,183.0,1.0,4.0,3.0
BAL,CIN,17,147.0,48.0,,2.0,2.0
BAL,CLE,1,139.0,189.0,1.0,4.0,3.0
BAL,CLE,14,138.0,355.0,6.0,5.0,1.0
BAL,DAL,13,111.0,285.0,2.0,1.0,1.0
BAL,HOU,2,51.0,275.0,2.0,2.0,2.0
BAL,IND,9,112.0,227.0,2.0,2.0,2.0
BAL,JAX,15,62.0,226.0,2.0,2.0,1.0
BAL,KC,3,132.0,385.0,5.0,1.0,1.0
BAL,NE,10,175.0,142.0,3.0,,
BAL,NYG,16,54.0,252.0,1.0,,
BAL,PHI,6,194.0,213.0,4.0,3.0,1.0
BAL,PIT,8,48.0,182.0,3.0,3.0,1.0
BAL,PIT,12,69.0,266.0,1.0,3.0,1.0
BAL,TEN,11,174.0,266.0,3.0,4.0,1.0
BAL,TEN,18,51.0,165.0,1.0,1.0,1.0
BAL,WAS,4,69.0,314.0,2.0,1.0,1.0
BUF,ARI,10,217.0,245.0,3.0,2.0,2.0
BUF,BAL,19,150.0,222.0,1.0,6.0,1.0
BUF,DEN,15,140.0,132.0,4.0,2.0,2.0
BUF,IND,18,164.0,309.0,3.0,1.0,
BUF,KC,6,247.0,225.0,3.0,2.0,1.0
BUF,KC,20,118.0,325.0,5.0,,
BUF,LA,3,167.0,321.0,4.0,2.0,2.0
BUF,LAC,12,76.0,316.0,2.0,3.0,1.0
BUF,LV,4,86.0,311.0,2.0,2.0,2.0
BUF,MIA,2,99.0,328.0,3.0,1.0,
BUF,MIA,17,70.0,393.0,4.0,4.0,4.0
BUF,NE,8,188.0,174.0,2.0,1.0,1.0
BUF,NE,16,145.0,78.0,1.0,,
BUF,NYJ,1,52.0,215.0,2.0,2.0,2.0
BUF,NYJ,7,100.0,120.0,1.0,3.0,2.0
BUF,PIT,14,47.0,187.0,3.0,4.0,2.0
BUF,SEA,9,57.0,390.0,4.0,4.0,4.0
BUF,SF,13,86.0,316.0,3.0,2.0,2.0
BUF,TEN,5,139.0,195.0,6.0,,
CAR,ARI,4,129.0,133.0,3.0,1.0,1.0
CAR,ATL,5,167.0,226.0,1.0,2.0,1.0
CAR,ATL,8,133.0,281.0,2.0,1.0,1.0
CAR,CHI,6,67.0,198.0,2.0,1.0,1.0
CAR,DEN,14,102.0,280.0,4.0,2.0,1.0
CAR,DET,11,41.0,178.0,,1.0,1.0
CAR,GB,15,196.0,143.0,3.0,,
CAR,KC,9,36.0,372.0,4.0,1.0,1.0
CAR,LAC,3,117.0,330.0,2.0,5.0,4.0
CAR,LV,1,133.0,239.0,4.0,1.0,
CAR,MIN,12,97.0,307.0,5.0,2.0,2.0
CAR,NO,7,139.0,287.0,3.0,1.0,1.0
CAR,NO,17,157.0,201.0,4.0,1.0,
CAR,TB,2,122.0,217.0,4.0,3.0,2.0
CAR,TB,10,210.0,341.0,5.0,1.0,1.0
CAR,WAS,16,108.0,291.0,1.0,3.0,3.0
CHI,ATL,3,145.0,238.0,3.0,2.0,1.0
CHI,CAR,6,112.0,216.0,1.0,4.0,3.0
CHI,DET,1,138.0,297.0,2.0,1.0,1.0
CHI,DET,13,61.0,402.0,5.0,1.0,1.0
CHI,GB,12,182.0,211.0,5.0,,
CHI,GB,17,79.0,240.0,5.0,,
CHI,HOU,14,109.0,219.0,1.0,1.0,1.0
CHI,IND,4,107.0,190.0,1.0,,
CHI,JAX,16,76.0,211.0,2.0,3.0,2.0
CHI,LA,7,162.0,220.0,4.0,2.0,1.0
CHI,MIN,10,100.0,292.0,2.0,4.0,3.0
CHI,MIN,15,158.0,271.0,3.0,2.0,1.0
CHI,NO,8,123.0,280.0,2.0,3.0,
CHI,NO,18,123.0,265.0,3.0,2.0,1.0
CHI,NYG,2,75.0,241.0,1.0,2.0,2.0
CHI,TB,5,107.0,253.0,1.0,2.0,1.0
CHI,TEN,9,94.0,158.0,2.0,,
CIN,BAL,5,162.0,180.0,2.0,1.0,1.0
CIN,BAL,17,404.0,121.0,5.0,1.0,1.0
CIN,CLE,2,218.0,219.0,5.0,1.0,1.0
CIN,CLE,7,83.0,316.0,5.0,1.0,1.0
CIN,DAL,14,102.0,185.0,2.0,,
CIN,HOU,16,166.0,324.0,4.0,4.0,1.0
CIN,IND,6,60.0,371.0,4.0,2.0,2.0
CIN,JAX,4,89.0,351.0,2.0,1.0,1.0
CIN,LAC,1,156.0,208.0,1.0,,
CIN,MIA,13,112.0,296.0,1.0,1.0,1.0
CIN,NYG,12,144.0,244.0,1.0,1.0,1.0
CIN,PHI,3,172.0,225.0,2.0,4.0,2.0
CIN,PIT,10,44.0,333.0,4.0,1.0,1.0
CIN,PIT,15,87.0,170.0,2.0,4.0,3.0
CIN,TEN,8,218.0,233.0,3.0,1.0,1.0
