defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
CHI,MIN,15,129.0,231.0,5.0,1.0,
CHI,SEA,3,161.0,235.0,1.0,,
CHI,SF,13,121.0,196.0,3.0,,
CHI,TB,16,105.0,295.0,3.0,4.0,3.0
CHI,WAS,14,100.0,300.0,3.0,2.0,1.0
CIN,ARI,11,83.0,317.0,4.0,4.0,2.0
CIN,BAL,3,36.0,362.0,2.0,2.0,1.0
CIN,BAL,17,59.0,292.0,1.0,2.0,2.0
CIN,BUF,6,112.0,263.0,3.0,1.0,1.0
CIN,CLE,9,69.0,168.0,1.0,,
CIN,CLE,13,68.0,230.0,,2.0,2.0
CIN,DEN,16,113.0,299.0,2.0,1.0,1.0
CIN,HOU,10,84.0,192.0,1.0,2.0,1.0
CIN,KC,4,113.0,386.0,,1.0,1.0
CIN,LA,12,94.0,259.0,2.0,3.0,3.0
CIN,LAC,2,131.0,241.0,2.0,2.0,2.0
CIN,LV,1,63.0,203.0,2.0,3.0,2.0
CIN,PIT,8,116.0,262.0,1.0,3.0,3.0
CIN,PIT,14,85.0,282.0,2.0,1.0,1.0
CIN,PIT,18,167.0,240.0,1.0,3.0,2.0
CIN,SEA,5,200.0,213.0,2.0,1.0,1.0
CIN,SF,15,55.0,295.0,2.0,4.0,4.0
CLE,ARI,8,121.0,374.0,4.0,5.0,4.0
CLE,BAL,5,181.0,210.0,4.0,,
CLE,BAL,12,104.0,232.0,3.0,2.0,2.0
CLE,CIN,9,155.0,234.0,4.0,,
CLE,CIN,13,144.0,239.0,4.0,,
CLE,DEN,6,152.0,290.0,2.0,3.0,3.0
CLE,KC,16,136.0,125.0,2.0,2.0,1.0
CLE,LA,7,160.0,163.0,2.0,1.0,1.0
CLE,LAC,4,91.0,358.0,3.0,,
CLE,LV,3,156.0,314.0,3.0,2.0,2.0
CLE,NYJ,1,155.0,179.0,4.0,2.0,1.0
CLE,PIT,10,62.0,402.0,3.0,3.0,2.0
CLE,PIT,17,32.0,349.0,3.0,3.0,3.0
CLE,SEA,15,183.0,249.0,3.0,,
CLE,SF,14,71.0,194.0,1.0,2.0,
CLE,TEN,2,166.0,257.0,2.0,4.0,3.0
DAL,ATL,3,159.0,285.0,5.0,,
DAL,BUF,16,239.0,179.0,2.0,2.0,2.0
DAL,CAR,12,130.0,183.0,1.0,1.0,
DAL,GB,14,233.0,218.0,4.0,,
DAL,MIA,11,70.0,188.0,3.0,2.0,1.0
