defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,ATL,12,118.0,269.0,5.0,1.0,1.0
ARI,BUF,3,211.0,119.0,3.0,4.0,1.0
ARI,CAR,8,141.0,212.0,2.0,1.0,1.0
ARI,LA,4,42.0,266.0,2.0,1.0,1.0
ARI,LA,17,52.0,143.0,1.0,7.0,3.0
ARI,MIA,14,83.0,242.0,3.0,5.0,2.0
ARI,MIN,11,73.0,169.0,2.0,1.0,1.0
ARI,NE,1,107.0,264.0,2.0,3.0,2.0
ARI,NO,15,132.0,389.0,7.0,1.0,1.0
ARI,NYJ,6,33.0,205.0,,3.0,2.0
ARI,SEA,7,52.0,225.0,,2.0,
ARI,SEA,16,78.0,350.0,4.0,1.0,1.0
ARI,SF,5,151.0,162.0,3.0,4.0,3.0
ARI,SF,10,83.0,210.0,2.0,,
ARI,TB,2,86.0,243.0,2.0,5.0,5.0
ARI,WAS,13,88.0,271.0,2.0,3.0,2.0
ATL,ARI,12,58.0,289.0,2.0,2.0,1.0
ATL,CAR,4,49.0,337.0,4.0,2.0,2.0
ATL,CAR,16,120.0,198.0,1.0,2.0,2.0
ATL,DEN,5,84.0,223.0,1.0,4.0,1.0
ATL,GB,8,108.0,246.0,4.0,1.0,
ATL,GB,20,99.0,287.0,3.0,2.0,2.0
ATL,KC,13,126.0,270.0,3.0,1.0,1.0
ATL,LA,14,104.0,235.0,4.0,5.0,5.0
ATL,LAC,7,80.0,371.0,4.0,2.0,2.0
ATL,LV,2,155.0,299.0,4.0,1.0,
ATL,NE,21,104.0,466.0,5.0,2.0,2.0
ATL,NO,3,115.0,376.0,5.0,1.0,1.0
ATL,NO,17,132.0,350.0,4.0,2.0,1.0
ATL,PHI,10,211.0,231.0,2.0,2.0,1.0
ATL,SEA,6,76.0,270.0,3.0,3.0,
ATL,SEA,19,101.0,225.0,2.0,2.0,2.0
ATL,SF,15,107.0,183.0,2.0,1.0,1.0
ATL,TB,1,94.0,281.0,4.0,1.0,1.0
ATL,TB,9,70.0,336.0,4.0,2.0,2.0
BAL,BUF,1,65.0,111.0,1.0,,
BAL,CIN,12,64.0,283.0,1.0,5.0,2.0
BAL,CIN,17,155.0,226.0,3.0,,
BAL,CLE,2,145.0,260.0,3.0,4.0,2.0
BAL,CLE,10,33.0,150.0,1.0,4.0,3.0
BAL,DAL,11,118.0,301.0,3.0,1.0,
BAL,JAX,3,48.0,194.0,2.0,4.0,4.0
BAL,LV,4,64.0,199.0,4.0,1.0,1.0
BAL,MIA,13,62.0,226.0,1.0,4.0,3.0
BAL,NE,14,96.0,406.0,4.0,2.0,2.0
BAL,NYG,6,38.0,403.0,3.0,3.0,3.0
BAL,NYJ,7,156.0,215.0,4.0,4.0,2.0
BAL,PHI,15,170.0,170.0,2.0,4.0,1.0
BAL,PIT,9,37.0,264.0,2.0,3.0,1.0
BAL,PIT,16,128.0,279.0,4.0,2.0,2.0
BAL,WAS,5,61.0,260.0,1.0,3.0,2.0
BUF,ARI,3,88.0,287.0,3.0,7.0,5.0
BUF,BAL,1,86.0,258.0,1.0,1.0,1.0
BUF,CIN,11,93.0,207.0,2.0,3.0,2.0
BUF,CLE,15,107.0,196.0,1.0,2.0,
BUF,JAX,12,184.0,126.0,3.0,,
BUF,LA,5,102.0,271.0,2.0,4.0,3.0
BUF,LV,13,139.0,260.0,4.0,,
BUF,MIA,7,257.0,204.0,3.0,,
BUF,MIA,16,262.0,233.0,4.0,1.0,1.0
BUF,NE,4,90.0,205.0,,3.0,1.0
BUF,NE,8,73.0,315.0,5.0,1.0,
BUF,NYJ,2,124.0,374.0,5.0,2.0,1.0
BUF,NYJ,17,127.0,210.0,2.0,1.0,
BUF,PIT,14,242.0,220.0,3.0,3.0,3.0
BUF,SEA,9,34.0,282.0,4.0,,
BUF,SF,6,134.0,187.0,1.0,2.0,1.0
CAR,ARI,8,24.0,363.0,4.0,3.0,2.0
CAR,ATL,4,92.0,503.0,6.0,1.0,1.0
CAR,ATL,16,152.0,277.0,3.0,1.0,
CAR,DEN,1,150.0,178.0,3.0,3.0,3.0
CAR,KC,10,91.0,178.0,,2.0,1.0
CAR,LA,9,59.0,296.0,1.0,2.0,1.0
CAR,LAC,14,58.0,236.0,2.0,5.0,5.0
CAR,LV,12,65.0,315.0,3.0,3.0,2.0
CAR,MIN,3,60.0,171.0,1.0,,
CAR,NO,6,63.0,465.0,5.0,1.0,1.0
CAR,NO,11,108.0,285.0,2.0,4.0,2.0
CAR,SEA,13,240.0,315.0,4.0,2.0,1.0
CAR,SF,2,65.0,243.0,4.0,3.0,3.0
CAR,TB,5,114.0,219.0,1.0,2.0,1.0
CAR,TB,17,113.0,202.0,1.0,2.0,2.0
CAR,WAS,15,30.0,315.0,1.0,3.0,3.0
CHI,DAL,3,199.0,248.0,4.0,1.0,1.0
CHI,DET,4,66.0,213.0,,2.0,2.0
CHI,DET,14,115.0,223.0,3.0,2.0,2.0
