defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,ATL,17,133.0,169.0,2.0,1.0,1.0
ARI,CAR,4,40.0,197.0,1.0,3.0,3.0
ARI,DEN,15,170.0,197.0,3.0,3.0,2.0
ARI,KC,1,128.0,360.0,6.0,5.0,1.0
ARI,LA,3,102.0,249.0,2.0,1.0,1.0
ARI,LA,10,67.0,209.0,2.0,3.0,2.0
ARI,LAC,12,66.0,274.0,3.0,1.0,
ARI,LV,2,80.0,252.0,3.0,2.0,1.0
ARI,MIN,8,173.0,232.0,5.0,2.0,2.0
ARI,NE,14,106.0,235.0,2.0,2.0,1.0
ARI,NO,7,86.0,409.0,6.0,3.0,3.0
ARI,PHI,5,140.0,239.0,2.0,,
ARI,SEA,6,136.0,197.0,2.0,2.0,1.0
ARI,SEA,9,160.0,275.0,5.0,1.0,1.0
ARI,SF,11,161.0,228.0,5.0,,
ARI,SF,18,169.0,178.0,5.0,,
ARI,TB,16,116.0,281.0,1.0,2.0,2.0
ATL,ARI,17,126.0,222.0,1.0,,
ATL,BAL,16,187.0,115.0,1.0,1.0,
ATL,CAR,8,169.0,317.0,5.0,1.0,1.0
ATL,CAR,10,232.0,108.0,2.0,,
ATL,CHI,11,160.0,153.0,3.0,4.0,2.0
ATL,CIN,7,79.0,481.0,5.0,,
ATL,CLE,4,177.0,234.0,2.0,2.0,2.0
ATL,LA,2,65.0,272.0,4.0,3.0,3.0
ATL,LAC,9,91.0,245.0,2.0,2.0,2.0
ATL,NO,1,151.0,269.0,3.0,1.0,1.0
ATL,NO,15,135.0,231.0,3.0,2.0,1.0
ATL,PIT,13,155.0,197.0,1.0,,
ATL,SEA,3,112.0,325.0,2.0,1.0,1.0
ATL,SF,6,50.0,296.0,3.0,3.0,3.0
ATL,TB,5,72.0,351.0,2.0,,
ATL,TB,18,86.0,136.0,2.0,1.0,1.0
ATL,WAS,12,177.0,138.0,2.0,1.0,1.0
BAL,ATL,16,115.0,218.0,,2.0,1.0
BAL,BUF,4,127.0,213.0,2.0,3.0,2.0
BAL,CAR,11,36.0,196.0,,3.0,3.0
BAL,CIN,5,101.0,217.0,2.0,1.0,1.0
BAL,CIN,18,55.0,215.0,2.0,1.0,1.0
BAL,CIN,19,52.0,209.0,2.0,1.0,1.0
BAL,CLE,7,113.0,258.0,2.0,3.0,2.0
BAL,CLE,15,144.0,161.0,1.0,1.0,
BAL,DEN,13,88.0,189.0,,,
BAL,JAX,12,38.0,321.0,3.0,2.0,1.0
BAL,MIA,2,86.0,469.0,6.0,2.0,2.0
BAL,NE,3,145.0,321.0,3.0,5.0,4.0
BAL,NO,9,48.0,223.0,1.0,1.0,1.0
BAL,NYG,6,87.0,173.0,3.0,1.0,1.0
BAL,NYJ,1,83.0,309.0,1.0,3.0,2.0
BAL,PIT,14,65.0,276.0,2.0,3.0,3.0
BAL,PIT,17,200.0,168.0,1.0,,
BAL,TB,8,44.0,325.0,2.0,,
BUF,BAL,4,163.0,144.0,2.0,2.0,2.0
BUF,CHI,16,80.0,144.0,1.0,4.0,2.0
BUF,CIN,20,173.0,242.0,3.0,,
BUF,CLE,11,81.0,324.0,3.0,1.0,1.0
BUF,DET,12,96.0,240.0,3.0,2.0,2.0
BUF,GB,8,208.0,203.0,2.0,1.0,1.0
BUF,KC,6,68.0,338.0,2.0,2.0,2.0
BUF,LA,1,52.0,240.0,1.0,4.0,3.0
BUF,MIA,3,41.0,186.0,3.0,1.0,
BUF,MIA,15,188.0,234.0,3.0,1.0,
BUF,MIA,19,42.0,220.0,2.0,3.0,2.0
BUF,MIN,10,148.0,357.0,3.0,4.0,2.0
BUF,NE,13,60.0,195.0,1.0,2.0,
BUF,NE,18,111.0,243.0,3.0,5.0,4.0
BUF,NYJ,9,175.0,154.0,2.0,2.0,1.0
BUF,NYJ,14,76.0,269.0,1.0,3.0,2.0
BUF,PIT,5,54.0,327.0,,2.0,2.0
BUF,TEN,2,80.0,123.0,2.0,3.0,3.0
CAR,ARI,4,135.0,207.0,4.0,4.0,1.0
CAR,ATL,8,168.0,253.0,3.0,3.0,2.0
CAR,ATL,10,138.0,186.0,2.0,1.0,1.0
CAR,BAL,11,116.0,209.0,1.0,2.0,1.0
CAR,CIN,9,244.0,228.0,6.0,,
CAR,CLE,1,217.0,147.0,2.0,,
CAR,DEN,12,121.0,142.0,1.0,3.0,3.0
CAR,DET,16,45.0,355.0,3.0,2.0,1.0
CAR,LA,6,114.0,253.0,4.0,1.0,1.0
CAR,NO,3,84.0,353.0,3.0,5.0,3.0
CAR,NO,18,143.0,171.0,1.0,2.0,1.0
CAR,NYG,2,105.0,176.0,1.0,,
CAR,PIT,15,157.0,179.0,3.0,,
CAR,SEA,14,46.0,264.0,3.0,3.0,2.0
CAR,SF,5,155.0,253.0,4.0,3.0,1.0
CAR,TB,7,46.0,290.0,,1.0,
CAR,TB,17,67.0,432.0,4.0,1.0,1.0
CHI,ATL,11,152.0,131.0,2.0,1.0,1.0
CHI,BUF,16,254.0,172.0,5.0,4.0,3.0
CHI,DAL,8,202.0,250.0,6.0,1.0,1.0
CHI,DET,10,96.0,236.0,3.0,1.0,
CHI,DET,17,268.0,255.0,5.0,,
CHI,GB,2,204.0,234.0,3.0,2.0,1.0
CHI,GB,13,177.0,182.0,3.0,,
CHI,HOU,3,92.0,245.0,2.0,4.0,2.0
CHI,MIA,9,81.0,302.0,4.0,1.0,
CHI,MIN,5,119.0,319.0,4.0,1.0,1.0
CHI,MIN,18,141.0,341.0,3.0,3.0,2.0
CHI,NE,7,71.0,198.0,2.0,5.0,4.0
CHI,NYG,4,262.0,82.0,2.0,3.0,2.0
CHI,NYJ,12,159.0,315.0,4.0,2.0,
CHI,PHI,15,114.0,315.0,3.0,3.0,3.0
CHI,SF,1,176.0,164.0,1.0,3.0,2.0
CHI,WAS,6,128.0,99.0,1.0,2.0,1.0
CIN,ATL,7,107.0,124.0,2.0,1.0,
CIN,BAL,5,156.0,174.0,1.0,2.0,1.0
CIN,BAL,18,110.0,286.0,2.0,4.0,4.0
CIN,BAL,19,155.0,226.0,3.0,4.0,2.0
CIN,BUF,20,64.0,264.0,1.0,1.0,1.0
CIN,CAR,9,64.0,164.0,3.0,4.0,3.0
CIN,CLE,8,173.0,278.0,4.0,2.0,2.0
CIN,CLE,14,71.0,276.0,1.0,1.0,1.0
CIN,DAL,2,107.0,235.0,2.0,1.0,1.0
CIN,KC,13,138.0,223.0,3.0,1.0,1.0
CIN,KC,21,42.0,326.0,2.0,2.0,1.0
CIN,MIA,4,85.0,303.0,1.0,2.0,2.0
CIN,NE,16,62.0,240.0,2.0,3.0,1.0
CIN,NO,6,228.0,178.0,2.0,1.0,1.0
CIN,NYJ,3,76.0,285.0,,5.0,4.0
CIN,PIT,1,76.0,194.0,1.0,1.0,
CIN,PIT,11,102.0,265.0,3.0,,
CIN,TB,15,92.0,312.0,3.0,5.0,4.0
CIN,TEN,12,63.0,291.0,1.0,1.0,
CLE,ATL,4,205.0,139.0,2.0,2.0,1.0
CLE,BAL,7,161.0,120.0,2.0,1.0,1.0
CLE,BAL,15,198.0,138.0,,4.0,2.0
CLE,BUF,11,172.0,197.0,2.0,,
CLE,CAR,1,55.0,235.0,3.0,7.0,1.0
CLE,CIN,8,36.0,232.0,2.0,2.0,2.0
CLE,CIN,14,139.0,239.0,3.0,1.0,1.0
CLE,HOU,13,82.0,201.0,3.0,4.0,3.0
CLE,LAC,5,240.0,228.0,3.0,,
CLE,MIA,10,195.0,302.0,5.0,1.0,
CLE,NE,6,102.0,309.0,5.0,2.0,2.0
CLE,NO,16,153.0,92.0,2.0,3.0,1.0
CLE,NYJ,2,94.0,324.0,4.0,2.0,1.0
CLE,PIT,3,104.0,207.0,3.0,2.0,1.0
CLE,PIT,18,144.0,195.0,3.0,2.0,1.0
CLE,TB,12,96.0,246.0,2.0,,
CLE,WAS,17,136.0,143.0,1.0,3.0,3.0
DAL,CHI,8,240.0,156.0,5.0,1.0,1.0
DAL,CIN,2,90.0,199.0,1.0,1.0,
DAL,DET,7,117.0,228.0,,7.0,5.0
DAL,GB,10,210.0,224.0,4.0,2.0,1.0
DAL,HOU,14,114.0,213.0,2.0,3.0,3.0
DAL,IND,13,109.0,233.0,3.0,5.0,5.0
DAL,JAX,15,192.0,318.0,4.0,3.0,3.0
DAL,LA,5,38.0,320.0,2.0,3.0,3.0
DAL,MIN,11,73.0,159.0,,2.0,1.0
DAL,NYG,3,167.0,196.0,1.0,1.0,1.0
DAL,NYG,12,90.0,228.0,2.0,1.0,
DAL,PHI,6,138.0,155.0,3.0,1.0,
DAL,PHI,16,87.0,355.0,3.0,5.0,4.0
DAL,SF,20,113.0,214.0,1.0,,
DAL,TB,1,153.0,212.0,1.0,1.0,1.0
DAL,TB,19,52.0,351.0,2.0,3.0,1.0
DAL,TEN,17,97.0,232.0,1.0,3.0,2.0
DAL,WAS,4,142.0,170.0,1.0,3.0,2.0
DAL,WAS,18,152.0,169.0,2.0,2.0,2.0
DEN,ARI,15,73.0,173.0,1.0,4.0,3.0
DEN,BAL,13,103.0,198.0,1.0,3.0,2.0
