defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,ATL,10,185.0,94.0,3.0,,
ARI,BAL,8,131.0,157.0,4.0,1.0,
ARI,CHI,16,250.0,170.0,3.0,1.0,1.0
ARI,CIN,5,94.0,317.0,3.0,2.0,1.0
ARI,CLE,9,113.0,219.0,3.0,,
ARI,DAL,3,185.0,249.0,1.0,1.0,1.0
ARI,HOU,11,112.0,338.0,3.0,4.0,4.0
ARI,LA,6,179.0,226.0,2.0,,
ARI,LA,12,228.0,229.0,5.0,1.0,1.0
ARI,NYG,2,127.0,321.0,4.0,1.0,1.0
ARI,PHI,17,91.0,184.0,3.0,1.0,1.0
ARI,PIT,13,131.0,187.0,1.0,2.0,1.0
ARI,SEA,7,117.0,219.0,2.0,2.0,2.0
ARI,SEA,18,138.0,189.0,2.0,,
ARI,SF,4,126.0,283.0,5.0,,
ARI,SF,15,146.0,262.0,5.0,,
ARI,WAS,1,92.0,202.0,3.0,3.0,3.0
ATL,ARI,10,124.0,249.0,2.0,1.0,1.0
ATL,CAR,1,154.0,146.0,1.0,4.0,3.0
ATL,CAR,15,132.0,167.0,,1.0,
ATL,CHI,17,192.0,268.0,4.0,1.0,
ATL,DET,3,118.0,243.0,2.0,1.0,1.0
ATL,GB,2,85.0,151.0,3.0,,
ATL,HOU,5,64.0,249.0,1.0,,
ATL,IND,16,93.0,201.0,1.0,2.0,1.0
ATL,JAX,4,109.0,207.0,1.0,1.0,
ATL,MIN,9,147.0,236.0,3.0,3.0,2.0
ATL,NO,12,149.0,304.0,1.0,3.0,2.0
ATL,NO,18,154.0,264.0,6.0,2.0,
ATL,NYJ,13,62.0,214.0,,6.0,3.0
ATL,TB,7,74.0,275.0,1.0,3.0,2.0
ATL,TB,14,148.0,144.0,3.0,3.0,
ATL,TEN,8,152.0,238.0,4.0,1.0,1.0
ATL,WAS,6,74.0,151.0,3.0,,
BAL,ARI,8,130.0,208.0,3.0,3.0,2.0
BAL,CIN,2,66.0,222.0,2.0,1.0,1.0
BAL,CIN,11,136.0,169.0,2.0,,
BAL,CLE,4,94.0,121.0,,4.0,3.0
BAL,CLE,10,179.0,213.0,3.0,2.0,1.0
BAL,DET,7,84.0,284.0,1.0,3.0,1.0
BAL,HOU,1,72.0,242.0,,1.0,1.0
BAL,HOU,20,39.0,175.0,,1.0,
BAL,IND,3,139.0,227.0,1.0,1.0,
BAL,JAX,15,75.0,264.0,1.0,2.0,2.0
BAL,KC,21,92.0,241.0,2.0,2.0,
BAL,LA,14,129.0,294.0,3.0,,
BAL,LAC,12,86.0,217.0,1.0,4.0,4.0
BAL,MIA,17,154.0,237.0,2.0,3.0,3.0
BAL,PIT,5,95.0,224.0,1.0,,
BAL,PIT,18,156.0,152.0,2.0,5.0,2.0
BAL,SEA,9,29.0,157.0,,2.0,2.0
BAL,SF,16,121.0,336.0,2.0,5.0,5.0
BAL,TEN,6,129.0,150.0,1.0,1.0,1.0
BUF,CIN,9,57.0,348.0,3.0,,
BUF,DAL,15,89.0,134.0,1.0,1.0,1.0
BUF,DEN,10,128.0,193.0,2.0,1.0,1.0
BUF,JAX,5,197.0,315.0,3.0,4.0,2.0
BUF,KC,14,82.0,271.0,2.0,2.0,2.0
BUF,KC,20,152.0,215.0,3.0,2.0,1.0
BUF,LAC,16,98.0,215.0,1.0,1.0,1.0
BUF,LV,2,55.0,185.0,1.0,3.0,3.0
BUF,MIA,4,142.0,282.0,3.0,5.0,2.0
BUF,MIA,18,108.0,173.0,2.0,2.0,2.0
BUF,NE,7,96.0,272.0,3.0,1.0,1.0
BUF,NE,17,104.0,209.0,3.0,4.0,4.0
BUF,NYG,6,132.0,200.0,,1.0,
BUF,NYJ,1,174.0,140.0,1.0,2.0,1.0
BUF,NYJ,11,63.0,132.0,1.0,4.0,4.0
BUF,PHI,12,186.0,200.0,5.0,3.0,2.0
BUF,PIT,19,106.0,229.0,2.0,3.0,2.0
BUF,TB,8,78.0,237.0,2.0,1.0,
BUF,WAS,3,105.0,170.0,1.0,5.0,5.0
CAR,ATL,1,131.0,115.0,3.0,1.0,
