defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,ATL,6,103.0,356.0,4.0,1.0,
ARI,BAL,2,184.0,272.0,2.0,2.0,
ARI,CAR,3,175.0,261.0,5.0,2.0,1.0
ARI,CIN,5,108.0,262.0,2.0,1.0,
ARI,CLE,15,152.0,247.0,3.0,2.0,2.0
ARI,DET,1,116.0,385.0,3.0,2.0,1.0
ARI,LA,13,132.0,427.0,3.0,,
ARI,LA,17,114.0,319.0,4.0,,
ARI,NO,8,139.0,373.0,4.0,1.0,1.0
ARI,NYG,7,107.0,223.0,2.0,4.0,3.0
ARI,PIT,14,141.0,152.0,1.0,3.0,2.0
ARI,SEA,4,115.0,240.0,2.0,3.0,
ARI,SEA,16,91.0,169.0,1.0,2.0,1.0
ARI,SF,9,103.0,317.0,4.0,,
ARI,SF,11,34.0,424.0,4.0,2.0,2.0
ARI,TB,10,118.0,358.0,3.0,4.0,3.0
ATL,ARI,6,105.0,340.0,4.0,,
ATL,CAR,11,77.0,325.0,,6.0,4.0
ATL,CAR,14,100.0,293.0,2.0,5.0,4.0
ATL,HOU,5,166.0,426.0,6.0,4.0,
ATL,IND,3,81.0,310.0,3.0,,
ATL,JAX,16,116.0,188.0,1.0,2.0,1.0
ATL,LA,7,90.0,291.0,3.0,1.0,1.0
ATL,MIN,1,174.0,98.0,4.0,2.0,
ATL,NO,10,52.0,304.0,,,
ATL,NO,13,96.0,184.0,2.0,,
ATL,PHI,2,49.0,255.0,2.0,3.0,3.0
ATL,SEA,8,153.0,182.0,3.0,,
ATL,SF,15,120.0,200.0,2.0,5.0,3.0
ATL,TB,12,137.0,313.0,4.0,2.0,2.0
ATL,TB,17,136.0,201.0,3.0,5.0,3.0
ATL,TEN,4,138.0,227.0,3.0,3.0,
BAL,ARI,2,20.0,349.0,1.0,1.0,
BAL,BUF,14,104.0,146.0,1.0,2.0,1.0
BAL,CIN,6,33.0,235.0,1.0,1.0,1.0
BAL,CIN,10,157.0,167.0,3.0,4.0,3.0
BAL,CLE,4,194.0,342.0,5.0,1.0,1.0
BAL,CLE,16,58.0,192.0,2.0,1.0,1.0
BAL,HOU,11,122.0,169.0,1.0,3.0,2.0
BAL,KC,3,142.0,374.0,4.0,2.0,
BAL,LA,12,23.0,212.0,,3.0,2.0
BAL,MIA,1,21.0,190.0,1.0,2.0,2.0
BAL,NE,9,74.0,285.0,3.0,4.0,3.0
BAL,NYJ,15,103.0,218.0,2.0,2.0,2.0
BAL,PIT,5,78.0,203.0,2.0,3.0,2.0
BAL,PIT,17,92.0,95.0,2.0,2.0,2.0
BAL,SEA,7,106.0,241.0,3.0,2.0,2.0
BAL,SF,13,174.0,165.0,2.0,1.0,1.0
BAL,TEN,19,219.0,91.0,4.0,,
BUF,BAL,14,121.0,145.0,3.0,1.0,1.0
BUF,CIN,3,66.0,250.0,2.0,4.0,4.0
BUF,CLE,10,148.0,238.0,2.0,,
BUF,DAL,13,103.0,355.0,2.0,4.0,2.0
BUF,DEN,12,85.0,82.0,,2.0,1.0
BUF,HOU,18,142.0,247.0,2.0,2.0,1.0
BUF,MIA,7,109.0,282.0,3.0,4.0,2.0
BUF,MIA,11,23.0,323.0,2.0,1.0,1.0
BUF,NE,4,77.0,150.0,1.0,2.0,1.0
BUF,NE,16,145.0,271.0,2.0,1.0,1.0
BUF,NYG,2,129.0,250.0,2.0,3.0,2.0
BUF,NYJ,1,68.0,175.0,1.0,2.0,1.0
BUF,NYJ,17,88.0,199.0,1.0,2.0,1.0
BUF,PHI,8,222.0,172.0,4.0,1.0,
BUF,PIT,15,51.0,202.0,1.0,7.0,5.0
BUF,TEN,5,102.0,183.0,1.0,,
BUF,WAS,9,127.0,144.0,,1.0,
CAR,ARI,3,121.0,173.0,2.0,2.0,2.0
CAR,ATL,11,56.0,314.0,2.0,1.0,
CAR,ATL,14,160.0,313.0,4.0,,
CAR,GB,10,163.0,233.0,3.0,,
CAR,HOU,4,136.0,160.0,1.0,2.0,2.0
CAR,IND,16,220.0,119.0,3.0,,
CAR,JAX,5,150.0,374.0,4.0,3.0,3.0
CAR,LA,1,169.0,186.0,3.0,2.0,1.0
CAR,NO,12,118.0,311.0,4.0,2.0,2.0
CAR,NO,17,119.0,267.0,5.0,,
CAR,SEA,15,156.0,286.0,4.0,1.0,1.0
CAR,SF,8,235.0,175.0,7.0,2.0,1.0
CAR,TB,2,102.0,208.0,2.0,2.0,
CAR,TB,6,42.0,400.0,3.0,8.0,7.0
CAR,TEN,9,121.0,331.0,3.0,3.0,3.0
CAR,WAS,13,249.0,147.0,3.0,2.0,
CHI,DAL,14,83.0,334.0,3.0,2.0,
CHI,DEN,2,90.0,292.0,1.0,1.0,1.0
CHI,DET,10,98.0,269.0,1.0,1.0,1.0
CHI,DET,13,105.0,280.0,2.0,1.0,1.0
CHI,GB,1,49.0,203.0,1.0,1.0,
CHI,GB,15,100.0,203.0,3.0,,
CHI,KC,16,107.0,251.0,3.0,,
CHI,LA,11,112.0,173.0,2.0,4.0,2.0
CHI,LAC,8,36.0,201.0,2.0,1.0,1.0
CHI,LV,5,170.0,229.0,3.0,2.0,2.0
CHI,MIN,4,40.0,233.0,1.0,3.0,2.0
CHI,MIN,17,174.0,126.0,1.0,3.0,3.0
CHI,NO,7,153.0,281.0,4.0,,
CHI,NYG,12,109.0,150.0,2.0,1.0,1.0
CHI,PHI,9,147.0,239.0,2.0,,
CHI,WAS,3,69.0,332.0,3.0,6.0,5.0
CIN,ARI,5,266.0,253.0,2.0,,
CIN,BAL,6,272.0,236.0,2.0,1.0,1.0
CIN,BAL,10,128.0,243.0,5.0,1.0,1.0
CIN,BUF,3,176.0,243.0,2.0,4.0,2.0
CIN,CLE,14,147.0,192.0,2.0,2.0,2.0
