defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,ATL,15,215.0,231.0,4.0,,
ARI,CHI,3,122.0,220.0,1.0,2.0,2.0
ARI,DEN,7,134.0,189.0,4.0,1.0,1.0
ARI,DET,14,122.0,101.0,1.0,1.0,1.0
ARI,GB,13,98.0,233.0,2.0,,
ARI,KC,10,119.0,249.0,3.0,1.0,
ARI,LA,2,90.0,354.0,4.0,1.0,1.0
ARI,LA,16,271.0,216.0,4.0,1.0,1.0
ARI,LAC,12,180.0,259.0,6.0,1.0,1.0
ARI,LV,11,152.0,192.0,2.0,,
ARI,MIN,6,196.0,233.0,4.0,2.0,2.0
ARI,SEA,4,171.0,172.0,2.0,3.0,
ARI,SEA,17,185.0,152.0,3.0,2.0,1.0
ARI,SF,5,147.0,349.0,4.0,5.0,5.0
ARI,SF,8,107.0,190.0,1.0,1.0,
ARI,WAS,1,183.0,255.0,3.0,3.0,1.0
ATL,ARI,15,61.0,243.0,3.0,3.0,3.0
ATL,BAL,13,210.0,167.0,2.0,4.0,1.0
ATL,CAR,2,121.0,335.0,3.0,1.0,1.0
ATL,CAR,16,141.0,312.0,1.0,5.0,4.0
ATL,CIN,4,99.0,337.0,5.0,1.0,1.0
ATL,CLE,10,213.0,216.0,4.0,2.0,1.0
ATL,DAL,11,132.0,208.0,2.0,1.0,
ATL,GB,14,139.0,196.0,3.0,,
ATL,NO,3,144.0,396.0,5.0,1.0,
ATL,NO,12,154.0,171.0,4.0,2.0,1.0
ATL,NYG,7,61.0,399.0,2.0,1.0,
ATL,PHI,1,114.0,132.0,2.0,2.0,1.0
ATL,PIT,5,134.0,250.0,5.0,2.0,1.0
ATL,TB,6,121.0,395.0,4.0,5.0,2.0
ATL,TB,17,92.0,345.0,4.0,1.0,1.0
ATL,WAS,9,79.0,306.0,2.0,1.0,1.0
BAL,ATL,13,35.0,131.0,2.0,2.0,1.0
BAL,BUF,1,83.0,98.0,,4.0,2.0
BAL,CAR,8,156.0,232.0,4.0,1.0,
BAL,CIN,2,108.0,265.0,4.0,1.0,
BAL,CIN,11,48.0,211.0,3.0,,
BAL,CLE,5,112.0,342.0,1.0,3.0,1.0
BAL,CLE,17,50.0,376.0,3.0,3.0,3.0
BAL,DEN,3,120.0,192.0,2.0,2.0,1.0
BAL,KC,14,94.0,377.0,3.0,2.0,1.0
BAL,LAC,16,51.0,181.0,2.0,3.0,3.0
BAL,LAC,18,90.0,160.0,1.0,1.0,1.0
BAL,LV,12,69.0,194.0,3.0,1.0,1.0
BAL,NO,7,135.0,212.0,3.0,2.0,1.0
BAL,PIT,4,20.0,274.0,1.0,2.0,2.0
BAL,PIT,9,113.0,292.0,3.0,,
BAL,TB,15,86.0,157.0,1.0,2.0,2.0
BAL,TEN,6,55.0,117.0,,1.0,
BUF,BAL,1,117.0,260.0,6.0,3.0,1.0
BUF,CHI,9,67.0,135.0,3.0,2.0,1.0
BUF,DET,15,105.0,208.0,2.0,,
BUF,GB,4,141.0,298.0,2.0,4.0,2.0
BUF,HOU,6,75.0,177.0,1.0,6.0,4.0
BUF,IND,7,224.0,156.0,5.0,1.0,
BUF,JAX,12,226.0,127.0,3.0,3.0,2.0
BUF,LAC,2,110.0,256.0,4.0,3.0,
BUF,MIA,13,62.0,137.0,3.0,2.0,2.0
BUF,MIA,17,99.0,150.0,1.0,5.0,4.0
BUF,MIN,3,14.0,296.0,1.0,4.0,3.0
BUF,NE,8,78.0,324.0,1.0,1.0,
BUF,NE,16,275.0,126.0,3.0,3.0,3.0
BUF,NYJ,10,83.0,135.0,1.0,2.0,2.0
BUF,NYJ,14,77.0,170.0,3.0,2.0,2.0
BUF,TEN,5,100.0,129.0,,4.0,3.0
CAR,ATL,2,170.0,272.0,4.0,4.0,1.0
CAR,ATL,16,195.0,239.0,3.0,2.0,2.0
CAR,BAL,8,101.0,238.0,3.0,3.0,3.0
CAR,CIN,3,66.0,352.0,3.0,4.0,4.0
CAR,CLE,14,118.0,238.0,3.0,3.0,2.0
CAR,DAL,1,95.0,170.0,1.0,1.0,1.0
CAR,DET,11,97.0,220.0,2.0,,
CAR,NO,15,157.0,203.0,1.0,2.0,2.0
CAR,NO,17,184.0,118.0,2.0,1.0,1.0
CAR,NYG,5,50.0,383.0,3.0,3.0,2.0
CAR,PHI,7,58.0,310.0,2.0,3.0,1.0
CAR,PIT,10,139.0,325.0,6.0,1.0,
CAR,SEA,12,78.0,339.0,3.0,1.0,
CAR,TB,9,82.0,243.0,4.0,3.0,2.0
CAR,TB,13,95.0,249.0,3.0,2.0,1.0
CAR,WAS,6,133.0,163.0,2.0,2.0,1.0
CHI,ARI,3,53.0,193.0,2.0,5.0,4.0
CHI,BUF,9,98.0,188.0,3.0,5.0,4.0
CHI,DET,10,76.0,274.0,3.0,5.0,3.0
CHI,DET,12,111.0,236.0,3.0,2.0,2.0
CHI,GB,1,69.0,341.0,4.0,3.0,2.0
CHI,GB,15,88.0,274.0,1.0,1.0,1.0
CHI,LA,14,52.0,187.0,,5.0,4.0
CHI,MIA,6,161.0,380.0,3.0,3.0,3.0
CHI,MIN,11,22.0,262.0,3.0,3.0,3.0
CHI,MIN,17,63.0,132.0,1.0,1.0,
CHI,NE,7,108.0,277.0,3.0,3.0,3.0
CHI,NYG,13,141.0,219.0,2.0,2.0,1.0
CHI,NYJ,8,57.0,153.0,1.0,2.0,
CHI,PHI,18,43.0,266.0,2.0,2.0,2.0
CHI,SEA,2,74.0,226.0,3.0,4.0,2.0
CHI,SF,16,47.0,241.0,,2.0,1.0
CHI,TB,4,60.0,271.0,1.0,4.0,3.0
CIN,ATL,4,92.0,419.0,4.0,,
CIN,BAL,2,66.0,376.0,3.0,4.0,3.0
CIN,BAL,11,265.0,150.0,2.0,2.0,1.0
CIN,CAR,3,231.0,150.0,4.0,1.0,
CIN,CLE,12,85.0,258.0,5.0,,
CIN,CLE,16,149.0,347.0,3.0,,
CIN,DEN,13,219.0,151.0,3.0,2.0,2.0
CIN,IND,1,75.0,319.0,3.0,2.0,2.0
CIN,KC,7,198.0,358.0,5.0,3.0,1.0
CIN,LAC,14,85.0,220.0,2.0,,
CIN,LV,15,68.0,263.0,1.0,2.0,2.0
CIN,MIA,5,128.0,185.0,3.0,3.0,3.0
CIN,NO,10,247.0,265.0,6.0,,
CIN,PIT,6,113.0,369.0,3.0,1.0,
CIN,PIT,17,67.0,287.0,2.0,2.0,1.0
CIN,TB,8,126.0,470.0,5.0,5.0,4.0
CLE,ATL,10,71.0,330.0,2.0,4.0,2.0
CLE,BAL,5,116.0,298.0,,2.0,2.0
