defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
ARI,CAR,10,166.0,175.0,3.0,3.0,2.0
ARI,CHI,13,109.0,229.0,3.0,6.0,4.0
ARI,CLE,6,73.0,240.0,2.0,3.0,3.0
ARI,DAL,17,45.0,257.0,3.0,3.0,1.0
ARI,DET,15,126.0,216.0,3.0,1.0,1.0
ARI,GB,8,152.0,184.0,3.0,2.0,1.0
ARI,HOU,7,42.0,135.0,,1.0,1.0
ARI,IND,16,127.0,225.0,2.0,,
ARI,JAX,3,159.0,219.0,3.0,7.0,4.0
ARI,LA,4,122.0,280.0,2.0,2.0,2.0
ARI,LA,14,89.0,287.0,3.0,1.0,
ARI,LA,19,140.0,242.0,3.0,1.0,
ARI,MIN,2,177.0,244.0,3.0,2.0,
ARI,SEA,11,86.0,207.0,1.0,2.0,
ARI,SEA,18,203.0,238.0,6.0,2.0,2.0
ARI,SF,5,152.0,192.0,1.0,1.0,1.0
ARI,SF,9,39.0,326.0,2.0,3.0,3.0
ARI,TEN,1,86.0,218.0,2.0,3.0,3.0
ATL,BUF,17,236.0,120.0,4.0,3.0,3.0
ATL,CAR,8,204.0,129.0,1.0,1.0,1.0
ATL,CAR,14,91.0,253.0,4.0,5.0,3.0
ATL,DAL,10,120.0,317.0,5.0,1.0,1.0
ATL,DET,16,130.0,208.0,1.0,1.0,1.0
ATL,JAX,12,141.0,228.0,1.0,3.0,2.0
ATL,MIA,7,132.0,291.0,4.0,2.0,2.0
ATL,NE,11,138.0,207.0,1.0,1.0,1.0
ATL,NO,9,109.0,282.0,3.0,1.0,1.0
ATL,NO,18,196.0,178.0,3.0,1.0,
ATL,NYG,3,101.0,266.0,1.0,3.0,1.0
ATL,NYJ,5,64.0,192.0,2.0,2.0,1.0
ATL,PHI,1,173.0,264.0,4.0,2.0,
ATL,SF,15,162.0,235.0,4.0,2.0,1.0
ATL,TB,2,85.0,276.0,5.0,2.0,1.0
ATL,TB,13,58.0,368.0,5.0,2.0,1.0
ATL,WAS,4,123.0,290.0,4.0,,
BAL,CHI,11,92.0,280.0,2.0,1.0,1.0
BAL,CIN,7,111.0,416.0,5.0,2.0,1.0
BAL,CIN,16,78.0,525.0,5.0,,
BAL,CLE,12,40.0,247.0,1.0,2.0,2.0
BAL,CLE,14,102.0,190.0,2.0,1.0,1.0
BAL,DEN,4,106.0,178.0,1.0,1.0,1.0
BAL,DET,3,93.0,217.0,2.0,,
BAL,GB,15,98.0,268.0,4.0,,
BAL,IND,5,123.0,402.0,3.0,1.0,1.0
BAL,KC,2,62.0,343.0,4.0,3.0,2.0
BAL,LA,17,74.0,309.0,4.0,3.0,3.0
BAL,LAC,6,26.0,195.0,1.0,1.0,1.0
BAL,LV,1,82.0,435.0,4.0,3.0,1.0
BAL,MIA,10,61.0,314.0,1.0,2.0,
BAL,MIN,9,131.0,187.0,3.0,,
BAL,PIT,13,86.0,236.0,2.0,,
BAL,PIT,18,83.0,244.0,1.0,1.0,1.0
BUF,ATL,17,96.0,197.0,1.0,2.0,1.0
BUF,CAR,15,151.0,156.0,2.0,3.0,1.0
BUF,HOU,4,48.0,87.0,,6.0,5.0
BUF,IND,11,264.0,106.0,5.0,1.0,
BUF,JAX,9,80.0,151.0,,1.0,1.0
BUF,KC,5,120.0,272.0,3.0,4.0,4.0
BUF,KC,20,182.0,378.0,5.0,1.0,
BUF,MIA,2,72.0,182.0,,2.0,2.0
BUF,MIA,8,68.0,205.0,1.0,3.0,2.0
BUF,NE,13,230.0,19.0,1.0,1.0,
BUF,NE,16,149.0,145.0,3.0,3.0,2.0
BUF,NE,19,89.0,232.0,2.0,2.0,2.0
BUF,NO,12,45.0,163.0,1.0,2.0,1.0
BUF,NYJ,10,70.0,298.0,2.0,5.0,5.0
BUF,NYJ,18,48.0,87.0,1.0,2.0,
BUF,PIT,1,78.0,188.0,1.0,1.0,
BUF,TB,14,139.0,363.0,4.0,1.0,
BUF,TEN,6,147.0,216.0,4.0,1.0,1.0
BUF,WAS,3,78.0,212.0,3.0,4.0,3.0
CAR,ARI,10,65.0,143.0,1.0,3.0,2.0
CAR,ATL,8,82.0,146.0,1.0,3.0,2.0
CAR,ATL,14,130.0,190.0,2.0,1.0,1.0
CAR,BUF,15,121.0,210.0,4.0,2.0,1.0
CAR,DAL,4,231.0,188.0,5.0,1.0,
CAR,HOU,3,42.0,168.0,1.0,1.0,
CAR,MIA,12,113.0,230.0,3.0,3.0,1.0
CAR,MIN,6,198.0,373.0,4.0,3.0,1.0
CAR,NE,9,154.0,139.0,2.0,3.0,2.0
CAR,NO,2,49.0,111.0,1.0,2.0,2.0
CAR,NO,17,76.0,222.0,1.0,,
CAR,NYG,7,106.0,219.0,2.0,,
CAR,NYJ,1,45.0,258.0,2.0,2.0,1.0
CAR,PHI,5,93.0,198.0,2.0,3.0,2.0
CAR,TB,16,159.0,232.0,3.0,,
CAR,TB,18,86.0,326.0,5.0,,
CAR,WAS,11,192.0,206.0,3.0,3.0,1.0
CHI,ARI,13,137.0,123.0,4.0,2.0,
CHI,BAL,11,123.0,219.0,1.0,2.0,1.0
CHI,CIN,2,69.0,207.0,3.0,4.0,4.0
