Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
211,Devin Funchess,,,WR73,,,,,,215.0,207.0,00-0032055,WR,2016,0.9696969696969697,22,2015,0.4699999999999999,21.696539,0.01,41.0,11.0,4.478260869565218
212,Julian Edelman,,,WR74,,,,,,370.0,212.0,00-0027150,WR,2016,0.9007633587786259,30,2009,0.7875,42.25096,0.033,232.0,0.0,5.040816326530612
218,Robert Woods,PIT,9.0,WR75,,,,,,205.0,211.0,00-0030431,WR,2016,0.7692307692307693,24,2013,0.7184615384615386,46.932693,0.040999999999999995,41.0,11.0,2.4313725490196076
222,Cameron Meredith,,,WR76,,,,,,371.0,224.5,00-0031912,WR,2016,1.0,23,2015,-1.0,81.78068,0.004,,0.0,4.681818181818182
226,ArDarius Stewart,,,WR77,,,,,,158.0,218.3,00-0033916,WR,2016,--,22,2017,-1.0,--,0.005,79.0,6.8,--
228,Mike Williams,,,WR78,,,,,,191.0,218.7,00-0033536,WR,2016,--,21,2017,-1.0,--,0.03,7.0,22.2,--
230,Tavon Austin,,,WR79,,,,,,184.0,225.7,00-0030525,WR,2016,1.0,26,2013,0.7686666666666667,48.516953,0.068,8.0,21.4,4.689655172413793
236,Jaron Brown,,,WR81,,,,,,233.0,229.7,00-0030300,WR,2016,0.8656716417910447,26,2013,-1.0,33.323,0.011000000000000001,,0.0,5.2727272727272725
238,Curtis Samuel,BUF,6.0,WR82,,,,,,192.0,230.3,00-0033282,WR,2016,--,20,2017,-1.0,--,0.01,40.0,11.1,--
241,Paul Richardson Jr.,,,WR83,,,,,,262.0,230.7,00-0013688,WR,2016,--,47,1993,-1.0,--,--,,0.0,--
242,Chris Conley,,,WR84,,,,,,194.0,231.0,00-0032128,WR,2016,1.0,23,2015,0.791875,10.661166,0.005,76.0,7.0,3.7954545454545454
256,Nelson Agholor,,,WR85,,,,,,277.0,245.3,00-0031549,WR,2016,1.0,23,2015,0.8213333333333332,17.826857,0.016,20.0,15.5,2.7222222222222223
258,Chris Godwin,TB,1.0,WR86,,,,,,210.0,229.0,00-0033921,WR,2016,--,20,2017,-1.0,--,0.005,84.0,6.4,--
261,Dede Westbrook,,,WR87,,,,,,216.0,232.5,00-0033839,WR,2016,--,22,2017,-1.0,--,0.005,110.0,4.7,--
264,Carlos Henderson,,,WR88,,,,,,185.0,185.0,00-0033919,WR,2016,--,21,2017,-1.0,--,0.005,,0.0,--
268,Laquon Treadwell,IND,11.0,WR89,,,,,,225.0,238.0,00-0032951,WR,2016,1.0,21,2016,0.1388888888888889,3.125,0.016,23.0,14.6,0.0
269,JuJu Smith-Schuster,KC,10.0,WR90,,,,,,232.0,238.0,00-0033857,WR,2016,--,19,2017,-1.0,--,0.006,62.0,8.3,--
276,Travis Benjamin,,,WR91,,,,,,305.0,264.7,00-0029269,WR,2016,0.8933333333333333,26,2012,0.6057142857142858,60.633846,0.039,100.0,5.3,5.23404255319149
281,Brandon Coleman,,,WR92,,,,,,212.0,212.0,00-0030801,WR,2016,1.0,24,2014,-1.0,16.192692,0.004,,0.0,2.8461538461538463
283,Kasen Williams,,,WR93,,,,,,213.0,213.0,00-0032250,WR,2016,1.0,23,2015,-1.0,,0.003,,0.0,0
286,Tyler Boyd,,,WR94,,,,,,236.0,250.0,00-0033009,WR,2016,1.0,21,2016,0.6775,23.17329,0.006999999999999999,55.0,9.1,3.7222222222222223
288,Marquise Goodwin,,,WR95,,,,,,284.0,251.5,00-0030068,WR,2016,0.8928571428571429,25,2013,0.6493333333333332,37.259396,0.018000000000000002,78.0,6.9,3.3793103448275863
290,Josh Gordon,,,WR96,,,,,,244.0,251.5,00-0029664,WR,2016,0.8979591836734694,25,2012,-1.0,--,--,1.0,34.6,--
291,Bruce Ellington,,,WR97,,,,,,220.0,220.0,00-0031326,WR,2016,0.68,25,2014,-1.0,--,0.004,106.0,4.9,--
292,Chester Rogers,,,WR98,,,,,,221.0,221.0,00-0032355,WR,2016,1.0,22,2016,0.4435714285714285,16.100111,0.003,,0.0,2.6842105263157894
293,Ryan Switzer,,,WR99,,,,,,223.0,223.0,00-0033562,WR,2016,--,21,2017,-1.0,--,0.004,133.0,3.5,--
295,Geronimo Allison,,,WR100,,,,,,230.0,230.0,00-0032626,WR,2016,1.0,22,2016,0.274,51.711433,0.003,,0.0,4.166666666666667
296,Jermaine Kearse,,,WR101,,,,,,283.0,257.5,00-0029159,WR,2016,1.0,26,2012,-1.0,14.576667,0.028999999999999998,,0.0,3.3658536585365852
299,Alex Erickson,,,WR102,,,,,,237.0,237.0,00-0032543,WR,2016,1.0,23,2016,0.06875,0.38966662,0.003,,0.0,5.166666666666667
303,Phillip Dorsett II,LV,,WR103,,,,,,294.0,268.5,00-0032208,WR,2016,1.0,23,2015,0.7706666666666668,16.101238,0.013999999999999999,29.0,13.2,4.545454545454546
307,Andre Roberts,,,WR104,,,,,,250.0,250.0,00-0027691,WR,2016,0.8706896551724138,28,2010,0.25125,15.160769,0.011000000000000001,88.0,6.1,4.5
310,Jeremy Kerley,,,WR105,,,,,,303.0,278.0,00-0028091,WR,2016,1.0,27,2011,0.7675000000000001,51.700626,0.017,153.0,2.6,3.234375
313,Tajae Sharpe,,,WR106,,,,,,258.0,258.0,00-0032778,WR,2016,1.0,21,2016,0.736875,31.334957,0.004,140.0,3.1,2.1951219512195124
315,Deonte Thompson,,,WR107,,,,,,260.0,260.0,00-0029388,WR,2016,1.0,27,2012,-1.0,51.332775,0.005,,0.0,1.9545454545454546
316,Brandon Tate,,,WR108,,,,,,261.0,261.0,00-0027057,WR,2016,0.9752066115702479,28,2009,0.1493333333333333,5.8455358,0.006,83.0,6.5,6.5
317,Braxton Miller,,,WR109,,,,,,263.0,263.0,00-0033069,WR,2016,0.8125,23,2016,0.542,16.337502,0.005,85.0,6.3,3.466666666666667
319,Eli Rogers,,,WR110,,,,,,319.0,292.0,00-0031782,WR,2016,1.0,23,2015,-1.0,34.272434,0.004,,0.0,4.25
