"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0030564","DeAndre Hopkins",175,11.7,32.5,"WR","HOU",33.7
2,"00-0027942","A.J. Green",143,8.9,30.5,"WR","CIN",29.3
3,"00-0027944","Julio Jones",148,9.2,32.3,"WR","ATL",28.6
4,"00-0032765","Michael Thomas",149,9.3,33.1,"WR","NO",28.2
5,"00-0027793","Antonio Brown",165,11.8,36.8,"WR","PIT",28.1
6,"00-0030279","Keenan Allen",159,9.9,35.9,"WR","LAC",27.7
7,"00-0022921","Larry Fitzgerald",162,10.1,37.1,"WR","ARI",27.3
8,"00-0031382","Jarvis Landry",161,10.1,36.8,"WR","MIA",27.3
9,"00-0030035","Adam Thielen",142,8.9,32.6,"WR","MIN",27.2
10,"00-0027902","Dez Bryant",132,8.2,30.5,"WR","DAL",27
11,"00-0027874","Demaryius Thomas",142,8.9,34.7,"WR","DEN",25.6
12,"00-0032688","Robby Anderson",115,7.2,31.1,"WR","NYJ",23.1
13,"00-0029608","T.Y. Hilton",109,6.8,29.6,"WR","IND",23
14,"00-0031408","Mike Evans",138,9.2,37.5,"WR","TB",23
15,"00-0032055","Devin Funchess",112,7,30.9,"WR","CAR",22.7
16,"00-0028434","Doug Baldwin",117,7.3,33.2,"WR","SEA",22
17,"00-0029137","Alshon Jeffery",123,7.7,35.1,"WR","PHI",21.9
18,"00-0031381","Davante Adams",118,8.4,34.8,"WR","GB",21.2
19,"00-0027891","Golden Tate",120,7.5,35.6,"WR","DET",21.1
20,"00-0029159","Jermaine Kearse",103,6.4,31.1,"WR","NYJ",20.7
21,"00-0033040","Tyreek Hill",105,7,33.1,"WR","KC",19.8
22,"00-0029708","Kendall Wright",92,6.6,29.3,"WR","CHI",19.6
23,"00-0031236","Brandin Cooks",115,7.2,36.6,"WR","NE",19.6
24,"00-0031941","Jamison Crowder",103,6.9,33.4,"WR","WAS",19.3
25,"00-0029293","Marvin Jones",108,6.8,35.6,"WR","DET",19
26,"00-0026986","Michael Crabtree",103,7.9,34.6,"WR","LV",18.6
27,"00-0029632","Mohamed Sanu",96,6.4,32.3,"WR","ATL",18.6
28,"00-0031431","Marqise Lee",97,7.5,32.6,"WR","JAX",18.6
29,"00-0033908","Cooper Kupp",94,6.3,31.9,"WR","LA",18.4
30,"00-0027681","Brandon LaFell",89,5.6,30.5,"WR","CIN",18.2
31,"00-0031588","Stefon Diggs",95,6.8,32.6,"WR","MIN",18.2
