Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
5,Antonio Brown,,,WR1,5.0,,,6.0,,5.0,5.2,00-0027793,WR,2017,1.0,29,2010,0.8957142857142858,154.19786,0.102,195.0,1.0,4.762376237623762
8,DeAndre Hopkins,BAL,10,WR2,9.0,,,10.0,,8.0,8.8,00-0030564,WR,2017,1.0,25,2013,0.982,58.58839,0.09699999999999999,27.0,13.6,3.7395833333333335
11,Odell Beckham Jr.,,,WR3,10.0,,,12.0,,11.0,11.0,00-0031235,WR,2017,0.8153846153846154,24,2014,0.7575000000000001,80.73999,0.102,12.0,18.8,2.6
13,Julio Jones,,,WR4,8.0,,,14.0,,13.0,12.6,00-0027944,WR,2017,0.9523809523809523,28,2011,0.7550000000000001,115.47463,0.099,6.0,23.2,5.5227272727272725
16,Michael Thomas,,,WR5,17.0,,,16.0,,14.0,15.8,00-0032765,WR,2017,1.0,24,2016,0.82125,37.89329,0.008,47.0,10.1,4.086538461538462
17,Keenan Allen,LAC,8,WR6,15.0,,,17.0,,16.0,16.4,00-0030279,WR,2017,0.6891891891891891,25,2013,0.8443750000000001,98.21983,0.07200000000000001,76.0,7.0,4.911764705882353
18,Davante Adams,LAR,12,WR7,21.0,,,19.0,,18.0,18.8,00-0031381,WR,2017,1.0,24,2014,0.8528571428571429,62.382256,0.087,53.0,9.3,4.5675675675675675
20,A.J. Green ,,,WR8,19.0,,,21.0,,19.0,20.2,00-0027942,WR,2017,0.9914529914529915,29,2011,0.87125,73.192665,0.105,4.0,25.8,3.96
22,Mike Evans,TB,5,WR9,23.0,,,24.0,,21.0,23.4,00-0031408,WR,2017,0.9848484848484849,24,2014,0.866,37.346855,0.09300000000000001,7.0,22.2,1.8873239436619718
27,Tyreek Hill,MIA,11,WR10,31.0,,,25.0,,28.0,26.8,00-0033040,WR,2017,1.0,23,2016,0.8106666666666665,72.37553,0.004,165.0,2.1,6.066666666666666
29,T.Y. Hilton,,,WR11,29.0,,,27.0,,30.0,28.2,00-0029608,WR,2017,1.0,27,2012,0.8999999999999999,98.706,0.091,92.0,5.8,5.333333333333333
30,Stefon Diggs,NE,11,WR12,32.0,,,32.0,,31.0,29.8,00-0031588,WR,2017,1.0,23,2015,0.8049999999999999,91.00417,0.081,146.0,2.9,4.65625
31,Adam Thielen,CAR,4,WR13,34.0,,,29.0,,27.0,31.8,00-0030035,WR,2017,1.0,27,2013,0.925625,61.80296,0.028999999999999998,,0.0,4.912087912087912
32,Larry Fitzgerald,,,WR14,30.0,,,37.0,,32.0,33.6,00-0022921,WR,2017,1.0,34,2004,0.95375,82.10987,0.066,3.0,27.6,3.743119266055046
34,Amari Cooper,,,WR15,36.0,,,35.0,,37.0,34.6,00-0031544,WR,2017,1.0,23,2015,0.8099999999999999,125.64132,0.04,4.0,25.8,6.104166666666667
36,Doug Baldwin,,,WR16,39.0,,,39.0,,29.0,37.0,00-0028434,WR,2017,1.0,28,2011,-1.0,56.627956,0.07400000000000001,,0.0,3.6533333333333333
38,Jarvis Landry,,,WR17,40.0,,,36.0,,45.0,38.4,00-0031382,WR,2017,1.0,24,2014,0.894375,30.148,0.09,63.0,8.2,4.446428571428571
41,Demaryius Thomas ,,,WR18,38.0,,,45.0,,38.0,43.2,00-0027874,WR,2017,1.0,29,2010,0.7875,42.747623,0.098,22.0,14.9,3.602409638554217
43,JuJu Smith-Schuster,KC,12,WR19,51.0,,,42.0,,47.0,44.0,00-0033857,WR,2017,0.9375,20,2017,0.7471428571428571,92.78744,0.006,62.0,8.3,7.413793103448276
44,Brandin Cooks,NO,6,WR20,47.0,,,44.0,,39.0,45.4,00-0031236,WR,2017,0.8166666666666667,23,2014,0.92875,67.70599,0.091,20.0,15.5,3.4923076923076923
45,Golden Tate,,,WR21,45.0,,,43.0,,42.0,45.8,00-0027891,WR,2017,1.0,29,2010,0.76125,56.35296,0.047,60.0,8.5,6.663043478260869
49,Allen Robinson,II,,WR22,41.0,,,51.0,,44.0,48.0,00-0031428,WR,2017,0.5666666666666667,24,2014,0.05,,0.079,61.0,8.4,2.0
50,Josh Gordon ,,,WR23,49.0,,,52.0,,43.0,48.6,00-0029664,WR,2017,0.7538461538461538,26,2012,-1.0,24.339998,0.004,1.0,34.6,6.833333333333333
54,Marvin Jones Jr. ,,,WR24,55.0,,,53.0,,51.0,54.8,00-0029293,WR,2017,0.9325842696629213,27,2012,0.9625,62.178295,0.052000000000000005,166.0,2.0,3.19672131147541
55,Chris Hogan,,,WR25,54.0,,,54.0,,73.0,55.0,00-0028237,WR,2017,1.0,29,2011,0.9055555555555556,68.95444,0.026000000000000002,,0.0,5.029411764705882
