"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0031381","Davante Adams",181,10.6,33,"WR","LV",32.3
2,"00-0033040","Tyreek Hill",170,10,33.2,"WR","MIA",30.1
3,"00-0037238","Drake London",118,6.9,23.6,"WR","ATL",29.4
4,"00-0035676","A.J. Brown",145,8.5,29.8,"WR","PHI",28.7
5,"00-0036322","Justin Jefferson",185,10.9,37.9,"WR","MIN",28.7
6,"00-0036358","CeeDee Lamb",156,9.2,32.1,"WR","DAL",28.6
7,"00-0031588","Stefon Diggs",154,9.6,34.5,"WR","BUF",27.9
8,"00-0034827","D.J. Moore",118,6.9,25.2,"WR","CAR",27.6
9,"00-0036912","DeVonta Smith",137,8.1,29.8,"WR","PHI",27.1
10,"00-0035216","Diontae Johnson",149,8.8,32.4,"WR","PIT",27
11,"00-0031544","Amari Cooper",133,7.8,29.9,"WR","CLE",26.1
12,"00-0036963","Amon-Ra St. Brown",146,9.1,33.2,"WR","DET",25.9
13,"00-0035640","DK Metcalf",142,8.4,32.6,"WR","SEA",25.6
14,"00-0037740","Garrett Wilson",147,8.6,34.6,"WR","NYJ",25
15,"00-0036252","Michael Pittman",142,8.9,34.3,"WR","IND",24.4
16,"00-0037239","Chris Olave",120,8,29.1,"WR","NO",24.2
17,"00-0034775","Christian Kirk",134,7.9,34.1,"WR","JAX",23.1
18,"00-0036261","Brandon Aiyuk",114,6.7,29.6,"WR","SF",22.6
19,"00-0035659","Terry McLaurin",120,7.1,31.5,"WR","WAS",22.4
20,"00-0036900","Ja'Marr Chase",134,11.2,37.4,"WR","CIN",22.4
21,"00-0032211","Tyler Lockett",117,7.3,32.6,"WR","SEA",21.1
22,"00-0033891","Zay Jones",122,7.6,34.1,"WR","JAX",21
23,"00-0036613","Jaylen Waddle",118,6.9,33.2,"WR","MIA",20.9
24,"00-0030431","Robert Woods",91,5.4,25.7,"WR","TEN",20.8
25,"00-0034348","Courtland Sutton",109,7.3,31.9,"WR","DEN",20.1
26,"00-0033921","Chris Godwin",145,9.7,42.9,"WR","TB",19.9
27,"00-0033908","Cooper Kupp",98,10.9,30.4,"WR","LA",19
28,"00-0036233","Donovan Peoples-Jones",96,5.6,29.9,"WR","CLE",18.9
29,"00-0034960","Jakobi Meyers",98,7,30.7,"WR","NE",18.8
30,"00-0035719","Deebo Samuel",94,7.2,29.6,"WR","SF",18.7
31,"00-0034521","Allen Lazard",101,6.7,31.9,"WR","GB",18.6
32,"00-0036407","Jerry Jeudy",100,6.7,31.9,"WR","DEN",18.5
33,"00-0036410","Tee Higgins",110,7.9,37.4,"WR","CIN",18.4
34,"00-0031408","Mike Evans",128,8.5,42.9,"WR","TB",17.5
35,"00-0033282","Curtis Samuel",93,5.8,31.5,"WR","WAS",17.4
36,"00-0036309","Darnell Mooney",62,5.6,21.4,"WR","CHI",17.1
37,"00-0030035","Adam Thielen",109,6.4,37.9,"WR","MIN",16.9
38,"00-0033555","Mack Hollins",94,5.5,33,"WR","LV",16.8
39,"00-0036196","Gabe Davis",93,6.2,34.5,"WR","BUF",16.8
40,"00-0035662","Marquise Brown",107,8.9,37.7,"WR","ARI",16.7
41,"00-0031236","Brandin Cooks",93,7.2,33.1,"WR","HOU",16.5
42,"00-0033857","JuJu Smith-Schuster",102,6.4,36.3,"WR","KC",16.5
43,"00-0032775","Demarcus Robinson",75,4.7,27.4,"WR","BAL",16.1
44,"00-0035639","Parris Campbell",92,5.4,34.3,"WR","IND",15.8
45,"00-0036988","Josh Palmer",108,6.8,40.5,"WR","LAC",15.7
46,"00-0037247","George Pickens",85,5,32.4,"WR","PIT",15.4
47,"00-0030564","DeAndre Hopkins",98,10.9,37.7,"WR","ARI",15.3
48,"00-0035208","Olamide Zaccheaus",61,3.8,23.6,"WR","ATL",15.2
49,"00-0035535","Darius Slayton",71,5.5,29.1,"WR","NYG",14.4
50,"00-0033009","Tyler Boyd",85,5.3,37.4,"WR","CIN",14.2
51,"00-0034286","Richie James",70,5,29.1,"WR","NYG",14.2
52,"00-0029293","Marvin Jones",81,5.1,34.1,"WR","JAX",14
53,"00-0036345","K.J. Osborn",90,5.3,37.9,"WR","MIN",14
54,"00-0033591","Noah Brown",75,5,32.1,"WR","DAL",13.7
55,"00-0034764","Michael Gallup",74,5.3,32.1,"WR","DAL",13.6
56,"00-0033536","Mike Williams",93,7.2,40.5,"WR","LAC",13.5
57,"00-0037664","Alec Pierce",78,4.9,34.3,"WR","IND",13.4
58,"00-0032398","Chris Moore",74,4.9,33.1,"WR","HOU",13.2
59,"00-0034272","Marquez Valdes-Scantling",81,4.8,36.3,"WR","KC",13.1
60,"00-0030279","Keenan Allen",89,8.9,40.5,"WR","LAC",12.9
61,"00-0037742","Treylon Burks",54,4.9,25.7,"WR","TEN",12.4
62,"00-0037816","Romeo Doubs",67,5.2,31.9,"WR","GB",12.3
63,"00-0038124","Christian Watson",66,4.7,31.9,"WR","GB",12.2
64,"00-0033466","Isaiah McKenzie",65,4.3,34.5,"WR","BUF",11.8
65,"00-0036862","Ben Skowronek",61,4.4,30.4,"WR","LA",11.8
66,"00-0037741","Jahan Dotson",63,5.2,31.5,"WR","WAS",11.8
67,"00-0036554","Nico Collins",66,6.6,33.1,"WR","HOU",11.7
68,"00-0034860","Dante Pettis",42,3,21.4,"WR","CHI",11.6
69,"00-0036182","Nick Westbrook-Ikhine",50,3.3,25.7,"WR","TEN",11.4
70,"00-0032464","Kalif Raymond",64,4,33.2,"WR","DET",11.3
71,"00-0036259","Jauan Jennings",56,3.5,29.6,"WR","SF",11.1
72,"00-0036980","Elijah Moore",65,4.6,34.6,"WR","NYJ",11.1
73,"00-0036955","Terrace Marshall",47,3.6,25.2,"WR","CAR",11
74,"00-0033871","Corey Davis",64,4.9,34.6,"WR","NYJ",10.9
75,"00-0033943","Josh Reynolds",59,4.9,33.2,"WR","DET",10.5
76,"00-0034279","Equanimeous St. Brown",38,2.7,21.4,"WR","CHI",10.5
77,"00-0036331","Devin Duvernay",49,3.5,27.4,"WR","BAL",10.5
78,"00-0031549","Nelson Agholor",53,3.8,30.7,"WR","NE",10.2
79,"00-0031428","Allen Robinson",52,5.2,30.4,"WR","LA",10.1
80,"00-0036271","Quez Watkins",51,3.2,29.8,"WR","PHI",10.1
81,"00-0035500","Greg Dortch",64,5.8,37.7,"WR","ARI",10
82,"00-0034411","Russell Gage",72,5.5,42.9,"WR","TB",9.9
83,"00-0036572","Shi Smith",42,2.8,25.2,"WR","CAR",9.8
84,"00-0031763","DeAndre Carter",65,4.1,40.5,"WR","LAC",9.4
85,"00-0028002","Randall Cobb",50,3.8,31.9,"WR","GB",9.2
86,"00-0033307","Kendrick Bourne",48,3,30.7,"WR","NE",9.2
87,"00-0034777","D.J. Chark",52,4.7,33.2,"WR","DET",9.2
88,"00-0034983","Hunter Renfrow",51,5.1,33,"WR","LV",9.1
89,"00-0036326","Chase Claypool",50,6.2,32.4,"WR","PIT",9.1
90,"00-0031547","DeVante Parker",47,3.9,30.7,"WR","NE",9
91,"00-0034487","Trent Sherfield",51,3.2,33.2,"WR","MIA",9
92,"00-0036165","Isaiah Hodgins",43,5.4,29.1,"WR","NYG",8.7
93,"00-0036936","Rondale Moore",56,8,37.7,"WR","ARI",8.7
94,"00-0038104","Tyquan Thornton",45,3.8,30.7,"WR","NE",8.6
95,"00-0036415","Van Jefferson",44,4.4,30.4,"WR","LA",8.5
96,"00-0031382","Jarvis Landry",40,4.4,29.1,"WR","NO",8.1
97,"00-0036326","Chase Claypool",29,4.1,21.4,"WR","CHI",8
98,"00-0027942","A.J. Green",49,3.8,37.7,"WR","ARI",7.6
99,"00-0030068","Marquise Goodwin",42,3.5,32.6,"WR","SEA",7.6
100,"00-0036268","Laviska Shenault",32,2.7,25.2,"WR","CAR",7.5
101,"00-0032208","Phillip Dorsett",40,2.9,33.1,"WR","HOU",7.1
102,"00-0037257","David Bell",35,2.5,29.9,"WR","CLE",6.9
103,"00-0037545","Rashid Shaheed",34,3.1,29.1,"WR","NO",6.9
104,"00-0036849","Tutu Atwell",35,3.2,30.4,"WR","LA",6.8
105,"00-0036219","Marquez Callaway",32,3.2,29.1,"WR","NO",6.5
106,"00-0032688","Robby Anderson",27,5.4,25.2,"WR","CAR",6.3
107,"00-0038117","Wan'Dale Robinson",31,5.2,29.1,"WR","NYG",6.3
108,"00-0034646","Brandon Powell",32,2.3,30.4,"WR","LA",6.2
109,"00-0035864","Kendall Hinton",33,3,31.9,"WR","DEN",6.1
110,"00-0036550","Rashod Bateman",28,4.7,27.4,"WR","BAL",6
111,"00-0027944","Julio Jones",43,4.3,42.9,"WR","TB",5.9
112,"00-0034386","Justin Watson",34,2,36.3,"WR","KC",5.5
113,"00-0034765","Tre'Quan Smith",27,3,29.1,"WR","NO",5.5
114,"00-0035140","Mecole Hardman",34,4.2,36.3,"WR","KC",5.5
115,"00-0035298","Scott Miller",40,3.6,42.9,"WR","TB",5.5
116,"00-0034419","Braxton Berrios",32,2.3,34.6,"WR","NYJ",5.4
117,"00-0033572","Jamal Agnew",31,2.2,34.1,"WR","JAX",5.3
118,"00-0038090","Skyy Moore",33,2.8,36.3,"WR","KC",5.3
119,"00-0034407","Ray-Ray McCloud",25,1.8,29.6,"WR","SF",5
120,"00-0036255","Denzel Mims",25,2.8,34.6,"WR","NYJ",4.3
