player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0030564,DeAndre Hopkins,16,1407.0,87.9375,3.8408947,23.28997
00-0035676,A.J. Brown,15,1158.0,77.2,3.5952716,22.279064
00-0031381,Davante Adams,16,1507.0,94.1875,4.394654,21.480698
00-0034837,Calvin Ridley,15,1374.0,91.6,4.316948,21.177944
00-0031588,Stefon Diggs,19,1846.0,97.1579,4.7161107,21.159002
00-0035659,Terry McLaurin,16,1193.0,74.5625,3.64735,20.926346
00-0036322,Justin Jefferson,16,1400.0,87.5,4.2049055,20.460485
00-0034960,Jakobi Meyers,12,729.0,60.75,3.3044488,20.371473
00-0035640,DK Metcalf,17,1399.0,82.29412,4.1380596,20.093409
00-0031428,Allen Robinson,17,1305.0,76.76471,3.7926362,19.936531
00-0034827,D.J. Moore,15,1193.0,79.53333,4.2017255,19.290648
00-0032765,Michael Thomas,9,511.0,56.77778,3.252759,18.758638
00-0027944,Julio Jones,9,771.0,85.666664,4.442114,18.552528
00-0035662,Marquise Brown,18,965.0,53.61111,2.988779,18.035753
00-0033040,Tyreek Hill,18,1631.0,90.611115,4.8873277,17.944359
00-0031544,Amari Cooper,16,1114.0,69.625,4.007549,17.611376
00-0030279,Keenan Allen,14,992.0,70.85714,4.05353,17.353872
00-0031941,Jamison Crowder,12,699.0,58.25,3.600954,17.046953
00-0033871,Corey Davis,15,984.0,65.6,3.6186864,17.028566
00-0033908,Cooper Kupp,16,1052.0,65.75,3.8486342,16.919563
00-0036410,Tee Higgins,15,908.0,60.533333,3.605609,16.34246
00-0032211,Tyler Lockett,17,1097.0,64.52941,4.1380596,16.095905
00-0032688,Robbie Chosen,16,1096.0,68.5,4.2112327,16.08314
00-0033932,Kenny Golladay,5,338.0,67.6,4.6347933,16.046497
00-0033127,Will Fuller,11,879.0,79.90909,5.135754,15.498028
00-0031382,Jarvis Landry,17,952.0,56.0,3.6875973,15.478993
00-0036261,Brandon Aiyuk,12,748.0,62.333332,4.0844054,15.290349
00-0035216,Diontae Johnson,16,1040.0,65.0,4.1899004,14.994792
00-0030431,Robert Woods,18,1032.0,57.333332,3.7938838,14.950067
00-0032385,Sterling Shepard,12,656.0,54.666668,3.6159256,14.896403
00-0030035,Adam Thielen,15,925.0,61.666668,4.1928515,14.890681
00-0031235,Odell Beckham,7,319.0,45.57143,3.6169345,14.597093
00-0033009,Tyler Boyd,15,841.0,56.066666,3.447225,14.48227
00-0031547,DeVante Parker,14,793.0,56.642857,3.9319336,14.193411
00-0036358,CeeDee Lamb,16,935.0,58.4375,4.007549,14.160536
