"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0039337","Malik Nabers",172,11.5,32.8,"WR","NYG",30.8
2,"00-0036322","Justin Jefferson",154,9.1,30.5,"WR","MIN",29.7
3,"00-0037238","Drake London",159,9.4,31.8,"WR","ATL",29.4
4,"00-0036900","Ja'Marr Chase",175,10.3,37.1,"WR","CIN",27.8
5,"00-0036963","Amon-Ra St. Brown",141,8.3,30.8,"WR","DET",27
6,"00-0034827","DJ Moore",142,8.4,31.5,"WR","CHI",26.5
7,"00-0037740","Garrett Wilson",154,9.1,34.9,"WR","NYJ",25.9
8,"00-0039064","Zay Flowers",117,6.9,26.9,"WR","BAL",25.5
9,"00-0039893","Brian Thomas Jr.",135,7.9,31.1,"WR","JAX",25.5
10,"00-0038117","Wan'Dale Robinson",140,8.2,32.8,"WR","NYG",25.1
11,"00-0036358","CeeDee Lamb",154,10.3,36.8,"WR","DAL",24.6
12,"00-0034348","Courtland Sutton",135,8.4,32.4,"WR","DEN",24.5
13,"00-0038543","Jaxon Smith-Njigba",138,8.1,33.6,"WR","SEA",24.1
14,"00-0034837","Calvin Ridley",120,7.1,30,"WR","TEN",23.5
15,"00-0035659","Terry McLaurin",118,6.9,29.9,"WR","WAS",23.2
16,"00-0035676","A.J. Brown",97,7.5,24.6,"WR","PHI",23.2
17,"00-0036407","Jerry Jeudy",148,8.7,37.7,"WR","CLE",23.1
18,"00-0030279","Keenan Allen",123,8.2,31.5,"WR","CHI",22.9
19,"00-0039915","Ladd McConkey",113,7.1,29.1,"WR","LAC",22.9
20,"00-0036252","Michael Pittman",112,7,29.1,"WR","IND",22.7
21,"00-0037247","George Pickens",103,7.4,27.2,"WR","PIT",22.3
22,"00-0039849","Marvin Harrison Jr.",116,6.8,30.8,"WR","ARI",22.2
23,"00-0036259","Jauan Jennings",113,7.5,30.2,"WR","SF",22
24,"00-0034960","Jakobi Meyers",130,8.7,34.9,"WR","LV",21.9
25,"00-0038997","Josh Downs",107,7.6,29.1,"WR","IND",21.7
26,"00-0033040","Tyreek Hill",123,7.2,33.7,"WR","MIA",21.5
27,"00-0036912","DeVonta Smith",90,6.9,24.6,"WR","PHI",21.5
28,"00-0037261","Khalil Shakir",100,6.7,29.2,"WR","BUF",20.2
29,"00-0039075","Puka Nacua",107,9.7,32,"WR","LA",19.7
30,"00-0036309","Darnell Mooney",106,6.6,31.8,"WR","ATL",19.6
31,"00-0031408","Mike Evans",110,7.9,33.2,"WR","TB",19.5
32,"00-0031381","Davante Adams",115,10.5,34.9,"WR","NYJ",19.4
33,"00-0038994","Jordan Addison",100,6.7,30.5,"WR","MIN",19.3
