...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
2,3,Antonio Brown,,,WR1,,,,4,,4,3.8,00-0027793,WR,2014,1.0,26,2010,0.9525,51.68814,0.07,195,1,182,129,1698,106.125,19,13,4,13,0.8125,0,2,14,16
6,7,Julio Jones,,,WR2,,,,7,,9,7.8,00-0027944,WR,2014,0.9107142857142857,25,2011,0.848,110.29067,0.099,6,23.2,326,208,3186,212.4,62,6,1,1,0.06666666666666667,0,1,6,15
7,8,Dez Bryant,,,WR3,,,,10,,7,8,00-0027902,WR,2014,0.8395061728395061,25,2010,0.8487499999999999,74.87334,0.098,24,14.4,137,88,1320,82.5,22,16,0,0,0,0,0,16,16
9,10,Odell Beckham Jr.,,,WR4,,,,11,,11,11,00-0031235,WR,2014,1.0,21,2014,0.9141666666666668,137.35545,0.02,12,18.8,130,91,1305,108.75,16,12,7,35,2.9166666666666665,0,1,12,12
11,12,Demaryius Thomas,,,WR5,,,,13,,13,11.8,00-0027874,WR,2014,1.0,26,2010,0.904375,113.31795,0.098,22,14.9,185,111,1619,101.1875,25,11,0,0,0,0,0,11,16
13,14,Calvin Johnson,,,WR6,,,,15,,16,14.8,00-0025389,WR,2014,1.0,28,2007,0.7930769230769232,131.20422,0.134,2,30.2,128,71,1077,82.84615384615384,16,8,0,0,0,0,0,8,13
16,17,A.J. Green,,,WR7,,,,18,,18,18,00-0027942,WR,2014,1.0,26,2011,0.7592307692307693,107.906296,0.105,4,25.8,116,69,1041,86.75,13,6,2,2,0.16666666666666666,0,2,6,12
18,19,Randall Cobb,,,WR8,,,,20,,21,19.5,00-0028002,WR,2014,1.0,24,2011,0.8775,45.3225,0.07,64,8.1,128,91,1287,80.4375,24,12,11,37,2.3125,0,2,12,16
22,23,T.Y. Hilton,,,WR9,,,,23,,22,23.5,00-0029608,WR,2014,1.0,24,2012,0.7639999999999999,105.64095,0.091,92,5.8,131,82,1345,89.66666666666667,21,7,3,20,1.3333333333333333,0,1,7,15
23,24,Alshon Jeffery,,,WR10,,,,25,,23,24.3,00-0029137,WR,2014,1.0,24,2012,0.909375,56.884003,0.009000000000000001,45,10.4,145,85,1133,70.8125,17,10,6,33,2.0625,0,0,10,16
24,25,Brandin Cooks,NO,11,WR11,,,,27,,27,26.8,00-0031236,WR,2014,0.0,20,2014,0.726,59.604553,0.016,20,15.5,69,53,550,55,4,3,7,73,7.3,1,0,4,10
25,26,Mike Evans,TB,6,WR12,,,,28,,25,26.8,00-0031408,WR,2014,1.0,21,2014,0.8313333333333334,88.31258,0.027999999999999997,7,22.2,123,68,1051,70.06666666666666,20,12,0,0,0,0,0,12,15
28,29,DeAndre Hopkins,BAL,9,WR13,,,,34,,26,29.8,00-0030564,WR,2014,1.0,22,2013,0.949375,96.8145,0.016,27,13.6,127,76,1210,75.625,20,6,0,0,0,0,1,6,16
32,33,Emmanuel Sanders,,,WR14,,,,33,,29,32.5,00-0027685,WR,2014,1.0,27,2010,0.8875,69.83583,0.038,82,6.5,142,101,1404,87.75,24,9,8,44,2.75,0,0,9,16
38,39,Andre Johnson,,,WR15,,,,45,,43,44.3,00-0022044,WR,2014,1.0,33,2003,0.8893333333333334,42.139236,0.049,3,27.6,147,85,936,62.4,14,3,0,0,0,0,3,3,15
39,40,Amari Cooper,,,WR16,,,,49,,38,45,00-0031544,WR,2014,--,20,2015,-1,--,0.04,4,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0
