Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
5,Cooper Kupp,SEA,11,WR1,4.0,5.0,,4.5,00-0033908,WR,2021,0.9259259259259259,28,2017,0.9411764705882352,55.776394,0.128,69.0,7.6,5.834482758620689
6,Justin Jefferson,MIN,7,WR2,5.0,8.0,,6.5,00-0036322,WR,2021,1.0,22,2020,0.8917647058823529,68.13988,0.017,22.0,14.9,4.537037037037037
9,Ja'Marr Chase,CIN,10,WR3,8.0,10.0,,9.0,00-0036900,WR,2021,1.0,21,2021,0.8452941176470589,167.97028,0.042,5.0,24.3,8.037037037037036
11,Davante Adams,LAR,7,WR4,12.0,11.0,,11.5,00-0031381,WR,2021,0.9465648854961832,28,2014,0.849375,93.78829,0.134,53.0,9.3,4.8861788617886175
12,Stefon Diggs,NE,10,WR5,10.0,14.0,,12.0,00-0031588,WR,2021,1.0,27,2015,0.8147058823529413,32.66059,0.115,146.0,2.9,3.1650485436893203
16,CeeDee Lamb,DAL,9,WR6,13.0,19.0,,16.0,00-0036358,WR,2021,0.9696969696969697,22,2020,0.7675000000000001,86.08933,0.018000000000000002,17.0,16.6,5.582278481012659
20,Tyreek Hill,MIA,11,WR7,24.0,20.0,,22.0,00-0033040,WR,2021,0.9690721649484536,27,2016,0.7364705882352941,174.99257,0.14400000000000002,165.0,2.1,4.0
24,Mike Evans,TB,11,WR8,21.0,26.0,,23.5,00-0031408,WR,2021,0.9618320610687023,28,2014,0.825,82.208626,0.09300000000000001,7.0,22.2,3.22972972972973
25,Deebo Samuel Sr.,WAS,14,WR9,23.0,24.0,,23.5,00-0035719,WR,2021,0.7755102040816326,25,2019,0.8043750000000001,60.22893,0.115,36.0,11.8,10.12987012987013
29,Michael Pittman Jr.,IND,14,WR10,27.0,33.0,,30.0,00-0036252,WR,2021,0.9090909090909091,23,2020,0.8752941176470589,55.78617,0.011000000000000001,34.0,12.1,3.9545454545454546
30,A.J. Brown,PHI,7,WR11,32.0,28.0,,30.0,00-0035676,WR,2021,0.88,24,2019,0.6961538461538463,108.69641,0.12,51.0,9.6,3.7301587301587302
31,Keenan Allen,LAC,8,WR12,31.0,30.0,,30.5,00-0030279,WR,2021,0.8129496402877698,29,2013,0.8675,21.311832,0.10099999999999999,76.0,7.0,3.2169811320754715
32,Tee Higgins,CIN,10,WR13,30.0,34.0,,32.0,00-0036410,WR,2021,0.9090909090909091,22,2020,0.7585714285714286,110.215004,0.011000000000000001,33.0,12.3,3.8513513513513513
36,DJ Moore,CHI,14,WR14,35.0,41.0,,38.0,00-0034827,WR,2021,0.9692307692307692,24,2018,0.866470588235294,42.014706,0.099,24.0,14.4,4.537634408602151
39,Mike Williams,,,WR15,38.0,43.0,,40.5,00-0033536,WR,2021,0.9629629629629629,26,2017,0.789375,112.28517,0.096,7.0,22.2,5.4605263157894735
41,Terry McLaurin,WAS,14,WR16,40.0,42.0,,41.0,00-0035659,WR,2021,0.9387755102040817,25,2019,0.8988235294117648,72.66882,0.111,76.0,7.0,3.987012987012987
45,Courtland Sutton,DEN,9,WR17,44.0,44.0,,44.0,00-0034348,WR,2021,0.7575757575757576,25,2018,0.8511764705882353,62.67034,0.08199999999999999,40.0,11.1,2.3275862068965516
48,Diontae Johnson,CLE,9,WR18,50.0,47.0,,48.5,00-0035216,WR,2021,0.96,25,2019,0.9075,27.772,0.08800000000000001,66.0,7.9,4.925233644859813
49,Jaylen Waddle,MIA,11,WR19,49.0,49.0,,49.0,00-0036613,WR,2021,0.9411764705882353,22,2021,0.834375,57.809166,0.037000000000000005,6.0,23.2,4.221153846153846
51,Allen Robinson II ,,,WR20,48.0,53.0,,50.5,00-0031428,WR,2021,0.752,28,2014,0.8058333333333333,6.948182,0.07400000000000001,61.0,8.4,2.4210526315789473
52,DK Metcalf,PIT,9,WR21,55.0,50.0,,52.5,00-0035640,WR,2021,1.0,23,2019,0.8352941176470589,59.0797,0.115,64.0,8.1,4.373333333333333
57,Jerry Jeudy,CLE,9,WR22,62.0,51.0,,56.5,00-0036407,WR,2021,0.7941176470588235,22,2020,0.656,17.88889,0.019,15.0,17.4,4.684210526315789
61,Brandin Cooks,NO,14,WR23,68.0,59.0,,63.5,00-0031236,WR,2021,0.88,27,2014,0.8325,54.935837,0.095,20.0,15.5,3.8222222222222224
62,JuJu Smith-Schuster,KC,8,WR24,59.0,68.0,,63.5,00-0033857,WR,2021,0.7926829268292683,24,2017,0.72,37.903,0.018000000000000002,62.0,8.3,4.533333333333333
63,Amon-Ra St. Brown,DET,6,WR25,64.0,66.0,,65.0,00-0036963,WR,2021,1.0,21,2021,0.748235294117647,100.143295,0.006,112.0,4.6,4.711111111111111
65,Gabe Davis,,,WR26,63.0,70.0,,66.5,00-0036196,WR,2021,0.9696969696969697,22,2020,0.495625,45.912094,0.005,128.0,3.7,3.7714285714285714
66,Marquise Brown,KC,8,WR27,78.0,58.0,,68.0,00-0035662,WR,2021,0.9387755102040817,24,2019,0.7949999999999999,60.974625,0.016,25.0,14.1,4.263736263736264
70,Michael Thomas ,,,WR28,74.0,67.0,,70.5,00-0032765,WR,2021,0.7319587628865979,28,2016,-1.0,--,0.102,47.0,10.1,--
74,Adam Thielen,CAR,13,WR29,77.0,69.0,,73.0,00-0030035,WR,2021,0.9236641221374046,31,2013,0.8399999999999999,87.01731,0.07200000000000001,,0.0,3.5671641791044775
75,Amari Cooper,,,WR30,86.0,65.0,,75.5,00-0031544,WR,2021,0.9823008849557522,27,2015,0.7606666666666668,91.38144,0.10099999999999999,4.0,25.8,3.3676470588235294
76,Rashod Bateman,BAL,10,WR31,79.0,76.0,,77.5,00-0036550,WR,2021,0.7058823529411765,21,2021,0.6808333333333333,27.542046,0.017,27.0,13.6,3.5434782608695654
77,Chris Godwin,TB,11,WR32,94.0,64.0,,79.0,00-0033921,WR,2021,0.8888888888888888,25,2017,0.8550000000000001,59.518246,0.096,84.0,6.4,5.979591836734694
80,Darnell Mooney,ATL,14,WR33,91.0,72.0,,81.5,00-0036309,WR,2021,1.0,23,2020,0.8788235294117647,48.788162,0.005,173.0,1.8,4.703703703703703
88,Hunter Renfrow,CAR,13,WR34,93.0,86.0,,89.5,00-0034983,WR,2021,0.9387755102040817,25,2019,0.6723529411764706,35.070076,0.076,149.0,2.7,4.388349514563107
91,Elijah Moore,BUF,7,WR35,95.0,90.0,,92.5,00-0036980,WR,2021,0.6470588235294118,21,2021,0.6509090909090909,95.99055,0.012,34.0,12.1,4.813953488372093
93,DeAndre Hopkins,BAL,10,WR36,105.0,82.0,,93.5,00-0030564,WR,2021,0.9527027027027027,29,2013,0.8220000000000001,43.750668,0.13699999999999998,27.0,13.6,3.3333333333333335
94,Brandon Aiyuk,SF,9,WR37,97.0,95.0,,96.0,00-0036261,WR,2021,0.8787878787878788,23,2020,0.8300000000000001,42.713295,0.016,25.0,14.1,6.232142857142857
96,DeVonta Smith,PHI,7,WR38,108.0,87.0,,97.5,00-0036912,WR,2021,1.0,22,2021,0.8235294117647058,50.605297,0.027999999999999997,10.0,19.9,3.25
98,Allen Lazard,NYJ,10,WR39,106.0,91.0,,98.5,00-0034521,WR,2021,0.8431372549019608,25,2018,0.7346666666666668,58.76335,0.019,,0.0,4.35
104,Christian Kirk,HOU,6,WR40,107.0,101.0,,104.0,00-0034775,WR,2021,0.8615384615384616,24,2018,0.7558823529411764,45.909096,0.086,47.0,10.1,3.0
106,Drake London,ATL,14,WR41,122.0,92.0,,107.0,00-0037238,WR,2021,--,20,2022,-1.0,--,0.026000000000000002,8.0,21.4,--
110,Tyler Lockett,TEN,6,WR42,116.0,105.0,,110.5,00-0032211,WR,2021,0.9824561403508771,28,2015,0.8731249999999999,95.91317,0.095,69.0,7.6,3.7945205479452055
111,Robert Woods,PIT,9,WR43,121.0,106.0,,113.5,00-0030431,WR,2021,0.8356164383561644,29,2013,0.9222222222222224,34.995277,0.08199999999999999,41.0,11.0,4.4
113,Chris Olave,NO,14,WR44,135.0,99.0,,117.0,00-0037239,WR,2021,--,21,2022,-1.0,--,0.023,11.0,19.3,--
119,George Pickens,DAL,9,WR45,130.0,114.0,,122.0,00-0037247,WR,2021,--,20,2022,-1.0,--,0.008,52.0,9.4,--
120,Kadarius Toney,,,WR46,134.0,111.0,,122.5,00-0036913,WR,2021,0.5882352941176471,22,2021,0.4649999999999999,74.96801,0.019,20.0,15.5,5.846153846153846
126,Chase Claypool,,,WR47,150.0,110.0,,130.0,00-0036326,WR,2021,0.9411764705882353,23,2020,0.7920000000000001,38.8421,0.008,49.0,9.8,5.0
131,Julio Jones,,,WR48,142.0,124.0,,133.0,00-0027944,WR,2021,0.8823529411764706,32,2011,0.583,34.293774,0.028999999999999998,6.0,23.2,3.6129032258064515
137,Garrett Wilson,NYJ,10,WR49,166.0,122.0,,144.0,00-0037740,WR,2021,--,21,2022,-1.0,--,0.025,10.0,19.9,--
139,Treylon Burks,TEN,6,WR50,194.0,107.0,,150.5,00-0037742,WR,2021,--,21,2022,-1.0,--,0.017,18.0,16.2,--
141,Marquez Valdes-Scantling,SEA,11,WR51,182.0,123.0,,152.5,00-0034272,WR,2021,0.9076923076923077,26,2018,0.62,63.484905,0.048,174.0,1.7,5.615384615384615
143,Jarvis Landry ,,,WR52,160.0,145.0,,152.5,00-0031382,WR,2021,0.9541984732824428,28,2014,0.7025000000000001,31.756062,0.013999999999999999,63.0,8.2,5.25
144,Skyy Moore,KC,8,WR53,192.0,115.0,,153.5,00-0038090,WR,2021,--,20,2022,-1.0,--,0.008,54.0,9.2,--
147,Tyler Boyd,,,WR54,185.0,127.0,,156.0,00-0033009,WR,2021,0.979381443298969,26,2016,0.7737499999999999,40.97573,0.057,55.0,9.1,5.8059701492537314
148,DeVante Parker,,,WR55,175.0,142.0,,158.5,00-0031547,WR,2021,0.9210526315789473,28,2015,0.812,23.1825,0.054000000000000006,14.0,17.8,2.6
149,Russell Gage Jr.,SF,9,WR56,146.0,176.0,,161.0,00-0034411,WR,2021,0.9538461538461539,25,2018,0.7392857142857142,74.25923,0.048,194.0,1.1,3.757575757575758
152,Mecole Hardman Jr.,GB,14,WR57,156.0,168.0,,162.0,00-0035140,WR,2021,1.0,23,2019,0.5158823529411765,23.083603,0.006999999999999999,56.0,9.0,8.508474576271187
153,Romeo Doubs,GB,14,WR58,187.0,138.0,,162.5,00-0037816,WR,2021,--,21,2022,-1.0,--,0.005,132.0,3.5,--
162,Jahan Dotson,PHI,7,WR59,189.0,150.0,,169.5,00-0037741,WR,2021,--,21,2022,-1.0,--,0.018000000000000002,16.0,16.9,--
165,Michael Gallup,WAS,14,WR60,215.0,130.0,,172.5,00-0034764,WR,2021,0.8615384615384616,25,2018,0.75,11.965002,0.055,81.0,6.6,3.5142857142857142
170,Rondale Moore,MIN,7,WR61,195.0,159.0,,177.0,00-0036936,WR,2021,0.8235294117647058,21,2021,0.4535714285714285,41.4317,0.009000000000000001,49.0,9.8,8.11111111111111
173,Kenny Golladay,,,WR62,178.0,181.0,,179.5,00-0033932,WR,2021,0.8271604938271605,27,2017,0.7435714285714287,21.32709,0.099,96.0,5.5,3.2162162162162162
175,Isaiah McKenzie,,,WR63,198.0,162.0,,180.0,00-0033466,WR,2021,0.9594594594594594,26,2017,0.2353333333333333,72.70472,0.011000000000000001,172.0,1.8,4.05
176,Odell Beckham Jr.,,,WR64,158.0,203.0,,180.5,00-0031235,WR,2021,0.8153846153846154,28,2014,0.7178571428571427,41.360275,0.008,12.0,18.8,3.4318181818181817
177,Joshua Palmer,BUF,7,WR65,179.0,184.0,,181.5,00-0036988,WR,2021,1.0,21,2021,0.3823529411764705,29.136383,0.006999999999999999,77.0,6.9,3.0303030303030303
179,Sammy Watkins,,,WR66,173.0,193.0,,183.0,00-0031325,WR,2021,0.8625954198473282,28,2014,0.4876923076923076,28.844,0.009000000000000001,4.0,25.8,3.962962962962963
180,Christian Watson,GB,14,WR67,191.0,178.0,,184.5,00-0038124,WR,2021,--,22,2022,-1.0,--,0.011000000000000001,34.0,12.1,--
182,DJ Chark Jr.,ATL,14,WR68,206.0,166.0,,186.0,00-0034777,WR,2021,0.7384615384615385,24,2018,0.6425,58.463337,0.048,61.0,8.4,3.4285714285714284
183,Jalen Tolbert,DAL,9,WR69,172.0,200.0,,186.0,00-0037666,WR,2021,--,22,2022,-1.0,--,0.006,88.0,6.1,--
198,Jakobi Meyers,LV,6,WR70,210.0,177.0,,193.5,00-0034960,WR,2021,0.98,24,2019,0.8364705882352941,22.259956,0.019,,0.0,2.674698795180723
206,Jameson Williams,DET,6,WR71,225.0,174.0,,199.5,00-0037240,WR,2021,--,20,2022,-1.0,--,0.021,12.0,18.8,--
210,Nico Collins,HU,6 O,WR72,212.0,188.0,,200.0,00-0036554,WR,2021,0.8235294117647058,22,2021,0.5907142857142859,14.682197,0.006999999999999999,89.0,6.0,3.9696969696969697
221,Wan'Dale Robinson,NYG,9,WR73,,187.0,,187.0,00-0038117,WR,2021,--,20,2022,-1.0,--,0.01,43.0,10.6,--
222,K.J. Osborn,WAS,14,WR74,,189.0,,189.0,00-0036345,WR,2021,0.8181818181818182,24,2020,0.6823529411764707,48.82566,0.004,176.0,1.7,3.58
223,KJ Hamler,BUF,7,WR75,,190.0,,190.0,00-0036412,WR,2021,0.5,22,2020,0.4299999999999999,7.923333,0.009000000000000001,46.0,10.2,3.2
226,Alec Pierce,IND,14,WR76,,197.0,,197.0,00-0037664,WR,2021,--,21,2022,-1.0,--,0.008,53.0,9.3,--
229,Devin Duvernay,CHI,14,WR77,204.0,,,204.0,00-0036331,WR,2021,0.9696969696969697,23,2020,0.51,9.264095,0.006,92.0,5.8,4.2727272727272725
235,Marvin Jones Jr.,,,WR78,,210.0,,210.0,00-0029293,WR,2021,0.9090909090909091,31,2012,0.9041176470588236,43.3275,0.034,166.0,2.0,1.643835616438356
238,Robbie Chosen,SF,9,WR79,,214.0,,214.0,00-0032688,WR,2021,1.0,28,2016,0.8564705882352941,36.150146,0.081,,0.0,2.981132075471698
239,Zay Jones,ARI,13,WR80,214.0,,,214.0,00-0033891,WR,2021,0.9876543209876543,26,2017,0.5664705882352942,28.574,0.038,37.0,11.6,3.617021276595745
242,Van Jefferson,TEN,6,WR81,,220.0,,220.0,00-0036415,WR,2021,1.0,25,2020,0.8011764705882353,36.07309,0.006999999999999999,57.0,8.9,4.4
248,Randall Cobb,,,WR82,,228.0,,228.0,00-0028002,WR,2021,0.936046511627907,31,2011,0.4725,59.100906,0.013999999999999999,64.0,8.1,4.928571428571429
251,Parris Campbell,,,WR83,,230.0,,230.0,00-0035639,WR,2021,0.30612244897959184,24,2019,0.4400000000000001,20.674667,0.006,59.0,8.6,1.7
253,A.J. Green,,,WR84,,233.0,,233.0,00-0027942,WR,2021,0.8956043956043956,33,2011,0.805625,34.057335,0.017,4.0,25.8,3.3518518518518516
256,David Bell,CLE,9,WR85,,236.0,,236.0,00-0037257,WR,2021,--,20,2022,-1.0,--,0.006,99.0,5.3,--
258,Donovan Peoples-Jones,NO,14,WR86,,238.0,,238.0,00-0036233,WR,2021,0.8181818181818182,22,2020,0.7764285714285715,55.1709,0.004,187.0,1.3,4.294117647058823
259,Curtis Samuel,BUF,7,WR87,,239.0,,239.0,00-0033282,WR,2021,0.7654320987654321,25,2017,0.236,5.543,0.063,40.0,11.1,6.666666666666667
261,Andre Baccellia,ARI,13,WR88,,242.0,,242.0,00-0035876,WR,2021,--,24,2021,-1.0,--,0.004,,0.0,--
266,Charles Williams,,,RB74,,247.0,,247.0,WIL180936,CB,2021,--,67,1978,-1.0,--,--,230.0,0.0,--
268,Connor Wedington,,,WR91,,250.0,,250.0,00-0036804,WR,2021,--,22,2021,-1.0,--,--,,0.0,--
