...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
63,64,Marquise Goodwin,,,WR28,67,,,55,,95,67,00-0030068,WR,2017,0.9166666666666666,26,2013,0.708125,39.5585,0.038,78,6.9,105,56,962,60.125,13,2,4,44,2.75,0,0,2,16
64,65,Emmanuel Sanders,,,WR29,63,,,67,,71,67,00-0027685,WR,2017,1.0,30,2010,0.7491666666666666,52.651745,0.071,82,6.5,92,47,555,46.25,11,2,0,0,0,0,0,2,12
68,69,Julian Edelman,,,WR30,91,,,70,,66,72.2,00-0027150,WR,2017,0.8027210884353742,31,2009,-1,--,0.033,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,71,Alshon Jeffery,,,WR31,88,,,83,,50,73.4,00-0029137,WR,2017,0.8383838383838383,27,2012,0.811875,50.642628,0.078,45,10.4,123,57,789,49.3125,8,9,0,0,0,0,0,9,16
74,75,William Fuller V,,,WR32,92,,,63,,80,79.8,00-0033127,WR,2017,1.0,23,2016,0.786,85.69067,0.016,21,15.2,51,28,423,42.3,7,7,2,9,0.9,0,0,7,10
75,76,Sammy Watkins,,,WR33,74,,,94,,63,80.2,00-0031325,WR,2017,0.8939393939393939,24,2014,0.8039999999999999,53.409813,0.09,4,25.8,70,39,593,39.53333333333333,9,8,0,0,0,0,0,8,15
77,78,Robert Woods,PIT,7,WR34,64,,,93,,68,82.4,00-0030431,WR,2017,0.8148148148148148,25,2013,0.8208333333333333,91.257195,0.040999999999999995,41,11,85,56,781,65.08333333333333,12,5,2,12,1,0,1,5,12
79,80,Devin Funchess,,,WR35,77,,,92,,67,82.8,00-0032055,WR,2017,0.9795918367346939,23,2015,0.79,55.8065,0.01,41,11,112,63,840,52.5,15,8,0,0,0,0,0,8,16
82,83,Cooper Kupp,SEA,7,WR36,89,,,91,,85,85,00-0033908,WR,2017,1.0,24,2017,0.7593333333333333,36.030666,0.006,69,7.6,94,62,869,57.93333333333333,12,5,0,0,0,0,1,5,15
87,88,Jamison Crowder,,,WR37,102,,,74,,84,88.4,00-0031941,WR,2017,1.0,24,2015,0.7133333333333333,52.12981,0.005,105,5,103,66,789,52.6,12,3,7,34,2.2666666666666666,0,4,3,15
88,89,Robbie Chosen,SF,11,WR38,83,,,89,,98,89.8,00-0032688,WR,2017,1.0,24,2016,0.7831250000000001,67.37066,0.003,,0,115,63,941,58.8125,17,7,3,9,0.5625,0,0,7,16
91,92,Pierre Garcon,,,WR39,86,,,87,,74,92.6,00-0026345,WR,2017,0.9470198675496688,31,2008,0.785,35.65429,0.057,205,0.7,67,40,500,62.5,6,0,0,0,0,0,0,0,8
92,93,Jordy Nelson,,,WR40,100,,,101,,87,93.2,00-0026176,WR,2017,1.0,32,2008,0.8320000000000001,54.326153,0.04,36,11.8,89,53,482,34.42857142857143,4,6,0,0,0,0,0,6,14
95,96,Randall Cobb,,,WR41,101,,,103,,91,99.4,00-0028002,WR,2017,1.0,27,2011,0.7573333333333334,29.373625,0.07,64,8.1,93,66,653,46.642857142857146,7,4,9,17,1.2142857142857142,0,0,4,14
97,98,Nelson Agholor,,,WR42,110,,,104,,96,102,00-0031549,WR,2017,1.0,24,2015,0.7106250000000001,53.093624,0.016,20,15.5,95,62,768,48,9,8,1,7,0.4375,0,0,8,16
100,101,Sterling Shepard,TB,5,WR43,93,,,114,,100,105.6,00-0032385,WR,2017,1.0,24,2016,0.9000000000000002,97.96054,0.01,40,11.1,84,59,731,66.45454545454545,7,2,4,4,0.36363636363636365,0,0,2,11
108,109,Kelvin Benjamin,,,WR44,109,,,112,,105,113.8,00-0031359,WR,2017,1.0,26,2014,0.6435714285714286,28.400932,0.004,28,13.4,77,47,671,47.92857142857143,9,3,0,0,0,0,0,3,14
109,110,Kenny Stills,,,WR45,123,,,117,,118,115.8,00-0030085,WR,2017,1.0,25,2013,0.906875,70.00962,0.048,144,3,105,58,847,52.9375,14,6,0,0,0,0,2,6,16
114,115,DeVante Parker,,,WR46,151,,,116,,89,125.2,00-0031547,WR,2017,1.0,24,2015,0.8092307692307692,35.40167,0.019,14,17.8,97,57,670,51.53846153846154,9,1,0,0,0,0,0,1,13
115,116,Allen Hurns,,,WR47,128,,,118,,113,125.2,00-0030821,WR,2017,1.0,25,2014,-1,25.471558,0.031,,0,57,39,484,48.4,4,2,0,0,0,0,0,2,10
122,123,Calvin Ridley,TEN,8,WR48,158,,,135,,128,135.6,00-0034837,WR,2017,--,22,2018,-1,--,0.015,26,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0
