...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
1,2,Tyreek Hill,MIA,6,WR1,2,2,3,2.3,00-0033040,WR,2023,0.9694656488549618,29,172,119,1799,112.4375,29,13,6,15,0.9375,0,1,13,16
2,3,CeeDee Lamb,DAL,7,WR2,3,3,2,2.7,00-0036358,WR,2023,0.9850746268656716,24,182,135,1749,102.88235294117646,29,12,14,113,6.647058823529412,2,2,14,17
5,6,Justin Jefferson,MIN,6,WR3,7,4,7,6,00-0036322,WR,2023,0.8955223880597015,24,100,68,1074,107.4,25,5,1,-12,-1.2,0,1,5,10
6,7,Ja'Marr Chase,CIN,12,WR4,6,5,8,6.3,00-0036900,WR,2023,0.9019607843137255,23,145,100,1216,76,14,7,3,-6,-0.375,0,0,7,16
7,8,Amon-Ra St. Brown,DET,5,WR5,8,7,6,7,00-0036963,WR,2023,0.9607843137254902,23,165,119,1515,94.6875,24,10,4,24,1.5,0,1,10,16
8,9,A.J. Brown,PHI,5,WR6,10,9,11,10,00-0035676,WR,2023,0.9285714285714286,26,158,106,1456,85.6470588235294,21,7,0,0,0,0,2,7,17
11,12,Garrett Wilson,NYJ,12,WR7,11,13,12,12,00-0037740,WR,2023,1.0,23,168,95,1042,61.294117647058826,11,3,4,0,0,0,2,3,17
13,14,Puka Nacua,LAR,6,WR8,15,15,14,14.7,00-0039075,WR,2023,1.0,22,160,105,1486,87.41176470588235,25,6,12,89,5.235294117647059,0,0,6,17
14,15,Marvin Harrison Jr.,ARI,11,WR9,17,14,16,15.7,00-0039849,WR,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,Davante Adams,LAR,6,WR10,20,21,22,21,00-0031381,WR,2023,0.9575757575757575,30,175,103,1144,67.29411764705883,13,8,0,0,0,0,0,8,17
21,22,Drake London,ATL,12,WR11,25,19,23,22.3,00-0037238,WR,2023,0.9705882352941176,22,112,69,905,56.5625,17,2,0,0,0,0,0,2,16
24,25,Chris Olave,NO,12,WR12,26,22,29,25.7,00-0037239,WR,2023,0.9117647058823529,23,139,87,1123,70.1875,16,5,0,0,0,0,0,5,16
26,27,Deebo Samuel Sr.,WAS,14,WR13,28,28,26,27.3,00-0035719,WR,2023,0.7951807228915663,27,89,60,892,59.46666666666667,15,7,37,225,15,5,0,12,15
27,28,Nico Collins,HOU,14,WR14,34,33,25,30.7,00-0036554,WR,2023,0.7647058823529411,24,110,80,1297,86.46666666666667,25,8,1,7,0.4666666666666667,0,0,8,15
31,32,Mike Evans,TB,11,WR15,22,29,46,32.3,00-0031408,WR,2023,0.9636363636363636,30,137,79,1255,73.82352941176471,20,13,0,0,0,0,0,13,17
32,33,Brandon Aiyuk,SF,9,WR16,31,26,43,33.3,00-0036261,WR,2023,0.9253731343283582,25,105,75,1342,83.875,28,7,0,0,0,0,1,7,16
33,34,Cooper Kupp,SEA,10,WR17,32,39,33,34.7,00-0033908,WR,2023,0.8434782608695652,30,97,59,737,61.416666666666664,10,5,1,-3,-0.25,0,0,5,12
37,38,DJ Moore,CHI,7,WR18,38,38,39,38.3,00-0034827,WR,2023,0.9797979797979798,26,138,96,1364,80.23529411764706,25,8,4,21,1.2352941176470589,1,1,9,17
38,39,Michael Pittman Jr.,IND,14,WR19,44,44,28,38.7,00-0035640,WR,2023,0.9879518072289156,25,119,66,1114,69.625,19,8,0,0,0,0,0,8,16
39,40,DK Metcalf,PIT,9,WR20,37,41,38,38.7,00-0035640,WR,2023,0.9879518072289156,25,119,66,1114,69.625,19,8,0,0,0,0,0,8,16
40,41,Jaylen Waddle,MIA,6,WR21,40,35,42,39,00-0036613,WR,2023,0.9215686274509803,24,104,72,1014,72.42857142857143,12,4,3,12,0.8571428571428571,0,0,4,14
43,44,Stefon Diggs,NE,14,WR22,49,34,44,42.3,00-0031588,WR,2023,1.0,29,161,107,1183,69.58823529411765,10,8,1,5,0.29411764705882354,0,1,8,17
45,46,DeVonta Smith,PHI,5,WR23,45,47,45,45.7,00-0036912,WR,2023,0.9803921568627451,24,113,81,1066,66.625,14,7,0,0,0,0,1,7,16
48,49,Malik Nabers,NYG,11,WR24,56,42,47,48.3,00-0039337,WR,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,Amari Cooper,,,WR25,53,55,59,55.7,00-0031544,WR,2023,0.9795918367346939,29,130,72,1250,83.33333333333333,21,5,0,0,0,0,1,5,15
58,59,George Pickens,DAL,7,WR26,67,60,58,61.7,00-0037247,WR,2023,1.0,22,106,63,1140,67.05882352941177,22,5,3,18,1.0588235294117647,0,0,5,17
59,60,Tee Higgins,CIN,12,WR27,65,57,64,62,00-0036410,WR,2023,0.8805970149253731,24,76,42,656,54.666666666666664,8,5,0,0,0,0,0,5,12
62,63,Zay Flowers,BAL,14,WR28,66,52,72,63.3,00-0039064,WR,2023,0.9411764705882353,22,109,77,858,53.625,12,5,8,56,3.5,1,0,6,16
63,64,Tank Dell,HU,,WR29,61,54,75,63.3,00-0038977,WR,2023,0.6470588235294118,23,152,94,1418,141.8,10,14,22,102,10.2,0,0,14,10
66,67,Terry McLaurin,WAS,14,WR30,72,68,61,67,00-0035659,WR,2023,0.963855421686747,27,132,79,1002,58.94117647058823,15,4,0,0,0,0,0,4,17
69,70,Rashee Rice,KC,6,WR31,78,81,52,70.3,00-0039067,WR,2023,0.9411764705882353,23,102,79,938,58.625,10,7,1,-3,-0.1875,0,1,7,16
73,74,Christian Kirk,HU,,WR32,82,67,68,72.3,00-0034775,WR,2023,0.8585858585858586,26,85,57,787,65.58333333333333,13,3,1,6,0.5,0,2,3,12
75,76,Keenan Allen,LAC,5,WR33,80,65,81,75.3,00-0030279,WR,2023,0.7861271676300579,31,150,108,1243,95.61538461538461,19,7,2,6,0.46153846153846156,0,1,8,13
76,77,Chris Godwin,TB,11,WR34,87,79,73,79.7,00-0033921,WR,2023,0.9043478260869565,27,131,83,1024,60.23529411764706,14,2,4,38,2.235294117647059,1,0,3,17
77,78,Calvin Ridley,TEN,5,WR35,85,80,79,81.3,00-0034837,WR,2023,0.7472527472527473,28,137,76,1016,59.76470588235294,17,8,9,23,1.3529411764705883,0,0,8,17
81,82,Jayden Reed,GB,10,WR36,93,74,90,85.7,00-0039146,WR,2023,0.9411764705882353,23,95,64,793,49.5625,13,8,12,119,7.4375,2,0,10,16
82,83,Diontae Johnson,CLE,10,WR37,90,94,82,88.7,00-0035216,WR,2023,0.9285714285714286,27,87,51,710,54.61538461538461,10,5,0,0,0,0,0,5,13
86,87,Xavier Worthy,KC,6,WR38,107,76,91,91.3,00-0039894,WR,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
88,89,Rome Odunze,CHI,7,WR39,97,72,110,93,00-0039919,WR,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
98,99,Jaxon Smith-Njigba,SEA,10,WR40,114,102,93,103,00-0038543,WR,2023,1.0,21,93,63,628,36.94117647058823,7,4,0,0,0,0,0,4,17
99,100,Christian Watson,GB,10,WR41,112,100,98,103.3,00-0038124,WR,2023,0.6764705882352942,24,53,28,422,46.888888888888886,5,5,4,11,1.2222222222222223,0,0,5,9
101,102,Marquise Brown,KC,6,WR42,109,92,119,106.7,00-0035662,WR,2023,0.8674698795180723,26,104,51,574,44.15384615384615,8,4,2,23,1.7692307692307692,0,0,4,13
102,103,Jordan Addison,MIN,6,WR43,120,84,117,107,00-0038994,WR,2023,1.0,21,108,70,911,53.588235294117645,15,10,1,2,0.11764705882352941,0,0,10,17
106,107,DeAndre Hopkins,BAL,14,WR44,126,101,99,108.7,00-0030564,WR,2023,0.9175824175824175,31,137,75,1057,62.1764705882353,15,7,2,9,0.5294117647058824,0,0,7,17
107,108,Ladd McConkey,LAC,5,WR45,133,88,111,110.7,00-0039915,WR,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
108,109,Brian Thomas Jr.,JAC,12,WR46,116,105,113,111.3,00-0039893,WR,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
