...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
4,5,DeAndre Hopkins,BAL,8,WR1,5,,5,6,,6,5.3,00-0030564,WR,2018,1.0,26,2013,0.99,59.661293,0.09699999999999999,27,13.6,163,115,1572,98.25,23,11,1,-7,-0.4375,0,2,11,16
7,8,Davante Adams,LAR,9,WR2,10,,6,10,,7,7.5,00-0031381,WR,2018,1.0,25,2014,0.9346666666666664,26.753525,0.087,53,9.3,170,111,1386,92.4,18,13,0,0,0,0,0,13,15
9,10,Julio Jones,,,WR3,11,,9,11,,11,10.5,00-0027944,WR,2018,0.9586776859504132,29,2011,0.76625,58.72629,0.11699999999999999,6,23.2,170,113,1677,104.8125,24,8,2,12,0.75,0,2,8,16
10,11,Michael Thomas,,,WR4,8,,11,14,,10,10.7,00-0032765,WR,2018,1.0,25,2016,0.885,110.57229,0.102,47,10.1,148,125,1405,87.8125,17,9,0,0,0,0,2,9,16
11,12,Odell Beckham Jr.,,,WR5,13,,12,12,,12,12.8,00-0031235,WR,2018,0.8518518518518519,25,2014,0.9366666666666664,50.24331,0.102,12,18.8,125,77,1052,87.66666666666667,17,6,5,19,1.5833333333333333,0,1,8,12
13,14,JuJu Smith-Schuster,KC,12,WR6,15,,17,15,,15,14.8,00-0033857,WR,2018,0.96875,21,2017,0.860625,78.62263,0.006,62,8.3,167,111,1383,86.4375,17,7,1,13,0.8125,0,1,7,16
15,16,Tyreek Hill,MIA,5,WR7,12,,18,18,,16,15.7,00-0033040,WR,2018,1.0,24,2016,0.86625,161.698,0.096,165,2.1,137,87,1479,92.4375,27,12,22,151,9.4375,1,0,13,16
20,21,Antonio Brown,,,WR8,21,,19,21,,21,21,00-0027793,WR,2018,1.0,30,2010,0.9506666666666668,75.23171,0.08900000000000001,195,1,168,104,1297,86.46666666666667,17,15,0,0,0,0,0,15,15
21,22,Mike Evans,TB,7,WR9,22,,21,20,,22,21.2,00-0031408,WR,2018,0.9878048780487805,25,2014,0.84375,68.487335,0.09300000000000001,7,22.2,139,86,1524,95.25,26,8,0,0,0,0,1,8,16
22,23,Adam Thielen,CAR,7,WR10,31,,24,23,,24,25,00-0030035,WR,2018,1.0,28,2013,0.961875,69.44862,0.086,,0,154,113,1373,85.8125,17,9,5,30,1.875,0,1,9,16
23,24,Keenan Allen,LAC,12,WR11,23,,25,28,,23,25.2,00-0030279,WR,2018,0.7444444444444445,26,2013,0.805625,57.934,0.07200000000000001,76,7,137,97,1196,79.73333333333333,13,6,9,75,5,0,1,6,15
29,30,Amari Cooper,,,WR12,25,,28,35,,33,31.2,00-0031544,WR,2018,1.0,24,2015,0.7906666666666666,204.53667,0.04,4,25.8,107,75,1005,67,10,7,2,20,1.3333333333333333,0,2,7,15
30,31,Stefon Diggs,NE,10,WR13,37,,30,33,,34,32.2,00-0031588,WR,2018,1.0,24,2015,0.872,85.155525,0.081,146,2.9,150,102,1021,68.06666666666666,13,9,10,62,4.133333333333334,0,0,9,15
34,35,Julian Edelman,,,WR14,28,,31,38,,38,35.2,00-0027150,WR,2018,0.7975460122699386,32,2009,0.8741666666666665,15.481754,0.040999999999999995,232,0,108,74,850,70.83333333333333,12,6,9,107,8.916666666666666,0,0,6,12
37,38,Brandin Cooks,NO,9,WR15,35,,39,44,,40,38.8,00-0031236,WR,2018,0.8552631578947368,24,2014,0.8987499999999999,49.07124,0.091,20,15.5,117,80,1204,80.26666666666667,22,5,10,68,4.533333333333333,1,0,6,15
38,39,T.Y. Hilton,,,WR16,44,,32,45,,30,40.7,00-0029608,WR,2018,1.0,28,2012,0.7814285714285714,69.84835,0.091,92,5.8,120,76,1270,90.71428571428571,22,6,0,0,0,0,0,6,14
39,40,Robert Woods,PIT,7,WR17,39,,37,50,,39,41.8,00-0030431,WR,2018,0.845360824742268,26,2013,0.94625,51.697334,0.040999999999999995,41,11,130,86,1219,76.1875,20,6,19,157,9.8125,1,0,7,16
43,44,Kenny Golladay,,,WR18,45,,44,39,,41,44.5,00-0033932,WR,2018,1.0,24,2017,0.9013333333333334,53.52638,0.005,96,5.5,122,70,1063,70.86666666666666,19,5,1,8,0.5333333333333333,0,0,5,15
46,47,Chris Godwin,TB,7,WR19,51,,51,42,,45,46,00-0033921,WR,2018,1.0,22,2017,0.6425000000000001,59.966003,0.005,84,6.4,97,59,842,52.625,10,7,0,0,0,0,1,7,16
47,48,Tyler Lockett,TEN,11,WR20,47,,45,48,,47,46.2,00-0032211,WR,2018,0.9846153846153847,25,2015,0.84875,20.002666,0.06,69,7.6,71,57,965,60.3125,17,10,13,62,3.875,0,0,10,16
49,50,Cooper Kupp,SEA,11,WR21,46,,57,47,,44,49,00-0033908,WR,2018,0.84375,25,2017,0.8325,110.05268,0.006,69,7.6,55,40,566,70.75,9,6,4,25,3.125,0,0,6,8
