player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0034272,Marquez Valdes-Scantling,13,411.0,31.615385,3.726993,7.6932597
00-0039916,Ricky Pearsall,10,400.0,40.0,4.363788,7.614375
00-0031236,Brandin Cooks,10,259.0,25.9,3.7750518,7.556468
00-0038976,Marvin Mims,17,515.0,30.294117,3.8113155,7.4764805
00-0033943,Josh Reynolds,8,194.0,24.25,3.2468572,7.469578
00-0032775,Demarcus Robinson,19,602.0,31.68421,4.0196924,7.4634895
00-0037801,Kavontae Turpin,15,420.0,28.0,3.8394558,7.389006
00-0036196,Gabe Davis,9,239.0,26.555555,3.6070185,7.183069
00-0033589,David Moore,14,351.0,25.071428,3.441971,7.158688
00-0033555,Mack Hollins,19,482.0,25.368422,3.7799942,7.1498823
00-0033536,Mike Williams,14,335.0,23.928572,3.6658652,7.124896
00-0037614,John Metchie,12,317.0,26.416666,3.8207152,7.1003222
00-0033307,Kendrick Bourne,12,305.0,25.416666,3.5864284,7.0433774
00-0038393,Dontayvion Wicks,18,454.0,25.222221,3.9029515,6.9534564
00-0037291,Jalen Nailor,16,447.0,27.9375,4.199173,6.705701
00-0036427,Tyler Johnson,11,291.0,26.454546,4.104125,6.555931
00-0034418,Cedrick Wilson,10,211.0,21.1,3.3506103,6.4093614
00-0035662,Marquise Brown,5,141.0,28.2,4.413765,6.3882837
00-0032385,Sterling Shepard,13,334.0,25.692308,4.0834084,6.212295
00-0039810,Jermaine Burton,4,107.0,26.75,4.632613,6.2014155
00-0038619,Andrei Iosivas,17,479.0,28.17647,4.555306,5.94746
00-0033375,Tim Patrick,16,416.0,26.0,4.387444,5.9140754
00-0035500,Greg Dortch,17,342.0,20.117647,3.7350514,5.902353
00-0033282,Curtis Samuel,17,334.0,19.647058,3.8224344,5.8245764
00-0036630,Tylan Wallace,10,241.0,24.1,3.793389,5.787956
00-0039880,Malik Washington,12,223.0,18.583334,3.842807,5.477283
00-0033857,JuJu Smith-Schuster,14,307.0,21.928572,4.0456514,5.4532065
00-0036646,Simi Fehoko,5,106.0,21.2,4.358651,5.324905
00-0039890,Adonai Mitchell,17,312.0,18.352942,3.4886434,5.2940083
00-0035406,Lil'Jordan Humphrey,14,293.0,20.928572,3.5221505,5.146958
00-0032464,Kalif Raymond,11,252.0,22.90909,4.3141537,5.1214514
00-0037231,Kevin Austin,8,151.0,18.875,3.8611925,5.0758934
00-0037741,Jahan Dotson,16,269.0,16.8125,3.159952,5.0124645
00-0036415,Van Jefferson,16,313.0,19.5625,3.5719376,4.987432
00-0030431,Robert Woods,13,225.0,17.307692,3.9368436,4.968932
00-0039868,Troy Franklin,17,317.0,18.647058,3.759028,4.9577236
00-0038821,Rakim Jarrett,6,124.0,20.666666,4.1145473,4.9218645
00-0031941,Jamison Crowder,6,101.0,16.833334,3.5146859,4.9210944
00-0034854,KhaDarel Hodge,6,131.0,21.833334,4.4285417,4.5124574
00-0031549,Nelson Agholor,15,256.0,17.066668,4.18958,4.338601
00-0034386,Justin Watson,17,289.0,17.0,3.8963385,4.2986517
00-0038640,Jalen Brooks,12,177.0,14.75,3.531192,4.224487
00-0034860,Dante Pettis,8,120.0,15.0,3.8611925,4.0949974
00-0036527,D.J. Turner,10,158.0,15.8,3.9851315,3.9421291
00-0038824,Ryan Miller,8,128.0,16.0,4.179731,3.8505971
00-0039052,Trey Palmer,10,172.0,17.2,4.003483,3.8453999
00-0039062,Jonathan Mingo,14,167.0,11.928572,3.361035,3.704989
00-0038618,Xavier Hutchinson,16,203.0,12.6875,3.6563592,3.5491872
00-0039410,Ryan Flournoy,7,102.0,14.571428,3.6657543,3.5021698
00-0039355,Luke McCaffrey,13,168.0,12.923077,3.7015295,3.4381418
00-0036387,Jalen Reagor,7,100.0,14.285714,4.3332562,3.125626
00-0038573,Derius Davis,12,116.0,9.666667,3.8050683,2.4764307
00-0037091,Bo Melton,12,107.0,8.916667,3.5622606,2.2080755
00-0038752,Jake Bobo,11,107.0,9.727273,4.5524764,2.1365502
