"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0031381","Davante Adams",149,10.6,31.3,"WR","GB",29.7
2,"00-0030564","DeAndre Hopkins",161,10.1,34.2,"WR","ARI",29.4
3,"00-0031588","Stefon Diggs",166,10.4,35.8,"WR","BUF",29
4,"00-0036322","Justin Jefferson",128,8,30.8,"WR","MIN",26
5,"00-0032688","Robby Anderson",137,8.6,33.1,"WR","CAR",25.9
6,"00-0035662","Marquise Brown",100,6.2,24.6,"WR","BAL",25.4
7,"00-0031428","Allen Robinson",151,9.4,37.4,"WR","CHI",25.3
8,"00-0032211","Tyler Lockett",132,8.2,33.7,"WR","SEA",24.5
9,"00-0030279","Keenan Allen",149,10.6,38.4,"WR","LAC",24.3
10,"00-0035640","DK Metcalf",129,8.1,33.7,"WR","SEA",23.9
11,"00-0034837","Calvin Ridley",145,9.7,38,"WR","ATL",23.8
12,"00-0035659","Terry McLaurin",135,9,36,"WR","WAS",23.4
13,"00-0030431","Robert Woods",129,8.1,35.2,"WR","LA",22.9
14,"00-0031236","Brandin Cooks",119,7.9,33.1,"WR","HOU",22.5
15,"00-0035676","A.J. Brown",106,7.6,29.4,"WR","TEN",22.5
16,"00-0030035","Adam Thielen",110,7.3,30.8,"WR","MIN",22.3
17,"00-0034827","D.J. Moore",118,7.9,33.1,"WR","CAR",22.3
18,"00-0033040","Tyreek Hill",135,9,38.4,"WR","KC",22
19,"00-0033908","Cooper Kupp",124,8.3,35.2,"WR","LA",22
20,"00-0035216","Diontae Johnson",144,9.6,41.1,"WR","PIT",21.9
21,"00-0031382","Jarvis Landry",101,6.7,29.2,"WR","CLE",21.6
22,"00-0036407","Jerry Jeudy",115,7.2,33.6,"WR","DEN",21.4
23,"00-0031544","Amari Cooper",130,8.1,38.7,"WR","DAL",21
24,"00-0029293","Marvin Jones",116,7.2,35.4,"WR","DET",20.5
25,"00-0033857","JuJu Smith-Schuster",129,8.1,41.1,"WR","PIT",19.6
26,"00-0033871","Corey Davis",92,6.6,29.4,"WR","TEN",19.5
27,"00-0034960","Jakobi Meyers",82,6.8,26.3,"WR","NE",19.5
28,"00-0033009","Tyler Boyd",110,7.3,35.4,"WR","CIN",19.4
29,"00-0031941","Jamison Crowder",89,7.4,29.1,"WR","NYJ",19.1
30,"00-0036410","Tee Higgins",108,7.2,35.4,"WR","CIN",19.1
31,"00-0035535","Darius Slayton",96,6,31.5,"WR","NYG",19
32,"00-0029000","Cole Beasley",108,7.2,35.8,"WR","BUF",18.8
33,"00-0031547","DeVante Parker",104,7.4,34.5,"WR","MIA",18.8
34,"00-0027942","A.J. Green",104,6.5,35.4,"WR","CIN",18.4
35,"00-0031408","Mike Evans",111,6.9,38,"WR","TB",18.3
36,"00-0031868","Damiere Byrd",77,5.5,26.3,"WR","NE",18.3
37,"00-0032385","Sterling Shepard",92,7.7,31.5,"WR","NYG",18.3
38,"00-0033282","Curtis Samuel",97,6.5,33.1,"WR","CAR",18.3
39,"00-0034411","Russell Gage",109,6.8,38,"WR","ATL",17.9
40,"00-0036358","CeeDee Lamb",111,6.9,38.7,"WR","DAL",17.9
41,"00-0029608","T.Y. Hilton",94,6.3,33.6,"WR","IND",17.5
42,"00-0036261","Brandon Aiyuk",96,8,34.8,"WR","SF",17.2
43,"00-0034764","Michael Gallup",105,6.6,38.7,"WR","DAL",17
44,"00-0036326","Chase Claypool",112,7,41.1,"WR","PIT",17
45,"00-0036309","Darnell Mooney",99,6.2,37.4,"WR","CHI",16.6
46,"00-0027685","Emmanuel Sanders",82,5.9,31.8,"WR","NO",16.1
47,"00-0034777","D.J. Chark",94,7.2,37.1,"WR","JAX",15.9
48,"00-0031549","Nelson Agholor",82,5.1,32.8,"WR","LV",15.6
49,"00-0033681","Keelan Cole",89,5.6,37.1,"WR","JAX",15
50,"00-0033375","Tim Patrick",80,5.3,33.6,"WR","DEN",14.9
51,"00-0034983","Hunter Renfrow",77,4.8,32.8,"WR","LV",14.7
52,"00-0033943","Josh Reynolds",81,5.1,35.2,"WR","LA",14.4
53,"00-0034775","Christian Kirk",79,5.6,34.2,"WR","ARI",14.4
54,"00-0033127","Will Fuller",75,7.5,33.1,"WR","HOU",14.2
55,"00-0033733","Greg Ward",80,5,35.4,"WR","PHI",14.1
56,"00-0033536","Mike Williams",85,6.1,38.4,"WR","LAC",13.8
57,"00-0033921","Chris Godwin",84,7,38,"WR","TB",13.8
58,"00-0033307","Kendrick Bourne",75,5,34.8,"WR","SF",13.5
59,"00-0035624","N'Keal Harry",57,4.4,26.3,"WR","NE",13.5
60,"00-0033251","Zach Pascal",72,4.5,33.6,"WR","IND",13.4
61,"00-0036268","Laviska Shenault",79,5.6,37.1,"WR","JAX",13.3
62,"00-0022921","Larry Fitzgerald",72,5.5,34.2,"WR","ARI",13.2
63,"00-0032054","Breshad Perriman",60,5,29.1,"WR","NYJ",12.9
64,"00-0034353","Anthony Miller",76,4.8,37.4,"WR","CHI",12.7
65,"00-0034272","Marquez Valdes-Scantling",63,4.5,31.3,"WR","GB",12.6
66,"00-0026035","Danny Amendola",69,4.9,35.4,"WR","DET",12.2
67,"00-0030663","Willie Snead",48,3.7,24.6,"WR","BAL",12.2
68,"00-0034419","Braxton Berrios",55,4.2,29.1,"WR","NYJ",11.8
69,"00-0035592","Travis Fulgham",67,5.6,35.4,"WR","PHI",11.8
70,"00-0036252","Michael Pittman",61,4.7,33.6,"WR","IND",11.4
71,"00-0027944","Julio Jones",68,7.6,38,"WR","ATL",11.2
72,"00-0032977","Rashard Higgins",52,4.3,29.2,"WR","CLE",11.1
73,"00-0032765","Michael Thomas",55,7.9,31.8,"WR","NO",10.8
74,"00-0036196","Gabriel Davis",62,3.9,35.8,"WR","BUF",10.8
75,"00-0032128","Chris Conley",63,4.5,37.1,"WR","JAX",10.6
76,"00-0036412","K.J. Hamler",56,5.6,33.6,"WR","DEN",10.4
77,"00-0027891","Golden Tate",52,4.3,31.5,"WR","NYG",10.3
