"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0027793","Antonio Brown",197,12.3,37.2,"WR","PIT",33.1
2,"00-0027944","Julio Jones",203,12.7,38.7,"WR","ATL",32.8
3,"00-0030564","DeAndre Hopkins",193,12.1,38.5,"WR","HOU",31.3
4,"00-0027874","Demaryius Thomas",177,11.1,37.8,"WR","DEN",29.3
5,"00-0024334","Brandon Marshall",173,10.8,37.6,"WR","NYJ",28.7
6,"00-0031382","Jarvis Landry",167,10.4,36.4,"WR","MIA",28.6
7,"00-0031408","Mike Evans",148,9.9,33,"WR","TB",28
8,"00-0027942","A.J. Green",132,8.2,30.9,"WR","CIN",26.7
9,"00-0026995","Jeremy Maclin",124,8.3,29.2,"WR","KC",26.6
10,"00-0022921","Larry Fitzgerald",145,9.1,34.4,"WR","ARI",26.4
11,"00-0031235","Odell Beckham",158,10.5,38.4,"WR","NYG",25.7
12,"00-0031428","Allen Robinson",151,9.4,37.9,"WR","JAX",24.9
13,"00-0026986","Michael Crabtree",146,9.1,37.8,"WR","LV",24.2
14,"00-0025389","Calvin Johnson",149,9.3,38.9,"WR","DET",23.9
15,"00-0027685","Emmanuel Sanders",137,9.1,37.8,"WR","DEN",22.7
16,"00-0028002","Randall Cobb",129,8.1,35.6,"WR","GB",22.6
17,"00-0029608","T.Y. Hilton",134,8.4,37.9,"WR","IND",22.1
18,"00-0027690","Eric Decker",132,8.8,37.6,"WR","NYJ",21.9
19,"00-0028434","Doug Baldwin",103,6.4,29.7,"WR","SEA",21.7
20,"00-0031544","Amari Cooper",130,8.1,37.8,"WR","LV",21.5
21,"00-0022084","Anquan Boldin",112,8,32.9,"WR","SF",21.3
22,"00-0029269","Travis Benjamin",127,7.9,37.8,"WR","CLE",21
23,"00-0029293","Marvin Jones",103,6.4,30.9,"WR","CIN",20.8
24,"00-0027891","Golden Tate",129,8.1,38.9,"WR","DET",20.7
25,"00-0031325","Sammy Watkins",96,7.4,28.9,"WR","BUF",20.7
26,"00-0031299","Jordan Matthews",128,8,38.8,"WR","PHI",20.6
27,"00-0026345","Pierre Garcon",112,7,34.9,"WR","WAS",20.1
28,"00-0025396","Ted Ginn",96,6.9,30.9,"WR","CAR",19.4
29,"00-0031236","Brandin Cooks",129,8.1,41.6,"WR","NO",19.4
30,"00-0028497","Kamar Aiken",128,8,41.9,"WR","BAL",19.1
31,"00-0031588","Stefon Diggs",84,6.5,27.7,"WR","MIN",19
32,"00-0030525","Tavon Austin",87,5.4,29.3,"WR","LA",18.6
33,"00-0031051","John Brown",101,6.7,34.4,"WR","ARI",18.4
34,"00-0029137","Alshon Jeffery",94,10.4,32.6,"WR","CHI",18
35,"00-0030542","Terrance Williams",93,5.8,32.5,"WR","DAL",17.9
36,"00-0025465","James Jones",101,6.3,35.6,"WR","GB",17.7
37,"00-0030821","Allen Hurns",106,7.1,37.9,"WR","JAX",17.5
38,"00-0030431","Robert Woods",80,5.7,28.9,"WR","BUF",17.3
39,"00-0031339","Donte Moncrief",105,6.6,37.9,"WR","IND",17.3
40,"00-0031381","Davante Adams",96,7.4,35.6,"WR","GB",16.8
41,"00-0026901","Mike Wallace",72,4.8,27.7,"WR","MIN",16.3
42,"00-0029638","Michael Floyd",89,5.9,34.4,"WR","ARI",16.2
43,"00-0031373","Martavis Bryant",92,8.4,37.2,"WR","PIT",15.5
44,"00-0027006","Kenny Britt",72,4.5,29.3,"WR","LA",15.4
45,"00-0023367","Nate Washington",94,7.2,38.5,"WR","HOU",15.3
46,"00-0030663","Willie Snead",102,6.8,41.6,"WR","NO",15.3
47,"00-0029262","Rueben Randle",90,5.6,38.4,"WR","NYG",14.6
48,"00-0029159","Jermaine Kearse",69,4.3,29.7,"WR","SEA",14.5
49,"00-0032211","Tyler Lockett",69,4.3,29.7,"WR","SEA",14.5
50,"00-0029000","Cole Beasley",75,4.7,32.5,"WR","DAL",14.4
51,"00-0031941","Jamison Crowder",80,5,34.9,"WR","WAS",14.3
52,"00-0027150","Julian Edelman",88,9.8,39,"WR","NE",14.1
53,"00-0026035","Danny Amendola",87,6.2,39,"WR","NE",13.9
54,"00-0027902","Dez Bryant",72,8,32.5,"WR","DAL",13.8
55,"00-0030279","Keenan Allen",90,11.2,41.4,"WR","LAC",13.6
56,"00-0030460","Markus Wheaton",80,5,37.2,"WR","PIT",13.4
57,"00-0026224","Harry Douglas",72,5.1,34.2,"WR","TEN",13.2
58,"00-0022044","Andre Johnson",78,4.9,37.9,"WR","IND",12.9
59,"00-0032055","Devin Funchess",63,3.9,30.9,"WR","CAR",12.8
60,"00-0027077","Brian Hartline",77,6.4,37.8,"WR","CLE",12.7
