Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
306,Zach Pascal,NYG,11,WR95,,,,303.0,00-0033251,WR,2019,1.0,24,2017,0.7293333333333334,78.50247,0.004,,0.0,5.829268292682927
310,Steven Sims Jr.,SEA,6,WR96,,,,309.0,00-0034928,WR,2019,1.0,22,2019,0.2615384615384615,58.32192,0.003,,0.0,5.0588235294117645
311,Nelson Agholor,,,WR97,,,,310.0,00-0031549,WR,2019,0.9382716049382716,26,2015,0.8863636363636366,64.30073,0.005,20.0,15.5,3.3846153846153846
314,Phillip Dorsett II,LV,6,WR98,,,,315.0,00-0032208,WR,2019,0.9753086419753086,26,2015,0.5483333333333333,58.03055,0.005,29.0,13.2,2.7241379310344827
316,Adam Humphries,,,WR99,,,,318.0,00-0032009,WR,2019,0.9487179487179487,26,2015,0.5245454545454545,16.031744,0.048,,0.0,3.2432432432432434
317,Marquez Valdes-Scantling,SEA,6,WR100,,,,319.0,00-0034272,WR,2019,1.0,24,2018,0.5371428571428571,51.390663,0.004,174.0,1.7,5.961538461538462
319,Russell Gage Jr.,SF,11,WR101,,,,321.0,00-0034411,WR,2019,1.0,23,2018,0.4093333333333333,31.80923,0.004,194.0,1.1,3.0816326530612246
323,Demarcus Robinson,SF,11,WR102,,,,325.0,00-0032775,WR,2019,1.0,24,2016,0.6846666666666668,77.524956,0.012,126.0,3.8,3.21875
326,J.J. Arcega-Whiteside,,,WR103,,,,328.0,00-0035246,WR,2019,1.0,22,2019,0.3407142857142857,8.089822,0.006999999999999999,57.0,8.9,1.6
329,Van Jefferson,TEN,4,WR104,,,,331.0,00-0036415,WR,2019,--,23,2020,-1.0,--,0.006999999999999999,57.0,8.9,--
331,Tajae Sharpe,,,WR105,,,,333.0,00-0032778,WR,2019,0.734375,24,2016,0.4846153846153846,40.056664,0.005,140.0,3.1,2.32
334,Antonio Gandy-Golden,,,WR106,,,,336.0,00-0036340,WR,2019,--,21,2020,-1.0,--,0.005,142.0,3.0,--
