Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr
110,Courtland Sutton,DEN,14,WR47,121.0,114.0,104.0,113.0,00-0034348,WR,2023,0.81,27,2018,0.785,36.9305,0.054000000000000006,40.0,11.1,0,0.0,0,0,0.0,0,59,772.0,10,3.0,2,30.0,1,0,0.0,0,81,1081.0,8,1.0,2.6440677966101696
117,Keon Coleman,BUF,12,WR48,142.0,98.0,115.0,118.3,00-0039901,WR,2023,--,20,2024,-1.0,--,0.01,33.0,12.3,--,--,--,--,--,--,--,--,--,--,0,0.0,0,1,9.0,0,29,556.0,4,0.0,--
118,Jameson Williams,DET,5,WR49,141.0,111.0,103.0,118.3,00-0037240,WR,2023,0.5294117647058824,22,2022,0.5325,20.777197,0.021,12.0,18.8,0,0.0,0,3,29.0,1,24,354.0,2,0.0,0,0.0,0,11,61.0,1,58,1001.0,7,0.0,4.375
126,Khalil Shakir,BUF,12,WR50,151.0,126.0,122.0,133.0,00-0037261,WR,2023,0.9411764705882353,23,2022,0.5135294117647059,37.54096,0.005,148.0,2.8,0,0.0,0,1,10.0,0,39,611.0,2,0.0,0,0.0,0,2,4.0,0,76,821.0,4,0.0,7.230769230769231
133,Curtis Samuel,BUF,12,WR51,172.0,120.0,127.0,139.7,00-0033282,WR,2023,0.8260869565217391,27,2017,0.56375,41.646,0.031,40.0,11.1,0,0.0,0,7,39.0,1,62,613.0,4,0.0,0,0.0,0,5,14.0,0,31,253.0,1,0.0,4.193548387096774
136,Romeo Doubs,GB,10,WR52,182.0,121.0,121.0,141.3,00-0037816,WR,2023,0.8823529411764706,23,2022,0.7670588235294117,36.81507,0.005,132.0,3.5,0,0.0,0,0,0.0,0,59,674.0,8,0.0,0,0.0,0,0,0.0,0,46,601.0,4,0.0,2.2711864406779663
138,Tyler Lockett,TEN,5,WR53,163.0,122.0,152.0,145.7,00-0032211,WR,2023,0.9797297297297297,30,2015,0.7994117647058824,51.73809,0.059000000000000004,69.0,7.6,0,0.0,0,0,0.0,0,79,894.0,5,0.0,0,0.0,0,0,0.0,0,49,600.0,2,0.0,2.6582278481012658
142,Joshua Palmer,BUF,12,WR54,189.0,138.0,124.0,150.3,00-0036988,WR,2023,0.8431372549019608,23,2021,0.751,38.048996,0.006999999999999999,77.0,6.9,0,0.0,0,1,6.0,0,38,581.0,2,1.0,0,0.0,0,0,0.0,0,39,584.0,1,0.0,5.157894736842105
145,Jakobi Meyers,LV,10,WR55,179.0,137.0,138.0,151.3,00-0034960,WR,2023,0.9404761904761905,26,2019,0.898125,54.09976,0.049,,0.0,2,12.0,1,4,24.0,2,71,807.0,8,0.0,0,0.0,0,2,23.0,0,87,1027.0,4,0.0,3.408450704225352
148,Jerry Jeudy,CLE,10,WR56,190.0,141.0,136.0,155.7,00-0036407,WR,2023,0.8529411764705882,24,2020,0.65875,14.5251665,0.069,15.0,17.4,0,0.0,0,0,0.0,0,54,758.0,2,0.0,0,0.0,0,0,0.0,0,90,1229.0,4,0.0,5.981481481481482
153,Dontayvion Wicks,GB,10,WR57,157.0,162.0,154.0,157.7,00-0038393,WR,2023,0.8823529411764706,22,2023,0.476,40.960415,0.005,159.0,2.3,1,14.0,0,1,1.0,0,39,581.0,4,1.0,0,0.0,0,0,0.0,0,39,415.0,5,0.0,5.410256410256411
156,Brandin Cooks,NO,12,WR58,162.0,152.0,164.0,159.3,00-0031236,WR,2023,0.8742138364779874,29,2014,0.733125,66.55933,0.044000000000000004,20.0,15.5,0,0.0,0,5,35.0,0,54,657.0,8,0.0,0,0.0,0,3,-3.0,0,26,259.0,3,0.0,2.314814814814815
160,Adam Thielen,CAR,11,WR59,161.0,172.0,156.0,163.0,00-0030035,WR,2023,0.9393939393939394,33,2013,0.9111764705882353,82.67361,0.037000000000000005,,0.0,0,0.0,0,1,6.0,0,103,1014.0,4,0.0,0,0.0,0,0,0.0,0,48,615.0,5,0.0,3.3009708737864076
161,Mike Williams,,,WR60,202.0,140.0,148.0,163.3,00-0033536,WR,2023,0.8173913043478261,28,2017,0.7799999999999999,68.903336,0.039,7.0,22.2,0,0.0,0,1,3.0,0,19,249.0,1,0.0,0,0.0,0,0,0.0,0,21,298.0,1,0.0,5.684210526315789
162,Rashid Shaheed,N,12 O,WR61,177.0,144.0,169.0,163.3,00-0037545,WR,2023,0.9310344827586207,25,2022,0.5800000000000001,49.380665,0.012,,0.0,0,0.0,0,7,37.0,0,46,719.0,5,0.0,0,0.0,0,6,29.0,0,20,349.0,3,0.0,3.282608695652174
163,Adonai Mitchell,IND,14,WR62,200.0,125.0,170.0,165.0,00-0039890,WR,2023,--,20,2024,-1.0,--,0.006999999999999999,52.0,9.4,--,--,--,--,--,--,--,--,--,--,1,24.0,0,4,6.0,0,23,312.0,0,1.0,--
167,Gabe Davis ,,,WR63,196.0,151.0,153.0,166.7,00-0036196,WR,2023,0.9701492537313433,24,2020,0.8341176470588235,92.3025,0.051,128.0,3.7,0,0.0,0,1,-2.0,0,45,746.0,7,1.0,0,0.0,0,0,0.0,0,20,239.0,2,1.0,4.0
170,Xavier Legette,CAR,11,WR64,175.0,142.0,187.0,168.0,00-0039342,WR,2023,--,22,2024,-1.0,--,0.012,32.0,12.5,--,--,--,--,--,--,--,--,--,--,0,0.0,0,6,24.0,0,49,497.0,4,0.0,--
174,Ja'Lynn Polk,NE,14,WR65,183.0,160.0,178.0,173.7,00-0039907,WR,2023,--,22,2024,-1.0,--,0.009000000000000001,37.0,11.6,--,--,--,--,--,--,--,--,--,--,0,0.0,0,1,0.0,0,12,87.0,2,0.0,--
181,Jahan Dotson,PHI,5,WR66,150.0,163.0,228.0,180.3,00-0037741,WR,2023,0.8529411764705882,23,2022,0.8258823529411764,42.99132,0.018000000000000002,16.0,16.9,0,0.0,0,0,0.0,0,49,518.0,4,0.0,0,0.0,0,1,13.0,0,19,216.0,0,0.0,2.3469387755102042
182,Josh Downs,IND,14,WR67,188.0,165.0,189.0,180.7,00-0038997,WR,2023,1.0,22,2023,0.6752941176470588,28.298822,0.006,79.0,6.8,0,0.0,0,0,0.0,0,68,771.0,2,0.0,0,0.0,0,1,-1.0,0,72,803.0,5,0.0,5.455882352941177
200,Darnell Mooney,ATL,12,WR68,,175.0,168.0,171.5,00-0036309,WR,2023,0.8955223880597015,25,2020,0.7466666666666666,20.407087,0.051,173.0,1.8,0,0.0,0,2,5.0,0,31,414.0,1,0.0,0,0.0,0,0,0.0,0,64,992.0,5,0.0,5.838709677419355
202,Michael Wilson,ARI,11,WR69,,190.0,159.0,174.5,00-0038559,WR,2023,0.7647058823529411,23,2023,0.7999999999999999,53.495773,0.006,94.0,5.7,0,0.0,0,0,0.0,0,38,565.0,3,0.0,0,0.0,0,1,7.0,0,47,548.0,4,1.0,3.6578947368421053
210,Quentin Johnston,LAC,5,WR70,,182.0,202.0,192.0,00-0038544,WR,2023,1.0,21,2023,0.6499999999999999,16.527206,0.016,21.0,15.2,0,0.0,0,3,9.0,0,38,431.0,2,0.0,0,0.0,0,3,6.0,0,55,711.0,8,0.0,4.0
212,DeMario Douglas,NE,14,WR71,,185.0,208.0,196.5,00-0038621,WR,2023,0.8235294117647058,22,2023,0.5707142857142858,15.076483,0.004,210.0,0.6,0,0.0,0,8,41.0,0,49,561.0,0,1.0,0,0.0,0,3,16.0,0,66,621.0,3,0.0,6.857142857142857
221,Troy Franklin,DEN,14,WR72,,174.0,249.0,211.5,00-0039868,WR,2023,--,20,2024,-1.0,--,0.005,102.0,5.1,--,--,--,--,--,--,--,--,--,--,0,0.0,0,2,8.0,0,28,263.0,2,0.0,--
223,Jermaine Burton,CIN,12,WR73,,196.0,229.0,212.5,00-0039810,WR,2023,--,22,2024,-1.0,--,0.006,80.0,6.7,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,4,107.0,0,0.0,--
228,Luke McCaffrey,WAS,14,WR74,,199.0,239.0,219.0,00-0039355,WR,2023,--,22,2024,-1.0,--,0.005,100.0,5.3,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,18,168.0,0,0.0,--
233,Wan'Dale Robinson,NYG,11,WR75,,226.0,217.0,221.5,00-0038117,WR,2023,0.6176470588235294,22,2022,0.656,31.160286,0.01,43.0,10.6,0,0.0,0,9,87.0,1,60,525.0,1,0.0,0,0.0,0,3,18.0,0,93,699.0,3,0.0,4.783333333333333
234,Marvin Mims Jr.,DEN,14,WR76,,206.0,238.0,222.0,00-0038976,WR,2023,0.9411764705882353,21,2023,0.3768749999999999,37.398857,0.006999999999999999,63.0,8.2,0,0.0,0,9,30.0,0,22,377.0,1,0.0,0,0.0,0,13,42.0,0,39,503.0,6,0.0,7.0
238,Ricky Pearsall,SF,9,WR77,,169.0,280.0,224.5,00-0039916,WR,2023,--,22,2024,-1.0,--,0.012,31.0,12.7,--,--,--,--,--,--,--,--,--,--,0,0.0,0,3,45.0,0,31,400.0,3,0.0,--
242,Rashod Bateman,BAL,14,WR78,,202.0,251.0,226.5,00-0036550,WR,2023,0.6666666666666666,23,2021,0.5725,5.155714,0.025,27.0,13.6,0,0.0,0,1,18.0,0,32,367.0,1,0.0,0,0.0,0,0,0.0,0,45,756.0,9,0.0,1.84375
251,Greg Dortch,ARI,11,WR79,,222.0,242.0,232.0,00-0035500,WR,2023,0.9069767441860465,25,2019,0.3668749999999999,35.5375,0.004,,0.0,0,0.0,0,1,5.0,0,24,280.0,2,0.0,0,0.0,0,5,31.0,0,37,342.0,3,1.0,6.333333333333333
253,Roman Wilson,PIT,9,WR80,,189.0,279.0,234.0,00-0039739,WR,2023,--,22,2024,-1.0,--,0.006,84.0,6.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
254,Jalen McMillan,TB,11,WR81,,230.0,243.0,236.5,00-0039855,WR,2023,--,21,2024,-1.0,--,0.006,92.0,5.8,--,--,--,--,--,--,--,--,--,--,0,0.0,0,4,43.0,0,37,461.0,8,0.0,--
263,Dyami Brown,JAC,12,WR82,,,190.0,190.0,00-0036626,WR,2023,0.9215686274509803,23,2021,0.2188235294117647,14.122509,0.006999999999999999,82.0,6.5,1,4.0,0,1,0.0,0,12,168.0,1,0.0,0,0.0,0,3,26.0,0,30,308.0,1,1.0,6.333333333333333
265,Demarcus Robinson,SF,9,WR83,,220.0,285.0,252.5,00-0032775,WR,2023,0.9923664122137404,28,2016,0.358125,43.605003,0.016,126.0,3.8,0,0.0,0,1,23.0,0,26,371.0,4,1.0,0,0.0,0,0,0.0,0,31,505.0,7,0.0,3.423076923076923
267,Tyler Boyd,,,WR84,,238.0,270.0,254.0,00-0033009,WR,2023,0.9847328244274809,28,2016,0.7605882352941178,23.415295,0.009000000000000001,55.0,9.1,0,0.0,0,2,11.0,0,67,667.0,2,1.0,0,0.0,0,1,3.0,0,39,390.0,0,0.0,4.164179104477612
268,Malachi Corley,NYJ,12,WR85,,208.0,303.0,255.5,00-0039920,WR,2023,--,21,2024,-1.0,--,0.006,65.0,8.0,--,--,--,--,--,--,--,--,--,--,0,0.0,0,2,26.0,0,3,16.0,0,0.0,--
269,Jalen Tolbert,DAL,7,WR86,,248.0,269.0,258.5,00-0037666,WR,2023,0.7352941176470589,24,2022,0.3988235294117648,18.318588,0.006,88.0,6.1,0,0.0,0,0,0.0,0,22,268.0,2,0.0,0,0.0,0,0,0.0,0,49,610.0,7,0.0,1.5454545454545454
285,Javon Baker,NE,14,WR88,,232.0,,232.0,00-0039853,WR,2023,--,21,2024,-1.0,--,0.005,110.0,4.7,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,1,12.0,0,0.0,--
287,Odell Beckham Jr.,,,WR89,,242.0,304.0,273.0,00-0031235,WR,2023,0.8231292517006803,30,2014,0.4935714285714286,32.432583,0.012,12.0,18.8,0,0.0,0,0,0.0,0,35,565.0,3,1.0,0,0.0,0,0,0.0,0,9,55.0,0,0.0,4.428571428571429
288,Andrei Iosivas,CIN,12,WR90,,,240.0,240.0,00-0038619,WR,2023,0.9411764705882353,23,2023,0.259375,39.874443,0.004,206.0,0.7,0,0.0,0,0,0.0,0,15,116.0,4,0.0,0,0.0,0,0,0.0,0,36,479.0,6,0.0,2.3333333333333335
