Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,snap_share,rookie_season,apy_cap_pct,draft_pick,pick_value,fan_pts_var,yac_pr
64,Tetairoa McMillan,CAR,14.0,WR28,78.0,59.0,53.0,63.3,00-0040124,WR,2024,--,21,-1.0,2025,0.025,8.0,21.4,--,--
68,George Pickens,DAL,10.0,WR29,67.0,64.0,68.0,66.3,00-0037247,WR,2024,0.9411764705882353,23,0.8021428571428572,2022,0.008,52.0,9.4,37.83033,3.6440677966101696
71,Travis Hunter,JAC,8.0,WR30,70.0,65.0,72.0,69.0,00-0040718,CB,2024,--,21,-1.0,2025,--,2.0,30.2,--,--
72,Calvin Ridley,TEN,10.0,WR31,77.0,75.0,61.0,71.0,00-0034837,WR,2024,0.7870370370370371,29,0.8129411764705882,2018,0.09,26.0,13.9,55.436546,3.609375
73,Jaylen Waddle,MIA,12.0,WR32,72.0,67.0,77.0,72.0,00-0036613,WR,2024,0.9117647058823529,25,0.7866666666666667,2021,0.111,6.0,23.2,50.77781,4.068965517241379
75,Chris Olave,NO,11.0,WR33,81.0,69.0,75.0,75.0,00-0037239,WR,2024,0.7647058823529411,24,0.6174999999999999,2022,0.023,11.0,19.3,72.22411,3.78125
77,Jerry Jeudy,CLE,9.0,WR34,90.0,74.0,67.0,77.0,00-0036407,WR,2024,0.8823529411764706,25,0.8970588235294118,2020,0.069,15.0,17.4,91.6072,4.3
79,Chris Godwin,TB,9.0,WR35,85.0,80.0,81.0,82.0,00-0033921,WR,2024,0.8409090909090909,28,0.87,2017,0.079,84.0,6.4,72.9081,7.0
80,Rome Odunze,CHI,5.0,WR36,86.0,79.0,83.0,82.7,00-0039919,WR,2024,1.0,22,0.8358823529411765,2024,0.022000000000000002,9.0,20.6,38.44691,4.685185185185185
82,Jordan Addison,MIN,6.0,WR37,89.0,76.0,85.0,83.3,00-0038994,WR,2024,0.9411764705882353,22,0.8173333333333334,2023,0.015,23.0,14.6,107.9338,3.380952380952381
85,Deebo Samuel Sr.,WAS,12.0,WR38,102.0,85.0,79.0,88.7,00-0035719,WR,2024,0.81,28,0.7313333333333333,2019,0.115,36.0,11.8,50.250553,8.254901960784315
89,Stefon Diggs,NE,14.0,WR39,103.0,91.0,82.0,92.0,00-0031588,WR,2024,0.9454545454545454,30,0.78375,2015,0.076,146.0,2.9,32.029373,3.9361702127659575
91,Cooper Kupp,SEA,8.0,WR40,111.0,90.0,84.0,95.0,00-0033908,WR,2024,0.8333333333333334,31,0.815,2017,0.054000000000000006,69.0,7.6,105.98515,4.014925373134329
92,Jakobi Meyers,LV,8.0,WR41,106.0,84.0,98.0,96.0,00-0034960,WR,2024,0.9306930693069307,27,0.9166666666666666,2019,0.049,,0.0,37.230953,3.367816091954023
93,Jauan Jennings,SF,14.0,WR42,105.0,100.0,91.0,98.7,00-0036259,WR,2024,0.8823529411764706,27,0.7439999999999999,2020,0.023,217.0,0.3,130.55095,3.090909090909091
96,Ricky Pearsall,SF,14.0,WR43,110.0,94.0,100.0,101.3,00-0039916,WR,2024,0.6470588235294118,23,0.67,2024,0.012,31.0,12.7,93.01833,3.6774193548387095
97,Jayden Reed,GB,5.0,WR44,100.0,95.0,109.0,101.3,00-0039146,WR,2024,0.9705882352941176,24,0.631764705882353,2023,0.008,50.0,9.7,77.3536,6.909090909090909
101,Khalil Shakir,BUF,7.0,WR45,125.0,86.0,105.0,105.3,00-0037261,WR,2024,0.9411764705882353,24,0.6133333333333333,2022,0.047,148.0,2.8,30.988096,7.855263157894737
103,Matthew Golden,GB,5.0,WR46,134.0,96.0,88.0,106.0,00-0040667,WR,2024,--,21,-1.0,2025,0.016,23.0,14.6,--,--
113,Emeka Egbuka,TB,9.0,WR47,126.0,109.0,107.0,114.0,00-0040129,WR,2024,--,21,-1.0,2025,0.016,19.0,15.8,--,--
115,Josh Downs,IND,11.0,WR48,136.0,104.0,120.0,120.0,00-0038997,WR,2024,0.9117647058823529,23,0.6442857142857142,2023,0.006,79.0,6.8,49.582855,5.5
122,Brandon Aiyuk,SF,14.0,WR49,149.0,105.0,132.0,128.7,00-0036261,WR,2024,0.8214285714285714,26,0.7614285714285715,2020,0.11699999999999999,25.0,14.1,40.704765,4.28
