player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0030564,DeAndre Hopkins,15,1378.0,91.86667,3.5605772,26.682983
00-0027793,Antonio Brown,15,1665.0,111.0,4.5391936,23.862312
00-0027944,Julio Jones,18,1639.0,91.05556,4.185747,21.315424
00-0022921,Larry Fitzgerald,16,1156.0,72.25,3.8460991,19.477924
00-0030035,Adam Thielen,18,1378.0,76.55556,3.8532164,19.180164
00-0031235,Odell Beckham,4,302.0,75.5,4.2906685,18.761417
00-0030279,Keenan Allen,16,1393.0,87.0625,4.563659,18.448372
00-0032765,Michael Thomas,18,1461.0,81.166664,4.5928516,18.140173
00-0030431,Robert Woods,13,923.0,71.0,4.1659946,17.965136
00-0029664,Josh Gordon,5,335.0,67.0,3.6575418,17.657198
00-0031381,Davante Adams,14,885.0,63.214287,3.65289,17.599382
00-0027942,A.J. Green,16,1078.0,67.375,3.74489,17.598734
00-0033040,Tyreek Hill,16,1270.0,79.375,4.5304723,17.29219
00-0027874,Demaryius Thomas,16,949.0,59.3125,3.4317126,17.072386
00-0031382,Jarvis Landry,16,987.0,61.6875,3.848371,16.976667
00-0027902,Dez Bryant,16,838.0,52.375,3.3575113,16.786907
00-0029608,T.Y. Hilton,16,966.0,60.375,3.3013585,16.784985
00-0032688,Robbie Chosen,16,941.0,58.8125,3.5771842,16.603762
00-0026345,Pierre Garcon,8,500.0,62.5,3.5348246,16.501137
00-0031588,Stefon Diggs,16,1056.0,66.0,3.9347894,16.131172
00-0028434,Doug Baldwin,16,991.0,61.9375,3.9670901,15.750278
00-0032385,Sterling Shepard,11,731.0,66.454544,4.07065,15.376484
00-0033857,JuJu Smith-Schuster,14,922.0,65.85714,4.304689,15.325888
00-0029293,Marvin Jones,16,1101.0,68.8125,4.588201,14.837008
00-0031236,Brandin Cooks,19,1237.0,65.10526,4.6131997,14.733647
00-0031408,Mike Evans,15,1001.0,66.73333,4.619385,14.510939
00-0026901,Mike Wallace,15,748.0,49.866665,3.1599915,14.4683895
00-0031431,Marqise Lee,16,771.0,48.1875,3.2736347,14.171288
00-0030068,Marquise Goodwin,16,962.0,60.125,4.0321007,14.143701
00-0033908,Cooper Kupp,16,938.0,58.625,4.2291484,14.10992
00-0029580,Rishard Matthews,16,837.0,52.3125,3.5880072,13.992475
00-0029159,Jermaine Kearse,16,810.0,50.625,3.5771842,13.98452
00-0030821,Allen Hurns,13,576.0,44.307693,3.1279614,13.702065
00-0029137,Alshon Jeffery,19,1008.0,53.05263,3.9293928,13.65052
00-0030085,Kenny Stills,16,847.0,52.9375,3.848371,13.48471
00-0031359,Kelvin Benjamin,15,680.0,45.333332,3.3398097,13.476383
00-0027891,Golden Tate,16,1003.0,62.6875,4.588201,13.348271
00-0031547,DeVante Parker,13,670.0,51.53846,3.9611585,13.099891
00-0031941,Jamison Crowder,15,789.0,52.6,4.19065,12.955447
00-0033839,Dede Westbrook,10,424.0,42.4,3.6035075,12.923357
00-0028002,Randall Cobb,14,653.0,46.642857,3.5518086,12.740842
00-0027685,Emmanuel Sanders,12,555.0,46.25,3.4986827,12.655426
00-0029708,Kendall Wright,14,614.0,43.857143,3.4515338,12.601155
00-0026986,Michael Crabtree,13,618.0,47.53846,3.840771,12.523431
00-0026995,Jeremy Maclin,12,440.0,36.666668,3.145545,12.4504175
00-0025396,Ted Ginn,17,974.0,57.294117,4.600648,12.409939
