...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
2,3,Antonio Brown,,,WR1,3,,,,,3,3,00-0027793,WR,2016,1.0,28,2010,0.962,76.81838,0.102,195,1,157,106,1284,85.6,22,12,3,9,0.6,0,0,12,15
3,4,Julio Jones,,,WR2,4,,,,,4,4,00-0027944,WR,2016,0.9438202247191011,27,2011,0.7750000000000001,145.50555,0.099,6,23.2,130,83,1409,100.64285714285714,27,6,0,0,0,0,0,6,14
4,5,Odell Beckham Jr.,,,WR3,5,,,,,6,5.2,00-0031235,WR,2016,0.9795918367346939,23,2014,0.94375,75.967834,0.02,12,18.8,169,101,1367,85.4375,20,10,1,9,0.5625,0,1,10,16
6,7,Mike Evans,TB,1,WR4,9,,,,,7,7,00-0031408,WR,2016,1.0,23,2014,0.834375,82.69529,0.027999999999999997,7,22.2,175,96,1321,82.5625,15,12,0,0,0,0,0,12,16
7,8,A.J. Green,,,WR5,10,,,,,9,8.6,00-0027942,WR,2016,0.9900990099009901,28,2011,0.8109999999999999,144.736,0.105,4,25.8,100,66,964,96.4,15,4,0,0,0,0,0,4,10
10,11,Jordy Nelson,,,WR6,7,,,,,12,10.4,00-0026176,WR,2016,1.0,31,2008,0.931875,73.55063,0.073,36,11.8,152,97,1257,78.5625,19,14,0,0,0,0,1,14,16
11,12,Michael Thomas,,,WR7,12,,,,,11,12,00-0032765,WR,2016,1.0,23,2016,0.792,65.80838,0.008,47,10.1,121,92,1137,75.8,18,9,0,0,0,0,2,9,15
16,17,Amari Cooper,,,WR8,19,,,,,16,18,00-0031544,WR,2016,1.0,22,2015,0.888125,71.80962,0.04,4,25.8,135,83,1153,72.0625,21,5,1,0,0,0,0,5,16
18,19,Brandin Cooks,NO,5,WR9,16,,,,,23,19.8,00-0031236,WR,2016,0.75,22,2014,0.768125,102.21028,0.016,20,15.5,117,78,1173,78.2,15,8,6,30,2,0,0,8,15
20,21,Dez Bryant,,,WR10,24,,,,,20,20.2,00-0027902,WR,2016,0.7433628318584071,27,2010,0.7853846153846155,97.61936,0.098,24,14.4,98,50,796,61.23076923076923,10,8,0,0,0,0,1,9,13
22,23,Doug Baldwin,,,WR11,23,,,,,25,22.8,00-0028434,WR,2016,1.0,27,2011,-1,90.464005,0.07400000000000001,,0,126,94,1128,70.5,16,7,3,2,0.125,0,0,8,16
