Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age;targets;recepciones;rec_yards;rec_ypg;rec_20plus;rec_td;attempts;rush_yards;rush_ypg;rush_td;fumbles_perdidos;total_touchdowns;partidos
71;Travis Hunter;JAC;8;WR30;70;65;72;69;00-0040718;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
72;Calvin Ridley;TEN;10;WR31;77;75;61;71;00-0034837;WR;2024;0.7870370370370371;29;120;64;1017;598.235.294.117.647;19;4;8;55;3.235.294.117.647.050;1;1;5;17
73;Jaylen Waddle;MIA;12;WR32;72;67;77;72;00-0036613;WR;2024;0.9117647058823529;25;85;58;767;5.113.333.333.333.330;12;2;4;12;0.8;0;0;2;15
75;Chris Olave;NO;11;WR33;81;69;75;75;00-0037239;WR;2024;0.7647058823529411;24;44;32;400;50;4;1;1;7;0.875;0;1;1;8
77;Jerry Jeudy;CLE;9;WR34;90;74;67;77;00-0036407;WR;2024;0.8823529411764706;25;148;90;1229;7.229.411.764.705.880;13;4;0;0;0;0;0;4;17
79;Chris Godwin;TB;9;WR35;85;80;81;82;00-0033921;WR;2024;0.8409090909090909;28;62;50;576;8.228.571.428.571.420;7;5;1;2;0.2857142857142857;0;0;5;7
80;Rome Odunze;CHI;5;WR36;86;79;83;82.7;00-0039919;WR;2024;1.0;22;101;54;734;431.764.705.882.353;8;3;3;15;0.8823529411764706;0;1;3;17
82;Jordan Addison;MIN;6;WR37;89;76;85;83.3;00-0038994;WR;2024;0.9411764705882353;22;100;63;875;58.333.333.333.333.300;13;9;3;20;13.333.333.333.333.300;1;0;10;15
85;Deebo Samuel Sr.;WAS;12;WR38;102;85;79;88.7;00-0035719;WR;2024;0.81;28;81;51;670;47.857.142.857.142.800;10;3;42;136;9.714.285.714.285.710;1;1;4;14
89;Stefon Diggs;NE;14;WR39;103;91;82;92;00-0031588;WR;2024;0.9454545454545454;30;64;47;496;62;5;3;3;8;1;1;0;4;8
91;Cooper Kupp;SEA;8;WR40;111;90;84;95;00-0033908;WR;2024;0.8333333333333334;31;100;67;710;59.166.666.666.666.600;10;6;2;10;0.8333333333333334;0;0;6;12
92;Jakobi Meyers;LV;8;WR41;106;84;98;96;00-0034960;WR;2024;0.9306930693069307;27;130;87;1027;6.846.666.666.666.660;16;4;2;23;15.333.333.333.333.300;0;0;4;15
93;Jauan Jennings;SF;14;WR42;105;100;91;98.7;00-0036259;WR;2024;0.8823529411764706;27;113;77;975;65;12;6;0;0;0;0;0;6;15
96;Ricky Pearsall;SF;14;WR43;110;94;100;101.3;00-0039916;WR;2024;0.6470588235294118;23;47;31;400;40;5;3;3;45;4.5;0;0;3;10
97;Jayden Reed;GB;5;WR44;100;95;109;101.3;00-0039146;WR;2024;0.9705882352941176;24;76;55;857;50.411.764.705.882.300;15;6;20;163;9.588.235.294.117.640;1;1;7;17
101;Khalil Shakir;BUF;7;WR45;125;86;105;105.3;00-0037261;WR;2024;0.9411764705882353;24;100;76;821;54.733.333.333.333.300;9;4;2;4;0.26666666666666666;0;0;4;15
103;Matthew Golden;GB;5;WR46;134;96;88;106;00-0040667;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
113;Emeka Egbuka;TB;9;WR47;126;109;107;114;00-0040129;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
115;Josh Downs;IND;11;WR48;136;104;120;120;00-0038997;WR;2024;0.9117647058823529;23;107;72;803;57.357.142.857.142.800;10;5;1;-1;-0.07142857142857142;0;0;5;14
122;Brandon Aiyuk;SF;14;WR49;149;105;132;128.7;00-0036261;WR;2024;0.8214285714285714;26;47;25;369;52.714.285.714.285.700;5;0;0;0;0;0;0;0;7
128;Michael Pittman Jr.;IND;11;WR50;168;114;118;133.3;00-0036252;WR;2024;0.9285714285714286;26;112;69;808;50.5;12;3;0;0;0;0;1;3;16
133;Keon Coleman;BUF;7;WR51;163;120;131;138;00-0039901;WR;2024;0.7647058823529411;21;58;29;556;4.276.923.076.923.070;12;4;1;9;0.6923076923076923;0;0;4;13
141;Luther Burden III;CHI;5;WR52;161;135;148;148;00-0040735;WR;2024;--;20;0;0;0;0;0;0;0;0;0;0;0;0;0
142;Jayden Higgins;HOU;6;WR53;201;116;128;148.3;00-0040130;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
144;Darnell Mooney;ATL;5;WR54;197;113;137;149;00-0036309;WR;2024;0.9047619047619048;26;106;64;992;62;21;5;0;0;0;0;0;5;16
152;Tre' Harris;LAC;12;WR55;187;132;146;155;00-0040727;WR;2024;--;22;0;0;0;0;0;0;0;0;0;0;0;0;0
156;Marvin Mims Jr.;DEN;12;WR56;202;136;136;158;00-0038976;WR;2024;0.9705882352941176;22;53;39;501;313.125;7;6;13;42;2.625;0;0;6;16
159;Rashid Shaheed;NO;11;WR57;196;128;156;160;00-0037545;WR;2024;0.717391304347826;26;41;20;349;58.166.666.666.666.600;5;3;6;29;4.833.333.333.333.330;0;1;3;6
161;Keenan Allen;LAC;12;WR58;157;176;153;162;00-0030279;WR;2024;0.7947368421052632;32;123;70;744;49.6;9;7;0;0;0;0;0;7;15
163;Christian Kirk;HOU;6;WR59;198;140;155;164.3;00-0034775;WR;2024;0.8017241379310345;27;47;27;379;47.375;7;1;0;0;0;0;0;1;8
167;DeAndre Hopkins;BAL;7;WR60;147;195;154;165.3;00-0030564;WR;2024;0.9246231155778895;32;80;56;618;38.625;6;5;0;0;0;0;0;5;16
168;Jack Bech;LV;8;WR61;181;159;158;166;00-0040729;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
169;Marquise Brown;KC;10;WR62;171;171;159;167;00-0035662;WR;2024;0.75;27;15;9;91;45.5;1;0;0;0;0;0;0;0;2
172;Jalen McMillan;TB;9;WR63;165;152;188;168.3;00-0039855;WR;2024;0.8235294117647058;22;58;37;461;3.546.153.846.153.840;8;8;4;43;33.076.923.076.923.000;0;0;8;13
175;Rashod Bateman;BAL;7;WR64;179;145;186;170;00-0036550;WR;2024;0.75;24;72;45;756;47.25;11;9;0;0;0;0;0;9;16
176;Kyle Williams;NE;14;WR65;177;146;189;170.7;00-0040131;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
181;Adam Thielen;CAR;14;WR66;156;172;200;176;00-0030035;WR;2024;0.9065934065934066;34;62;48;615;61.5;9;5;0;0;0;0;0;5;10
200;Xavier Legette;CAR;14;WR67;;180;171;175.5;00-0039342;WR;2024;0.9411764705882353;23;85;49;497;3.313.333.333.333.330;7;4;6;24;1.6;0;0;4;15
201;Cedric Tillman;CLE;9;WR68;;178;176;177;00-0038979;WR;2024;0.7352941176470589;24;51;29;339;37.666.666.666.666.600;6;3;1;-5;-0.5555555555555556;0;1;3;9
205;DeMario Douglas;NE;14;WR69;;194;181;187.5;00-0038621;WR;2024;0.9117647058823529;23;87;66;621;388.125;8;3;3;16;1;0;0;3;16
210;Wan'Dale Robinson;NYG;14;WR70;;198;183;190.5;00-0038117;WR;2024;0.7450980392156863;23;140;93;699;4.111.764.705.882.350;4;3;3;18;10.588.235.294.117.600;0;0;3;17
214;Joshua Palmer;BUF;7;WR71;;188;203;195.5;00-0036988;WR;2024;0.8529411764705882;24;67;39;575;38.333.333.333.333.300;10;1;0;0;0;0;0;1;15
217;Quentin Johnston;LAC;12;WR72;;184;211;197.5;00-0038544;WR;2024;0.9411764705882353;22;91;55;711;47.4;12;8;3;6;0.4;0;0;8;15
220;Romeo Doubs;GB;5;WR73;;206;197;201.5;00-0037816;WR;2024;0.8627450980392157;24;73;46;601;4.623.076.923.076.920;8;4;0;0;0;0;0;4;13
228;Dont'e Thornton Jr.;LV;8;WR74;;204;223;213.5;00-0040581;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
233;Alec Pierce;IND;11;WR75;;218;218;218;00-0037664;WR;2024;0.9607843137254902;24;69;37;824;51.5;13;7;0;0;0;0;0;7;16
243;Pat Bryant;DEN;12;WR76;;215;247;231;00-0040134;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
247;Jalen Royals;KC;10;WR77;;225;244;234.5;00-0040646;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
255;Jaylin Noel;HOU;6;WR78;;232;258;245;00-0040138;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
257;Darius Slayton;NYG;14;WR79;;252;246;249;00-0035535;WR;2024;0.94;27;72;39;573;358.125;9;2;2;17;10.625;0;0;2;16
259;Dyami Brown;JAC;8;WR80;;244;256;250;00-0036626;WR;2024;0.9264705882352942;24;40;30;308;20.533.333.333.333.300;5;1;3;26;17.333.333.333.333.300;0;1;1;15
267;Michael Wilson;ARI;8;WR81;;233;286;259.5;00-0038559;WR;2024;0.8529411764705882;24;71;47;548;34.25;10;4;1;7;0.4375;0;1;4;16
268;Calvin Austin III;PIT;5;WR82;;246;277;261.5;00-0037837;WR;2024;0.6666666666666666;25;58;36;548;3.223.529.411.764.700;10;4;0;0;0;0;1;4;17
274;Elic Ayomanor;TEN;10;WR83;;224;308;266;00-0040170;WR;2024;--;21;0;0;0;0;0;0;0;0;0;0;0;0;0
276;Tyler Lockett;TEN;10;WR84;;227;303;265;00-0032211;WR;2024;0.9818181818181818;31;74;49;600;35.294.117.647.058.800;7;2;0;0;0;0;0;2;17
277;Isaac TeSlaa;DET;8;WR85;;263;267;265;00-0040669;WR;2024;--;22;0;0;0;0;0;0;0;0;0;0;0;0;0
278;Amari Cooper;;;WR86;;226;305;265.5;00-0031544;WR;2024;0.9634146341463414;30;85;44;547;4.207.692.307.692.300;8;4;0;0;0;0;0;4;13
288;Ray-Ray McCloud III;ATL;5;WR87;;;239;239;00-0034407;WR;2024;0.9439252336448598;27;87;62;686;4.035.294.117.647.050;8;1;10;79;4.647.058.823.529.410;0;2;1;17
289;Jalen Nailor;MIN;6;WR88;;294;251;272.5;00-0037291;WR;2024;0.7450980392156863;25;42;28;414;27.6;8;6;3;-4;-0.26666666666666666;0;1;6;15
290;Adonai Mitchell;IND;11;WR89;;241;309;275;00-0039890;WR;2024;1.0;21;55;23;312;18.352.941.176.470.500;4;0;4;6;0.35294117647058826;0;1;0;17
