...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
6,7,Michael Thomas,,,WR1,6,,,6,00-0032765,WR,2019,1.0,26,185,149,1725,107.8125,17,9,1,-9,-0.5625,0,0,9,16
7,8,Davante Adams,LAR,9,WR2,9,,,9.3,00-0031381,WR,2019,0.9591836734693877,26,128,83,997,83.08333333333333,12,5,0,0,0,0,1,5,12
9,10,Tyreek Hill,MIA,7,WR3,12,,,12.7,00-0033040,WR,2019,0.96875,25,89,58,860,71.66666666666667,11,7,8,23,1.9166666666666667,0,0,7,12
13,14,Julio Jones,,,WR4,14,,,14.3,00-0027944,WR,2019,0.9562043795620438,30,158,99,1394,92.93333333333334,21,6,2,-3,-0.2,0,0,6,15
15,16,DeAndre Hopkins,BAL,7,WR5,20,,,17,00-0030564,WR,2019,1.0,27,151,104,1165,77.66666666666667,16,7,2,18,1.2,0,0,8,15
23,24,Chris Godwin,TB,13,WR6,24,,,21,00-0033921,WR,2019,0.9583333333333334,23,122,86,1333,95.21428571428571,25,9,1,8,0.5714285714285714,0,0,9,14
24,25,Kenny Golladay,,,WR7,27,,,25.3,00-0033932,WR,2019,1.0,25,117,65,1190,74.375,22,11,0,0,0,0,1,11,16
25,26,Mike Evans,TB,13,WR8,28,,,27.3,00-0031408,WR,2019,0.9591836734693877,26,119,67,1157,89,17,8,0,0,0,0,0,8,13
27,28,Odell Beckham Jr.,,,WR9,30,,,30,00-0031235,WR,2019,0.8762886597938144,26,266,148,2070,129.375,32,8,3,10,0.625,0,1,8,16
28,29,Allen Robinson,II,,WR10,26,,,30.7,00-0031428,WR,2019,0.717391304347826,26,154,98,1147,71.6875,15,7,1,2,0.125,0,0,7,16
30,31,Adam Thielen,CAR,13,WR11,29,,,32,00-0030035,WR,2019,0.9489795918367347,29,48,30,418,41.8,8,6,4,6,0.6,1,0,7,10
32,33,DJ Moore,CHI,11,WR12,37,,,34,00-0034827,WR,2019,0.96875,22,136,87,1175,78.33333333333333,13,4,6,40,2.6666666666666665,0,1,4,15
