"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
71,"00-0036407","Jerry Jeudy",56,5.6,30.6,"WR","DEN",10.8
72,"00-0034765","Tre'Quan Smith",51,5.1,28.1,"WR","NO",10.7
73,"00-0034521","Allen Lazard",60,4.3,33.6,"WR","GB",10.5
74,"00-0035535","Darius Slayton",58,4.5,33.3,"WR","NYG",10.2
75,"00-0033871","Corey Davis",59,6.6,34.5,"WR","NYJ",10.1
76,"00-0036913","Kadarius Toney",57,6.3,33.3,"WR","NYG",10.1
77,"00-0034407","Ray-Ray McCloud",66,5.1,38.7,"WR","PIT",10
78,"00-0036196","Gabriel Davis",63,4.2,36.9,"WR","BUF",10
79,"00-0036365","Bryan Edwards",60,4,35.6,"WR","LV",9.9
80,"00-0034272","Marquez Valdes-Scantling",56,5.1,33.6,"WR","GB",9.8
81,"00-0034418","Cedrick Wilson",62,4.4,37.8,"WR","DAL",9.7
82,"00-0034764","Michael Gallup",62,6.9,37.8,"WR","DAL",9.7
83,"00-0035208","Olamide Zaccheaus",54,3.6,32.6,"WR","ATL",9.7
84,"00-0032385","Sterling Shepard",53,7.6,33.3,"WR","NYG",9.4
85,"00-0032977","Rashard Higgins",47,3.9,29.5,"WR","CLE",9.4
86,"00-0034297","Byron Pringle",60,3.8,37.6,"WR","KC",9.4
87,"00-0034837","Calvin Ridley",52,10.4,32.6,"WR","ATL",9.4
88,"00-0027944","Julio Jones",48,4.8,30.8,"WR","TEN",9.2
89,"00-0033681","Keelan Cole",52,3.7,34.5,"WR","NYJ",8.9
90,"00-0032951","Laquon Treadwell",51,4.2,34.6,"WR","JAX",8.7
91,"00-0027793","Antonio Brown",62,8.9,42.2,"WR","TB",8.6
92,"00-0036247","Freddie Swain",41,2.6,28,"WR","SEA",8.6
93,"00-0031325","Sammy Watkins",49,4.5,35.1,"WR","BAL",8.2
94,"00-0031763","DeAndre Carter",44,3.4,31.6,"WR","WAS",8.2
95,"00-0032355","Chester Rogers",43,2.7,30.8,"WR","TEN",8.2
96,"00-0031235","Odell Beckham",49,6.1,35.6,"WR","LA",8.1
97,"00-0036331","Devin Duvernay",47,3.4,35.1,"WR","BAL",7.9
98,"00-0036427","Tyler Johnson",56,3.5,42.2,"WR","TB",7.8
99,"00-0030068","Marquise Goodwin",40,2.9,31.1,"WR","CHI",7.6
100,"00-0036259","Jauan Jennings",38,2.9,29.4,"WR","SF",7.6
101,"00-0026035","Danny Amendola",39,4.9,30.8,"WR","HOU",7.4
102,"00-0031868","Damiere Byrd",39,3.5,31.1,"WR","CHI",7.4
103,"00-0029608","T.Y. Hilton",37,3.7,29.8,"WR","IND",7.3
104,"00-0036988","Josh Palmer",49,3.3,39.2,"WR","LAC",7.3
105,"00-0035414","Jalen Guyton",48,3,39.2,"WR","LAC",7.2
106,"00-0032128","Chris Conley",37,2.6,30.8,"WR","HOU",7.1
107,"00-0028002","Randall Cobb",39,3.5,33.6,"WR","GB",6.8
108,"00-0031235","Odell Beckham",34,5.7,29.5,"WR","CLE",6.8
109,"00-0033572","Jamal Agnew",40,5.7,34.6,"WR","JAX",6.8
110,"00-0032778","Tajae Sharpe",37,2.6,32.6,"WR","ATL",6.7
111,"00-0034676","James Washington",44,2.9,38.7,"WR","PIT",6.7
112,"00-0030669","Albert Wilson",39,3.9,35.4,"WR","MIA",6.5
113,"00-0032775","Demarcus Robinson",41,2.9,37.6,"WR","KC",6.4
114,"00-0030525","Tavon Austin",37,3.4,34.6,"WR","JAX",6.3
115,"00-0033943","Josh Reynolds",36,5.1,33.6,"WR","DET",6.3
116,"00-0036357","Henry Ruggs",36,5.1,35.6,"WR","LV",6
117,"00-0035126","Antoine Wesley",32,4,33.6,"WR","ARI",5.6
118,"00-0032200","Ty Montgomery",26,2.9,28.1,"WR","NO",5.4
119,"00-0036955","Terrace Marshall",31,2.6,34,"WR","CAR",5.4
120,"00-0034854","KhaDarel Hodge",28,2.8,33.6,"WR","DET",4.9
121,"00-0033555","Mack Hollins",29,2.2,35.4,"WR","MIA",4.8
122,"00-0036626","Dyami Brown",25,2.8,31.6,"WR","WAS",4.6
123,"00-0033857","JuJu Smith-Schuster",28,5.6,38.7,"WR","PIT",4.3
124,"00-0034052","Brandon Zylstra",25,2.8,34,"WR","CAR",4.3
125,"00-0033466","Isaiah McKenzie",26,2.9,36.9,"WR","BUF",4.1
126,"00-0033591","Noah Brown",25,2.8,37.8,"WR","DAL",3.9
