...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
0,1,Justin Jefferson,MIN,13,WR1,1,1,1,1,00-0036322,WR,2022,1.0,23,185,128,1809,106.41176470588235,28,8,4,24,1.411764705882353,1,0,9,17
2,3,Ja'Marr Chase,CIN,7,WR2,3,3,3,3,00-0036900,WR,2022,0.8823529411764706,22,134,87,1046,87.16666666666667,13,9,5,8,0.6666666666666666,0,2,9,12
4,5,Tyreek Hill,MIA,10,WR3,5,6,5,5.3,00-0033040,WR,2022,0.9736842105263158,28,170,119,1710,100.58823529411765,25,7,7,32,1.8823529411764706,1,0,8,17
9,10,Stefon Diggs,NE,11,WR4,9,10,11,10,00-0031588,WR,2022,1.0,28,154,108,1429,89.3125,17,11,1,-3,-0.1875,0,0,11,16
10,11,CeeDee Lamb,DAL,7,WR5,12,14,10,12,00-0036358,WR,2022,0.98,23,156,107,1359,79.94117647058823,24,9,10,47,2.764705882352941,0,0,9,17
11,12,A.J. Brown,PHI,10,WR6,14,11,15,13.3,00-0035676,WR,2022,0.9104477611940298,25,145,88,1496,88,23,11,0,0,0,0,2,11,17
14,15,Cooper Kupp,SEA,5,WR7,10,15,21,15.3,00-0033908,WR,2022,0.8571428571428571,29,98,75,812,90.22222222222223,11,6,9,52,5.777777777777778,1,1,7,9
17,18,Davante Adams,LAR,10,WR8,17,16,18,17,00-0031381,WR,2022,0.9527027027027027,29,181,100,1516,89.17647058823529,24,14,3,-1,-0.058823529411764705,0,0,14,17
18,19,Garrett Wilson,NYJ,7,WR9,19,21,14,18,00-0037740,WR,2022,1.0,22,147,83,1103,64.88235294117646,13,4,4,4,0.23529411764705882,0,1,4,17
19,20,Amon-Ra St. Brown,DET,9,WR10,20,17,17,18,00-0036963,WR,2022,0.9705882352941176,22,146,106,1161,72.5625,11,6,9,95,5.9375,0,0,6,16
22,23,Jaylen Waddle,MIA,10,WR11,23,22,25,23.3,00-0036613,WR,2022,0.9705882352941176,23,118,75,1356,79.76470588235294,21,8,3,26,1.5294117647058822,0,1,8,17
23,24,Chris Olave,NO,11,WR12,26,26,23,25,00-0037239,WR,2022,0.8823529411764706,22,120,72,1042,69.46666666666667,13,4,0,0,0,0,2,4,15
25,26,DeVonta Smith,PHI,10,WR13,25,29,24,26,00-0036912,WR,2022,1.0,23,137,95,1210,71.17647058823529,18,7,0,0,0,0,1,7,17
29,30,Tee Higgins,CIN,7,WR14,29,27,36,30.7,00-0036410,WR,2022,0.94,23,110,74,1029,73.5,14,7,0,0,0,0,0,7,14
32,33,Calvin Ridley,TEN,7,WR15,38,37,29,34.7,00-0034837,WR,2022,0.6891891891891891,27,0,0,0,0,0,0,0,0,0,0,0,0,0
34,35,DK Metcalf,PIT,6,WR16,34,35,37,35.3,00-0035640,WR,2022,1.0,24,142,90,1048,61.64705882352941,11,6,0,0,0,0,2,6,17
37,38,Deebo Samuel Sr.,WAS,14,WR17,39,34,41,38,00-0035719,WR,2022,0.7727272727272727,26,94,56,632,48.61538461538461,7,2,42,232,17.846153846153847,3,2,5,13
38,39,Amari Cooper,,,WR18,40,42,40,40.7,00-0031544,WR,2022,0.9846153846153847,28,133,78,1160,68.23529411764706,18,9,0,0,0,0,0,9,17
42,43,Keenan Allen,LAC,5,WR19,47,40,43,43.3,00-0030279,WR,2022,0.7884615384615384,30,89,66,752,75.2,7,4,1,8,0.8,0,1,4,10
50,51,DJ Moore,CHI,13,WR20,52,50,50,50.7,00-0034827,WR,2022,0.975609756097561,25,118,63,892,52.470588235294116,17,7,10,53,3.1176470588235294,0,0,7,17
54,55,DeAndre Hopkins,BAL,13,WR21,60,49,59,56,00-0030564,WR,2022,0.9090909090909091,30,98,64,717,79.66666666666667,8,3,0,0,0,0,1,3,9
55,56,Terry McLaurin,WAS,14,WR22,62,53,56,57,00-0035659,WR,2022,0.9545454545454546,26,120,77,1191,70.05882352941177,16,5,7,29,1.7058823529411764,0,0,5,17
57,58,Drake London,ATL,11,WR23,61,56,64,60.3,00-0037238,WR,2022,1.0,21,118,72,866,50.94117647058823,10,4,0,0,0,0,3,4,17
59,60,Christian Watson,GB,6,WR24,72,59,54,61.7,00-0038124,WR,2022,0.8235294117647058,23,66,41,611,43.642857142857146,8,7,7,80,5.714285714285714,2,0,9,14
60,61,Tyler Lockett,TEN,7,WR25,51,68,70,63,00-0032211,WR,2022,0.9770992366412213,29,117,84,1033,64.5625,14,9,0,0,0,0,2,9,16
64,65,Brandon Aiyuk,SF,9,WR26,63,65,65,64.3,00-0036261,WR,2022,0.92,24,114,78,1015,59.705882352941174,17,8,2,23,1.3529411764705883,0,1,8,17
66,67,Chris Godwin,TB,5,WR27,70,64,63,65.7,00-0033921,WR,2022,0.8877551020408163,26,145,104,1019,67.93333333333334,10,3,3,5,0.3333333333333333,0,2,3,15
68,69,Mike Williams,,,WR28,78,67,58,67.7,00-0033536,WR,2022,0.9285714285714286,27,93,63,895,68.84615384615384,11,4,0,0,0,0,0,4,13
73,74,Christian Kirk,HU,,WR29,87,71,67,75,00-0034775,WR,2022,0.8902439024390244,25,134,84,1102,64.82352941176471,18,8,5,11,0.6470588235294118,0,1,8,17
74,75,Diontae Johnson,CLE,5,WR30,76,80,71,75.7,00-0035216,WR,2022,0.9701492537313433,26,149,86,882,51.88235294117647,7,0,7,25,1.4705882352941178,0,0,0,17
76,77,George Pickens,DAL,7,WR31,88,76,72,78.7,00-0037247,WR,2022,1.0,21,85,52,801,47.11764705882353,17,4,3,24,1.411764705882353,1,0,5,17
77,78,Jerry Jeudy,CLE,5,WR32,81,75,80,78.7,00-0036407,WR,2022,0.8235294117647058,23,100,67,972,64.8,14,6,4,40,2.6666666666666665,0,0,6,15
78,79,Mike Evans,TB,5,WR33,85,73,83,80.3,00-0031408,WR,2022,0.9594594594594594,29,128,77,1124,74.93333333333334,19,6,0,0,0,0,0,6,15
