,Unnamed: 0,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value
0,0,1,Todd Gurley,II,,RB1,1.0,,,1.0,,1.0,1.0,00-0032241,RB,2017,1.0,23,2015,0.8219999999999998,140.8741,0.081,10.0,19.9
1,1,2,Le'Veon Bell ,,,RB2,2.0,,,3.0,,2.0,2.4,00-0030496,RB,2017,0.9130434782608695,25,2013,0.8973333333333334,71.54638,0.08199999999999999,48.0,9.9
2,2,3,David Johnson,,,RB3,3.0,,,2.0,,3.0,2.6,00-0032187,RB,2017,0.6938775510204082,25,2015,0.61,,0.073,86.0,6.2
3,3,4,Ezekiel Elliott,,,RB4,4.0,,,4.0,,4.0,4.0,00-0033045,RB,2017,0.8125,22,2016,0.858,94.504005,0.04,4.0,25.8
4,4,5,Antonio Brown,,,WR1,5.0,,,6.0,,5.0,5.2,00-0027793,WR,2017,1.0,29,2010,0.8957142857142858,154.19786,0.102,195.0,1.0
5,5,6,Alvin Kamara,NO,6,RB5,7.0,,,5.0,,6.0,6.2,00-0033906,RB,2017,1.0,22,2017,0.446875,90.14066,0.006,67.0,7.8
6,6,7,Saquon Barkley,PHI,9,RB6,6.0,,,7.0,,7.0,6.6,00-0034844,RB,2017,--,20,2018,-1.0,--,0.044000000000000004,2.0,30.2
7,7,8,DeAndre Hopkins,BAL,10,WR2,9.0,,,10.0,,8.0,8.8,00-0030564,WR,2017,1.0,25,2013,0.982,58.58839,0.09699999999999999,27.0,13.6
8,8,9,Leonard Fournette,,,RB7,12.0,,,9.0,,12.0,10.0,00-0033856,RB,2017,1.0,22,2017,0.6269230769230769,45.6441,0.040999999999999995,4.0,25.8
9,9,10,Kareem Hunt,KC,12,RB8,11.0,,,8.0,,9.0,10.2,00-0033923,RB,2017,1.0,22,2017,0.65375,128.88531,0.005,86.0,6.2
10,10,11,Odell Beckham Jr.,,,WR3,10.0,,,12.0,,11.0,11.0,00-0031235,WR,2017,0.8153846153846154,24,2014,0.7575000000000001,80.73999,0.102,12.0,18.8
11,11,12,Melvin Gordon,III,,RB9,14.0,,,11.0,,10.0,11.2,00-0032144,RB,2017,0.6808510638297872,24,2015,0.7075,84.35129,0.019,15.0,17.4
12,12,13,Julio Jones,,,WR4,8.0,,,14.0,,13.0,12.6,00-0027944,WR,2017,0.9523809523809523,28,2011,0.7550000000000001,115.47463,0.099,6.0,23.2
13,13,14,Dalvin Cook,,,RB10,13.0,,,15.0,,15.0,14.2,00-0033893,RB,2017,0.25,22,2017,0.64,70.776665,0.01,41.0,11.0
14,14,15,Christian McCaffrey,SF,11,RB11,16.0,,,13.0,,17.0,14.8,00-0033280,RB,2017,1.0,21,2017,0.700625,33.5265,0.026000000000000002,8.0,21.4
15,15,16,Michael Thomas,,,WR5,17.0,,,16.0,,14.0,15.8,00-0032765,WR,2017,1.0,24,2016,0.82125,37.89329,0.008,47.0,10.1
16,16,17,Keenan Allen,LAC,8,WR6,15.0,,,17.0,,16.0,16.4,00-0030279,WR,2017,0.6891891891891891,25,2013,0.8443750000000001,98.21983,0.07200000000000001,76.0,7.0
17,17,18,Davante Adams,LAR,12,WR7,21.0,,,19.0,,18.0,18.8,00-0031381,WR,2017,1.0,24,2014,0.8528571428571429,62.382256,0.087,53.0,9.3
18,18,19,Devonta Freeman,,,RB12,20.0,,,18.0,,20.0,19.2,00-0031285,RB,2017,1.0,25,2014,0.6171428571428571,73.60615,0.049,103.0,5.1
19,19,20,A.J. Green ,,,WR8,19.0,,,21.0,,19.0,20.2,00-0027942,WR,2017,0.9914529914529915,29,2011,0.87125,73.192665,0.105,4.0,25.8
20,20,21,Rob Gronkowski,,,TE1,18.0,,,20.0,,23.0,20.6,00-0027656,TE,2017,0.7175572519083969,28,2010,0.9028571428571429,64.1341,0.075,42.0,10.8
21,21,22,Mike Evans,TB,5,WR9,23.0,,,24.0,,21.0,23.4,00-0031408,WR,2017,0.9848484848484849,24,2014,0.866,37.346855,0.09300000000000001,7.0,22.2
22,22,23,Jordan Howard,,,RB13,26.0,,,23.0,,24.0,23.6,00-0032780,RB,2017,1.0,22,2016,0.588125,81.76963,0.004,150.0,2.7
23,23,24,Joe Mixon,HOU,10,RB14,27.0,,,22.0,,25.0,23.8,00-0033897,RB,2017,1.0,21,2017,0.47357142857142864,28.657639,0.008,48.0,9.9
24,24,25,Travis Kelce,KC,12,TE2,25.0,,,26.0,,26.0,26.6,00-0030506,TE,2017,0.9295774647887324,27,2013,0.916,57.970947,0.06,63.0,8.2
25,25,26,LeSean McCoy,,,RB15,24.0,,,28.0,,22.0,26.8,00-0027029,RB,2017,1.0,29,2009,0.6799999999999999,64.946,0.055999999999999994,53.0,9.3
26,26,27,Tyreek Hill,MIA,11,WR10,31.0,,,25.0,,28.0,26.8,00-0033040,WR,2017,1.0,23,2016,0.8106666666666665,72.37553,0.004,165.0,2.1
27,27,28,Aaron Rodgers,PIT,7,QB1,22.0,,,30.0,,34.0,28.2,00-0023459,QB,2017,0.9403973509933775,33,2005,0.8671428571428572,70.49276,0.18899999999999997,24.0,14.4
28,28,29,T.Y. Hilton,,,WR11,29.0,,,27.0,,30.0,28.2,00-0029608,WR,2017,1.0,27,2012,0.8999999999999999,98.706,0.091,92.0,5.8
29,29,30,Stefon Diggs,NE,11,WR12,32.0,,,32.0,,31.0,29.8,00-0031588,WR,2017,1.0,23,2015,0.8049999999999999,91.00417,0.081,146.0,2.9
30,30,31,Adam Thielen,CAR,4,WR13,34.0,,,29.0,,27.0,31.8,00-0030035,WR,2017,1.0,27,2013,0.925625,61.80296,0.028999999999999998,,0.0
31,31,32,Larry Fitzgerald,,,WR14,30.0,,,37.0,,32.0,33.6,00-0022921,WR,2017,1.0,34,2004,0.95375,82.10987,0.066,3.0,27.6
32,32,33,Kenyan Drake,,,RB16,35.0,,,31.0,,35.0,34.4,00-0033118,RB,2017,1.0,23,2016,0.451875,86.19478,0.005,73.0,7.3
33,33,34,Amari Cooper,,,WR15,36.0,,,35.0,,37.0,34.6,00-0031544,WR,2017,1.0,23,2015,0.8099999999999999,125.64132,0.04,4.0,25.8
34,34,35,Zach Ertz,WAS,4,TE3,33.0,,,34.0,,33.0,35.0,00-0030061,TE,2017,1.0,26,2013,0.795,43.10417,0.055,35.0,12.0
35,35,36,Doug Baldwin,,,WR16,39.0,,,39.0,,29.0,37.0,00-0028434,WR,2017,1.0,28,2011,-1.0,56.627956,0.07400000000000001,,0.0
36,36,37,Alex Collins ,,,RB17,43.0,,,33.0,,41.0,37.4,00-0032426,RB,2017,1.0,23,2016,0.37133333333333335,50.702858,0.004,171.0,1.9
37,37,38,Jarvis Landry,,,WR17,40.0,,,36.0,,45.0,38.4,00-0031382,WR,2017,1.0,24,2014,0.894375,30.148,0.09,63.0,8.2
38,38,39,Royce Freeman,,,RB18,37.0,,,38.0,,56.0,41.2,00-0034838,RB,2017,--,21,2018,-1.0,--,0.006,71.0,7.5
39,39,40,Derrick Henry,BAL,10,RB19,42.0,,,41.0,,36.0,42.2,00-0032764,RB,2017,1.0,23,2016,0.400625,42.993168,0.009000000000000001,45.0,10.4
40,40,41,Demaryius Thomas ,,,WR18,38.0,,,45.0,,38.0,43.2,00-0027874,WR,2017,1.0,29,2010,0.7875,42.747623,0.098,22.0,14.9
41,41,42,Jay Ajayi ,,,RB20,44.0,,,40.0,,46.0,43.8,00-0031590,RB,2017,1.0,24,2015,0.5357142857142858,11.231923,0.004,149.0,2.7
42,42,43,JuJu Smith-Schuster,KC,12,WR19,51.0,,,42.0,,47.0,44.0,00-0033857,WR,2017,0.9375,20,2017,0.7471428571428571,92.78744,0.006,62.0,8.3
43,43,44,Brandin Cooks,NO,6,WR20,47.0,,,44.0,,39.0,45.4,00-0031236,WR,2017,0.8166666666666667,23,2014,0.92875,67.70599,0.091,20.0,15.5
44,44,45,Golden Tate,,,WR21,45.0,,,43.0,,42.0,45.8,00-0027891,WR,2017,1.0,29,2010,0.76125,56.35296,0.047,60.0,8.5
45,45,46,Lamar Miller,,,RB21,57.0,,,46.0,,49.0,46.8,00-0029615,RB,2017,1.0,26,2012,0.67375,41.86729,0.042,97.0,5.5
46,46,47,Tom Brady,,,QB2,28.0,,,57.0,,59.0,47.8,00-0019596,QB,2017,1.0,40,2000,0.979375,55.88709,0.132,199.0,0.9
47,47,48,Deshaun Watson,CLE,11,QB3,50.0,,,47.0,,54.0,47.8,00-0033537,QB,2017,0.4375,21,2017,0.9342857142857143,115.88912,0.021,12.0,18.8
48,48,49,Allen Robinson,II,,WR22,41.0,,,51.0,,44.0,48.0,00-0031428,WR,2017,0.5666666666666667,24,2014,0.05,,0.079,61.0,8.4
49,49,50,Josh Gordon ,,,WR23,49.0,,,52.0,,43.0,48.6,00-0029664,WR,2017,0.7538461538461538,26,2012,-1.0,24.339998,0.004,1.0,34.6
50,50,51,Mark Ingram II ,,,RB22,60.0,,,48.0,,48.0,52.2,00-0027966,RB,2017,0.7345132743362832,27,2011,0.550625,75.238,0.027999999999999997,28.0,13.4
51,51,52,Russell Wilson,NYG,9,QB4,53.0,,,56.0,,53.0,54.4,00-0029263,QB,2017,1.0,28,2012,0.995,63.754486,0.153,75.0,7.1
