,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value
0,0,0,1,David Johnson,,,RB1,1.0,,,,,1.0,1.0,00-0032187,RB,2016,1.0,24,2015,0.836875,76.965164,0.005,86.0,6.2
1,1,1,2,Le'Veon Bell,,,RB2,2.0,,,,,2.0,2.0,00-0030496,RB,2016,0.8867924528301887,24,2013,0.9608333333333334,101.96455,0.073,48.0,9.9
2,2,2,3,Antonio Brown,,,WR1,3.0,,,,,3.0,3.0,00-0027793,WR,2016,1.0,28,2010,0.962,76.81838,0.102,195.0,1.0
3,3,3,4,Julio Jones,,,WR2,4.0,,,,,4.0,4.0,00-0027944,WR,2016,0.9438202247191011,27,2011,0.7750000000000001,145.50555,0.099,6.0,23.2
4,4,4,5,Odell Beckham Jr.,,,WR3,5.0,,,,,6.0,5.2,00-0031235,WR,2016,0.9795918367346939,23,2014,0.94375,75.967834,0.02,12.0,18.8
5,5,5,6,LeSean McCoy,,,RB3,6.0,,,,,5.0,6.4,00-0027029,RB,2016,1.0,28,2009,0.6573333333333332,94.69838,0.055999999999999994,53.0,9.3
6,6,6,7,Mike Evans,TB,1.0,WR4,9.0,,,,,7.0,7.0,00-0031408,WR,2016,1.0,23,2014,0.834375,82.69529,0.027999999999999997,7.0,22.2
7,7,7,8,A.J. Green,,,WR5,10.0,,,,,9.0,8.6,00-0027942,WR,2016,0.9900990099009901,28,2011,0.8109999999999999,144.736,0.105,4.0,25.8
8,8,8,9,Devonta Freeman,,,RB4,8.0,,,,,10.0,9.4,00-0031285,RB,2016,1.0,24,2014,0.5843750000000001,82.089294,0.049,103.0,5.1
9,9,9,10,Melvin Gordon,III,,RB5,11.0,,,,,8.0,9.6,00-0032144,RB,2016,0.5161290322580645,23,2015,0.7553846153846154,94.88358,0.019,15.0,17.4
10,10,10,11,Jordy Nelson,,,WR6,7.0,,,,,12.0,10.4,00-0026176,WR,2016,1.0,31,2008,0.931875,73.55063,0.073,36.0,11.8
11,11,11,12,Michael Thomas,,,WR7,12.0,,,,,11.0,12.0,00-0032765,WR,2016,1.0,23,2016,0.792,65.80838,0.008,47.0,10.1
12,12,12,13,Jordan Howard,,,RB6,13.0,,,,,15.0,14.4,00-0032780,RB,2016,1.0,21,2016,0.6726666666666666,67.19257,0.004,150.0,2.7
13,13,13,14,DeMarco Murray,,,RB7,14.0,,,,,14.0,14.4,00-0028009,RB,2016,0.8571428571428571,28,2011,0.8093750000000001,45.53317,0.040999999999999995,71.0,7.5
14,14,14,15,Jay Ajayi,,,RB8,15.0,,,,,19.0,15.0,00-0031590,RB,2016,1.0,23,2015,0.6506666666666666,84.07124,0.004,149.0,2.7
15,15,15,16,Ezekiel Elliott,,,RB9,21.0,,,,,13.0,15.4,00-0033045,RB,2016,1.0,21,2016,0.7146666666666666,60.63067,0.04,4.0,25.8
