Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
0,0,0,1,Todd Gurley,II,,RB1,1.0,,,1.0,,1.0,1.0,00-0032241,RB,2017,1.0,23,2015,0.8219999999999998,140.8741,0.081,10.0,19.9,15,0,0.0,0,279,1305.0,13,64,788.0,6,1.0,0,0.0,0,256,1251.0,17,59,580.0,4,1.0
1,1,1,2,Le'Veon Bell ,,,RB2,2.0,,,3.0,,2.0,2.4,00-0030496,RB,2017,0.9130434782608695,25,2013,0.8973333333333334,71.54638,0.08199999999999999,48.0,9.9,15,0,0.0,0,321,1291.0,9,86,663.0,2,2.0,--,--,--,--,--,--,--,--,--,--
2,2,2,3,David Johnson,,,RB3,3.0,,,2.0,,3.0,2.6,00-0032187,RB,2017,0.6938775510204082,25,2015,0.61,,0.073,86.0,6.2,1,0,0.0,0,11,23.0,0,6,67.0,0,1.0,0,0.0,0,258,940.0,7,50,446.0,3,2.0
3,3,3,4,Ezekiel Elliott,,,RB4,4.0,,,4.0,,4.0,4.0,00-0033045,RB,2017,0.8125,22,2016,0.858,94.504005,0.04,4.0,25.8,10,0,0.0,0,242,983.0,7,26,269.0,2,1.0,0,0.0,0,304,1434.0,6,77,567.0,3,1.0
4,4,4,5,Antonio Brown,,,WR1,5.0,,,6.0,,5.0,5.2,00-0027793,WR,2017,1.0,29,2010,0.8957142857142858,154.19786,0.102,195.0,1.0,14,0,0.0,0,0,0.0,0,101,1533.0,9,0.0,0,0.0,0,0,0.0,0,104,1297.0,15,0.0
5,5,5,6,Alvin Kamara,NO,6,RB5,7.0,,,5.0,,6.0,6.2,00-0033906,RB,2017,1.0,22,2017,0.446875,90.14066,0.006,67.0,7.8,16,0,0.0,0,120,728.0,8,81,826.0,5,1.0,0,0.0,0,194,883.0,14,81,709.0,4,0.0
6,6,6,7,Saquon Barkley,PHI,9,RB6,6.0,,,7.0,,7.0,6.6,00-0034844,RB,2017,--,20,2018,-1.0,--,0.044000000000000004,2.0,30.2,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,261,1307.0,11,91,721.0,4,0.0
7,7,7,8,DeAndre Hopkins,BAL,10,WR2,9.0,,,10.0,,8.0,8.8,00-0030564,WR,2017,1.0,25,2013,0.982,58.58839,0.09699999999999999,27.0,13.6,15,0,0.0,0,0,0.0,0,96,1378.0,13,1.0,0,0.0,0,1,-7.0,0,115,1572.0,11,2.0
8,8,8,9,Leonard Fournette,,,RB7,12.0,,,9.0,,12.0,10.0,00-0033856,RB,2017,1.0,22,2017,0.6269230769230769,45.6441,0.040999999999999995,4.0,25.8,13,0,0.0,0,268,1040.0,9,36,302.0,1,0.0,0,0.0,0,133,439.0,5,22,185.0,1,0.0
9,9,9,10,Kareem Hunt,KC,12,RB8,11.0,,,8.0,,9.0,10.2,00-0033923,RB,2017,1.0,22,2017,0.65375,128.88531,0.005,86.0,6.2,16,0,0.0,0,272,1327.0,8,53,455.0,3,1.0,0,0.0,0,181,824.0,7,26,378.0,7,0.0
10,10,10,11,Odell Beckham Jr.,,,WR3,10.0,,,12.0,,11.0,11.0,00-0031235,WR,2017,0.8153846153846154,24,2014,0.7575000000000001,80.73999,0.102,12.0,18.8,4,0,0.0,0,1,8.0,0,25,302.0,3,0.0,2,106.0,2,5,19.0,0,77,1052.0,6,0.0
