Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
15,15,15,16,CeeDee Lamb,DAL,9,WR6,13.0,19.0,,16.0,00-0036358,WR,2021,0.9696969696969697,22,2020,0.7675000000000001,86.08933,0.018000000000000002,17.0,16.6,16,0,0.0,0,9,76.0,0,79,1102.0,6,0.0,0,0.0,0,10,47.0,0,107,1359.0,9,0.0
16,16,16,17,Aaron Jones Sr.,MIN,7,RB10,14.0,18.0,,16.0,00-0033293,RB,2021,0.9012345679012346,26,2017,0.5893333333333334,92.93238,0.066,182.0,1.5,15,0,0.0,0,171,799.0,4,52,391.0,6,1.0,0,0.0,0,213,1121.0,2,59,395.0,5,3.0
17,17,17,18,Saquon Barkley,PHI,7,RB11,16.0,17.0,,16.5,00-0034844,RB,2021,0.676923076923077,24,2018,0.6169230769230769,61.77731,0.044000000000000004,2.0,30.2,13,0,0.0,0,162,593.0,2,41,263.0,2,1.0,0,0.0,0,295,1312.0,10,57,338.0,0,0.0
18,18,18,19,Nick Chubb,HOU,6,RB12,19.0,16.0,,17.5,00-0034791,RB,2021,0.8923076923076924,25,2018,0.5278571428571429,72.68181,0.067,35.0,12.0,14,0,0.0,0,228,1259.0,8,20,174.0,1,1.0,0,0.0,0,302,1525.0,12,27,239.0,1,1.0
19,19,19,20,Tyreek Hill,MIA,11,WR7,24.0,20.0,,22.0,00-0033040,WR,2021,0.9690721649484536,27,2016,0.7364705882352941,174.99257,0.14400000000000002,165.0,2.1,17,0,0.0,0,9,96.0,0,111,1239.0,9,1.0,0,0.0,0,7,32.0,1,119,1710.0,7,0.0
20,20,20,21,Josh Allen,BUF,7,QB1,22.0,22.0,,22.0,00-0034857,QB,2021,1.0,25,2018,0.9682352941176472,70.59118,0.23600000000000002,7.0,22.2,17,409,4407.0,36,122,763.0,6,0,0.0,0,18.0,359,4283.0,35,124,762.0,7,0,0.0,0,19.0
21,21,21,22,Leonard Fournette,,,RB13,20.0,25.0,,22.5,00-0033856,RB,2021,0.9012345679012346,26,2017,0.6342857142857143,98.32109,0.034,4.0,25.8,14,0,0.0,0,180,812.0,8,69,454.0,2,0.0,0,0.0,0,189,668.0,3,73,523.0,3,1.0
22,22,22,23,Javonte Williams,DAL,9,RB14,25.0,21.0,,23.0,00-0036997,RB,2021,1.0,21,2021,0.5070588235294117,44.013897,0.012,35.0,12.0,17,0,0.0,0,203,903.0,4,43,316.0,3,1.0,0,0.0,0,47,204.0,0,16,76.0,0,1.0
23,23,23,24,Mike Evans,TB,11,WR8,21.0,26.0,,23.5,00-0031408,WR,2021,0.9618320610687023,28,2014,0.825,82.208626,0.09300000000000001,7.0,22.2,16,0,0.0,0,1,10.0,0,74,1035.0,14,0.0,0,0.0,0,0,0.0,0,77,1124.0,6,0.0
24,24,24,25,Deebo Samuel Sr.,WAS,14,WR9,23.0,24.0,,23.5,00-0035719,WR,2021,0.7755102040816326,25,2019,0.8043750000000001,60.22893,0.115,36.0,11.8,16,1,24.0,1,59,365.0,8,77,1405.0,6,2.0,0,0.0,0,42,232.0,3,56,632.0,2,2.0
