;Unnamed: 0;Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age
51;51;52;Dalton Kincaid;BUF;12;TE5;57.0;51;48.0;52.0;00-0038933;TE;2023;0.9411764705882353;23
52;52;53;Aaron Jones Sr.;MIN;6;RB18;54.0;56;56.0;55.3;00-0033293 ;D/ST;2023;--;D/ST
53;53;54;Amari Cooper;;;WR25;53.0;55;59.0;55.7;00-0031544;WR;2023;0.9795918367346939;29
54;54;55;James Conner;ARI;11;RB19;59.0;59;57.0;58.3;00-0033553;RB;2023;0.8189655172413793;28
55;55;56;George Kittle;SF;9;TE6;51.0;58;71.0;60.0;00-0033288;TE;2023;0.8695652173913043;29
56;56;57;David Montgomery;DET;5;RB20;52.0;63;67.0;60.7;00-0035685;RB;2023;0.891566265060241;26
57;57;58;Rhamondre Stevenson;NE;14;RB21;62.0;66;54.0;60.7;00-0036875;RB;2023;0.803921568627451;25
58;58;59;George Pickens;DAL;7;WR26;67.0;60;58.0;61.7;00-0037247;WR;2023;1.0;22
59;59;60;Tee Higgins;CIN;12;WR27;65.0;57;64.0;62.0;00-0036410;WR;2023;0.8805970149253731;24
60;60;61;Kyler Murray;ARI;11;QB7;55.0;70;62.0;62.3;00-0035228;QB;2023;0.7831325301204819;26
61;61;62;D'Andre Swift;CHI;7;RB22;74.0;64;51.0;63.0;00-0036275;RB;2023;0.835820895522388;24
62;62;63;Zay Flowers;BAL;14;WR28;66.0;52;72.0;63.3;00-0039064;WR;2023;0.9411764705882353;22
63;63;64;Tank Dell;HU;14 O;WR29;61.0;54;75.0;63.3;00-0038977;WR;2023;0.6470588235294118;23
64;64;65;Kyle Pitts Sr.;ATL;12;TE7;60.0;61;69.0;63.3;00-0036970;TE;2023;0.8627450980392157;22
65;65;66;Joe Burrow;CIN;12;QB8;58.0;62;74.0;64.7;00-0036442;QB;2023;0.7910447761194029;26
66;66;67;Terry McLaurin;WAS;14;WR30;72.0;68;61.0;67.0;00-0035659;WR;2023;0.963855421686747;27
67;67;68;Najee Harris;LAC;5;RB23;69.0;69;65.0;67.7;00-0036893;RB;2023;1.0;25
68;68;69;Zamir White;LV;10;RB24;73.0;73;60.0;68.7;00-0038040;RB;2023;0.9117647058823529;23
69;69;70;Rashee Rice;KC;6;WR31;78.0;81;52.0;70.3;00-0039067;WR;2023;0.9411764705882353;23
70;70;71;Evan Engram;DEN;14;TE8;71.0;71;70.0;70.7;00-0033881;TE;2023;0.9130434782608695;28
71;71;72;Raheem Mostert;LV;10;RB25;63.0;75;78.0;72.0;00-0031687;RB;2023;0.7089552238805971;31
72;72;73;Jordan Love;GB;10;QB9;68.0;82;66.0;72.0;00-0036264;QB;2023;0.7611940298507462;24
73;73;74;Christian Kirk;HU;14 O;WR32;82.0;67;68.0;72.3;00-0034775;WR;2023;0.8585858585858586;26
74;74;75;Dak Prescott;DAL;7;QB10;64.0;77;77.0;72.7;00-0033077;QB;2023;0.8702290076335878;30
75;75;76;Keenan Allen;LAC;5;WR33;80.0;65;81.0;75.3;00-0030279;WR;2023;0.7861271676300579;31
76;76;77;Chris Godwin;TB;11;WR34;87.0;79;73.0;79.7;00-0033921;WR;2023;0.9043478260869565;27
77;77;78;Calvin Ridley;TEN;5;WR35;85.0;80;79.0;81.3;00-0034837;WR;2023;0.7472527472527473;28
78;78;79;Javonte Williams;DAL;7;RB26;92.0;91;63.0;82.0;00-0036997;RB;2023;0.7254901960784313;23
79;79;80;Tony Pollard;TEN;5;RB27;88.0;78;80.0;82.0;00-0035261;RB;2023;0.9518072289156626;26
80;80;81;Jake Ferguson;DAL;7;TE9;76.0;85;86.0;82.3;00-0038041;TE;2023;0.9705882352941176;24
81;81;82;Jayden Reed;GB;10;WR36;93.0;74;90.0;85.7;00-0039146;WR;2023;0.9411764705882353;23
82;82;83;Diontae Johnson;CLE;10;WR37;90.0;94;82.0;88.7;00-0035216;WR;2023;0.9285714285714286;27
83;83;84;Devin Singletary;NYG;11;RB28;96.0;96;76.0;89.3;00-0035250;RB;2023;0.963855421686747;25
84;84;85;David Njoku;CLE;10;TE10;89.0;87;94.0;90.0;00-0033885;TE;2023;0.8347826086956521;27
85;85;86;Zack Moss ;;;RB29;99.0;89;85.0;91.0;00-0036251;RB;2023;0.8181818181818182;25
86;86;87;Xavier Worthy;KC;6;WR38;107.0;76;91.0;91.3;00-0039894;WR;2023;--;20
87;87;88;Jaylen Warren;PIT;9;RB30;98.0;93;84.0;91.7;00-0037228;RB;2023;0.9705882352941176;24
88;88;89;Rome Odunze;CHI;7;WR39;97.0;72;110.0;93.0;00-0039919;WR;2023;--;21
89;89;90;Brian Robinson Jr.;WAS;14;RB31;94.0;103;83.0;93.3;00-0037834;QB;2023;0.9117647058823529;23
90;90;91;Brock Purdy;SF;9;QB11;84.0;97;101.0;94.0;00-0037834;QB;2023;0.9117647058823529;23
91;91;92;Nick Chubb;HU;14 O;RB32;101.0;86;102.0;96.3;00-0034791;RB;2023;0.7777777777777778;27
92;92;93;Brock Bowers;LV;10;TE11;110.0;83;100.0;97.7;00-0039338;TE;2023;--;20
93;93;94;Austin Ekeler;WAS;14;RB33;108.0;95;92.0;98.3;00-0033699;RB;2023;0.9130434782608695;28
94;94;95;Jayden Daniels;WAS;14;QB12;95.0;112;89.0;98.7;00-0039910;QB;2023;--;22
95;95;96;Caleb Williams;CHI;7;QB13;105.0;99;97.0;100.3;00-0039918;QB;2023;--;21
96;96;97;Jonathon Brooks;CAR;11;RB34;118.0;90;96.0;101.3;00-0039344;RB;2023;--;20
97;97;98;Tyjae Spears;TEN;5;RB35;103.0;108;95.0;102.0;00-0039032;RB;2023;1.0;22
98;98;99;Jaxon Smith-Njigba;SEA;10;WR40;114.0;102;93.0;103.0;00-0038543;WR;2023;1.0;21
99;99;100;Christian Watson;GB;10;WR41;112.0;100;98.0;103.3;00-0038124;WR;2023;0.6764705882352942;24
100;100;101;Tua Tagovailoa;MIA;6;QB14;102.0;106;106.0;104.7;00-0036212;QB;2023;0.8805970149253731;25
101;101;102;Marquise Brown;KC;6;WR42;109.0;92;119.0;106.7;00-0035662;WR;2023;0.8674698795180723;26
102;102;103;Jordan Addison;MIN;6;WR43;120.0;84;117.0;107.0;00-0038994;WR;2023;1.0;21
103;103;104;Chase Brown;CIN;12;RB36;117.0;117;88.0;107.3;00-0038597;RB;2023;0.7058823529411765;23
104;104;105;Jared Goff;DET;5;QB15;104.0;113;105.0;107.3;00-0033106;QB;2023;0.9694656488549618;28
105;105;106;Jerome Ford;CLE;10;RB37;122.0;116;87.0;108.3;00-0037267;RB;2023;0.8823529411764706;23
106;106;107;DeAndre Hopkins;BAL;14;WR44;126.0;101;99.0;108.7;00-0030564;WR;2023;0.9175824175824175;31
107;107;108;Ladd McConkey;LAC;5;WR45;133.0;88;111.0;110.7;00-0039915;WR;2023;--;21
108;108;109;Brian Thomas Jr.;JAC;12;WR46;116.0;105;113.0;111.3;00-0039893;WR;2023;--;20
109;109;110;Courtland Sutton;DEN;14;WR47;121.0;114;104.0;113.0;00-0034348;WR;2023;0.81;27
110;110;111;Dallas Goedert;PHI;5;TE12;111.0;107;123.0;113.7;00-0034351;TE;2023;0.8484848484848485;28
111;111;112;Gus Edwards;;;RB38;123.0;104;116.0;114.3;00-0034184;RB;2023;0.7340425531914894;28
112;112;113;Ezekiel Elliott;;;RB39;124.0;110;109.0;114.3;00-0033045;RB;2023;0.9312977099236641;28
113;113;114;Brandon Aubrey;DAL;7;K1;81.0;134;133.0;116.0;00-0037692;K;2023;1.0;28
114;114;115;Justin Tucker;;;K2;77.0;132;143.0;117.3;00-0029597;K;2023;1.0;33
