;Unnamed: 0;Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age
233;233;234;Marvin Mims Jr.;DEN;14;WR76;;206;238.0;222.0;00-0038976;WR;2023;0.9411764705882353;21
234;234;235;Atlanta Falcons;DST;12;DST21;201.0;;245.0;223.0;--;D/ST;2023;--;D/ST
235;235;236;Jamaal Williams;;;RB64;;254;194.0;224.0;00-0033948;RB;2023;0.8956521739130435;28
236;236;237;Kendre Miller;NO;12;RB65;;166;283.0;224.5;00-0038551;RB;2023;0.47058823529411764;21
237;237;238;Ricky Pearsall;SF;9;WR77;;169;280.0;224.5;00-0039916;WR;2023;--;22
238;238;239;Indianapolis Colts;DST;14;DST22;225.0;317;226.0;256.0;--;D/ST;2023;--;D/ST
239;239;240;Chris Boswell;PIT;9;K16;145.0;;;145.0;00-0031136;K;2023;0.9379310344827586;32
240;240;241;Gardner Minshew II;KC;6;QB33;;269;184.0;226.5;00-0035289 ;D/ST;2023;--;D/ST
241;241;242;Rashod Bateman;BAL;14;WR78;;202;251.0;226.5;00-0036550;WR;2023;0.6666666666666666;23
242;242;243;Will Shipley;PHI;5;RB66;;219;234.0;226.5;00-0039746;RB;2023;--;21
243;243;244;Green Bay Packers;DST;10;DST23;218.0;310;236.0;254.7;--;D/ST;2023;--;D/ST
244;244;245;Justice Hill;BAL;14;RB67;;245;210.0;227.5;00-0034975;RB;2023;0.7108433734939759;25
245;245;246;Cairo Santos;CHI;7;K17;205.0;;252.0;228.5;00-0031203;K;2023;0.9642857142857143;31
246;246;247;Minnesota Vikings;DST;6;DST24;222.0;264;278.0;254.7;--;D/ST;2023;--;D/ST
247;247;248;Jake Bates;DET;5;K18;204.0;;256.0;230.0;00-0039172;K;2023;--;24
248;248;249;Clyde Edwards-Helaire;NO;12;RB68;;216;244.0;230.0;00-0036360;RB;2023;0.7313432835820896;24
249;249;250;Greg Zuerlein;;;K19;212.0;;250.0;231.0;00-0029621;K;2023;0.9798994974874372;35
250;250;251;Greg Dortch;ARI;11;WR79;;222;242.0;232.0;00-0035500;WR;2023;0.9069767441860465;25
251;251;252;Kenneth Gainwell;PIT;9;RB69;;259;206.0;232.5;00-0036919;RB;2023;0.9607843137254902;24
252;252;253;Roman Wilson;PIT;9;WR80;;189;279.0;234.0;00-0039739;WR;2023;--;22
253;253;254;Jalen McMillan;TB;11;WR81;;230;243.0;236.5;00-0039855;WR;2023;--;21
254;254;255;Juwan Johnson;NO;12;TE29;;243;233.0;238.0;00-0036040;TE;2023;0.8793103448275862;26
255;255;256;Dustin Hopkins;CLE;10;K20;220.0;;260.0;240.0;00-0030098;K;2023;0.8223684210526315;32
256;256;257;Samaje Perine;CIN;12;RB70;;304;185.0;244.5;00-0033526;RB;2023;0.9905660377358491;27
257;257;258;Ja'Tavion Sanders;CAR;11;TE30;;227;265.0;246.0;00-0039356;TE;2023;--;20
258;258;259;Matt Prater;;;K21;187.0;;;187.0;00-0023853;K;2023;0.9218106995884774;39
259;259;260;Denver Broncos;DST;14;DST25;226.0;;268.0;247.0;--;D/ST;2023;--;D/ST
260;260;261;Mike Gesicki;CIN;12;TE31;;228;267.0;247.5;00-0034829;TE;2023;0.98989898989899;27
261;261;262;Keaton Mitchell;BAL;14;RB71;;233;263.0;248.0;00-0038454;RB;2023;0.47058823529411764;21
262;262;263;Dyami Brown;JAC;12;WR82;;;190.0;190.0;00-0036626;WR;2023;0.9215686274509803;23
263;263;264;Jacoby Brissett;ARI;11;QB34;;;196.0;196.0;00-0033119;QB;2023;0.9007633587786259;30
264;264;265;Demarcus Robinson;SF;9;WR83;;220;285.0;252.5;00-0032775;WR;2023;0.9923664122137404;28
265;265;266;Dalvin Cook;;;RB72;;;201.0;201.0;00-0033893;RB;2023;0.8245614035087719;28
266;266;267;Tyler Boyd;;;WR84;;238;270.0;254.0;00-0033009;WR;2023;0.9847328244274809;28
267;267;268;Malachi Corley;NYJ;12;WR85;;208;303.0;255.5;00-0039920;WR;2023;--;21
268;268;269;Jalen Tolbert;DAL;7;WR86;;248;269.0;258.5;00-0037666;WR;2023;0.7352941176470589;24
269;269;270;Trey Sermon;PIT;9;RB73;;251;266.0;258.5;00-0036984;RB;2023;0.49019607843137253;24
270;270;271;Theo Johnson;NYG;11;TE32;;253;264.0;258.5;00-0039847;TE;2023;--;22
271;271;272;Washington Commanders;DST;14;DST26;;211;;211.0;--;D/ST;2023;--;D/ST
272;272;273;Greg Dulcich;NYG;11;TE33;;263;255.0;259.0;00-0037252;TE;2023;0.35294117647058826;23
273;273;274;Isaac Guerendo;SF;9;RB74;;237;282.0;259.5;00-0039363;RB;2023;--;23
274;274;275;Aidan O'Connell;LV;10;QB35;;314;213.0;263.5;00-0038579;QB;2023;0.7058823529411765;25
275;275;276;Jacksonville Jaguars;DST;12;DST27;213.0;320;;266.5;--;D/ST;2023;--;D/ST
276;276;277;Hayden Hurst;;;TE34;;299;222.0;260.5;00-0034830;TE;2023;0.8484848484848485;30
277;277;278;Kareem Hunt;KC;6;RB75;;;218.0;218.0;00-0033923;RB;2023;0.8425925925925926;28
278;278;279;Dylan Laube;LV;10;RB76;;249;277.0;263.0;00-0039407;RB;2023;--;23
279;279;280;Cam Akers;NO;12;RB77;;;224.0;224.0;00-0036414;RB;2023;0.5671641791044776;24
280;280;281;Carson Steele;KC;6;RB78;;;225.0;225.0;00-0039325;RB;2023;--;20
281;281;282;Colby Parkinson;LAR;6;TE35;;260;273.0;266.5;00-0036244;TE;2023;0.8059701492537313;24
282;282;283;Donta Foreman;RB79;;;;;;240.0;00-0036244;TE;2023;0.8059701492537313;24
283;283;284;DJ Chark Jr.;ATL;12;WR87;;236;302.0;269.0;--;D/ST;2023;--;D/ST
284;284;285;Javon Baker;NE;14;WR88;;232;;232.0;00-0039853;WR;2023;--;21
285;285;286;Miles Sanders;DAL;7;RB80;;306;237.0;271.5;00-0035243;RB;2023;0.8795180722891566;26
286;286;287;Odell Beckham Jr.;;;WR89;;242;304.0;273.0;00-0031235;WR;2023;0.8231292517006803;30
287;287;288;Andrei Iosivas;CIN;12;WR90;;;240.0;240.0;00-0038619;WR;2023;0.9411764705882353;23
288;288;289;Darius Slayton;NYG;11;WR91;;275;275.0;275.0;00-0035535;WR;2023;0.9397590361445783;26
289;289;290;Joe Flacco;CLE;10;QB36;;;248.0;248.0;00-0026158;QB;2023;0.8760683760683761;38
290;290;291;Jalin Hyatt;NYG;11;WR92;;270;290.0;280.0;00-0038938;WR;2023;1.0;21
291;291;292;Tennessee Titans;DST;5;DST28;;255;;255.0;--;D/ST;2023;--;D/ST
292;292;293;Michael Penix Jr.;ATL;12;QB37;;257;;257.0;00-0039917;QB;2023;--;23
293;293;294;Eric Gray;NYG;11;RB81;;;258.0;258.0;00-0038396;RB;2023;0.7647058823529411;23
294;294;295;Michael Mayer;LV;10;TE36;;278;289.0;283.5;00-0039066;TE;2023;0.8235294117647058;22
295;295;296;Joshua Karty;LAR;6;K22;;;261.0;261.0;00-0039750;K;2023;--;21
296;296;297;Cam Little;JAC;12;K23;;;262.0;262.0;00-0039409;K;2023;--;20
297;297;298;Brenden Rice;LAC;5;WR93;;267;;267.0;00-0039415;WR;2023;--;21
298;298;299;Elijah Moore;BUF;12;WR94;;268;;268.0;00-0036980;WR;2023;0.8823529411764706;23
299;299;300;Malik Washington;MIA;6;WR95;;285;291.0;288.0;00-0039880;WR;2023;--;22
300;300;301;Devontez Walker;BAL;14;WR96;;272;;272.0;00-0039792;WR;2023;--;22
301;301;302;Zay Jones;ARI;11;WR97;;274;;274.0;00-0033891;WR;2023;0.9130434782608695;28
302;302;303;Tre Tucker;LV;10;WR98;;289;292.0;290.5;00-0038563;WR;2023;0.9411764705882353;22
303;303;304;Daniel Bellinger;NYG;11;TE37;;309;274.0;291.5;00-0038115;TE;2023;0.8823529411764706;22
304;304;305;Kendrick Bourne;NE;14;WR99;;277;305.0;291.0;00-0033307;WR;2023;0.9043478260869565;28
305;305;306;Treylon Burks;TEN;5;WR100;;287;295.0;291.0;00-0037742;WR;2023;0.6470588235294118;23
306;306;307;Cordarrelle Patterson;;;RB82;;;276.0;276.0;00-0030578;RB;2023;0.9560439560439561;32
307;307;308;Tucker Kraft;GB;10;TE38;;276;;276.0;00-0038996;TE;2023;1.0;22
308;308;309;Davis Cheek;;;QB38;;279;;279.0;00-0037360;QB;2023;--;24
309;309;310;Albert Wilson;;;WR101;;280;;280.0;00-0030669;WR;2023;0.824;31
310;310;311;Peewee Jarrett;;;QB39;;282;;282.0;--;D/ST;2023;--;D/ST
311;311;312;Deuce Vaughn;DAL;7;RB83;;283;;283.0;00-0038622;RB;2023;0.4117647058823529;21
312;312;313;Larry Rose;III;;RB84;;284;;284.0;--;D/ST;2023;--;D/ST
313;313;314;Jordan Whittington;LAR;6;WR102;;;284.0;284.0;00-0039751;WR;2023;--;22
314;314;315;Jonathan Mingo;DAL;7;WR103;;294;298.0;296.0;00-0039062;WR;2023;0.8823529411764706;22
315;315;316;J.J. Taylor;HOU;14;RB85;;286;;286.0;00-0036096;RB;2023;0.4444444444444444;25
316;316;317;Calvin Austin III;PIT;9;WR104;;;287.0;287.0;00-0037837;WR;2023;0.5;24
317;317;318;Noah Brown;WAS;14;WR105;;;288.0;288.0;00-0033591;WR;2023;0.6869565217391305;27
318;318;319;Austin Aune;;;QB40;;288;;288.0;--;D/ST;2023;--;D/ST
319;319;320;Kevin White;;;WR106;;290;;290.0;00-0031545;WR;2023;0.578125;31
320;320;321;Rasheen Ali;BAL;14;RB86;;291;;291.0;00-0039796;RB;2023;--;22
321;321;322;Van Jefferson;TEN;5;WR107;;;293.0;293.0;00-0036415;WR;2023;0.9104477611940298;27
322;322;323;Isaiah Bowser;;;RB87;;293;;293.0;--;D/ST;2023;--;D/ST
323;323;324;Zay Malone;;;WR108;;295;;295.0;--;D/ST;2023;--;D/ST
324;324;325;Frank Gore Jr.;BUF;12;RB88;;296;;296.0;00-0039471;RB;2023;--;21
325;325;326;Los Angeles Chargers;DST;5;DST29;;308;296.0;302.0;--;D/ST;2023;--;D/ST
326;326;327;Emanuel Wilson;GB;10;RB89;;;297.0;297.0;00-0038797;RB;2023;0.5882352941176471;24
327;327;328;Josh Reynolds;NYJ;12;WR109;;298;;298.0;00-0033943;WR;2023;0.9224137931034483;28
328;328;329;K.J. Osborn;WAS;14;WR110;;311;299.0;305.0;00-0036345;WR;2023;0.8955223880597015;26
329;329;330;Mark Ingram;II;;RB90;;300;;300.0;00-0027966;RB;2023;0.7397959183673469;33
330;330;331;Jeff Wilson Jr.;SF;9;RB91;;;300.0;300.0;00-0036244;TE;2023;0.8059701492537313;24
331;331;332;Alec Pierce;IND;14;WR111;;;301.0;301.0;00-0037664;WR;2023;0.9705882352941176;23
332;332;333;Evan Hull;PIT;9;RB92;;302;;302.0;00-0038397;RB;2023;0.058823529411764705;22
333;333;334;Wendell Smallwood;;;RB93;;305;;305.0;00-0032782;RB;2023;0.9411764705882353;29
334;334;335;Jalen Nailor;MIN;6;WR112;;;306.0;306.0;00-0037291;WR;2023;0.6176470588235294;24
335;335;336;Nick Keizer;;;TE39;;307;;307.0;00-0034192;TE;2023;1.0;28
336;336;337;Mo Alie-Cox;IND;14;TE40;;312;;312.0;00-0033217;TE;2023;0.9895833333333334;29
337;337;338;James White;;;RB94;;313;;313.0;00-0031062;RB;2023;0.8787878787878788;31
338;338;339;Los Angeles Rams;DST;6;DST30;;315;;315.0;--;D/ST;2023;--;D/ST
339;339;340;Anthony Johnson;;;CB1;;316;;316.0;00-0035474;WR;2023;--;28
340;340;341;A.T. Perry;DEN;14;WR113;;318;;318.0;00-0038612;WR;2023;0.5882352941176471;23
341;341;342;Jason Witten;;;TE41;;319;;319.0;00-0022127;TE;2023;1.0;41
342;342;343;Vernon Davis;;;TE42;;321;;321.0;00-0024221;TE;2023;0.9344262295081968;39
