Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
0,0,0,1,Christian McCaffrey,SF,11,RB1,1.0,,,1.0,00-0033280,RB,2019,1.0,23,2017,0.9221428571428572,98.952,0.081,8.0,21.4,16,0,0.0,0,287,1387.0,15,116,1005.0,4,0.0,0,0.0,0,59,225.0,5,17,149.0,1,0.0
1,1,1,2,Saquon Barkley,PHI,9,RB2,2.0,,,2.0,00-0034844,RB,2019,0.90625,22,2018,0.8258333333333333,111.69859,0.044000000000000004,2.0,30.2,13,0,0.0,0,217,1003.0,6,52,438.0,2,0.0,0,0.0,0,19,34.0,0,6,60.0,0,0.0
2,2,2,3,Ezekiel Elliott,,,RB3,3.0,,,3.0,00-0033045,RB,2019,0.90625,24,2016,0.8314285714285715,37.138958,0.08,4.0,25.8,16,0,0.0,0,301,1357.0,12,54,420.0,2,2.0,0,0.0,0,244,979.0,6,52,338.0,2,5.0
3,3,3,4,Dalvin Cook,,,RB4,7.0,,,5.3,00-0033893,RB,2019,0.7083333333333334,24,2017,0.6699999999999999,53.721317,0.064,41.0,11.0,14,0,0.0,0,250,1135.0,13,53,519.0,0,2.0,0,0.0,0,312,1557.0,16,44,361.0,1,3.0
4,4,4,5,Alvin Kamara,NO,6,RB5,4.0,,,5.3,00-0033906,RB,2019,0.9583333333333334,24,2017,0.6745454545454546,70.17548,0.076,67.0,7.8,14,1,13.0,0,171,797.0,5,81,533.0,1,1.0,0,0.0,0,187,932.0,16,83,756.0,5,0.0
5,5,5,6,Derrick Henry,BAL,7,RB6,5.0,,,5.7,00-0032764,RB,2019,0.984375,25,2016,0.6361538461538461,104.549706,0.063,45.0,10.4,15,0,0.0,0,303,1540.0,16,18,206.0,2,3.0,0,0.0,0,378,2027.0,17,19,114.0,0,2.0
6,6,6,7,Michael Thomas,,,WR1,6.0,,,6.0,00-0032765,WR,2019,1.0,26,2016,0.8830769230769231,72.06917,0.102,47.0,10.1,16,0,0.0,0,1,-9.0,0,149,1725.0,9,0.0,0,0.0,0,1,1.0,0,40,438.0,0,0.0
7,7,7,8,Davante Adams,LAR,9,WR2,9.0,,,9.3,00-0031381,WR,2019,0.9591836734693877,26,2014,0.857,48.60204,0.087,53.0,9.3,12,0,0.0,0,0,0.0,0,83,997.0,5,1.0,0,0.0,0,0,0.0,0,115,1374.0,18,1.0
8,8,8,9,Joe Mixon,HOU,8,RB7,11.0,,,9.7,00-0033897,RB,2019,1.0,23,2017,0.5864285714285714,59.85717,0.061,48.0,9.9,16,0,0.0,0,278,1137.0,5,35,287.0,3,0.0,0,0.0,0,119,428.0,3,21,138.0,1,1.0
9,9,9,10,Tyreek Hill,MIA,7,WR3,12.0,,,12.7,00-0033040,WR,2019,0.96875,25,2016,0.7,94.03538,0.096,165.0,2.1,12,0,0.0,0,8,23.0,0,58,860.0,7,0.0,0,0.0,0,13,123.0,2,87,1276.0,15,0.0
