Rank,Player,Team,AVG,gsis_id,position,season,availability,age,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr,player_id_x,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation,player_id_y,redzone_touches,redzone_yards,redzone_tds,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos,targets_totales,targets_por_partido,targets_por_partido_equipo,posicion,equipo,target_share_pct
23,Brandin Cooks,NO,23.8,00-0031236,WR,2015,0.6071428571428571,21,0.83125,67.594666,0.016,20.0,15.5,0,0.0,0,8,18.0,0,84,1138.0,9,0.0,0,0.0,0,6,30.0,0,78,1173.0,8,0.0,4.571428571428571,00-0031236,16,1138.0,71.125,4.797978,15.042525,00-0031236,10,74.0,2.0,129,84,1138,71.125,18,9,8,18,1.125,0,0,9,16,129,8.1,41.6,WR,NO,19.4
27,T.Y. Hilton,,28.0,00-0029608,WR,2015,1,25,0.841875,62.019833,0.091,92.0,5.8,0,0.0,0,0,0.0,0,69,1124.0,5,0.0,0,0.0,0,0,0.0,0,91,1448.0,6,0.0,5.521739130434782,00-0029608,16,1124.0,70.25,3.8263526,17.786076,00-0029608,16,124.0,3.0,134,69,1124,70.25,17,5,0,0,0.0,0,0,5,16,134,8.4,37.9,WR,IND,22.1
28,Demaryius Thomas,,28.0,00-0027874,WR,2015,1,27,0.8431249999999999,31.574501,0.098,22.0,14.9,0,0.0,0,0,0.0,0,105,1304.0,6,2.0,0,0.0,0,0,0.0,0,90,1083.0,5,2.0,4.561904761904762,00-0027874,19,1364.0,71.789474,3.8801863,18.324121,00-0027874,23,174.0,3.0,177,105,1304,81.5,14,6,0,0,0.0,0,2,6,16,177,11.1,37.8,WR,DEN,29.3
29,Sammy Watkins,,28.5,00-0031325,WR,2015,1,22,0.8146153846153846,115.12564,0.037000000000000005,4.0,25.8,0,0.0,0,1,1.0,0,60,1047.0,9,0.0,0,0.0,0,0,0.0,0,28,430.0,2,0.0,2.9833333333333334,00-0031325,13,1047.0,80.53846,3.593484,22.878536,00-0031325,7,60.0,2.0,96,60,1047,80.53846153846153,18,9,1,1,0.0769230769230769,0,0,9,13,96,7.4,28.9,WR,BUF,20.7
31,Jarvis Landry,,30.0,00-0031382,WR,2015,1,22,0.84375,53.816536,0.007,63.0,8.2,1,9.0,0,18,113.0,1,110,1157.0,4,0.0,0,0.0,0,5,17.0,0,94,1136.0,4,1.0,4.845454545454546,00-0031382,16,1157.0,72.3125,4.3271055,16.020424,00-0031382,24,158.0,3.0,167,110,1157,72.3125,10,4,18,113,7.0625,1,0,5,16,167,10.4,36.4,WR,MIA,28.6
35,Randall Cobb,,36.5,00-0028002,WR,2015,1,25,0.91625,58.542957,0.07,64.0,8.1,0,0.0,0,13,50.0,0,79,829.0,6,0.0,0,0.0,0,10,33.0,0,60,610.0,4,0.0,5.518987341772152,00-0028002,18,867.0,48.166668,3.6328392,13.614275,00-0028002,24,118.0,6.0,129,79,829,51.8125,11,6,13,50,3.125,0,0,6,16,129,8.1,35.6,WR,GB,22.6
36,Julian Edelman,,39.8,00-0027150,WR,2015,0.8869565217391304,29,0.811111111,62.61501,0.032,232.0,0.0,0,0.0,0,3,23.0,0,61,692.0,7,1.0,0,0.0,0,12,57.0,0,98,1106.0,3,1.0,5.081967213114754,00-0027150,11,845.0,76.818184,5.1093187,14.959149,00-0027150,23,174.0,5.0,88,61,692,76.88888888888889,8,7,3,23,2.555555555555556,0,1,7,9,88,9.8,39.0,WR,NE,14.1
40,Jeremy Maclin,,41.3,00-0026995,WR,2015,1,27,0.882,73.13981,0.077,19.0,15.8,0,0.0,0,3,14.0,0,87,1088.0,8,1.0,0,0.0,0,1,-1.0,0,44,536.0,2,0.0,3.7011494252873565,00-0026995,17,1140.0,67.05882,3.569995,18.27941,00-0026995,15,158.0,6.0,124,87,1088,72.53333333333333,14,8,3,14,0.9333333333333332,0,1,8,15,124,8.3,29.2,WR,KC,26.6
45,Golden Tate,,45.3,00-0027891,WR,2015,1,27,0.861875,40.4345,0.047,60.0,8.5,0,0.0,0,6,41.0,0,90,813.0,6,1.0,0,0.0,0,10,4.0,0,91,1077.0,4,1.0,5.9222222222222225,00-0027891,16,813.0,50.8125,4.396606,12.094724,00-0027891,18,78.0,6.0,129,90,813,50.8125,7,6,6,41,2.5625,0,1,6,16,129,8.1,38.9,WR,DET,20.7
47,Donte Moncrief,,46.5,00-0031339,WR,2015,1,22,0.7562500000000001,53.062294,0.005,90.0,5.9,0,0.0,0,0,0.0,0,64,733.0,6,0.0,0,0.0,0,1,-1.0,0,30,307.0,7,0.0,4.171875,00-0031339,16,733.0,45.8125,3.8263526,11.682478,00-0031339,12,116.0,5.0,105,64,733,45.8125,9,6,0,0,0.0,0,0,6,16,105,6.6,37.9,WR,IND,17.3
48,Eric Decker,,49.0,00-0027690,WR,2015,1,28,0.8780000000000001,11.512668,0.055,87.0,6.2,0,0.0,0,0,0.0,0,80,1027.0,12,1.0,0,0.0,0,0,0.0,0,9,194.0,2,0.0,2.675,00-0027690,15,1027.0,68.46667,3.9105234,17.560255,00-0027690,29,150.0,10.0,132,80,1027,68.46666666666667,16,12,0,0,0.0,0,1,12,15,132,8.8,37.6,WR,NYJ,21.9
50,Doug Baldwin,,51.8,00-0028434,WR,2015,1,26,-1.0,113.70062,0.074,,0.0,0,0.0,0,0,0.0,0,78,1069.0,14,0.0,1,15.0,1,3,2.0,0,94,1128.0,7,0.0,5.641025641025641,00-0028434,18,1193.0,66.27778,4.0452266,15.954853,00-0028434,19,252.0,8.0,103,78,1069,66.8125,16,14,0,0,0.0,0,0,14,16,103,6.4,29.7,WR,SEA,21.7
55,Larry Fitzgerald,,57.5,00-0022921,WR,2015,1,32,0.8875,70.630295,0.071,3.0,27.6,0,0.0,0,0,0.0,0,109,1215.0,9,2.0,0,0.0,0,2,5.0,0,107,1023.0,6,1.0,4.238532110091743,00-0022921,18,1421.0,78.94444,4.7358623,16.638803,00-0022921,21,186.0,9.0,145,109,1215,75.9375,17,9,0,0,0.0,0,2,9,16,145,9.1,34.4,WR,ARI,26.4
56,Michael Floyd,,58.5,00-0029638,WR,2015,1,25,0.624,83.312096,0.028999999999999998,13.0,18.3,0,0.0,0,0,0.0,0,52,849.0,6,0.0,0,0.0,0,0,0.0,0,37,488.0,5,0.0,4.0,00-0029638,17,912.0,53.64706,4.6814594,11.315434,00-0029638,13,84.0,4.0,89,52,849,56.6,13,6,0,0,0.0,0,0,6,15,89,5.9,34.4,WR,ARI,16.2
65,Marvin Jones Jr.,,65.8,00-0029293,WR,2015,0.8947368421052632,25,0.8512500000000001,36.531624,0.052000000000000005,166.0,2.0,0,0.0,0,5,33.0,0,65,816.0,4,0.0,0,0.0,0,1,3.0,0,55,930.0,4,0.0,4.446153846153846,00-0029293,17,848.0,49.882355,4.123175,12.669148,00-0029293,12,116.0,2.0,103,65,816,51.0,13,4,5,33,2.0625,0,0,4,16,103,6.4,30.9,WR,CIN,20.8
