Rank,Player,Team,AVG,gsis_id,position,season,availability,age,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr,player_id_x,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation,player_id_y,redzone_touches,redzone_yards,redzone_tds,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos,targets_totales,targets_por_partido,targets_por_partido_equipo,posicion,equipo,target_share_pct
327,Terrance Williams,,281.5,00-0030542,WR,2016,1.0,26,0.7068749999999999,24.65257,0.025,74.0,7.2,0,0.0,0,0,0.0,0,44,594.0,4,1.0,0,0.0,0,2,15.0,0,53,568.0,0,0.0,3.75,00-0030542,16,662.0,41.375,3.8321884,11.282284,00-0030542,6,74.0,3.0,61,44,594,39.6,6,4,0,0,0.0,0,1,4,15,61,4.1,30.1,WR,DAL,12.7
349,Dontrelle Inman,,296.0,00-0028411,WR,2016,1.0,27,0.8981250000000001,54.5065,0.016,,0.0,0,0.0,0,0,0.0,0,58,810.0,4,0.0,0,0.0,0,0,0.0,0,25,343.0,1,0.0,3.689655172413793,00-0028411,16,810.0,50.625,4.3896613,11.812904,00-0028411,7,76.0,1.0,97,58,810,50.625,10,4,0,0,0.0,0,0,4,16,97,6.1,35.4,WR,LAC,17.1
351,Victor Cruz,,299.0,00-0027265,WR,2016,0.75,29,-1.0,22.57033,0.012,,0.0,0,0.0,0,0,0.0,0,39,586.0,1,1.0,--,--,--,--,--,--,--,--,--,--,4.846153846153846,00-0027265,15,616.0,41.066666,4.125021,9.655315,00-0027265,8,62.0,1.0,72,39,586,41.85714285714285,10,1,0,0,0.0,0,1,1,14,72,5.1,37.3,WR,NYG,12.1
354,Michael Floyd,,306.0,00-0029638,WR,2016,1.0,26,0.6746666666666667,20.8422,0.008,13.0,18.3,0,0.0,0,0,0.0,0,37,488.0,5,0.0,0,0.0,0,0,0.0,0,10,78.0,0,0.0,1.864864864864865,00-0029638,15,497.0,33.133335,3.8622556,8.153596,00-0029638,15,112.0,5.0,77,37,488,34.857142857142854,4,5,0,0,0.0,0,0,5,14,71,5.9,40.0,WR,ARI,11.1
356,Seth Roberts,,308.0,00-0031166,WR,2016,1.0,25,-1.0,18.441626,0.031,,0.0,0,0.0,0,0,0.0,0,38,397.0,5,0.0,0,0.0,0,0,0.0,0,43,455.0,1,2.0,5.131578947368421,00-0031166,17,398.0,23.411764,3.9196715,6.1831784,00-0031166,23,116.0,4.0,79,38,397,24.8125,5,5,0,0,0.0,0,0,5,16,79,4.9,37.2,WR,LV,13.3
358,Adam Humphries,,311.0,00-0032009,WR,2016,1.0,23,0.6013333333333333,35.40381,0.004,,0.0,0,0.0,0,5,18.0,0,55,622.0,2,0.0,0,0.0,0,1,6.0,0,61,631.0,1,1.0,6.945454545454545,00-0032009,15,622.0,41.466667,3.9928076,10.66723,00-0032009,11,70.0,1.0,84,55,622,41.46666666666667,7,2,5,18,1.2,0,0,2,15,84,5.6,36.1,WR,TB,14.6
362,Sammie Coates,,316.0,00-0032166,WR,2016,1.0,23,0.3342857142857143,93.97964,0.005,87.0,6.2,0,0.0,0,4,14.0,0,21,435.0,2,0.0,0,0.0,0,0,0.0,0,6,70.0,0,0.0,5.190476190476191,00-0032166,12,469.0,39.083332,4.5518384,8.488674,00-0032166,5,20.0,1.0,49,21,435,39.54545454545455,7,2,4,14,1.2727272727272727,0,0,2,11,49,4.5,37.4,WR,PIT,8.2
371,Dorial Green-Beckham,,329.0,00-0032218,WR,2016,1.0,23,0.6053333333333334,23.552967,0.01,40.0,11.1,0,0.0,0,0,0.0,0,36,392.0,2,0.0,--,--,--,--,--,--,--,--,--,--,4.027777777777778,00-0032218,14,392.0,28.0,3.5534663,7.9875517,00-0032218,12,80.0,2.0,74,36,392,28.0,5,2,0,0,0.0,0,0,2,14,74,5.3,37.9,WR,PHI,12.2
376,Quincy Enunwa,,335.0,00-0031023,WR,2016,1.0,24,0.84,39.555958,0.004,209.0,0.6,0,0.0,0,1,12.0,0,58,857.0,4,0.0,--,--,--,--,--,--,--,--,--,--,6.068965517241379,00-0031023,16,857.0,53.5625,3.6706746,14.505912,00-0031023,15,44.0,1.0,105,58,857,53.5625,14,4,1,12,0.75,0,0,4,16,105,6.6,34.1,WR,NYJ,19.2
391,Andre Holmes,,350.0,00-0028263,WR,2016,1.0,28,-1.0,15.395165,0.01,,0.0,0,0.0,0,0,0.0,0,14,126.0,3,0.0,0,0.0,0,0,0.0,0,13,120.0,3,0.0,1.8571428571428572,00-0028263,15,176.0,11.733334,3.780803,3.8384607,00-0028263,9,52.0,4.0,25,14,126,9.0,2,3,0,0,0.0,0,0,3,14,25,1.8,37.2,WR,LV,4.2
397,Charone Peake,,357.0,00-0032959,WR,2016,1.0,23,0.3360000000000001,6.3236365,0.004,241.0,0.0,0,0.0,0,0,0.0,0,19,186.0,0,0.0,0,0.0,0,0,0.0,0,1,3.0,0,0.0,3.736842105263158,00-0032959,11,186.0,16.90909,3.5241852,4.9657497,00-0032959,3,0.0,0.0,35,19,186,16.90909090909091,1,0,0,0,0.0,0,0,0,11,35,3.2,34.1,WR,NYJ,6.4
409,Albert Wilson,,369.0,00-0030669,WR,2016,1.0,24,0.453125,34.753456,0.011000000000000001,,0.0,0,0.0,0,2,50.0,1,31,279.0,2,0.0,0,0.0,0,3,6.0,0,42,554.0,3,0.0,5.419354838709677,00-0030669,15,282.0,18.8,3.9863749,4.721308,00-0030669,8,28.0,2.0,51,31,279,19.928571428571427,4,2,2,50,3.571428571428572,1,0,3,14,51,3.6,33.6,WR,KC,9.5
5,Antonio Brown,,5.2,00-0027793,WR,2017,1.0,29,0.8957142857142858,154.19786,0.102,195.0,1.0,0,0.0,0,0,0.0,0,101,1533.0,9,0.0,0,0.0,0,0,0.0,0,104,1297.0,15,0.0,4.762376237623762,00-0027793,15,1665.0,111.0,4.5391936,23.862312,00-0027793,25,166.0,6.0,165,101,1533,109.5,27,9,0,0,0.0,0,0,9,14,165,11.8,36.8,WR,PIT,28.1
8,DeAndre Hopkins,BAL,8.8,00-0030564,WR,2017,1.0,25,0.982,58.58839,0.09699999999999999,27.0,13.6,0,0.0,0,0,0.0,0,96,1378.0,13,1.0,0,0.0,0,1,-7.0,0,115,1572.0,11,2.0,3.7395833333333335,00-0030564,15,1378.0,91.86667,3.5605772,26.682983,00-0030564,20,98.0,7.0,175,96,1378,91.86666666666666,24,13,0,0,0.0,0,1,13,15,175,11.7,32.5,WR,HOU,33.7
11,Odell Beckham Jr.,,11.0,00-0031235,WR,2017,0.8153846153846154,24,0.7575000000000001,80.73999,0.102,12.0,18.8,0,0.0,0,1,8.0,0,25,302.0,3,0.0,2,106.0,2,5,19.0,0,77,1052.0,6,0.0,2.6,00-0031235,4,302.0,75.5,4.2906685,18.761417,00-0031235,6,60.0,2.0,43,25,302,75.5,2,3,1,8,2.0,0,0,3,4,43,10.8,37.9,WR,NYG,7.1
13,Julio Jones,,12.6,00-0027944,WR,2017,0.9523809523809523,28,0.7550000000000001,115.47463,0.099,6.0,23.2,0,0.0,0,1,15.0,0,88,1444.0,3,0.0,0,0.0,0,2,12.0,0,113,1677.0,8,2.0,5.5227272727272725,00-0027944,18,1639.0,91.05556,4.185747,21.315424,00-0027944,25,108.0,2.0,148,88,1444,90.25,23,3,1,15,0.9375,0,0,3,16,148,9.2,32.3,WR,ATL,28.6
16,Michael Thomas,,15.8,00-0032765,WR,2017,1.0,24,0.82125,37.89329,0.008,47.0,10.1,0,0.0,0,0,0.0,0,104,1245.0,5,0.0,0,0.0,0,0,0.0,0,125,1405.0,9,2.0,4.086538461538462,00-0032765,18,1461.0,81.166664,4.5928516,18.140173,00-0032765,21,164.0,7.0,149,104,1245,77.8125,22,5,0,0,0.0,0,0,5,16,149,9.3,33.1,WR,NO,28.2
17,Keenan Allen,LAC,16.4,00-0030279,WR,2017,0.6891891891891891,25,0.8443750000000001,98.21983,0.07200000000000001,76.0,7.0,0,0.0,0,2,9.0,0,102,1393.0,6,0.0,0,0.0,0,9,75.0,0,97,1196.0,6,1.0,4.911764705882353,00-0030279,16,1393.0,87.0625,4.563659,18.448372,00-0030279,24,158.0,4.0,159,102,1393,87.0625,18,6,2,9,0.5625,0,0,6,16,159,9.9,35.9,WR,LAC,27.7
18,Davante Adams,LAR,18.8,00-0031381,WR,2017,1.0,24,0.8528571428571429,62.382256,0.087,53.0,9.3,0,0.0,0,0,0.0,0,74,885.0,10,0.0,0,0.0,0,0,0.0,0,111,1386.0,13,0.0,4.5675675675675675,00-0031381,14,885.0,63.214287,3.65289,17.599382,00-0031381,24,280.0,7.0,118,74,885,63.21428571428572,8,10,0,0,0.0,0,0,10,14,118,8.4,34.8,WR,GB,21.2
20,A.J. Green ,,20.2,00-0027942,WR,2017,0.9914529914529915,29,0.87125,73.192665,0.105,4.0,25.8,0,0.0,0,0,0.0,0,75,1078.0,8,2.0,0,0.0,0,0,0.0,0,46,694.0,6,1.0,3.96,00-0027942,16,1078.0,67.375,3.74489,17.598734,00-0027942,16,144.0,6.0,143,75,1078,67.375,9,8,0,0,0.0,0,2,8,16,143,8.9,30.5,WR,CIN,29.3
22,Mike Evans,TB,23.4,00-0031408,WR,2017,0.9848484848484849,24,0.866,37.346855,0.09300000000000001,7.0,22.2,0,0.0,0,0,0.0,0,71,1001.0,5,0.0,0,0.0,0,0,0.0,0,86,1524.0,8,1.0,1.8873239436619718,00-0031408,15,1001.0,66.73333,4.619385,14.510939,00-0031408,21,92.0,3.0,138,71,1004,66.93333333333334,9,5,0,0,0.0,0,0,5,15,138,9.2,37.5,WR,TB,23.0
27,Tyreek Hill,MIA,26.8,00-0033040,WR,2017,1.0,23,0.8106666666666665,72.37553,0.004,165.0,2.1,0,0.0,0,17,59.0,0,75,1183.0,7,1.0,0,0.0,0,22,151.0,1,87,1479.0,12,0.0,6.066666666666666,00-0033040,16,1270.0,79.375,4.5304723,17.29219,00-0033040,4,14.0,0.0,105,75,1183,78.86666666666666,15,7,17,59,3.933333333333333,0,0,7,15,105,7.0,33.1,WR,KC,19.8
29,T.Y. Hilton,,28.2,00-0029608,WR,2017,1.0,27,0.8999999999999999,98.706,0.091,92.0,5.8,0,0.0,0,0,0.0,0,57,966.0,4,1.0,0,0.0,0,0,0.0,0,76,1270.0,6,0.0,5.333333333333333,00-0029608,16,966.0,60.375,3.3013585,16.784985,00-0029608,10,24.0,0.0,109,57,966,60.375,14,4,0,0,0.0,0,1,4,16,109,6.8,29.6,WR,IND,23.0
30,Stefon Diggs,NE,29.8,00-0031588,WR,2017,1.0,23,0.8049999999999999,91.00417,0.081,146.0,2.9,0,0.0,0,8,13.0,0,64,849.0,8,0.0,0,0.0,0,10,62.0,0,102,1021.0,9,0.0,4.65625,00-0031588,16,1056.0,66.0,3.9347894,16.131172,00-0031588,15,238.0,7.0,95,64,849,60.642857142857146,14,8,8,13,0.9285714285714286,0,0,8,14,95,6.8,32.6,WR,MIN,18.2
31,Adam Thielen,CAR,31.8,00-0030035,WR,2017,1.0,27,0.925625,61.80296,0.028999999999999998,,0.0,0,0.0,0,1,11.0,0,91,1276.0,4,2.0,0,0.0,0,5,30.0,0,113,1373.0,9,1.0,4.912087912087912,00-0030035,18,1378.0,76.55556,3.8532164,19.180164,00-0030035,20,78.0,2.0,142,91,1276,79.75,20,4,1,11,0.6875,0,2,4,16,142,8.9,32.6,WR,MIN,27.2
32,Larry Fitzgerald,,33.6,00-0022921,WR,2017,1.0,34,0.95375,82.10987,0.066,3.0,27.6,1,21.0,0,0,0.0,0,109,1156.0,6,1.0,1,32.0,1,0,0.0,0,69,734.0,6,0.0,3.743119266055046,00-0022921,16,1156.0,72.25,3.8460991,19.477924,00-0022921,21,236.0,6.0,162,109,1156,72.25,16,6,0,0,0.0,0,1,6,16,162,10.1,37.1,WR,ARI,27.3
34,Amari Cooper,,34.6,00-0031544,WR,2017,1.0,23,0.8099999999999999,125.64132,0.04,4.0,25.8,0,0.0,0,1,4.0,0,48,680.0,7,0.0,0,0.0,0,2,20.0,0,75,1005.0,7,2.0,6.104166666666667,00-0031544,14,680.0,48.57143,4.0029664,11.448053,00-0031544,10,52.0,3.0,96,48,680,48.57142857142857,9,7,1,4,0.2857142857142857,0,0,7,14,96,6.9,34.6,WR,LV,17.3
36,Doug Baldwin,,37.0,00-0028434,WR,2017,1.0,28,-1.0,56.627956,0.07400000000000001,,0.0,0,0.0,0,2,-8.0,0,75,991.0,8,0.0,0,0.0,0,0,0.0,0,50,618.0,5,0.0,3.6533333333333333,00-0028434,16,991.0,61.9375,3.9670901,15.750278,00-0028434,9,72.0,3.0,117,75,991,61.9375,18,8,2,-8,-0.5,0,0,8,16,117,7.3,33.2,WR,SEA,22.0
38,Jarvis Landry,,38.4,00-0031382,WR,2017,1.0,24,0.894375,30.148,0.09,63.0,8.2,0,0.0,0,1,-7.0,0,112,987.0,9,2.0,1,63.0,0,3,60.0,1,81,976.0,4,1.0,4.446428571428571,00-0031382,16,987.0,61.6875,3.848371,16.976667,00-0031382,23,170.0,9.0,161,112,987,61.6875,6,9,1,-7,-0.4375,0,3,9,16,161,10.1,36.8,WR,MIA,27.3
41,Demaryius Thomas ,,43.2,00-0027874,WR,2017,1.0,29,0.7875,42.747623,0.098,22.0,14.9,0,0.0,0,0,0.0,0,83,949.0,5,1.0,0,0.0,0,0,0.0,0,59,677.0,5,0.0,3.602409638554217,00-0027874,16,949.0,59.3125,3.4317126,17.072386,00-0027874,19,156.0,5.0,426,249,2847,177.9375,30,10,0,0,0.0,0,1,10,16,142,8.9,34.7,WR,DEN,25.6
43,JuJu Smith-Schuster,KC,44.0,00-0033857,WR,2017,0.9375,20,0.7471428571428571,92.78744,0.006,62.0,8.3,0,0.0,0,0,0.0,0,58,917.0,7,0.0,0,0.0,0,1,13.0,0,111,1426.0,7,1.0,7.413793103448276,00-0033857,14,922.0,65.85714,4.304689,15.325888,00-0033857,16,206.0,6.0,79,58,917,70.53846153846153,12,7,0,0,0.0,0,0,7,13,79,6.1,36.8,WR,PIT,13.4
44,Brandin Cooks,NO,45.4,00-0031236,WR,2017,0.8166666666666667,23,0.92875,67.70599,0.091,20.0,15.5,0,0.0,0,9,40.0,0,65,1082.0,7,0.0,0,0.0,0,10,68.0,1,80,1204.0,5,0.0,3.4923076923076923,00-0031236,19,1237.0,65.10526,4.6131997,14.733647,00-0031236,15,108.0,4.0,115,65,1082,67.625,18,7,9,40,2.5,0,0,7,16,115,7.2,36.6,WR,NE,19.6
45,Golden Tate,,45.8,00-0027891,WR,2017,1.0,29,0.76125,56.35296,0.047,60.0,8.5,0,0.0,0,5,22.0,0,92,1003.0,5,1.0,0,0.0,0,4,34.0,0,74,795.0,4,0.0,6.663043478260869,00-0027891,16,1003.0,62.6875,4.588201,13.348271,00-0027891,8,90.0,2.0,120,92,1003,62.6875,10,5,5,22,1.375,0,1,5,16,120,7.5,35.6,WR,DET,21.1
50,Josh Gordon ,,48.6,00-0029664,WR,2017,0.7538461538461538,26,-1.0,24.339998,0.004,1.0,34.6,0,0.0,0,0,0.0,0,18,335.0,1,0.0,0,0.0,0,0,0.0,0,41,737.0,4,0.0,6.833333333333333,00-0029664,5,335.0,67.0,3.6575418,17.657198,00-0029664,2,36.0,1.0,42,18,335,67.0,5,1,0,0,0.0,0,0,1,5,42,8.4,35.4,WR,CLE,7.4
54,Marvin Jones Jr. ,,54.8,00-0029293,WR,2017,0.9325842696629213,27,0.9625,62.178295,0.052000000000000005,166.0,2.0,0,0.0,0,0,0.0,0,61,1101.0,9,0.0,0,0.0,0,0,0.0,0,35,508.0,5,0.0,3.19672131147541,00-0029293,16,1101.0,68.8125,4.588201,14.837008,00-0029293,16,62.0,4.0,216,122,2202,137.625,40,18,0,0,0.0,0,0,18,16,108,6.8,35.6,WR,DET,19.0
55,Chris Hogan,,55.0,00-0028237,WR,2017,1.0,29,0.9055555555555556,68.95444,0.026000000000000002,,0.0,0,0.0,0,3,17.0,0,34,439.0,5,0.0,0,0.0,0,0,0.0,0,35,532.0,3,0.0,5.029411764705882,00-0028237,12,591.0,49.25,4.8753705,9.598315,00-0028237,13,84.0,5.0,59,34,439,48.77777777777778,6,5,3,17,1.8888888888888888,0,0,5,9,59,6.6,36.6,WR,NE,10.1
60,Corey Davis,,63.6,00-0033871,WR,2017,1.0,22,0.730909090909091,20.57,0.038,5.0,24.3,0,0.0,0,0,0.0,0,34,375.0,0,0.0,0,0.0,0,6,55.0,0,65,891.0,4,0.0,2.9705882352941178,00-0033871,13,473.0,36.384617,3.6597483,9.575124,00-0033871,7,130.0,2.0,65,34,375,34.09090909090909,4,0,0,0,0.0,0,1,0,11,65,5.9,30.2,WR,TEN,13.4
62,Michael Crabtree,,66.4,00-0026986,WR,2017,0.9925373134328358,29,0.6664285714285715,79.61808,0.04,10.0,19.9,0,0.0,0,0,0.0,0,58,618.0,8,0.0,0,0.0,0,0,0.0,0,54,607.0,3,0.0,3.2758620689655173,00-0026986,13,618.0,47.53846,3.840771,12.523431,00-0026986,16,40.0,5.0,103,58,618,47.53846153846154,8,8,0,0,0.0,0,0,8,13,103,7.9,34.6,WR,LV,18.6
64,Marquise Goodwin,,67.0,00-0030068,WR,2017,0.9166666666666666,26,0.708125,39.5585,0.038,78.0,6.9,0,0.0,0,4,44.0,0,56,962.0,2,0.0,0,0.0,0,4,9.0,0,23,395.0,4,0.0,3.5357142857142856,00-0030068,16,962.0,60.125,4.0321007,14.143701,00-0030068,15,100.0,1.0,105,56,962,60.125,13,2,4,44,2.75,0,0,2,16,105,6.6,37.5,WR,SF,17.5
65,Emmanuel Sanders ,,67.0,00-0027685,WR,2017,1.0,30,0.7491666666666666,52.651745,0.071,82.0,6.5,0,0.0,0,0,0.0,0,47,555.0,2,0.0,1,28.0,1,4,53.0,1,71,868.0,4,0.0,3.5531914893617023,00-0027685,12,555.0,46.25,3.4986827,12.655426,00-0027685,10,40.0,2.0,92,47,555,46.25,11,2,0,0,0.0,0,0,2,12,92,7.7,34.7,WR,DEN,16.6
71,Alshon Jeffery,,73.4,00-0029137,WR,2017,0.8383838383838383,27,0.811875,50.642628,0.078,45.0,10.4,0,0.0,0,0,0.0,0,57,789.0,9,0.0,0,0.0,0,0,0.0,0,65,843.0,6,0.0,3.56140350877193,00-0029137,19,1008.0,53.05263,3.9293928,13.65052,00-0029137,25,146.0,8.0,123,57,789,49.3125,8,9,0,0,0.0,0,0,9,16,123,7.7,35.1,WR,PHI,21.9
75,William Fuller V ,,79.8,00-0033127,WR,2017,1.0,23,0.786,85.69067,0.016,21.0,15.2,0,0.0,0,2,9.0,0,28,423.0,7,0.0,0,0.0,0,0,0.0,0,32,503.0,4,0.0,3.5357142857142856,00-0033127,10,423.0,42.3,3.4737747,11.332859,00-0033127,6,110.0,4.0,51,28,423,42.3,7,7,2,9,0.9,0,0,7,10,51,5.1,32.5,WR,HOU,9.8
76,Sammy Watkins,,80.2,00-0031325,WR,2017,0.8939393939393939,24,0.8039999999999999,53.409813,0.09,4.0,25.8,0,0.0,0,0,0.0,0,39,593.0,8,0.0,0,0.0,0,5,52.0,0,40,519.0,3,0.0,4.743589743589744,00-0031325,16,616.0,38.5,4.2291484,8.780204,00-0031325,11,102.0,7.0,70,39,593,39.53333333333333,9,8,0,0,0.0,0,0,8,15,70,4.7,31.9,WR,LA,13.7
78,Robert Woods,PIT,82.4,00-0030431,WR,2017,0.8148148148148148,25,0.8208333333333333,91.257195,0.040999999999999995,41.0,11.0,0,0.0,0,2,12.0,0,56,781.0,5,1.0,0,0.0,0,19,157.0,1,86,1219.0,6,0.0,5.428571428571429,00-0030431,13,923.0,71.0,4.1659946,17.965136,00-0030431,12,86.0,3.0,85,56,781,65.08333333333333,12,5,2,12,1.0,0,1,5,12,85,7.1,31.9,WR,LA,16.7
83,Cooper Kupp,SEA,85.0,00-0033908,WR,2017,1.0,24,0.7593333333333333,36.030666,0.006,69.0,7.6,0,0.0,0,0,0.0,0,62,869.0,5,1.0,0,0.0,0,4,25.0,0,40,566.0,6,0.0,5.870967741935484,00-0033908,16,938.0,58.625,4.2291484,14.10992,00-0033908,26,293.0,6.0,94,62,869,57.93333333333333,12,5,0,0,0.0,0,1,5,15,94,6.3,31.9,WR,LA,18.4
88,Jamison Crowder,,88.4,00-0031941,WR,2017,1.0,24,0.7133333333333333,52.12981,0.005,105.0,5.0,0,0.0,0,7,34.0,0,66,789.0,3,0.0,0,0.0,0,4,30.0,0,29,388.0,2,0.0,5.606060606060606,00-0031941,15,789.0,52.6,4.19065,12.955447,00-0031941,14,98.0,3.0,103,66,789,52.6,12,3,7,34,2.2666666666666666,0,4,3,15,103,6.9,33.4,WR,WAS,19.3
89,Robbie Chosen,SF,89.8,00-0032688,WR,2017,1.0,24,0.7831250000000001,67.37066,0.003,,0.0,0,0.0,0,3,9.0,0,63,941.0,7,0.0,0,0.0,0,2,-8.0,0,50,752.0,6,2.0,4.333333333333333,00-0032688,16,941.0,58.8125,3.5771842,16.603762,00-0032688,11,64.0,1.0,115,63,941,58.8125,17,7,3,9,0.5625,0,0,7,16,115,7.2,31.1,WR,NYJ,23.1
92,Pierre Garcon ,,92.6,00-0026345,WR,2017,0.9470198675496688,31,0.785,35.65429,0.057,205.0,0.7,0,0.0,0,0,0.0,0,40,500.0,0,0.0,0,0.0,0,0,0.0,0,24,286.0,1,0.0,4.75,00-0026345,8,500.0,62.5,3.5348246,16.501137,00-0026345,5,40.0,0.0,67,40,500,62.5,6,0,0,0,0.0,0,0,0,8,67,8.4,37.5,WR,SF,11.2
93,Jordy Nelson,,93.2,00-0026176,WR,2017,1.0,32,0.8320000000000001,54.326153,0.04,36.0,11.8,0,0.0,0,0,0.0,0,53,482.0,6,0.0,0,0.0,0,1,-2.0,0,63,739.0,3,0.0,2.4150943396226414,00-0026176,14,482.0,34.42857,3.4354532,10.124913,00-0026176,13,86.0,5.0,89,53,482,34.42857142857143,4,6,0,0,0.0,0,0,6,14,89,6.4,34.8,WR,GB,16.0
96,Randall Cobb,,99.4,00-0028002,WR,2017,1.0,27,0.7573333333333334,29.373625,0.07,64.0,8.1,1,10.0,0,9,17.0,0,66,653.0,4,0.0,0,0.0,0,0,0.0,0,38,383.0,2,1.0,6.242424242424242,00-0028002,14,653.0,46.642857,3.5518086,12.740842,00-0028002,7,70.0,2.0,93,66,653,46.642857142857146,7,4,9,17,1.2142857142857142,0,0,4,14,93,6.6,34.8,WR,GB,16.7
98,Nelson Agholor,,102.0,00-0031549,WR,2017,1.0,24,0.7106250000000001,53.093624,0.016,20.0,15.5,0,0.0,0,1,7.0,0,62,768.0,8,0.0,1,15.0,0,3,32.0,0,64,736.0,4,0.0,4.854838709677419,00-0031549,19,935.0,49.210526,3.9293928,11.981049,00-0031549,20,110.0,4.0,95,62,768,48.0,9,8,1,7,0.4375,0,0,8,16,95,5.9,35.1,WR,PHI,16.9
101,Sterling Shepard,TB,105.6,00-0032385,WR,2017,1.0,24,0.9000000000000002,97.96054,0.01,40.0,11.1,0,0.0,0,4,4.0,0,59,731.0,2,0.0,0,0.0,0,3,33.0,0,66,872.0,4,0.0,5.0,00-0032385,11,731.0,66.454544,4.07065,15.376484,00-0032385,11,34.0,0.0,84,59,731,66.45454545454545,7,2,4,4,0.3636363636363636,0,0,2,11,84,7.6,37.9,WR,NYG,13.9
109,Kelvin Benjamin,,113.8,00-0031359,WR,2017,1.0,26,0.6435714285714286,28.400932,0.004,28.0,13.4,0,0.0,0,0,0.0,0,47,671.0,3,0.0,0,0.0,0,0,0.0,0,25,380.0,1,0.0,2.9574468085106385,00-0031359,15,680.0,45.333332,3.3398097,13.476383,00-0031359,11,24.0,1.0,77,47,671,47.92857142857143,9,3,0,0,0.0,0,0,3,14,51,6.4,30.9,WR,CAR,10.3
109,Kelvin Benjamin,,113.8,00-0031359,WR,2017,1.0,26,0.6435714285714286,28.400932,0.004,28.0,13.4,0,0.0,0,0,0.0,0,47,671.0,3,0.0,0,0.0,0,0,0.0,0,25,380.0,1,0.0,2.9574468085106385,00-0031359,15,680.0,45.333332,3.3398097,13.476383,00-0031359,11,24.0,1.0,77,47,671,47.92857142857143,9,3,0,0,0.0,0,0,3,14,26,4.3,29.2,WR,BUF,5.6
110,Kenny Stills,,115.8,00-0030085,WR,2017,1.0,25,0.906875,70.00962,0.048,144.0,3.0,0,0.0,0,0,0.0,0,58,847.0,6,2.0,1,3.0,1,0,0.0,0,37,553.0,6,0.0,2.7413793103448274,00-0030085,16,847.0,52.9375,3.848371,13.48471,00-0030085,10,98.0,2.0,105,58,847,52.9375,14,6,0,0,0.0,0,2,6,16,105,6.6,36.8,WR,MIA,17.8
115,DeVante Parker,,125.2,00-0031547,WR,2017,1.0,24,0.8092307692307692,35.40167,0.019,14.0,17.8,0,0.0,0,0,0.0,0,57,670.0,1,0.0,0,0.0,0,0,0.0,0,24,309.0,1,0.0,3.6315789473684212,00-0031547,13,670.0,51.53846,3.9611585,13.099891,00-0031547,13,54.0,1.0,97,57,670,51.53846153846154,9,1,0,0,0.0,0,0,1,13,97,7.5,36.8,WR,MIA,16.5
116,Allen Hurns,,125.2,00-0030821,WR,2017,1.0,25,-1.0,25.471558,0.031,,0.0,0,0.0,0,0,0.0,0,39,484.0,2,0.0,0,0.0,0,0,0.0,0,20,295.0,2,0.0,4.487179487179487,00-0030821,13,576.0,44.307693,3.1279614,13.702065,00-0030821,8,76.0,2.0,57,39,484,48.4,4,2,0,0,0.0,0,0,2,10,57,5.7,32.6,WR,JAX,10.9
125,Keelan Cole Sr.,,136.4,00-0033681,WR,2017,1.0,24,0.6625,69.92799,0.003,,0.0,0,0.0,0,0,0.0,0,42,748.0,3,1.0,0,0.0,0,0,0.0,0,38,491.0,1,2.0,7.119047619047619,00-0033681,19,830.0,43.68421,3.4066255,11.052027,00-0033681,5,34.0,2.0,83,42,748,46.75,11,3,0,0,0.0,0,1,3,16,83,5.2,32.6,WR,JAX,15.9
139,Kenny Golladay,,144.6,00-0033932,WR,2017,1.0,23,0.6790909090909091,34.452,0.005,96.0,5.5,0,0.0,0,1,9.0,0,28,477.0,3,0.0,0,0.0,0,1,8.0,0,70,1063.0,5,0.0,6.464285714285714,00-0033932,11,477.0,43.363636,4.5937734,9.20453,00-0033932,6,18.0,1.0,49,28,477,43.36363636363637,8,3,1,9,0.8181818181818182,0,0,3,11,49,4.5,35.6,WR,DET,8.6
142,Josh Doctson,,148.2,00-0032760,WR,2017,0.6875,24,0.748125,14.81981,0.016,22.0,14.9,0,0.0,0,1,-14.0,0,35,502.0,6,0.0,0,0.0,0,0,0.0,0,44,532.0,2,0.0,3.742857142857143,00-0032760,15,502.0,33.466667,4.2027993,7.90043,00-0032760,16,84.0,4.0,78,35,502,33.46666666666667,6,6,1,-14,-0.9333333333333332,0,0,6,15,78,5.2,33.4,WR,WAS,14.6
143,Tyler Lockett,TEN,150.0,00-0032211,WR,2017,0.9795918367346939,24,0.644375,35.43296,0.06,69.0,7.6,0,0.0,0,10,58.0,0,45,555.0,2,0.0,0,0.0,0,13,69.0,0,57,965.0,10,0.0,4.177777777777778,00-0032211,16,555.0,34.6875,3.9670901,8.164329,00-0032211,8,46.0,1.0,71,45,555,34.6875,5,2,10,58,3.625,0,0,2,16,71,4.4,33.2,WR,SEA,13.4
