Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
18,Travis Kelce,KC,10,TE1,19.0,,,18.7,00-0030506,TE,2019,0.9514563106796117,29,2013,0.9153333333333332,31.50596,0.07200000000000001,63.0,8.2,4.22680412371134
22,George Kittle,SF,11,TE2,16.0,,,20.0,00-0033288,TE,2019,0.9583333333333334,25,2017,0.8809090909090909,44.22379,0.076,146.0,2.9,7.08235294117647
39,Mark Andrews,BAL,7,TE3,35.0,,,39.7,00-0034753,TE,2019,0.96875,23,2018,0.4392307692307693,70.31266,0.005,86.0,6.2,4.546875
44,Zach Ertz,WAS,8,TE4,43.0,,,46.0,00-0030061,TE,2019,0.991304347826087,28,2013,0.8476923076923077,68.97781,0.055,35.0,12.0,2.897727272727273
59,Darren Waller,MIA,7,TE5,56.0,,,58.7,00-0031610,TE,2019,0.5789473684210527,26,2015,0.9053333333333332,52.991837,0.04,204.0,0.7,6.4222222222222225
74,Evan Engram,DEN,5,TE6,84.0,,,79.3,00-0033881,TE,2019,0.8333333333333334,24,2017,0.7975,71.97929,0.016,23.0,14.6,5.7272727272727275
75,Tyler Higbee,LAR,9,TE7,59.0,,,79.7,00-0033110,TE,2019,1.0,26,2016,0.63,67.70264,0.039,110.0,4.7,5.6521739130434785
77,Rob Gronkowski,,,TE8,77.0,,,80.0,00-0027656,TE,2019,0.7482993197278912,30,2010,-1.0,--,--,42.0,10.8,--
79,Hunter Henry,NE,5,TE9,73.0,,,81.0,00-0033090,TE,2019,0.6875,24,2016,0.7899999999999999,50.059696,0.054000000000000006,35.0,12.0,2.890909090909091
92,Jared Cook,,,TE10,71.0,,,95.0,00-0027061,TE,2019,0.9111111111111111,32,2009,0.5936363636363636,43.28247,0.04,89.0,6.0,5.906976744186046
101,Hayden Hurst,,,TE11,104.0,,,106.7,00-0034830,TE,2019,1.0,26,2018,0.4221428571428571,14.037957,0.016,25.0,14.1,4.933333333333334
112,Austin Hooper,NE,5,TE12,121.0,,,117.7,00-0032392,TE,2019,0.953125,24,2016,0.7884615384615384,45.75436,0.053,81.0,6.6,4.466666666666667
113,Noah Fant,CIN,9,TE13,127.0,,,118.0,00-0035644,TE,2019,1.0,21,2019,0.6964285714285714,38.321167,0.017,20.0,15.5,8.25
129,Mike Gesicki,CIN,9,TE14,140.0,,,135.7,00-0034829,TE,2019,1.0,23,2018,0.6466666666666667,48.700954,0.009000000000000001,42.0,10.8,3.4313725490196076
138,T.J. Hockenson,MIN,7,TE15,153.0,,,146.0,00-0035229,TE,2019,0.75,22,2019,0.6481818181818183,46.382046,0.026000000000000002,8.0,21.4,6.25
158,Jonnu Smith,PIT,4,TE16,190.0,,,160.3,00-0033858,TE,2019,0.9375,24,2017,0.6914285714285715,39.610287,0.005,100.0,5.3,7.8
