Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
20,Rob Gronkowski,,,TE1,17.0,,,,,22.0,19.8,00-0027656,TE,2016,0.6869565217391305,27,2010,0.675,122.82786,0.075,42.0,10.8,9.08
36,Travis Kelce,KC,10.0,TE2,41.0,,,,,29.0,36.0,00-0030506,TE,2016,0.9090909090909091,26,2013,0.860625,67.3985,0.06,63.0,8.2,7.447058823529412
48,Greg Olsen,,,TE3,43.0,,,,,46.0,48.0,00-0025418,TE,2016,1.0,31,2007,0.933125,46.43863,0.052000000000000005,31.0,12.7,4.4
50,Jordan Reed,,,TE4,46.0,,,,,51.0,50.6,00-0030472,TE,2016,0.7692307692307693,26,2013,0.7075,92.373634,0.06,85.0,6.3,4.0
57,Jimmy Graham,,,TE5,53.0,,,,,59.0,58.0,00-0027696,TE,2016,0.8849557522123894,29,2010,0.75875,53.188957,0.075,95.0,5.6,5.0
70,Kyle Rudolph,,,TE6,72.0,,,,,67.0,74.2,00-0027981,TE,2016,0.8571428571428571,26,2011,0.92125,42.4065,0.055,43.0,10.6,4.325301204819277
74,Delanie Walker,,,TE7,66.0,,,,,73.0,78.4,00-0024389,TE,2016,1.0,32,2006,0.7146666666666667,46.59114,0.043,175.0,1.7,4.1692307692307695
75,Zach Ertz,WAS,5.0,TE8,82.0,,,,,71.0,78.4,00-0030061,TE,2016,1.0,25,2013,0.8557142857142856,97.5121,0.055,35.0,12.0,3.371794871794872
76,Tyler Eifert,,,TE9,95.0,,,,,83.0,78.8,00-0030549,TE,2016,0.9607843137254902,25,2013,0.7737499999999999,76.84572,0.021,21.0,15.2,4.551724137931035
89,Martellus Bennett,,,TE10,85.0,,,,,74.0,89.8,00-0026201,TE,2016,0.8931297709923665,29,2008,0.769375,68.339294,0.042,61.0,8.4,7.5636363636363635
103,Hunter Henry,NE,9.0,TE11,120.0,,,,,92.0,106.2,00-0033090,TE,2016,1.0,21,2016,0.5886666666666668,34.704742,0.01,35.0,12.0,5.388888888888889
113,Jordan Matthews,,,TE12,136.0,,,,,128.0,120.6,00-0031299,TE,2016,1.0,24,2014,0.8542857142857142,37.267254,0.009000000000000001,42.0,10.8,3.328767123287671
115,Eric Ebron,,,TE13,154.0,,,,,107.0,121.6,00-0031387,TE,2016,1.0,23,2014,0.8207692307692308,24.91577,0.023,10.0,19.9,4.639344262295082
119,Jack Doyle,,,TE14,133.0,,,,,124.0,127.4,00-0030181,TE,2016,1.0,26,2013,0.6837500000000001,35.077168,0.038,,0.0,4.169491525423729
126,Jason Witten,,,TE15,117.0,,,,,156.0,138.0,00-0022127,TE,2016,1.0,34,2003,0.954375,34.78981,0.039,69.0,7.6,3.9565217391304346
133,Austin Hooper,NE,9.0,TE16,159.0,,,,,150.0,145.0,00-0032392,TE,2016,1.0,21,2016,0.4457142857142857,23.690182,0.006999999999999999,81.0,6.6,3.473684210526316
144,O.J. Howard,,,TE17,152.0,,,,,112.0,144.0,00-0033879,TE,2016,--,21,2017,-1.0,--,0.017,19.0,15.8,--
149,Coby Fleener,,,TE18,156.0,,,,,148.0,149.8,00-0029697,TE,2016,1.0,27,2012,0.58125,50.061623,0.046,34.0,12.1,4.24
155,Evan Engram,DEN,5.0,TE19,151.0,,,,,146.0,160.3,00-0033881,TE,2016,--,21,2017,-1.0,--,0.016,23.0,14.6,--
159,Julius Thomas,,,TE20,160.0,,,,,162.0,163.8,00-0028067,TE,2016,0.9603960396039604,28,2011,0.73,26.626944,0.037000000000000005,129.0,3.7,3.1666666666666665
162,Cameron Brate,,,TE21,158.0,,,,,180.0,170.3,00-0031273,TE,2016,0.9722222222222222,25,2014,0.6579999999999999,41.59857,0.004,,0.0,2.3859649122807016
168,Antonio Gates,,,TE22,143.0,,,,,183.0,177.0,00-0021547,TE,2016,0.8769230769230769,36,2003,-1.0,38.152306,0.035,,0.0,3.547169811320755
185,Jared Cook,,,TE23,148.0,,,,,255.0,206.0,00-0027061,TE,2016,0.8939393939393939,29,2009,0.506,38.462334,0.032,89.0,6.0,4.9
207,C.J. Fiedorowicz,,,TE24,,,,,,251.0,203.7,00-0031302,TE,2016,1.0,24,2014,0.656,32.48924,0.043,65.0,8.0,3.925925925925926
208,David Njoku,CLE,9.0,TE25,,,,,,169.0,204.0,00-0033885,TE,2016,--,20,2017,-1.0,--,0.013999999999999999,29.0,13.2,--
232,Jesse James,,,TE26,,,,,,175.0,197.5,00-0032135,TE,2016,1.0,22,2015,0.796875,21.747334,0.004,160.0,2.3,3.3076923076923075
239,Charles Clay,,,TE27,,,,,,297.0,234.7,00-0028112,TE,2016,0.6836734693877551,27,2011,0.8853333333333334,54.85029,0.053,174.0,1.7,3.3684210526315788
240,Austin Seferian-Jenkins,,,TE28,,,,,,222.0,230.7,00-0031418,TE,2016,0.6808510638297872,23,2014,0.3144444444444444,9.076944,0.01,38.0,11.4,2.1538461538461537
249,Dwayne Allen,,,TE29,,,,,,240.0,239.0,00-0029689,TE,2016,0.7352941176470589,26,2012,0.6385714285714286,69.36748,0.047,64.0,8.1,3.3714285714285714
255,Vance McDonald,,,TE30,,,,,,324.0,258.3,00-0030470,TE,2016,0.734375,26,2013,0.6118181818181818,28.296555,0.042,55.0,9.1,8.625
262,Tyler Higbee,LAR,8.0,TE31,,,,,,209.0,233.0,00-0033110,TE,2016,1.0,23,2016,0.401875,6.155636,0.005,110.0,4.7,2.3636363636363638
270,Benjamin Watson,,,TE32,,,,,,224.0,239.5,00-0022943,TE,2016,0.7727272727272727,35,2004,-1.0,--,0.006999999999999999,,0.0,--
272,Zach Miller,,,TE33,,,,,,295.0,259.0,00-0027125,TE,2016,0.8356164383561644,31,2009,0.8320000000000001,47.069332,0.019,180.0,1.5,4.702127659574468
282,George Kittle,SF,11.0,TE34,,,,,,229.0,248.0,00-0033288,TE,2016,--,22,2017,-1.0,--,0.004,146.0,2.9,--
297,Gerald Everett,,,TE35,,,,,,259.0,258.5,00-0033895,TE,2016,--,22,2017,-1.0,--,0.009000000000000001,44.0,10.5,--
305,Jermaine Gresham,,,TE36,,,,,,246.0,246.0,00-0027873,TE,2016,1.0,28,2010,0.7224999999999999,21.321959,0.042,21.0,15.2,3.72972972972973
321,Erik Swoope,,,TE37,,,,,,268.0,268.0,00-0030854,TE,2016,1.0,24,2014,-1.0,12.515,0.003,,0.0,8.933333333333334
324,Vernon Davis,,,TE38,,,,,,315.0,292.0,00-0024221,TE,2016,1.0,32,2006,0.63375,28.623142,0.03,6.0,23.2,5.409090909090909
330,Ladarius Green,,,TE39,,,,,,273.0,273.0,00-0029275,TE,2016,0.7108433734939759,26,2012,0.3266666666666666,63.31067,0.032,110.0,4.7,5.388888888888889
