...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
13,14,Travis Kelce,KC,8,TE1,15,15,,15,00-0030506,TE,2021,0.9558823529411765,31,134,92,1125,70.3125,13,9,2,3,0.1875,1,1,10,16
25,26,Mark Andrews,BAL,10,TE2,26,23,,24.5,00-0034753,TE,2021,0.9538461538461539,25,158,107,1361,80.05882352941177,20,9,1,0,0,0,0,9,17
32,33,Kyle Pitts Sr.,ATL,14,TE3,33,31,,32,00-0036970,TE,2021,1.0,20,110,68,1026,60.35294117647059,16,1,0,0,0,0,0,1,17
36,37,George Kittle,SF,9,TE4,42,35,,38.5,00-0033288,TE,2021,0.8395061728395061,27,94,71,910,65,13,6,3,20,1.4285714285714286,0,1,6,14
46,47,Darren Waller,MIA,11,TE5,47,48,,47.5,00-0031610,TE,2021,0.6666666666666666,28,93,55,665,60.45454545454545,13,2,0,0,0,0,0,2,11
57,58,Dalton Schultz,HOU,6,TE6,53,60,,56.5,00-0034383,TE,2021,1.0,25,106,78,808,47.529411764705884,6,8,0,0,0,0,0,8,17
66,67,T.J. Hockenson,MIN,7,TE7,65,71,,68,00-0035229,TE,2021,0.8163265306122449,24,86,61,583,48.583333333333336,8,4,0,0,0,0,0,4,12
67,68,Dallas Goedert,PHI,7,TE8,61,79,,70,00-0034351,TE,2021,0.8923076923076924,26,77,56,830,55.333333333333336,14,4,0,0,0,0,0,4,15
78,79,Dawson Knox,BUF,7,TE9,73,89,,81,00-0035689,TE,2021,0.8571428571428571,24,71,49,587,39.13333333333333,8,9,0,0,0,0,0,9,15
94,95,Zach Ertz,WAS,14,TE10,96,98,,97,00-0030061,TE,2021,0.9594594594594594,30,113,74,763,44.88235294117647,7,5,1,4,0.23529411764705882,0,0,5,17
111,112,Pat Freiermuth,PIT,9,TE11,119,109,,114,00-0036894,TE,2021,0.9411764705882353,22,80,60,497,31.0625,2,7,0,0,0,0,1,7,16
113,114,Cole Kmet,CHI,14,TE12,117,120,,118.5,00-0036290,TE,2021,1.0,22,93,60,612,36,7,0,1,0,0,0,0,0,17
126,127,Mike Gesicki,CIN,10,TE13,132,128,,130,00-0034829,TE,2021,0.9846153846153847,25,113,73,780,45.88235294117647,12,2,0,0,0,0,0,2,17
137,138,Albert Okwuegbunam Jr.,LV,6,TE14,131,157,,144,00-0036423,TE,2021,0.5588235294117647,23,40,33,330,25.384615384615383,3,2,0,0,0,0,1,2,13
139,140,Hunter Henry,NE,10,TE15,159,143,,151,00-0033090,TE,2021,0.7731958762886598,26,75,50,603,37.6875,8,9,0,0,0,0,0,9,16
145,146,David Njoku,CLE,9,TE16,163,147,,155,00-0033885,TE,2021,0.8024691358024691,25,53,36,475,31.666666666666668,8,4,1,1,0.06666666666666667,0,0,4,15
168,169,Tyler Higbee,LAR,7,TE17,180,171,,175.5,00-0033110,TE,2021,0.9690721649484536,28,85,61,560,37.333333333333336,3,5,0,0,0,0,0,5,15
180,181,Hayden Hurst,,,TE18,153,219,,186,00-0034830,TE,2021,0.9384615384615385,28,31,26,221,18.416666666666668,1,3,0,0,0,0,1,3,12
183,184,Taysom Hill,NO,14,TE19,138,235,,186.5,00-0033357,TE,2021,0.9629629629629629,31,6,4,52,4.333333333333333,0,0,70,374,31.166666666666668,5,0,9,12
190,191,Cameron Brate,,,TE20,140,,,140,00-0031273,TE,2021,0.9914529914529915,30,57,30,245,15.3125,0,4,0,0,0,0,0,4,16
195,196,Isaiah Likely,BAL,10,TE21,164,222,,193,00-0037838,TE,2021,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
198,199,Mo Alie-Cox,IND,14,TE22,149,,,149,00-0033217,TE,2021,0.9838709677419355,27,45,24,316,18.58823529411765,5,4,0,0,0,0,0,4,17
200,201,Irv Smith Jr.,HOU,6,TE23,217,173,,195,00-0034970,TE,2021,0.5918367346938775,23,0,0,0,0,0,0,0,0,0,0,0,0,0
202,203,Robert Tonyan,KC,8,TE24,201,192,,196.5,00-0033757,TE,2021,0.7846153846153846,27,29,18,204,25.5,4,2,0,0,0,0,0,2,8
215,216,Noah Fant,CIN,10,TE25,199,217,,208,00-0035644,TE,2021,0.96,23,91,68,670,41.875,7,4,0,0,0,0,0,4,16
