Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
11,Rob Gronkowski,,,TE1,,,,,,10.0,11.5,00-0027656,TE,2015,0.6868686868686869,26,2010,0.9153333333333332,67.129715,0.075,42.0,10.8,7.694444444444445
32,Jordan Reed,,,TE2,,,,,,35.0,33.5,00-0030472,TE,2015,0.6938775510204082,25,2013,0.7385714285714287,83.35649,0.06,85.0,6.3,5.379310344827586
43,Greg Olsen,,,TE3,,,,,,43.0,44.5,00-0025418,TE,2015,1,30,2007,0.958125,71.11317,0.052000000000000005,31.0,12.7,4.467532467532467
54,Travis Kelce,KC,5.0,TE4,,,,,,62.0,57.5,00-0030506,TE,2015,0.8717948717948718,25,2013,0.921875,41.159958,0.06,63.0,8.2,7.277777777777778
58,Jordan Matthews,,,TE5,,,,,,52.0,60.8,00-0031299,TE,2015,1,23,2014,0.80125,74.93762,0.009,42.0,10.8,4.870588235294117
59,Delanie Walker,,,TE6,,,,,,64.0,61.8,00-0024389,TE,2015,1,31,2006,0.7226666666666667,35.95067,0.043,175.0,1.7,4.085106382978723
66,Coby Fleener,,,TE7,,,,,,69.0,66.0,00-0029697,TE,2015,1,26,2012,0.6625000000000001,48.31495,0.046,34.0,12.1,3.2962962962962963
80,Zach Ertz,WAS,9.0,TE8,,,,,,82.0,80.5,00-0030061,TE,2015,1,24,2013,0.7146666666666667,48.926956,0.055,35.0,12.0,3.973333333333333
83,Gary Barnidge,,,TE9,,,,,,107.0,84.8,00-0026281,TE,2015,1,29,2008,0.846875,46.08229,0.028999999999999998,141.0,3.1,4.594936708860759
87,Julius Thomas,,,TE10,,,,,,87.0,90.8,00-0028067,TE,2015,1,27,2011,0.6941666666666667,66.2875,0.064,129.0,3.7,3.152173913043478
95,Antonio Gates,,,TE11,,,,,,101.0,94.5,00-0021547,TE,2015,0.8596491228070176,35,2003,-1.0,63.920727,0.035,,0.0,4.267857142857143
106,Martellus Bennett,,,TE12,,,,,,109.0,113.3,00-0026201,TE,2015,0.8869565217391304,28,2008,0.9490909090909092,50.338726,0.040999999999999995,61.0,8.4,4.30188679245283
110,Tyler Eifert ,,,TE13,,,,,,156.0,117.5,00-0030549,TE,2015,0.9714285714285714,24,2013,0.856153846,93.41564,0.021,21.0,15.2,4.480769230769231
115,Dwayne Allen,,,TE14,,,,,,116.0,120.0,00-0029689,TE,2015,0.6538461538461539,25,2012,0.5684615384615385,8.500909,0.047,64.0,8.1,3.125
123,Jimmy Graham,,,TE15,,,,,,92.0,129.5,00-0027696,TE,2015,0.8762886597938144,28,2010,0.7818181818181817,46.462727,0.075,95.0,5.6,4.583333333333333
130,Jason Witten,,,TE16,,,,,,126.0,136.0,00-0022127,TE,2015,1,33,2003,0.991875,32.727623,0.061,69.0,7.6,2.987012987012987
132,Eric Ebron,,,TE17,,,,,,121.0,139.5,00-0031387,TE,2015,1,22,2014,0.6714285714285715,28.990164,0.023,10.0,19.9,6.191489361702128
133,Jared Cook,,,TE18,,,,,,146.0,141.0,00-0027061,TE,2015,0.8793103448275862,28,2009,0.70625,17.04129,0.018000000000000002,89.0,6.0,5.128205128205129
