"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0037744","Trey McBride",147,9.2,30.8,"TE","ARI",28.1
2,"00-0039338","Brock Bowers",153,9,34.9,"TE","LV",25.8
3,"00-0030506","Travis Kelce",134,8.4,33.8,"TE","KC",23.3
4,"00-0033858","Jonnu Smith",111,6.5,33.7,"TE","MIA",19.4
5,"00-0033090","Hunter Henry",97,6.1,29.6,"TE","NE",19.2
6,"00-0030061","Zach Ertz",93,5.5,29.9,"TE","WAS",18.3
7,"00-0033288","George Kittle",94,6.3,30.2,"TE","SF",18.3
8,"00-0036894","Pat Freiermuth",78,4.6,27.2,"TE","PIT",16.9
9,"00-0039065","Sam LaPorta",83,5.2,30.8,"TE","DET",15.9
10,"00-0034383","Dalton Schultz",85,5,32.2,"TE","HOU",15.5
11,"00-0033885","David Njoku",99,9,37.7,"TE","CLE",15.4
12,"00-0038129","Cade Otton",87,6.2,33.2,"TE","TB",15.4
13,"00-0038996","Tucker Kraft",71,4.2,27.5,"TE","GB",15.2
14,"00-0034753","Mark Andrews",69,4.1,26.9,"TE","BAL",15.1
15,"00-0038933","Dalton Kincaid",75,5.8,29.2,"TE","BUF",15.1
16,"00-0037809","Chig Okonkwo",71,4.4,30,"TE","TEN",13.9
17,"00-0038041","Jake Ferguson",86,6.1,36.8,"TE","DAL",13.8
18,"00-0036970","Kyle Pitts",74,4.4,31.8,"TE","ATL",13.7
19,"00-0034829","Mike Gesicki",83,5.2,37.1,"TE","CIN",13.2
20,"00-0036040","Juwan Johnson",68,4.5,30.6,"TE","NO",13.1
21,"00-0034159","Will Dissly",64,4.3,29.1,"TE","LAC",13
22,"00-0033881","Evan Engram",67,7.4,31.1,"TE","JAX",12.7
23,"00-0037838","Isaiah Likely",58,3.9,26.9,"TE","BAL",12.7
24,"00-0034351","Dallas Goedert",52,5.2,24.6,"TE","PHI",12.4
25,"00-0034270","Tyler Conklin",73,4.6,34.9,"TE","NYJ",12.3
26,"00-0035229","T.J. Hockenson",62,6.2,30.5,"TE","MIN",12
27,"00-0032392","Austin Hooper",59,3.5,29.6,"TE","NE",11.7
28,"00-0035644","Noah Fant",64,4.6,33.6,"TE","SEA",11.2
29,"00-0036290","Cole Kmet",59,3.9,31.5,"TE","CHI",11
30,"00-0038935","Brenton Strange",53,3.8,31.1,"TE","JAX",10
31,"00-0034364","Jordan Akins",58,3.6,37.7,"TE","CLE",9
32,"00-0036244","Colby Parkinson",49,3.3,32,"TE","LA",9
33,"00-0036637","Noah Gray",49,3.1,33.8,"TE","KC",8.5
34,"00-0034981","Foster Moreau",43,2.9,30.6,"TE","NO",8.3
35,"00-0039356","Ja'Tavion Sanders",43,2.9,30.5,"TE","CAR",8.3
36,"00-0039847","Theo Johnson",43,4.3,32.8,"TE","NYG",7.7
37,"00-0038589","Josh Whyle",38,2.7,30,"TE","TEN",7.5
38,"00-0037086","Grant Calcaterra",30,2.3,24.6,"TE","PHI",7.2
39,"00-0035689","Dawson Knox",33,2.4,29.2,"TE","BUF",6.7
40,"00-0039793","AJ Barner",38,2.7,33.6,"TE","SEA",6.6
41,"00-0036876","Kylen Granson",31,2.2,29.1,"TE","IND",6.3
42,"00-0037005","Tommy Tremble",32,3.2,30.5,"TE","CAR",6.2
43,"00-0033357","Taysom Hill",31,4.4,30.6,"TE","NO",6
44,"00-0038547","Luke Schoonmaker",36,3.6,36.8,"TE","DAL",5.8
45,"00-0035249","Josh Oliver",28,2.5,30.5,"TE","MIN",5.4
46,"00-0038558","Darnell Washington",25,1.9,27.2,"TE","PIT",5.4
47,"00-0039066","Michael Mayer",32,2.9,34.9,"TE","LV",5.4
48,"00-0033246","Johnny Mundt",27,2.1,30.5,"TE","MIN",5.2
49,"00-0033217","Mo Alie-Cox",23,1.9,29.1,"TE","IND",4.7
50,"00-0037805","Jeremy Ruckert",28,2.2,34.9,"TE","NYJ",4.7
51,"00-0039041","Elijah Higgins",24,1.7,30.8,"TE","ARI",4.6
52,"00-0037539","Lucas Krull",23,2.3,32.4,"TE","DEN",4.2
53,"00-0036422","Adam Trautman",22,1.7,32.4,"TE","DEN",4
54,"00-0039359","Cade Stover",22,1.7,32.2,"TE","HOU",4
55,"00-0032394","Nick Vannett",20,1.7,30,"TE","TEN",3.9
56,"00-0034613","Tanner Hudson",24,2.7,37.1,"TE","CIN",3.8
57,"00-0035631","Drew Sample",22,2,37.1,"TE","CIN",3.5
58,"00-0038720","Julian Hill",20,1.7,33.7,"TE","MIA",3.5
59,"00-0039814","Erick All",22,2.8,37.1,"TE","CIN",3.5
