"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0030506","Travis Kelce",153,9,36.3,"TE","KC",24.8
2,"00-0034753","Mark Andrews",114,7.6,27.4,"TE","BAL",24.5
3,"00-0033110","Tyler Higbee",108,6.8,30.4,"TE","LA",20.9
4,"00-0036290","Cole Kmet",70,4.1,21.4,"TE","CHI",19.3
5,"00-0036894","Pat Freiermuth",98,6.5,32.4,"TE","PIT",17.8
6,"00-0033881","Evan Engram",101,5.9,34.1,"TE","JAX",17.4
7,"00-0033288","George Kittle",86,5.7,29.6,"TE","SF",17.1
8,"00-0034383","Dalton Schultz",89,5.9,32.1,"TE","DAL",16.3
9,"00-0033885","David Njoku",80,5.7,29.9,"TE","CLE",15.7
10,"00-0034270","Tyler Conklin",87,5.1,34.6,"TE","NYJ",14.8
11,"00-0036970","Kyle Pitts",59,5.9,23.6,"TE","ATL",14.7
12,"00-0032392","Austin Hooper",60,3.5,25.7,"TE","TEN",13.7
13,"00-0034351","Dallas Goedert",69,5.8,29.8,"TE","PHI",13.6
14,"00-0035229","T.J. Hockenson",87,8.7,37.9,"TE","MIN",13.5
15,"00-0036040","Juwan Johnson",65,4.1,29.1,"TE","NO",13.1
16,"00-0037838","Isaiah Likely",60,4.3,27.4,"TE","BAL",12.9
17,"00-0033895","Gerald Everett",88,5.9,40.5,"TE","LAC",12.8
18,"00-0033757","Robert Tonyan",67,3.9,31.9,"TE","GB",12.3
19,"00-0035689","Dawson Knox",65,4.3,34.5,"TE","BUF",11.8
20,"00-0031260","Logan Thomas",61,4.7,31.5,"TE","WAS",11.4
21,"00-0034830","Hayden Hurst",68,5.2,37.4,"TE","CIN",11.4
22,"00-0035644","Noah Fant",63,3.7,32.6,"TE","SEA",11.4
23,"00-0033090","Hunter Henry",59,3.7,30.7,"TE","NE",11.3
24,"00-0030061","Zach Ertz",71,7.1,37.7,"TE","ARI",11.1
25,"00-0037809","Chigoziem Okonkwo",47,3.1,25.7,"TE","TEN",10.8
26,"00-0037252","Greg Dulcich",55,5.5,31.9,"TE","DEN",10.1
27,"00-0034364","Jordan Akins",56,3.7,33.1,"TE","HOU",10
28,"00-0034981","Foster Moreau",54,3.9,33,"TE","LV",9.6
29,"00-0034829","Mike Gesicki",53,3.1,33.2,"TE","MIA",9.4
30,"00-0038129","Cade Otton",65,4.6,42.9,"TE","TB",8.9
31,"00-0036232","Harrison Bryant",43,3.1,29.9,"TE","CLE",8.4
32,"00-0031610","Darren Waller",44,5.5,33,"TE","LV",7.8
33,"00-0035229","T.J. Hockenson",44,6.3,33.2,"TE","DET",7.8
34,"00-0037005","Tommy Tremble",32,2.3,25.2,"TE","CAR",7.5
35,"00-0033858","Jonnu Smith",38,3.2,30.7,"TE","NE",7.3
36,"00-0038115","Daniel Bellinger",36,3.3,29.1,"TE","NYG",7.3
37,"00-0034365","Ian Thomas",30,2.3,25.2,"TE","CAR",7
38,"00-0036876","Kylen Granson",40,3.1,34.3,"TE","IND",6.9
39,"00-0037755","Jelani Woods",40,3.3,34.3,"TE","IND",6.9
40,"00-0034159","Will Dissly",38,2.5,32.6,"TE","SEA",6.8
41,"00-0036244","Colby Parkinson",34,2.4,32.6,"TE","SEA",6.1
42,"00-0037744","Trey McBride",39,4.3,37.7,"TE","ARI",6.1
43,"00-0034970","Irv Smith",36,4.5,37.9,"TE","MIN",5.6
44,"00-0036637","Noah Gray",34,2,36.3,"TE","KC",5.5
45,"00-0035249","Josh Oliver",25,2.1,27.4,"TE","BAL",5.4
46,"00-0031273","Cameron Brate",38,4.2,42.9,"TE","TB",5.2
47,"00-0031585","MyCole Pruitt",21,2.1,23.6,"TE","ATL",5.2
48,"00-0036556","Brevin Jordan",28,3.1,33.1,"TE","HOU",5
49,"00-0033217","Mo Alie-Cox",28,2,34.3,"TE","IND",4.8
50,"00-0032134","C.J. Uzomah",27,2.2,34.6,"TE","NYJ",4.6
51,"00-0033576","Eric Saubert",24,2.2,31.9,"TE","DEN",4.4
52,"00-0036422","Adam Trautman",22,1.8,29.1,"TE","NO",4.4
53,"00-0036754","Brock Wright",24,1.8,33.2,"TE","DET",4.3
54,"00-0035222","Zach Gentry",23,1.6,32.4,"TE","PIT",4.2
55,"00-0033879","O.J. Howard",23,2.1,33.1,"TE","HOU",4.1
56,"00-0036628","John Bates",22,2.4,31.5,"TE","WAS",4.1
57,"00-0038041","Jake Ferguson",22,2,32.1,"TE","DAL",4
58,"00-0034798","Durham Smythe",20,1.8,33.2,"TE","MIA",3.5
59,"00-0033246","Johnny Mundt",21,1.6,37.9,"TE","MIN",3.3
