...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
8,9,Rob Gronkowski,,,TE1,,,,8,,12,9,00-0027656,TE,2014,0.6219512195121951,25,2010,0.7786666666666667,67.51115,0.075,42,10.8,131,82,1124,74.93333333333334,19,12,0,0,0,0,0,12,15
29,30,Jimmy Graham,,,TE2,,,,30,,24,30.3,00-0027696,TE,2014,1.0,27,2010,0.688125,86.75066,0.075,95,5.6,124,85,889,59.266666666666666,8,10,0,0,0,0,2,10,15
30,31,Jordan Matthews,,,TE3,,,,31,,36,31.5,00-0031299,TE,2014,1.0,22,2014,0.6537499999999999,85.39183,0.009000000000000001,42,10.8,103,67,872,54.5,16,8,0,0,0,0,0,8,16
48,49,Greg Olsen,,,TE4,,,,48,,49,50.5,00-0025418,TE,2014,1.0,29,2007,0.965625,59.637337,0.052000000000000005,31,12.7,123,84,1009,63.0625,9,6,0,0,0,0,0,6,16
50,51,Travis Kelce,KC,9,TE5,,,,55,,50,51.5,00-0030506,TE,2014,0.7727272727272727,24,2013,0.6756249999999999,26.905998,0.006,63,8.2,87,67,862,53.875,15,5,0,0,0,0,3,5,16
63,64,Martellus Bennett,,,TE6,,,,67,,56,65.3,00-0026201,TE,2014,1.0,27,2008,0.905625,58.024,0.040999999999999995,61,8.4,130,90,916,57.25,11,6,0,0,0,0,0,6,16
84,85,Jordan Cameron,,,TE7,,,,96,,85,89.8,00-0028040,TE,2014,1.0,26,2011,0.771,37.280445,0.052000000000000005,102,5.1,48,24,424,42.4,8,2,0,0,0,0,0,2,10
89,90,Jason Witten,,,TE8,,,,109,,69,94,00-0022127,TE,2014,1.0,32,2003,0.98875,28.938292,0.061,69,7.6,90,64,703,43.9375,7,5,0,0,0,0,0,5,16
108,109,Zach Ertz,WAS,8,TE9,,,,94,,113,109.5,00-0030061,TE,2014,1.0,23,2013,0.504375,42.906498,0.011000000000000001,35,12,89,58,702,43.875,9,3,0,0,0,0,1,3,16
109,110,Delanie Walker,,,TE10,,,,108,,110,110,00-0024389,TE,2014,1.0,30,2006,0.8340000000000002,52.23381,0.036000000000000004,175,1.7,106,63,857,57.13333333333333,12,4,0,0,0,0,0,4,15
114,115,Julius Thomas,,,TE11,,,,115,,134,118.8,00-0028067,TE,2014,1.0,26,2011,0.7538461538461539,109.41539,0.064,129,3.7,62,43,489,40.75,7,12,0,0,0,0,0,12,12
117,118,Tyler Eifert,,,TE12,,,,123,,139,120.3,00-0030549,TE,2014,0.9444444444444444,23,2013,0.12,,0.021,21,15.2,3,3,37,37,1,0,0,0,0,0,0,0,1
130,131,Kyle Rudolph,,,TE13,,,,129,,162,134.5,00-0027981,TE,2014,0.7846153846153846,24,2011,0.8022222222222222,12.179523,0.055,43,10.6,34,24,231,33,2,2,0,0,0,0,0,2,7
