...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
14,15,Travis Kelce,KC,12,TE1,16,,13,13,,13,15.2,00-0030506,TE,2018,0.9425287356321839,28,2013,0.948125,89.741165,0.06,63,8.2,151,103,1336,83.5,18,10,0,0,0,0,1,10,16
25,26,George Kittle,SF,4,TE2,26,,29,27,,26,28.2,00-0033288,TE,2018,1.0,24,2017,0.87625,65.947624,0.004,146,2.9,138,88,1377,86.0625,20,5,1,10,0.625,0,0,5,16
26,27,Zach Ertz,WAS,10,TE3,29,,26,29,,25,28.5,00-0030061,TE,2018,1.0,27,2013,0.915625,113.28296,0.055,35,12,156,116,1163,72.6875,13,8,0,0,0,0,0,8,16
54,55,Evan Engram,DEN,10,TE4,50,,48,61,,61,57.2,00-0033881,TE,2018,1.0,23,2017,0.6554545454545454,41.135635,0.016,23,14.6,65,45,577,52.45454545454545,8,3,3,36,3.272727272727273,0,0,3,11
55,56,O.J. Howard,,,TE5,56,,54,60,,62,57.5,00-0033879,TE,2018,0.75,23,2017,0.604,47.587223,0.017,19,15.8,48,34,565,56.5,11,5,0,0,0,0,0,5,10
60,61,Hunter Henry,NE,10,TE6,65,,52,72,,65,64.5,00-0033090,TE,2018,0.625,23,2016,-1,--,0.01,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69,Jared Cook,,,TE7,59,,61,82,,77,71.3,00-0027061,TE,2018,0.9146341463414634,31,2009,0.73125,77.04,0.04,89,6,101,68,896,56,15,6,0,0,0,0,0,6,16
79,80,Vance McDonald,,,TE8,83,,69,94,,96,84.2,00-0030470,TE,2018,0.8229166666666666,28,2013,0.548,22.849525,0.042,55,9.1,72,50,610,40.666666666666664,6,4,0,0,0,0,1,4,15
88,89,David Njoku,CLE,7,TE9,87,,87,87,,108,92.3,00-0033885,TE,2018,1.0,22,2017,0.7962499999999999,27.553522,0.013999999999999999,29,13.2,88,56,639,42.6,9,4,0,0,0,0,0,4,15
97,98,Eric Ebron,,,TE10,144,,73,97,,78,101.8,00-0031387,TE,2018,1.0,25,2014,0.5506249999999999,73.229164,0.037000000000000005,10,19.9,110,66,750,46.875,7,13,3,-8,-0.5,1,1,14,16
107,108,Austin Hooper,NE,10,TE11,99,,112,123,,146,114,00-0032392,TE,2018,1.0,23,2016,0.7618750000000001,42.4145,0.006999999999999999,81,6.6,90,71,660,41.25,7,4,0,0,0,0,0,4,16
115,116,Delanie Walker,,,TE12,105,,139,109,,135,119.5,00-0024389,TE,2018,0.9101796407185628,34,2006,0.57,,0.048,175,1.7,7,4,52,52,0,0,0,0,0,0,0,0,1
136,137,Greg Olsen,,,TE13,133,,146,151,,139,143.3,00-0025418,TE,2018,0.9281437125748503,33,2007,0.7877777777777779,31.315,0.048,31,12.7,38,27,291,32.333333333333336,2,4,0,0,0,0,0,4,9
139,140,Kyle Rudolph,,,TE14,147,,133,147,,166,146.2,00-0027981,TE,2018,0.8923076923076924,28,2011,0.8831249999999999,55.967834,0.048,43,10.6,84,64,634,39.625,6,4,0,0,0,0,0,4,16
142,143,Mark Andrews,BAL,8,TE15,149,,155,124,,150,146.3,00-0034753,TE,2018,1.0,22,2018,0.348125,14.829332,0.005,86,6.2,50,34,552,34.5,8,3,0,0,0,0,0,3,16
150,151,T.J. Hockenson,MIN,12,TE16,176,,174,149,,157,153,00-0035229,TE,2018,--,21,2019,-1,--,0.026000000000000002,8,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0
154,155,Jordan Reed,,,TE17,151,,128,159,,168,156.3,00-0030472,TE,2018,0.8041237113402062,28,2013,0.6092307692307692,26.373077,0.06,85,6.3,84,54,558,42.92307692307692,7,2,0,0,0,0,1,2,13
173,174,Darren Waller,MIA,5,TE18,194,,226,161,,210,189,00-0031610,TE,2018,0.4146341463414634,25,2015,0.1675,5.53,0.04,204,0.7,6,6,75,25,1,0,1,21,7,0,0,0,3
176,177,Trey Burton,,,TE19,129,,142,164,,137,144.2,00-0030710,TE,2018,1.0,26,2014,0.7981250000000001,45.55796,0.045,,0,77,54,569,35.5625,7,6,1,2,0.125,0,1,6,16
184,185,Jimmy Graham,,,TE20,156,,161,162,,158,157.6,00-0027696,TE,2018,0.9103448275862069,31,2010,0.7318749999999999,26.201166,0.055999999999999994,95,5.6,89,55,636,39.75,7,2,0,0,0,0,0,2,16
188,189,N'Keal Harry,,,WR62,203,,134,203,,114,163.6,00-0035624,TE,2018,--,20,2019,-1,--,0.013000000000000001,32,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0
193,194,Jack Doyle,,,TE21,162,,194,225,,188,191.2,00-0030181,TE,2018,0.9494949494949495,28,2013,0.8166666666666668,26.993668,0.038,,0,33,26,245,40.833333333333336,1,2,0,0,0,0,1,2,6
199,200,Jason Witten,,,TE22,188,,164,220,,236,197,00-0022127,TE,2018,1.0,36,2003,-1,--,0.023,69,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0
201,202,Noah Fant,CIN,9,TE23,217,,188,193,,196,197.8,00-0035644,TE,2018,--,20,2019,-1,--,0.017,20,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0
205,206,Dallas Goedert,PHI,10,TE24,253,,205,200,,200,208.2,00-0034351,TE,2018,1.0,23,2018,0.47875000000000006,37.79802,0.008,49,9.8,44,33,334,23.857142857142858,5,4,0,0,0,0,0,4,14
210,211,Tyler Eifert,,,TE25,213,,199,199,,267,216.6,00-0030549,TE,2018,0.6987951807228916,27,2013,0.4900000000000001,21.649166,0.021,21,15.2,19,15,179,44.75,2,1,0,0,0,0,0,1,4
219,220,Chris Herndon IV,,,TE26,1000,,180,192,,173,349,00-0034766,TE,2018,1.0,22,2018,0.6287499999999999,30.764397,0.004,107,4.8,56,39,502,35.857142857142854,9,4,0,0,0,0,0,4,14
247,248,Benjamin Watson,,,TE27,246,,213,,,272,255,00-0022943,TE,2018,0.8170731707317073,37,2004,0.479375,24.64577,0.012,,0,46,35,400,30.76923076923077,6,2,0,0,0,0,0,2,13
250,251,Mike Gesicki,CIN,9,TE28,1000,,266,249,,245,407.6,00-0034829,TE,2018,1.0,22,2018,0.4475,6.1975827,0.009000000000000001,42,10.8,32,22,202,14.428571428571429,1,0,0,0,0,0,1,0,14
265,266,Gerald Everett,,,TE29,1000,,267,274,,294,426.8,00-0033895,TE,2018,1.0,24,2017,0.34750000000000003,27.61638,0.009000000000000001,44,10.5,51,33,320,21.333333333333332,4,3,2,16,1.0666666666666667,0,0,3,15
271,272,Irv Smith Jr.,HOU,10,TE30,949,,,212,,253,418.3,00-0034970,TE,2018,--,20,2019,-1,--,0.008,50,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0
280,281,Ian Thomas,LV,,TE31,948,,289,,,221,439.5,00-0034365,TE,2018,1.0,22,2018,0.4675,36.149002,0.005,101,5.2,49,36,333,33.3,4,2,0,0,0,0,0,2,10
289,290,Matt LaCosse,,,TE32,985,,299,,,274,465.5,00-0031744,TE,2018,0.6444444444444445,25,2015,-1,14.262308,0.006999999999999999,,0,37,24,250,19.23076923076923,1,1,0,0,0,0,0,1,13
298,299,Jesse James,,,TE33,308,,277,,,355,313.3,00-0032135,TE,2018,1.0,24,2015,0.499375,37.254116,0.03,160,2.3,40,30,423,28.2,8,2,0,0,0,0,0,2,15
301,302,Taysom Hill,NO,9,TE34,249,,283,,,424,318.7,00-0033357,TE,2018,1.0,28,2017,0.1725,9.20143,0.003,,0,7,3,4,0.3076923076923077,0,0,38,196,15.076923076923077,2,1,2,13
302,303,Antonio Gates,,,TE35,240,,281,,,,260.5,00-0021547,TE,2018,0.9012345679012346,38,2003,-1,24.64457,0.013999999999999999,,0,48,28,333,20.8125,5,2,0,0,0,0,1,2,16
323,324,Cameron Brate,,,TE37,974,,,,,352,532,00-0031273,TE,2018,0.9852941176470589,27,2014,0.485625,21.630665,0.038,,0,49,30,289,19.266666666666666,2,6,0,0,0,0,1,6,15
327,328,Blake Jarwin,,,TE38,306,,,,,332,319,00-0033658,TE,2018,1.0,24,2017,0.349375,106.49356,0.003,,0,36,27,307,25.583333333333332,3,3,0,0,0,0,0,3,12
330,331,Tyler Higbee,LAR,9,TE39,381,,262,,,,321.5,00-0033110,TE,2018,1.0,25,2016,0.714375,13.958022,0.039,110,4.7,34,24,292,20.857142857142858,3,2,0,0,0,0,0,2,14
332,333,Will Dissly,LAC,12,TE40,1000,,,,,374,550,00-0034159,TE,2018,0.25,22,2018,0.495,80.619995,0.004,120,4.1,14,8,156,39,3,2,0,0,0,0,0,2,4
337,338,C.J. Uzomah,,,TE41,957,,,,,357,540,00-0032134,TE,2018,1.0,25,2015,0.850625,17.047958,0.032,157,2.4,64,43,439,27.4375,6,3,0,0,0,0,0,3,16
340,341,Ricky Seals-Jones,,,TE42,372,,,,,298,335,00-0033611,TE,2018,1.0,23,2017,0.6133333333333333,13.506952,0.003,,0,69,34,343,22.866666666666667,5,1,0,0,0,0,0,1,15
356,359,Vernon Davis,,,TE43,968,,,,,404,554.7,00-0024221,TE,2018,1.0,34,2006,0.49142857142857144,27.211924,0.03,6,23.2,37,25,367,28.23076923076923,8,2,0,0,0,0,0,2,13
358,361,Geoff Swaim,,,TE44,960,,,,,251,605.5,00-0032141,TE,2018,0.8615384615384616,24,2015,0.8855555555555555,9.642142,0.018000000000000002,246,0,32,26,242,30.25,3,1,0,0,0,0,0,1,8
364,367,Josh Hill,,,TE45,279,,,,,426,352.5,00-0030216,TE,2018,0.9595959595959596,28,2013,0.61875,11.525637,0.017,,0,24,16,185,16.818181818181817,4,1,0,0,0,0,0,1,11
367,370,Jonnu Smith,PIT,7,TE46,397,,,,,,354,00-0033858,TE,2018,0.90625,23,2017,0.7476923076923078,29.946001,0.005,100,5.3,30,20,258,23.454545454545453,3,3,0,0,0,0,0,3,11
368,371,C.J. Conrad,,,TE47,263,,,,,,263,00-0035009,TE,2018,--,22,2019,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,375,Blake Bell,,,TE48,267,,,,,,267,00-0032062,TE,2018,0.9152542372881356,27,2015,0.344,2.5466664,0.005,117,4.3,11,8,67,9.571428571428571,0,0,0,0,0,0,0,0,7
374,377,Jake Butt,,,TE49,269,,,,,,269,00-0033564,TE,2018,0.09375,23,2017,0.4633333333333334,9.27,0.004,145,2.9,13,8,85,28.333333333333332,2,0,0,0,0,0,0,0,3
377,380,Anthony Fasano,,,TE50,272,,,,,,272,00-0024268,TE,2018,1.0,34,2006,-1,--,--,53,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0
381,384,Tyree Jackson,WAS,10,TE51,275,,,,,,275,00-0035356,TE,2018,--,20,2021,-1,--,0.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,388,Nick Vannett,MIN,12,TE52,354,,,,,373,363.5,00-0032394,TE,2018,1.0,25,2016,0.5293333333333333,18.630669,0.005,94,5.7,43,29,269,17.933333333333334,1,3,0,0,0,0,0,3,15
395,399,Martellus Bennett,,,TE53,295,,,,,,295,00-0026201,TE,2018,0.8707482993197279,31,2008,-1,--,0.042,61,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0
407,411,Jace Sternberger,,,TE54,315,,,,,,315,00-0035671,TE,2018,--,22,2019,-1,--,0.005,75,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
409,413,Hayden Hurst,,,TE55,997,,,,,316,656.5,00-0034830,TE,2018,1.0,25,2018,0.31416666666666665,11.954444,0.016,25,14.1,23,13,163,18.11111111111111,3,1,1,0,0,0,0,1,9
420,426,Demetrius Harris,,,TE56,325,,,,,,325,00-0030155,TE,2018,0.8533333333333334,27,2013,0.3726666666666667,21.742666,0.016,,0,25,12,164,16.4,2,3,0,0,0,0,0,3,10
424,430,Michael Hoomanawanui,,,TE57,327,,,,,,327,00-0027732,TE,2018,0.7062937062937062,30,2010,-1,--,0.011000000000000001,132,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
427,433,James O'Shaughnessy,,,TE58,330,,,,,,330,00-0031951,TE,2018,0.8275862068965517,26,2015,0.5942857142857143,8.265769,0.006,173,1.8,38,24,214,16.46153846153846,0,0,0,0,0,0,0,0,13
431,437,Brent Celek,,,TE59,334,,,,,,334,00-0025549,TE,2018,1.0,33,2007,-1,--,0.021,162,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
438,444,Dalton Schultz,HOU,10,TE60,339,,,,,,339,00-0034383,TE,2018,1.0,22,2018,0.39,4.3423805,0.004,137,3.3,17,12,116,16.571428571428573,0,0,0,0,0,0,0,0,7
442,448,Ryan Griffin,,,TE61,342,,,,,,342,00-0030108,TE,2018,0.9120879120879121,28,2013,0.7685714285714287,18.637434,0.017,,0,43,24,305,23.46153846153846,3,0,0,0,0,0,0,0,13
444,450,Ryan Izzo,,,TE62,344,,,,,,344,00-0034439,TE,2018,0.0,22,2018,-1,--,0.004,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,453,Lance Kendricks,,,TE63,347,,,,,,347,00-0027985,TE,2018,1.0,30,2011,0.301875,7.5789742,0.005,47,10.1,25,19,170,13.076923076923077,2,1,0,0,0,0,0,1,13
