Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
21,Rob Gronkowski,,,TE1,18.0,,,20.0,,23.0,20.6,00-0027656,TE,2017,0.7175572519083969,28,2010,0.9028571428571428,64.1341,0.075,42.0,10.8,5.0
25,Travis Kelce,KC,12,TE2,25.0,,,26.0,,26.0,26.6,00-0030506,TE,2017,0.9295774647887324,27,2013,0.916,57.970947,0.06,63.0,8.2,4.891566265060241
35,Zach Ertz,WAS,4,TE3,33.0,,,34.0,,33.0,35.0,00-0030061,TE,2017,1.0,26,2013,0.795,43.10417,0.055,35.0,12.0,3.2837837837837838
53,Jimmy Graham,,,TE4,56.0,,,50.0,,61.0,54.4,00-0027696,TE,2017,0.8992248062015504,30,2010,0.68875,47.443832,0.055999999999999994,95.0,5.6,3.7017543859649122
56,Greg Olsen,,,TE5,48.0,,,58.0,,62.0,56.4,00-0025418,TE,2017,0.9470198675496688,32,2007,0.7785714285714285,85.548096,0.048,31.0,12.7,2.823529411764706
63,Evan Engram,DEN,10,TE6,62.0,,,75.0,,60.0,66.4,00-0033881,TE,2017,1.0,22,2017,0.7726666666666666,50.289238,0.016,23.0,14.6,4.78125
70,Delanie Walker ,,,TE7,59.0,,,78.0,,72.0,73.0,00-0024389,TE,2017,1.0,33,2006,0.72625,18.595291,0.048,175.0,1.7,3.3513513513513513
72,Kyle Rudolph,,,TE8,71.0,,,81.0,,78.0,77.2,00-0027981,TE,2017,0.8771929824561403,27,2011,0.82375,32.4785,0.055,43.0,10.6,3.9298245614035086
82,Jordan Reed ,,,TE9,79.0,,,64.0,,99.0,84.6,00-0030472,TE,2017,0.7777777777777778,27,2013,0.5966666666666668,74.621666,0.06,85.0,6.3,2.6666666666666665
84,Trey Burton ,,,TE10,111.0,,,82.0,,90.0,85.6,00-0030710,TE,2017,1.0,25,2014,0.2806666666666667,44.400913,0.045,,0.0,1.5217391304347827
104,Jack Doyle ,,,TE11,103.0,,,113.0,,106.0,108.6,00-0030181,TE,2017,1.0,27,2013,0.9533333333333334,50.120953,0.038,,0.0,4.2125
108,David Njoku,CLE,11,TE12,117.0,,,107.0,,129.0,112.6,00-0033885,TE,2017,1.0,21,2017,0.46875,25.729624,0.013999999999999999,29.0,13.2,4.71875
126,George Kittle,SF,11,TE13,163.0,,,129.0,,117.0,136.8,00-0033288,TE,2017,1.0,23,2017,0.5786666666666667,29.835712,0.004,146.0,2.9,6.162790697674419
129,Tyler Eifert ,,,TE14,136.0,,,133.0,,134.0,137.4,00-0030549,TE,2017,0.8059701492537313,26,2013,0.835,16.82,0.031,21.0,15.2,2.75
167,O.J. Howard,,,TE15,,,,160.0,,142.0,147.8,00-0033879,TE,2017,0.875,22,2017,0.64,64.729744,0.017,19.0,15.8,5.846153846153846
173,Austin Seferian-Jenkins,,,TE16,161.0,,,143.0,,156.0,161.3,00-0031418,TE,2017,0.7301587301587301,24,2014,0.7592307692307692,26.696924,0.027999999999999997,38.0,11.4,2.48
182,Jared Cook,,,TE17,148.0,,,197.0,,165.0,171.0,00-0027061,TE,2017,0.9054054054054054,30,2009,0.785,38.441334,0.032,89.0,6.0,4.462962962962963
187,Eric Ebron,,,TE18,,,,195.0,,168.0,175.5,00-0031387,TE,2017,1.0,24,2014,0.5262500000000001,33.558,0.037000000000000005,10.0,19.9,4.867924528301887
188,Cameron Brate,,,TE19,169.0,,,181.0,,146.0,175.8,00-0031273,TE,2017,0.9807692307692307,26,2014,0.53625,45.065292,0.038,,0.0,2.9791666666666665
192,Charles Clay,,,TE20,139.0,,,202.0,,174.0,179.5,00-0028112,TE,2017,0.7280701754385965,28,2011,0.6861538461538461,23.693077,0.053,174.0,1.7,5.408163265306122
193,Benjamin Watson,,,TE21,143.0,,,208.0,,176.0,187.3,00-0022943,TE,2017,0.7972972972972973,36,2004,0.6425000000000001,26.798,0.011000000000000001,,0.0,4.311475409836065
196,Ricky Seals-Jones,,,TE22,,,,220.0,,188.0,198.5,00-0033611,TE,2017,1.0,22,2017,0.19,65.40268,0.003,,0.0,6.166666666666667
200,Antonio Gates,,,TE23,135.0,,,243.0,,284.0,214.3,00-0021547,TE,2017,0.8904109589041096,37,2003,-1.0,25.206,0.013999999999999999,,0.0,2.2
204,Mike Gesicki,CIN,9,TE24,,,,174.0,,182.0,179.7,00-0034829,TE,2017,--,21,2018,-1.0,--,0.009000000000000001,42.0,10.8,--
215,Vance McDonald,,,TE25,,,,212.0,,175.0,193.7,00-0030470,TE,2017,0.7875,27,2013,0.4,17.73361,0.042,55.0,9.1,6.285714285714286
217,Austin Hooper,NE,11,TE26,,,,199.0,,178.0,195.7,00-0032392,TE,2017,1.0,22,2016,0.77125,33.764664,0.006999999999999999,81.0,6.6,5.346938775510204
219,Hayden Hurst,,,TE27,,,,200.0,,200.0,204.3,00-0034830,TE,2017,--,24,2018,-1.0,--,0.016,25.0,14.1,--
250,Dallas Goedert,PHI,9,TE28,,,,266.0,,259.0,255.7,00-0034351,TE,2017,--,22,2018,-1.0,--,0.008,49.0,9.8,--
262,Jake Butt ,,,TE29,,,,295.0,,224.0,267.3,00-0033564,TE,2017,0.0,22,2017,-1.0,--,0.004,145.0,2.9,--
265,Vernon Davis,,,TE30,,,,308.0,,258.0,276.0,00-0024221,TE,2017,1.0,33,2006,0.79,29.337166,0.03,6.0,23.2,7.116279069767442
274,Hunter Henry,NE,11,TE31,,,,,,461.0,307.5,00-0033090,TE,2017,0.9375,22,2016,0.6457142857142857,30.771137,0.01,35.0,12.0,4.911111111111111
277,Ryan Griffin,,,TE32,,,,305.0,,245.0,282.0,00-0030108,TE,2017,0.8933333333333333,27,2013,0.6957142857142856,40.654667,0.018000000000000002,,0.0,5.923076923076923
286,Nick Vannett,MIN,10,TE33,,,,335.0,,294.0,288.3,00-0032394,TE,2017,1.0,24,2016,0.2746666666666666,12.471427,0.005,94.0,5.7,3.75
289,Ed Dickson,,,TE34,,,,344.0,,235.0,291.0,00-0027675,TE,2017,1.0,30,2010,0.811875,36.380714,0.02,70.0,7.5,6.7
296,Jordan Matthews,,,TE35,,,,,,201.0,201.0,00-0031299,TE,2017,0.9393939393939394,25,2014,0.7779999999999999,7.886223,0.006,42.0,10.8,4.96
300,Luke Willson,,,TE36,,,,337.0,,256.0,298.7,00-0030089,TE,2017,1.0,27,2013,0.355,20.333591,0.013999999999999999,158.0,2.4,6.0
311,Geoff Swaim ,,,TE37,,,,,,289.0,283.0,00-0032141,TE,2017,0.8571428571428571,23,2015,0.1713333333333333,0.6049999,0.004,246.0,0.0,5.5
314,Jesse James,,,TE38,,,,,,263.0,284.5,00-0032135,TE,2017,1.0,23,2015,0.813125,45.80286,0.004,160.0,2.3,4.465116279069767
316,Virgil Green,,,TE39,,,,339.0,,280.0,305.7,00-0028142,TE,2017,1.0,29,2011,0.474375,5.860728,0.016,204.0,0.7,6.571428571428571
326,Stephen Anderson,,,TE40,,,,343.0,,260.0,301.5,00-0032725,TE,2017,1.0,24,2016,0.4206666666666667,23.202637,0.004,,0.0,5.28
328,Mark Andrews,BAL,10,TE41,,,,,,261.0,261.0,00-0034753,TE,2017,--,21,2018,-1.0,--,0.005,86.0,6.2,--
329,Adam Shaheen,,,TE42,,,,,,262.0,262.0,00-0033896,TE,2017,1.0,22,2017,0.3053846153846153,38.029667,0.009000000000000001,45.0,10.4,4.083333333333333
