Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
6,Travis Kelce,KC,10,TE1,6.0,5.0,6.0,5.7,00-0030506,TE,2022,0.9607843137254902,32,2013,0.7958823529411765,62.756836,0.07200000000000001,63.0,8.2,5.972727272727273
28,Mark Andrews,BAL,13,TE2,33.0,25.0,31.0,29.7,00-0034753,TE,2022,0.9390243902439024,26,2018,0.8386666666666667,81.618576,0.077,86.0,6.2,3.328767123287671
45,T.J. Hockenson,MIN,13,TE3,42.0,48.0,45.0,45.0,00-0035229,TE,2022,0.8636363636363636,25,2019,0.8447058823529412,105.409706,0.073,8.0,21.4,4.8023255813953485
50,George Kittle,SF,9,TE4,46.0,45.0,60.0,50.3,00-0033288,TE,2022,0.8469387755102041,28,2017,0.8959999999999998,78.64381,0.076,146.0,2.9,6.433333333333334
53,Darren Waller,MIA,10,TE5,58.0,55.0,51.0,54.7,00-0031610,TE,2022,0.6448598130841121,29,2015,0.5755555555555555,23.87143,0.08199999999999999,204.0,0.7,2.857142857142857
63,Dallas Goedert,PHI,10,TE6,55.0,61.0,76.0,64.0,00-0034351,TE,2022,0.8536585365853658,27,2018,0.9,25.45697,0.078,49.0,9.8,7.636363636363637
66,Kyle Pitts Sr.,ATL,11,TE7,59.0,60.0,75.0,64.7,00-0036970,TE,2022,0.7941176470588235,21,2021,0.719,28.029333,0.045,4.0,25.8,4.642857142857143
81,Pat Freiermuth,PIT,6,TE8,69.0,88.0,91.0,82.7,00-0036894,TE,2022,0.9411764705882353,23,2021,0.68,22.376,0.008,55.0,9.1,4.4603174603174605
82,Evan Engram,DEN,9,TE9,74.0,82.0,92.0,82.7,00-0033881,TE,2022,0.8979591836734694,27,2017,0.7747058823529412,82.37184,0.061,23.0,14.6,6.36986301369863
92,David Njoku,CLE,5,TE10,93.0,89.0,105.0,95.7,00-0033885,TE,2022,0.8061224489795918,26,2017,0.8428571428571427,44.205715,0.066,29.0,13.2,5.724137931034483
119,Dalton Kincaid,BUF,13,TE11,137.0,114.0,114.0,121.7,00-0038933,TE,2022,--,22,2023,-1.0,--,0.015,25.0,14.1,--
134,Dalton Schultz,HOU,7,TE12,170.0,117.0,131.0,139.3,00-0034383,TE,2022,0.975609756097561,26,2018,0.7826666666666667,54.305523,0.027999999999999997,137.0,3.3,3.5789473684210527
141,Cole Kmet,CHI,13,TE13,159.0,127.0,150.0,145.3,00-0036290,TE,2022,1.0,23,2020,0.9352941176470588,44.516174,0.055999999999999994,43.0,10.6,5.72
142,Chig Okonkwo,TEN,7,TE14,145.0,145.0,147.0,145.7,00-0037809,TE,2022,1.0,22,2022,0.3635294117647059,30.254572,0.005,143.0,3.0,7.875
143,Tyler Higbee,LAR,10,TE15,154.0,149.0,137.0,146.7,00-0033110,TE,2022,0.9736842105263158,29,2016,0.8647058823529411,57.872,0.038,110.0,4.7,5.611111111111111
