...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
248,249,Dwayne Allen,,,TE29,,,,,,240,239,00-0029689,TE,2016,0.7352941176470589,26,2012,0.6385714285714286,69.36748,0.047,64,8.1,53,35,406,29,4,6,0,0,0,0,0,6,14
254,255,Vance McDonald,,,TE30,,,,,,324,258.3,00-0030470,TE,2016,0.734375,26,2013,0.6118181818181818,28.296555,0.042,55,9.1,45,24,391,39.1,6,4,0,0,0,0,0,4,10
261,262,Tyler Higbee,LAR,8,TE31,,,,,,209,233,00-0033110,TE,2016,1.0,23,2016,0.401875,6.155636,0.005,110,4.7,29,11,85,7.7272727272727275,1,1,0,0,0,0,0,1,11
269,270,Benjamin Watson,,,TE32,,,,,,224,239.5,00-0022943,TE,2016,0.7727272727272727,35,2004,-1,--,0.006999999999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,272,Zach Miller,,,TE33,,,,,,295,259,00-0027125,TE,2016,0.8356164383561644,31,2009,0.8320000000000001,47.069332,0.019,180,1.5,64,47,486,48.6,5,4,0,0,0,0,0,4,10
281,282,George Kittle,SF,11,TE34,,,,,,229,248,00-0033288,TE,2016,--,22,2017,-1,--,0.004,146,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
296,297,Gerald Everett,,,TE35,,,,,,259,258.5,00-0033895,TE,2016,--,22,2017,-1,--,0.009000000000000001,44,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
304,305,Jermaine Gresham,,,TE36,,,,,,246,246,00-0027873,TE,2016,1.0,28,2010,0.7224999999999999,21.321959,0.042,21,15.2,61,37,391,24.4375,4,2,0,0,0,0,0,2,16
320,321,Erik Swoope,,,TE37,,,,,,268,268,00-0030854,TE,2016,1.0,24,2014,-1,12.515,0.003,,0,22,15,297,33,6,1,0,0,0,0,0,1,9
323,324,Vernon Davis,,,TE38,,,,,,315,292,00-0024221,TE,2016,1.0,32,2006,0.63375,28.623142,0.03,6,23.2,59,44,581,38.733333333333334,11,2,0,0,0,0,0,2,15
329,330,Ladarius Green,,,TE39,,,,,,273,273,00-0029275,TE,2016,0.7108433734939759,26,2012,0.32666666666666666,63.31067,0.032,110,4.7,35,18,304,50.666666666666664,7,1,0,0,0,0,0,1,6
332,333,Dennis Pitta,,,TE40,,,,,,276,276,00-0027714,TE,2016,0.9594594594594594,31,2010,0.713125,47.95596,0.018000000000000002,114,4.4,121,86,729,45.5625,4,2,0,0,0,0,1,2,16
372,373,Rico Gathers,,,TE41,,,,,,332,332,00-0033054,TE,2016,1.0,22,2016,-1,--,0.003,217,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
378,379,Seth DeValve,,,TE42,,,,,,338,338,00-0033080,TE,2016,1.0,23,2016,0.12000000000000004,10.95125,0.004,138,3.2,12,10,127,15.875,3,2,0,0,0,0,0,2,8
379,380,Dion Sims,,,TE43,,,,,,339,339,00-0030422,TE,2016,1.0,25,2013,0.8685714285714285,34.554745,0.036000000000000004,106,4.9,35,26,256,19.692307692307693,4,4,0,0,0,0,0,4,13
380,381,Adam Shaheen,,,TE44,,,,,,340,340,00-0033896,TE,2016,--,21,2017,-1,--,0.009000000000000001,45,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
384,385,Aaron Hernandez,,,TE45,,,,,,344,344,00-0027713,TE,2016,1.0,26,2010,-1,--,0.0,113,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
385,386,Nick Boyle,,,TE46,,,,,,345,345,00-0031598,TE,2016,0.24,23,2015,0.2783333333333333,2.9033334,0.004,171,1.9,6,6,44,14.666666666666666,1,0,0,0,0,0,0,0,3
392,393,Jake Butt,,,TE47,,,,,,352,352,00-0033564,TE,2016,--,21,2017,-1,--,0.004,145,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
399,400,Maxx Williams,,,TE48,,,,,,360,360,00-0031558,TE,2016,0.6363636363636364,22,2015,0.1825,--,0.006999999999999999,55,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
401,402,Jordan Leggett,,,TE49,,,,,,362,362,00-0033953,TE,2016,--,21,2017,-1,--,0.004,150,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
404,405,Jonnu Smith,PIT,9,TE50,,,,,,365,365,00-0033858,TE,2016,--,21,2017,-1,--,0.005,100,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0
405,406,Ryan Griffin,,,TE51,,,,,,366,366,00-0030108,TE,2016,1.0,26,2013,0.44625,20.087833,0.018000000000000002,,0,74,50,442,27.625,4,2,0,0,0,0,1,2,16
