...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
17,18,Travis Kelce,KC,10,TE1,19,,,18.7,00-0030506,TE,2019,0.9514563106796117,29,136,97,1229,76.8125,13,5,1,4,0.25,1,1,6,16
21,22,George Kittle,SF,11,TE2,16,,,20,00-0033288,TE,2019,0.9583333333333334,25,107,85,1053,75.21428571428571,16,5,5,22,1.5714285714285714,0,0,5,14
38,39,Mark Andrews,BAL,7,TE3,35,,,39.7,00-0034753,TE,2019,0.96875,23,98,64,852,56.8,16,10,0,0,0,0,1,10,15
43,44,Zach Ertz,WAS,8,TE4,43,,,46,00-0030061,TE,2019,0.991304347826087,28,136,88,916,61.06666666666667,12,6,0,0,0,0,1,6,15
58,59,Darren Waller,MIA,7,TE5,56,,,58.7,00-0031610,TE,2019,0.5789473684210527,26,117,90,1145,71.5625,14,3,2,5,0.3125,0,1,3,16
73,74,Evan Engram,DEN,5,TE6,84,,,79.3,00-0033881,TE,2019,0.8333333333333334,24,68,44,467,58.375,4,3,3,7,0.875,0,0,3,8
74,75,Tyler Higbee,LAR,9,TE7,59,,,79.7,00-0033110,TE,2019,1.0,26,89,69,734,52.42857142857143,11,3,0,0,0,0,0,3,14
76,77,Rob Gronkowski,,,TE8,77,,,80,00-0027656,TE,2019,0.7482993197278912,30,0,0,0,0,0,0,0,0,0,0,0,0,0
78,79,Hunter Henry,NE,5,TE9,73,,,81,00-0033090,TE,2019,0.6875,24,77,55,652,54.333333333333336,8,5,0,0,0,0,1,5,12
91,92,Jared Cook,,,TE10,71,,,95,00-0027061,TE,2019,0.9111111111111111,32,65,43,705,50.357142857142854,15,9,0,0,0,0,0,9,14
100,101,Hayden Hurst,,,TE11,104,,,106.7,00-0034830,TE,2019,1.0,26,39,30,349,21.8125,4,2,0,0,0,0,0,2,16
111,112,Austin Hooper,NE,5,TE12,121,,,117.7,00-0032392,TE,2019,0.953125,24,99,75,787,60.53846153846154,8,6,0,0,0,0,0,6,13
112,113,Noah Fant,CIN,9,TE13,127,,,118,00-0035644,TE,2019,1.0,21,66,40,562,35.125,10,3,3,-12,-0.75,0,1,3,16
128,129,Mike Gesicki,CIN,9,TE14,140,,,135.7,00-0034829,TE,2019,1.0,23,89,51,570,38,7,5,0,0,0,0,1,5,15
137,138,T.J. Hockenson,MIN,7,TE15,153,,,146,00-0035229,TE,2019,0.75,22,59,32,367,30.583333333333332,6,2,0,0,0,0,0,2,12
157,158,Jonnu Smith,PIT,4,TE16,190,,,160.3,00-0033858,TE,2019,0.9375,24,44,35,439,29.266666666666666,8,3,4,78,5.2,0,0,3,15
170,171,Blake Jarwin,,,TE17,181,,,169,00-0033658,TE,2019,1.0,25,41,31,365,24.333333333333332,8,3,0,0,0,0,0,3,15
172,173,N'Keal Harry,,,WR59,,,,156.5,00-0035624,TE,2019,0.4375,21,24,12,105,15,0,2,5,49,7,0,0,2,7
174,175,Eric Ebron,,,TE18,169,,,158.5,00-0031387,TE,2019,0.9489795918367347,26,52,31,375,34.09090909090909,4,3,0,0,0,0,0,3,11
181,182,Dallas Goedert,PHI,9,TE19,,,,127,00-0034351,TE,2019,1.0,24,87,58,607,40.46666666666667,8,5,0,0,0,0,2,5,15
183,184,Jimmy Graham,,,TE20,129,,,199.5,00-0027696,TE,2019,0.9192546583850931,32,60,38,447,27.9375,7,3,0,0,0,0,0,3,16
185,186,Kyle Rudolph,,,TE21,130,,,169,00-0027981,TE,2019,0.9041095890410958,29,49,39,367,24.466666666666665,3,6,0,0,0,0,0,6,15
186,187,Greg Olsen,,,TE22,143,,,167.5,00-0025418,TE,2019,0.9234972677595629,34,83,52,597,42.642857142857146,6,2,0,0,0,0,0,2,14
189,190,Chris Herndon,IV,,TE23,,,,171,00-0034766,TE,2019,0.5625,23,2,1,7,7,0,0,0,0,0,0,0,0,1
191,192,Jack Doyle,,,TE24,,,,144,00-0030181,TE,2019,0.9565217391304348,29,73,43,448,29.866666666666667,4,4,0,0,0,0,0,4,15
194,195,.J. Howard,O,,TE25,146,,,178.5,00-0033879,TE,2019,0.7916666666666666,24,53,34,459,38.25,8,1,0,0,0,0,1,1,12
199,200,Ian Thomas,LV,6,TE26,,,,161,00-0034365,TE,2019,1.0,23,30,16,136,15.11111111111111,0,1,0,0,0,0,0,1,9
203,204,Tyler Eifert,,,TE27,168,,,214,00-0030549,TE,2019,0.7474747474747475,28,64,43,436,27.25,4,3,0,0,0,0,0,3,16
209,210,Irv Smith Jr.,HOU,8,TE28,182,,,188,00-0034970,TE,2019,1.0,21,47,36,311,22.214285714285715,5,2,0,0,0,0,0,2,14
253,254,Dawson Knox,BUF,11,TE29,,,,230,00-0035689,TE,2019,0.9375,22,50,28,388,25.866666666666667,7,2,1,9,0.6,0,0,2,15
258,259,Devin Asiasi,,,TE30,,,,237,00-0036194,TE,2019,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0
259,260,C.J. Uzomah,,,TE31,,,,238,00-0032134,TE,2019,1.0,26,41,27,242,18.615384615384617,2,2,0,0,0,0,0,2,13
266,267,Jace Sternberger,,,TE32,,,,252,00-0035671,TE,2019,0.375,23,1,0,0,0,0,0,0,0,0,0,0,0,0
270,271,David Njoku,CLE,9,TE33,,,,258,00-0033885,TE,2019,0.75,23,10,5,41,13.666666666666666,0,1,0,0,0,0,0,1,3
276,277,Will Dissly,LAC,6,TE34,,,,266,00-0034159,TE,2019,0.3125,23,27,23,262,43.666666666666664,3,4,1,7,1.1666666666666667,0,0,4,6
289,290,Gerald Everett,,,TE35,,,,285,00-0033895,TE,2019,0.9375,25,60,37,408,34,6,2,1,0,0,0,0,2,12
291,292,Cole Kmet,CHI,11,TE36,,,,288,00-0036290,TE,2019,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
297,298,Vance McDonald,,,TE37,,,,295,00-0030470,TE,2019,0.8392857142857143,29,54,37,273,19.5,1,3,1,2,0.14285714285714285,0,0,3,14
314,315,Logan Thomas,,,TE38,,,,316,00-0031260,TE,2019,1.0,28,28,16,173,13.307692307692308,0,1,0,0,0,0,0,1,13
317,318,Cameron Brate,,,TE39,,,,320,00-0031273,TE,2019,0.9880952380952381,28,55,36,311,22.214285714285715,1,4,0,0,0,0,0,4,14
319,320,Jacob Hollister,,,TE40,,,,322,00-0033387,TE,2019,1.0,25,59,41,349,34.9,3,3,0,0,0,0,0,3,10
323,324,Darren Fells,,,TE41,,,,326,00-0029738,TE,2019,1.0,33,48,34,341,22.733333333333334,2,7,0,0,0,0,0,7,15
335,336,Trey Burton,,,TE42,,,,338,00-0030710,TE,2019,0.9285714285714286,27,24,14,84,10.5,0,0,0,0,0,0,0,0,8
338,339,Kaden Smith,,,TE43,,,,341,00-0034988,TE,2019,0.9333333333333333,22,43,31,268,38.285714285714285,3,3,0,0,0,0,0,3,7
343,344,Dan Arnold,,,TE44,,,,346,00-0034011,TE,2019,0.5,24,14,8,127,25.4,3,2,0,0,0,0,0,2,5
