Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,yac_pr
26,Travis Kelce,KC,6,TE1,21.0,25.0,36.0,27.3,00-0030506,TE,2023,0.9529411764705882,33,2013,0.77,64.054955,0.067,63.0,8.2,5.053763440860215
29,Sam LaPorta,DET,5,TE2,30.0,30.0,32.0,30.7,00-0039065,TE,2023,1.0,22,2023,0.8258823529411764,59.355663,0.011000000000000001,34.0,12.1,4.162790697674419
48,Trey McBride,ARI,11,TE3,47.0,48.0,49.0,48.0,00-0037744,TE,2023,0.9705882352941176,23,2022,0.6894117647058824,57.976913,0.008,55.0,9.1,5.185185185185185
50,Mark Andrews,BAL,14,TE4,48.0,49.0,50.0,49.0,00-0034753,TE,2023,0.8787878787878788,27,2018,0.6980000000000001,44.998222,0.077,86.0,6.2,4.822222222222222
52,Dalton Kincaid,BUF,12,TE5,57.0,51.0,48.0,52.0,00-0038933,TE,2023,0.9411764705882353,23,2023,0.63375,32.668625,0.015,25.0,14.1,4.315068493150685
56,George Kittle,SF,9,TE6,51.0,58.0,71.0,60.0,00-0033288,TE,2023,0.8695652173913043,29,2017,0.895,72.42667,0.076,146.0,2.9,7.430769230769231
65,Kyle Pitts Sr.,ATL,12,TE7,60.0,61.0,69.0,63.3,00-0036970,TE,2023,0.8627450980392157,22,2021,0.6447058823529412,18.529411,0.045,4.0,25.8,2.5283018867924527
71,Evan Engram,DEN,14,TE8,71.0,71.0,70.0,70.7,00-0033881,TE,2023,0.9130434782608695,28,2017,0.7864705882352941,52.8689,0.061,23.0,14.6,4.526315789473684
81,Jake Ferguson,DAL,7,TE9,76.0,85.0,86.0,82.3,00-0038041,TE,2023,0.9705882352941176,24,2022,0.7464705882352941,29.854046,0.005,129.0,3.7,5.985915492957746
85,David Njoku,CLE,10,TE10,89.0,87.0,94.0,90.0,00-0033885,TE,2023,0.8347826086956521,27,2017,0.8162499999999999,49.975334,0.066,29.0,13.2,7.395061728395062
93,Brock Bowers,LV,10,TE11,110.0,83.0,100.0,97.7,00-0039338,TE,2023,--,20,2024,-1.0,--,0.018000000000000002,13.0,18.3,--
111,Dallas Goedert,PHI,5,TE12,111.0,107.0,123.0,113.7,00-0034351,TE,2023,0.8484848484848485,28,2018,0.8449999999999999,46.6594,0.078,49.0,9.8,5.406779661016949
123,Dalton Schultz,HOU,14,TE13,128.0,118.0,137.0,127.7,00-0034383,TE,2023,0.9595959595959596,27,2018,0.7266666666666666,53.4181,0.047,137.0,3.3,4.389830508474576
127,T.J. Hockenson,MIN,6,TE14,158.0,119.0,131.0,136.0,00-0035229,TE,2023,0.8674698795180723,26,2019,0.7906666666666666,46.91857,0.073,8.0,21.4,3.536842105263158
130,Pat Freiermuth,PIT,9,TE15,156.0,124.0,134.0,138.0,00-0036894,TE,2023,0.8627450980392157,24,2021,0.635,32.149635,0.047,55.0,9.1,4.53125
139,Cole Kmet,CHI,7,TE16,173.0,129.0,140.0,147.3,00-0036290,TE,2023,1.0,24,2020,0.7705882352941176,48.359238,0.055999999999999994,43.0,10.6,3.9726027397260273
