"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0031610","Darren Waller",146,9.1,32.8,"TE","LV",27.9
2,"00-0030506","Travis Kelce",146,9.7,38.4,"TE","KC",23.8
3,"00-0034753","Mark Andrews",88,6.3,24.6,"TE","BAL",22.4
4,"00-0033881","Evan Engram",109,6.8,31.5,"TE","NYG",21.6
5,"00-0031260","Logan Thomas",111,6.9,36,"TE","WAS",19.3
6,"00-0035229","T.J. Hockenson",102,6.4,35.4,"TE","DET",18
7,"00-0035644","Noah Fant",94,6.7,33.6,"TE","DEN",17.5
8,"00-0034829","Mike Gesicki",85,5.7,34.5,"TE","MIA",15.4
9,"00-0033090","Hunter Henry",93,6.6,38.4,"TE","LAC",15.1
10,"00-0032392","Austin Hooper",70,5.4,29.2,"TE","CLE",15
11,"00-0034830","Hayden Hurst",89,5.6,38,"TE","ATL",14.6
12,"00-0034383","Dalton Schultz",89,5.6,38.7,"TE","DAL",14.4
13,"00-0031387","Eric Ebron",92,6.1,41.1,"TE","PIT",14
14,"00-0033858","Jonnu Smith",66,4.7,29.4,"TE","TEN",14
15,"00-0030061","Zach Ertz",73,6.6,35.4,"TE","PHI",12.9
16,"00-0027656","Rob Gronkowski",77,4.8,38,"TE","TB",12.7
17,"00-0027696","Jimmy Graham",76,4.8,37.4,"TE","CHI",12.7
18,"00-0027061","Jared Cook",60,4,31.8,"TE","NO",11.8
19,"00-0033757","Robert Tonyan",59,3.9,31.3,"TE","GB",11.8
20,"00-0033288","George Kittle",64,8,34.8,"TE","SF",11.5
21,"00-0034351","Dallas Goedert",65,5.9,35.4,"TE","PHI",11.5
22,"00-0033455","Anthony Firkser",53,3.5,29.4,"TE","TEN",11.3
23,"00-0033895","Gerald Everett",62,4.1,35.2,"TE","LA",11
24,"00-0033110","Tyler Higbee",61,4.1,35.2,"TE","LA",10.8
25,"00-0030549","Tyler Eifert",60,4.3,37.1,"TE","JAX",10.1
26,"00-0034766","Christopher Herndon",46,4.2,29.1,"TE","NYJ",9.9
27,"00-0035631","Drew Sample",53,3.3,35.4,"TE","CIN",9.4
28,"00-0034364","Jordan Akins",49,3.8,33.1,"TE","HOU",9.3
29,"00-0034970","Irv Smith",44,3.7,30.8,"TE","MIN",8.9
30,"00-0030710","Trey Burton",47,4.3,33.6,"TE","IND",8.8
31,"00-0030472","Jordan Reed",46,4.6,34.8,"TE","SF",8.3
32,"00-0034011","Dan Arnold",45,3.2,34.2,"TE","ARI",8.2
33,"00-0036232","Harrison Bryant",38,3.2,29.2,"TE","CLE",8.1
34,"00-0027981","Kyle Rudolph",38,3.2,30.8,"TE","MIN",7.7
35,"00-0035689","Dawson Knox",44,4,35.8,"TE","BUF",7.7
36,"00-0033387","Jacob Hollister",41,3.2,33.7,"TE","SEA",7.6
37,"00-0036290","Cole Kmet",45,3.2,37.4,"TE","CHI",7.5
38,"00-0033217","Mo Alie-Cox",39,2.8,33.6,"TE","IND",7.3
39,"00-0025418","Greg Olsen",37,3.4,33.7,"TE","SEA",6.9
40,"00-0031951","James O'Shaughnessy",39,2.6,37.1,"TE","JAX",6.6
41,"00-0033885","David Njoku",29,2.6,29.2,"TE","CLE",6.2
42,"00-0030181","Jack Doyle",33,2.5,33.6,"TE","IND",6.1
43,"00-0034365","Ian Thomas",31,2.4,33.1,"TE","CAR",5.9
44,"00-0031273","Cameron Brate",34,2.6,38,"TE","TB",5.6
45,"00-0031384","Richard Rodgers",32,4,35.4,"TE","PHI",5.6
46,"00-0034159","Will Dissly",29,2.1,33.7,"TE","SEA",5.4
47,"00-0029738","Darren Fells",28,2.3,33.1,"TE","HOU",5.3
48,"00-0034270","Tyler Conklin",26,3.7,30.8,"TE","MIN",5.3
49,"00-0034798","Durham Smythe",29,2.2,34.5,"TE","MIA",5.3
50,"00-0034439","Ryan Izzo",20,2,26.3,"TE","NE",4.8
51,"00-0034073","Ross Dwelley",24,2.4,34.8,"TE","SF",4.3
52,"00-0034988","Kaden Smith",21,1.6,31.5,"TE","NYG",4.2
53,"00-0032394","Nick Vannett",22,2,33.6,"TE","DEN",4.1
54,"00-0033896","Adam Shaheen",22,1.7,34.5,"TE","MIA",4
55,"00-0032135","Jesse James",22,1.8,35.4,"TE","DET",3.9
56,"00-0035329","Donald Parham",20,2,38.4,"TE","LAC",3.3
57,"00-0030470","Vance McDonald",20,2.2,41.1,"TE","PIT",3
