...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
20,21,Rob Gronkowski,,,TE1,18,,,20,,23,20.6,00-0027656,TE,2017,0.7175572519083969,28,2010,0.9028571428571428,64.1341,0.075,42,10.8,106,69,1084,83.38461538461539,18,8,0,0,0,0,0,8,13
24,25,Travis Kelce,KC,12,TE2,25,,,26,,26,26.6,00-0030506,TE,2017,0.9295774647887324,27,2013,0.916,57.970947,0.06,63,8.2,122,83,1038,69.2,19,8,2,7,0.4666666666666667,0,0,8,15
34,35,Zach Ertz,WAS,4,TE3,33,,,34,,33,35,00-0030061,TE,2017,1.0,26,2013,0.795,43.10417,0.055,35,12,111,74,824,58.857142857142854,7,8,0,0,0,0,1,8,14
52,53,Jimmy Graham,,,TE4,56,,,50,,61,54.4,00-0027696,TE,2017,0.8992248062015504,30,2010,0.68875,47.443832,0.055999999999999994,95,5.6,98,57,520,32.5,8,10,0,0,0,0,0,10,16
55,56,Greg Olsen,,,TE5,48,,,58,,62,56.4,00-0025418,TE,2017,0.9470198675496688,32,2007,0.7785714285714285,85.548096,0.048,31,12.7,38,17,191,27.285714285714285,2,1,0,0,0,0,0,1,7
62,63,Evan Engram,DEN,10,TE6,62,,,75,,60,66.4,00-0033881,TE,2017,1.0,22,2017,0.7726666666666666,50.289238,0.016,23,14.6,115,64,722,48.13333333333333,11,6,1,14,0.9333333333333333,0,0,6,15
69,70,Delanie Walker,,,TE7,59,,,78,,72,73,00-0024389,TE,2017,1.0,33,2006,0.72625,18.595291,0.048,175,1.7,111,74,807,50.4375,9,3,2,-2,-0.125,1,2,4,16
71,72,Kyle Rudolph,,,TE8,71,,,81,,78,77.2,00-0027981,TE,2017,0.8771929824561403,27,2011,0.82375,32.4785,0.055,43,10.6,81,57,532,33.25,4,8,0,0,0,0,0,8,16
81,82,Jordan Reed,,,TE9,79,,,64,,99,84.6,00-0030472,TE,2017,0.7777777777777778,27,2013,0.5966666666666668,74.621666,0.06,85,6.3,35,27,211,35.166666666666664,1,2,0,0,0,0,0,2,6
83,84,Trey Burton,,,TE10,111,,,82,,90,85.6,00-0030710,TE,2017,1.0,25,2014,0.2806666666666667,44.400913,0.045,,0,32,23,248,20.666666666666668,2,5,0,0,0,0,0,5,12
103,104,Jack Doyle,,,TE11,103,,,113,,106,108.6,00-0030181,TE,2017,1.0,27,2013,0.9533333333333334,50.120953,0.038,,0,109,80,690,46,4,4,0,0,0,0,2,4,15
107,108,David Njoku,CLE,11,TE12,117,,,107,,129,112.6,00-0033885,TE,2017,1.0,21,2017,0.46875,25.729624,0.013999999999999999,29,13.2,60,32,386,24.125,8,4,1,1,0.0625,0,0,4,16
125,126,George Kittle,SF,11,TE13,163,,,129,,117,136.8,00-0033288,TE,2017,1.0,23,2017,0.5786666666666667,29.835712,0.004,146,2.9,63,43,515,34.333333333333336,8,2,0,0,0,0,0,2,15
128,129,Tyler Eifert,,,TE14,136,,,133,,134,137.4,00-0030549,TE,2017,0.8059701492537313,26,2013,0.835,16.82,0.031,21,15.2,5,4,46,23,1,0,0,0,0,0,0,0,2
166,167,O.J. Howard,,,TE15,,,,160,,142,147.8,00-0033879,TE,2017,0.875,22,2017,0.64,64.729744,0.017,19,15.8,39,26,432,33.23076923076923,9,6,0,0,0,0,2,6,13
172,173,Austin Seferian-Jenkins,,,TE16,161,,,143,,156,161.3,00-0031418,TE,2017,0.7301587301587301,24,2014,0.7592307692307692,26.696924,0.027999999999999997,38,11.4,74,50,357,27.46153846153846,2,3,0,0,0,0,1,3,13
181,182,Jared Cook,,,TE17,148,,,197,,165,171,00-0027061,TE,2017,0.9054054054054054,30,2009,0.785,38.441334,0.032,89,6,86,54,688,43,10,2,0,0,0,0,1,2,16
186,187,Eric Ebron,,,TE18,,,,195,,168,175.5,00-0031387,TE,2017,1.0,24,2014,0.5262500000000001,33.558,0.037000000000000005,10,19.9,86,53,574,35.875,6,4,0,0,0,0,1,4,16
187,188,Cameron Brate,,,TE19,169,,,181,,146,175.8,00-0031273,TE,2017,0.9807692307692307,26,2014,0.53625,45.065292,0.038,,0,77,48,591,36.9375,5,6,0,0,0,0,0,6,16
191,192,Charles Clay,,,TE20,139,,,202,,174,179.5,00-0028112,TE,2017,0.7280701754385965,28,2011,0.6861538461538461,23.693077,0.053,174,1.7,74,49,558,42.92307692307692,7,2,0,0,0,0,0,2,13
192,193,Benjamin Watson,,,TE21,143,,,208,,176,187.3,00-0022943,TE,2017,0.7972972972972973,36,2004,0.6425000000000001,26.798,0.011000000000000001,,0,80,61,522,32.625,5,4,0,0,0,0,0,4,16
195,196,Ricky Seals-Jones,,,TE22,,,,220,,188,198.5,00-0033611,TE,2017,1.0,22,2017,0.19,65.40268,0.003,,0,28,12,201,25.125,5,3,0,0,0,0,0,3,8
199,200,Antonio Gates,,,TE23,135,,,243,,284,214.3,00-0021547,TE,2017,0.8904109589041096,37,2003,-1,25.206,0.013999999999999999,,0,53,30,316,19.75,3,3,0,0,0,0,0,3,16
203,204,Mike Gesicki,CIN,9,TE24,,,,174,,182,179.7,00-0034829,TE,2017,--,21,2018,-1,--,0.009000000000000001,42,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
214,215,Vance McDonald,,,TE25,,,,212,,175,193.7,00-0030470,TE,2017,0.7875,27,2013,0.4,17.73361,0.042,55,9.1,24,14,188,20.88888888888889,3,1,0,0,0,0,0,1,9
216,217,Austin Hooper,NE,11,TE26,,,,199,,178,195.7,00-0032392,TE,2017,1.0,22,2016,0.77125,33.764664,0.006999999999999999,81,6.6,65,49,526,32.875,5,3,0,0,0,0,0,3,16
218,219,Hayden Hurst,,,TE27,,,,200,,200,204.3,00-0034830,TE,2017,--,24,2018,-1,--,0.016,25,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
